Speaker,Dialogue
grifters,by Donald E. Westlake
jeweler,"Mrs. Langtry, I'm sorry."
myra,Why? What's wrong?
jeweler," You are a valued customer, as you know."
myra,But what's wrong?
jeweler,I can't understand a thing like this. It's something you almost never see.
myra,What is?
jeweler," This is some of the finest filigreed platinum I've ever seen. But the stones, no. They're not diamonds, Mrs. Langtry."
myra,But they must be! They cut glass!
jeweler," Glass will cut glass, Mrs. Langtry. Do you know where it was purchased?"
myra,It was a gift. It isn't worth anything at all?
jeweler," Why, of course it is. I can offer you -- well, five hundred dollars."
myra,All right.
jeweler, I'll get you a check.
jeweler,"I hope you're not too badly disappointed with us, Mrs. Langtry."
myra,It's not your fault.
jeweler,"You'll give us an opportunity to serve you again, I hope. If there's anything you think we might be interested in..."
myra,I have only one thing now. Are you interested?
jeweler,"Well, I'd have to see it, of course."
myra,You are seeing it. You're looking right at it.
jeweler,I see.
jeweler,"You know something, Mrs. Langtry? A bracelet like that very rarely happens. A fine setting and workmanship usually mean precious stones. It always hurts me when I find they're not. I always hope --  -- I'm mistaken."
myra,Thank you. For everything you felt you could do.
cop,Sir? Everything all right?
roy,"Getting better. A bad shrimp, I think."
cop,Want us to take you to a doctor?
roy,"No no, I'm fine now, thanks, anyway. Still got a lot of clients to see."
cop,"Take it easy, now."
roy,"Oh, I will."
simms,"Put it this way, now. Say I rent to a woman, well, she has to have a room with a bath. I insist on it, because otherwise she's got the hall bath tied up all the time, washing her goddamn hair and her clothes and everything she can think of."
simms,"Now, your minimum for a room with bath is three hundred a month, just for a place to sleep and no cooking allowed. And just how many of these tootsies make that kind of money and have to eat in restaurants and buy clothes and --"
roy,Mr. Simms.
simms," Why yes, Mr. Dillon. Here's a potential new neighbor, looking at--"
roy, Uh-huh. Mrs. Langtry may drop by.
simms,I'll send her right up.
simms,"I had my first hotel thirty-seven years ago in Wichita Falls, Texas, and that's where I began to learn about women. They just don't make the money, you see, not regular they don't, and there's only one way they can get it."
