Speaker,Dialogue
meredith,Do do do do do do do do do do do!
mysterious man,"This way, my river lily."
meredith,Where are you taking me?
mysterious man,"I was afraid it wouldn't take to the soil, but it rooted quickly."
meredith,Which is what?
mysterious man,Expansion.
meredith,I'm not sure what you're talking about. But I like the way you say it.
mysterious man,"My heart is yours, Meredith Quill."
meredith,I can't believe I fell in love with a spaceman.
quill,"Showtime, a-holes! It'll be here any minute!"
quill,Is that a rifle?
gamora,You don't know what a rifle is?
quill,I thought your thing was a sword.
gamora,"We've been hired to stop an interdimensional beast from feeding on those batteries' energy, and I'm going to stop it with a sword?"
quill, Don't look at me like I'm stupid. You're the one being all inconsistent.
gamora,"Drax, why aren't you wearing one of Rocket's aero-rigs?"
drax,It hurts.
gamora,Hurts?
drax, I have sensitive nipples.
rocket,"If I finish this, we can listen to tunes while we work."
drax,How is that a priority?
rocket,Blame Quill! He's the one who loves music so much!
quill,I agree with Drax. It's hardly important right now.
rocket,"Oh, sure, okayyyy, Quill."
quill,"No, I really agree with him."
rocket,"Sure, I know."
drax,I can clearly see you winking.
rocket,Damn. I'm using my left eye? 5
groot,I am Groot.
rocket,They were not looking at you funny.
quill,"Groot, look - !"
gamora,"Get out of the way, Groot! You're going to get hurt!"
rocket,Spit it out! Spit it out!
drax,The beast's hide is too thick to be pierced from the outside. I must cut through it from the inside.
gamora,Huh?
quill,What is he doing?!
gamora,"He said the skin is too thick to be pierced from the outside, so he -- 8"
quill,That doesn't make sense!
gamora,I tried to tell -- !
quill,Its skin is the same thickness from the inside as from the out!
gamora,I REALIZE THAT.
quill,"Gamora, there's a cut on its neck - Rocket, get it to look up."
drax,Ha ha! I have single-handedly vanquished the beast! 9
drax,What are they called again?
quill,Anulax batteries.
drax,Harbulary batteries.
quill,That's nothing like what I just said. But they're worth thousands of units a piece. Which is why the Sovereign hired us to protect them.
drax,Sounds judgmental for a bunch of golden morons.
quill,That's the kind of thing you might want to keep to yourself.
gamora,"I'll hold my tongue, as long as they deliver what was promised."
ayesha,"Every citizen is born exactly as designed by the community, impeccable, both physically and mentally. We control the DNA of our progeny, germinating them in birthing pods."
quill,I guess I prefer making people the old-fashioned way.
ayesha,Well... perhaps someday you could give me a history lesson in the archaic ways of our ancestors... for academic purposes.
quill,"Yeah, I mean, if it's for research that could be pretty --"
gamora,"Oh, please.  Your people promised something in trade for our services. Bring it and we shall gladly be on our way."
quill, Family reunion. Yaaaay.
ayesha,I understand she is your sister?
gamora,She's worth no more to me than the bounty due for her on Xandar.
ayesha,Our soldiers apprehended her attempting to steal the batteries. Do with her as you please.
quill,"Thank you, High Priestess Ayesha."
ayesha,"What is your heritage, Mr. Quill?"
quill,My mother is from earth.
ayesha,And your father?
quill,"He's... not from Missouri, that's all I know."
ayesha,"I see it within you, an unorthodox genealogy. A hybrid that seems particularly... reckless."
rocket,"You know, they told me you people were conceited douchebags. But that isn't true at all."
drax,Count yourself blessed they didn't kill you.
rocket,You're telling me. You wanna buy some batteries?
rocket,Let's get baldy back to Xandar and retrieve that bounty!
gamora,You all right?
quill,That stuff about my father. Who does she think she is?
gamora,I know you're sensitive about that.
quill,I'm not sensitive about it. I just don't know who he is.
gamora,I don't care if you were.
quill,I think you do care. That's why I'm apologizing.
drax,"Gamora is not the one for you, Quill."
quill,Uh huh.
drax,I first met my beloved at a war rally.  14
quill,"Well, that is pretty hot, but--"
drax,It would make my nether regions ENGORGE -
quill,"All right, okay, fascinating, don't need to hear it. I get your point, I'm a dancer and Gamora is not."
drax,"You just need to find a woman who is pathetic, like you."
nebula,I am hungry. Hand me some of that yaro root.
gamora,No. It's not ripe yet. And I hate you.
nebula,"You hate me?! You left me there while you stole that stone for yourself. Yet here you stand, a hero, a Garden of the Galaxy!"
gamora,A what?
nebula,Oh.
gamora,Why would we be `the Gardens of the Galaxy'?
nebula,I don't know. I thought it was stupid.
gamora,"Yeah, it would be."
nebula,It's still wordy.
gamora,I wasn't the one who thought of it.
nebula,"Your name doesn't matter. I'll be free of these shackles soon enough, and I'll kill you, I swear."
gamora,"No. You'll live out your days in a prison on Xandar, wishing you could."
quill,"We got an armed Sovereign fleet, approaching from the rear."
gamora,Why would they do that?! 16
drax,Probably because Rocket stole some of their batteries.
rocket,Dude.
drax,"Oh, right. He didn't steal one of those. I don't know why they're after us. What a mystery this is."
quill,What were you thinking?!
rocket,"Dude, it was really easy to steal."
gamora,That's your defense?
rocket,Come on. You saw how that high- priestess talked down to us! I'm teaching her a lesson!
quill,Oh! I didn't realize your motivation was altruism. A shame the Sovereign have mistaken your intentions and are trying to kill us.
rocket,Exactly.
quill,I WAS BEING SARCASTIC!
rocket,Oh no! You tricked me! You're supposed to use a sarcastic voice! Now I look foolish!
quill,"SHUT UP, DRAX! You knew! You should have told us!"
drax,Did you tell him it was easy to steal?
rocket,Are you kidding me?
drax,What?
rocket,You never listen to anything!
gamora,None of you listens! Can we please just put the bickering on hold until after we survive the massive space battle?!
rocket,Whoa. Somebody woke up on the wrong side of the bed this morning.
quill,"Do not try to bro down with me right now, dude. I will fricking punch you in your fricking face."
rocket,Real nice! Resorting to violence.
quill,More incoming!
rocket,GOOD! I WANT TO KILL SOME GUYS!
gamora,You're not killing anyone. Those ships are all remotely piloted.
ayesha,"What is the delay, Admiral?"
admiral,"High Priestess, if we destroy their craft, we risk destroying the batteries. They're extraordinarily combustible and could, in turn, destroy the entire fleet."
ayesha,We have thousands of batteries and thousands of ships. Our concern is their slight against our people. We hired them and they steal from us? It is heresy of the highest order.
admiral,All command modules -
quill,What's the closest habitable planet?
gamora,It's called Berhert.
quill,How many jumps?
gamora,Only one. But the access point is 47 clicks away. And it's through that Quantum Asteroid Field over there.
drax,"Quill, to make it through that, you'd have to be the greatest pilot in the universe."
quill,Lucky for us -
rocket,I am.
rocket,What are you doing?!
quill,I've been flying this rig since I was ten years old.
rocket,I was cybernetically engineered to pilot a spacecraft!
quill,You were cybernetically engineered to be a douchebag.
gamora,Stop it!
rocket,"Quill, later on tonight you're gonna lay down in your bed and there's gonna be something squishy in your pillowcase and you're gonna be, like, `what's this?' and it's gonna be because I put a turd in there."
quill,"You put your turd in my bed, I shave you."
rocket,"Oh it won't be my turd, it will be Drax's."
drax,I have famously huge turds.
gamora,"We're about to die, and this is what we're discussing?"
drax,They raise havoc with the pipes. That's why I do all the plumbing. I take responsibility for my actions. Unlike some people...
quill,"Groot, he's right, you have to start aiming inside the box."
gamora,Stop it.
nebula,Idiots!
rocket,"Well, that's what you get when Quill flies."
gamora,There's still a Sovereign craft behind us!
quill,Our weapons are down!
gamora,Twenty clicks to the jump.
quill,Where's he going?
frightened pilot,"Come on, Zylak, you can do this."
drax,It's not ripe.
gamora,Fifteen clicks.
gamora,Ten clicks.
drax,"Die, spaceship."
frightened pilot,"You suck, Zylak."
gamora,Five clicks!
quill,Son-of-a-! They went around the field!
admiral,Someone destroyed all the ships.
ayesha,What?! WHO?!
rocket,What is that?!
quill,Doesn't matter! That's the jump point! GO! GO!
rocket,It's a guy.
gamora,Oh my God.
quill,"Groot, put on your seat belt!"
quill,Prepare for a really bad -
drax,Ow! Ow! Ow! Ow!
gamora,"Either one    of you could have gotten us through    that field, if you had flown with    what's between your ears instead of    what's between your legs! 27"
quill,"If what's between my legs had a hand on it, I guarantee I could have landed this ship."
gamora,"It's not funny, Peter. We almost died. Because of your arrogance."
quill, More like because he stoled Anulax batteries!
drax,They're called Harbulary batteries.
quill,"No, they're not!"
rocket,"You know why I did it, Star-Munch?"
quill,I'm not going to answer to `Star- Munch.'
rocket,I DID IT BECAUSE I WANTED TO.
quill,Dick.
rocket,What are we even talking about this for? We just had a little man save us by blowing up fifty ships!
drax,How little?
rocket,Like this.
gamora,A little one-inch man saved us? 28
rocket,"Well, if he got closer I'm sure he'd be much larger."
quill,"That's how eyes work, you stupid raccoon."
rocket,Don't call me a raccoon!
quill,"Oh, I'm sorry, I meant to say `trash panda.'"
rocket,Is that better?
drax,I don't know.
quill,It's worse.
rocket,YOU SON-OF-A-!!
nebula,Someone followed you through the jump point.
gamora,"I'm not a fool, Nebula."
nebula,You're a fool if you deprive yourself a hand in combat.
gamora,You'll attack me the moment I let you go. 29
nebula," No, I won't."
quill,You'd think an evil supervillain would learn how to properly lie.
drax,I bet it's the one-inch man!!
mysterious man,"After all these years, I've found you."
quill,Who the hell are you?
mysterious man,"I figured my rugged good looks would make that obvious. My name's Ego. And I'm your Dad, Peter."
stakar,"And I was like, Aleta, I love you, but you're crazy now, you always BEEN -"
yondu,Stakar.
stakar,Seems like this establishment is the wrong kind of disreputable.
yondu,Stakar...
stakar,"There are a hundred Ravager factions, Sneeper. You just lost the business of ninety-nine by serving one."
proprietor,"Please, sir! Sir!"
yondu,You all can go to hell! I don't care what you think of me!
stakar,Then why you following us for?!
yondu,`Cause you'll listen to what I got to say!
stakar,I don't got to listen to nothing! You betrayed the code! Ravagers don't deal in kids!
yondu,I didn't know what was going on -
stakar,"You didn't know `cause you didn't want to know, `cause it made you rich!"
yondu,I demand a seat at the table! I wear the flames same as you!
stakar,"You may dress like a Ravager but you won't hear no Horns of Freedom when you die, boy, and the Colors of Ogord will not flash over your grave!  32"
monstrous ravager,"First Quill betrays us and Yondu just lets him go, scot-free. Now he's getting all riled over nothing. We followed him `cause he was the one wasn't afraid to do what needed to be done. Seems like he's going soft."
kraglin,If he's so soft why you whispering for?
monstrous ravager,"You know I'm right, Kraglin."
tullk,"You best watch what you say about the Cap'n, Tay -"
retch,Who the hell is that?!
ayesha,"Yondu Udonta, I have a proposition for you."
quill,"Because I was a skinny kid who could squeeze into places adults couldn't, making thieving easier."
ego,I've been trying to track you down ever since.
drax,I thought Yondu was your father.
quill,What?
drax,You look exactly alike.
rocket,One's blue.
quill,He wasn't my father. Yondu was the guy who abducted me. He'd beat the crap out of me so I'd learn how to fight and he kept me in terror threatening to eat me.
ego,Eat you?! 34
quill,Yes.
ego,That son-of-a-bitch.
gamora,How'd you locate us now?
ego,"Even where I reside, out past the edge of what's known, we've heard tell of the man they call Star- Lord."
quill,Not buying it.
gamora,"Peter, we need to take a walk."
mantis,I am Mantis.
drax,What are you doing? 35
mantis,Smiling. I hear it is the thing to do to make people like you.
drax,Not if you do it like that.
mantis,Oh. I was raised alone on Ego's planet. I do not understand the intricacies of social interaction.
drax, Yes...
mantis,AHH!
drax,That's called a practical joke!
mantis,I liked it very much!
quill,"Give me a break! After all this time, and he just expects to be my Dad all of the sudden!"
gamora,I hear you. 36
quill,"I mean, this could be a trap - the Kree purists, the Ravagers, now the Sovereign - they all want us dead."
gamora,"I know, but -"
quill,But what?
gamora,What was that story you told me about Zardu Hasselfrau?
quill,Who?
gamora,The wonderful television-singer man. He had a magic boat.
quill,David Hasselhoff?
gamora,Right.
quill,"He had a talking car, not a magic -"
gamora,Why did it talk again?
quill,"Just to be a good friend, I guess."
gamora,"And as a child you carried his picture in your pocket, and you told the other children he was your father, but he was out of town --"
quill, Shooting Knight Rider or touring with his band in Germany. Why are you bringing this up now? I was drunk when I told you that.
gamora,I love that story. 37
quill,"I don't. It's just sad! I was so sad because I'd see the other kids off playing catch with their dads, and I wanted that, more than anything in the world."
gamora,"My point is, maybe this man is your Hasselhoff. I know it's a long shot. But I lost my father as a child. I'd give anything..."
nebula,You're leaving me with that fox?!
gamora,He's not a fox.
drax,What about your spool of songs?
quill,I have clones.
drax,What if the Sovereign come?
quill,There's no way for them to know they're here.
drax,I am uncertain about parting ways.
quill,You're like an old woman.
drax,Because I am wise?
rocket,"Hope daddy isn't as big of a dick as you, orphan boy."
quill,So what's your goal here? To get everyone to hate you? `Cause it's working.
quill,Can I ask you a personal question?
mantis,"Oh, no one has ever asked me a personal question!"
quill,"The antennae, what are they for?"
mantis,Their purpose?
drax,"Yes, Quill and I have a bet."
quill,You're not supposed to say that. 40
drax,"I say that if you are about to go through a doorway that is too low, your antennae will feel this, and stop you from being decapitated."
quill,Just making clear - if it's anything else - any other answer - I win?
mantis,They are not for feeling doorways.
drax, Damn. I just lost my entire life's savings.
quill,Three pairs of pants.
mantis,I think they have something to do with my empathic abilities.
gamora,What are - ?
mantis,If I touch someone I can feel their FEELINGS -
quill,You read minds?
mantis,No. Telepaths know thoughts. Empaths feel feelings. Emotions.
quill,"Yeah, I guess, yeah, I have sort of a general, unselfish love for everyone."
mantis,"No, romantic, sexual love."
quill,"No. No, I don't."
mantis,For her.
quill,No.
drax,"She just told everyone your deepest, darkest secret, Quill! HAHAHAHAHAHA!!!"
quill,"What the hell, dude? That's a total overreaction."
drax,DO ME! DO ME!
mantis,I have never felt such humor!
quill,You got to be kidding me.
gamora,Touch me. And the only thing you're going to feel is a broken jaw.
mantis,"I can also alter emotions, to some extent."
quill,Like what?
mantis,"If I touch someone who is sad I can ease them into contentment, for a short while. I can make a stubborn person compliant. But I mostly use it to help my Master sleep. He lies awake at night, thinking about his progeny."
drax,Do one of those on me!
mantis,Sleep.
gamora,Is that real?
quill,"It's kind of like someone put a baby's head on a big, muscular body, isn't it?"
tall ravager,There!
brahl,"Ain't so tough now without all your toys, are you?"
rocket,Crap.
yondu,"Hey there, rat."
rocket,"How's it going, you blue idiot?"
yondu,"Eh, not so bad. We got a pretty good gig. A golden gal with quite a high opinion of herself offered us a large sum to deliver you and your pals to her, so she can kill y'all."
nebula,Your friend. There's too many of them. They're going to kill him.
