Speaker,Dialogue
woman, Oough! Ahhh!
woman,What's going on? What's the matter? Who are you?
woman,Hey!
woman, Dade! Dade!
agent,Knock it down.
prosecutor,"The defendant, Dade Murphy, who calls himself ""Zero Cool"", has repeatedly committed criminal acts of a malicious nature. This defendant possesses a superior intelligence, which he uses to a destructive and antisocial end. His computer virus crashed one thousand five hundred and seven computer systems, including Wall Street trading systems, single handedly causing a seven point drop in the New York Stock Market."
judge,"Dade Murphy, I hereby fine your family forty-five thousand dollars..."
judge,"...and sentence you to probation, under which you are forbidden to own or operate a computer or touch tone telephone, until the day of your eighteenth birthday."
dade,"Yeah, mom?"
dade, I'm taking over a TV network.
norm,"Security, uh Norm, Norm speaking."
dade,"Norman? This is Mr. Eddie Vedder, from Accounting. I just had a power surge here at home that wiped out a file I was working on. Listen, I'm in big trouble, do you know anything about computers?"
norm,"Uhhmmm... uh gee, uh..."
dade,"Right, well my BLT drive on my computer just went AWOL, and I've got this big project due tomorrow for Mr. Kawasaki, and if I don't get it in, he's gonna ask me to commit Hari Kari..."
norm,Uhhh.. ahahaha...
dade,"Yeah, well, you know these Japanese management techniques.  Could you, uh, read me the number on the modem?"
norm,Uhhhmm...
dade,"It's a little boxy thing, Norm, with switches on it... lets my computer talk to the one there..."
commentator," ...so-called American Indians, Latinos and Blacks come from a genetically mediocre stock..."
dade,Yak yak yak. Get a job!
tv,"You are about to experience the awe and mystery, which reaches from the inner mind, to... The Outer Limits."
dade,Yesssss!
dade,Hey! What?
dade,"No, wait."
dade,Unbelievable. A hacker!
acid burn,SEZ LEAVE B 4 U R EXPUNGED
dade,"Yeah, okay ""Acid Burn"", that's enough."
i will,SWAT U LIKE THE FLY U R
i will,SNAP YOUR BACK LIKE A TOOTHPICK
you are,TERMINATED
dade,Shit on me!
dade,Mm-hmm.
dade,"Can this wait until both my eyes are open, please?"
dade,"Well, yeah, I just haven't found one as charming as you yet."
dade,"Right, mom. And I'm still a virgin!"
dade,Excuse me.
kid,"Yo, chill man, I'm talking to Venezuela."
dade,"Yeah, I'm sorry, I was just looking for the principal's office."
kid,"Sorry, I can't help you, okay?"
girl,Do you have your transfer forms?
girl,It's a relatively straightforward question.
girl,Do you speak English?
dade,"Sorry, you wanted...?"
girl,I wanted transfer forms.
girl,Thank you.
girl,Are you coming?
girl,"The gym is through there, and the cafeteria is through there."
dade,Great. Cool.  What's your name?
girl,Kate. Kate Libby.
kate,Here's your class.
dade,My... class. You mean I'm not in your class?
kate,"No, you're not in my class."
dade,Give me time!
guy,"Hey, you new?"
dade,Yeah.
guy,"Tell him about the pool, Kate."
dade,Pool?
kate,"Yeah, there's an Olympic size swimming pool up on the roof. Take the stairs over there."
dade,Yeah! Sure.
dade,Thanks!
geek,Hey! Hold the door!
kate,Oh my God! He found the pool.
teacher,"I'm Mr. Simpson. And I'm subbing for Ms. Bayliss who was arrested at the anti-fur rally. I know some of you kids got computers at home. But these are school property, people, and I don't want to see any gum stuck to 'em. Chapter 1. Designing graphical interface..."
kid,"So, um, what's your interest in Kate Libby, eh? Academic? Purely sexual?"
dade,Homicidal?
kid,"What's up, man? I'm the Phreak!"
phreak,The Phantom Phreak? The king of Nynex? I know you play the game.
joey,"Phreakphreakphreakphreakphreak, dudedudedudedudedudedude... I gotta..."
phreak," Joey, Joey..."
joey,What? whatwhatwhat?
phreak,"One more ""dude"" out of you and I'm gonna slap the shit outa you, okay? Now I'm trying to save you from yourself but you gotta stop letting your mama dress you, man! : Check it..."
joey," I need a handle, man. I don't have an identity until I have a handle."
phreak,"You know, you're right about that.  Check it, Friday."
joey,"Alright. How about the Master of Disaster, huh?"
phreak,"You're hopeless, man, utterly hopeless."
joey,Ultra Laser.  Doctor Doom!
cereal,"Check this out, each and every one of you. Compilation tape, of my own making. I call this the ""Greatest Zooks Album"". Featuring artists like, well I got some Hendrix on there, some Joplin, Mama Cass, Belushi... all great artists that asphyxiated on their own vomit!"
cereal,"Can't get this in stores, man, I made it!"
