Speaker,Dialogue
dana,"Check, check."
aaron,"Testing, testing. One, two, three."
dana,Thank you for taking the time to meet with us. We were hoping to have this chance before he is transferred to the new facility. Glass Hill is far less accommodating.
aaron,Well... That's why we're here.
dana,Do you mind if I record this?
dana,How long have you been working with him?
dana,Any progress?
dana,Any you agree with this diagnosis?
aaron,His response to your specific treatment has been effective?
aaron,So you're telling us that there is no similarity between the murderous maniac that made newspaper headlines in 1978 and the amenable patient of this institution?
aaron,I'd love to stand near him and get a sense of his awareness... Or lack of awareness.
aaron,"Michael. My name be Aaron. I've followed your case for years, and I still know very little about you. I want to know more about that night. About those involved."
ray,You see this? I switched from marshmallow fluff to peanut butter. We'll see if the little devil snatches it.
shanah,"I rescheduled my last session, so I'll be able to make it tonight."
allyson,You didn't have to do that. It's not that big of a deal.
ray,"Of course it is. You got into National Honor Society. It's a very big deal.  I was top of my shop class, made ashtrays and birdhouses."
shanah,And I'm looking forward to meeting Cameron.
ray,I know his father Lonnie and his uncle James. The entire Elam family has a... reputation.
shanah," Ray, c'mon."
ray,"What?! You know about his situation, right? It's a relevant factor. The whole household is--"
allyson," That's not fair, dad. Cameron isn't like that. He's a nice guy"
ray,I'm not saying he's not nice. It's just- You're too smart to go out with troublemakers and dip shits.
allyson,You're right.  Did you guys invite Grandmother like you said you would?
shanah,I did. Talked to her yesterday. She's not going to be able to make it.
allyson,Really?
shanah,She's agoraphobic. In serious need of cognitive... Um... behavioral-
allyson,Vicky's here. I gotta go.
allyson,My mom is a liar. She told me she invited my Grandmother tonight but she didn't.
vicky,How do you know?
allyson,She never even called her.
dave,That's bullshit.
vicky,What's your mom's deal? Why would she say that?
allyson,She just tries to keep me away from her. Says she turns into a nutcase this time of year.
vicky,"Your grandmother is Laurie Strode. If I were her I wouldn't celebrate either. I'd put up a Christmas tree instead. Just skip over all the spooky Halloween shit, right?"
dave," Jumping to Thanksgiving would make sense. Puritans, cornucopias, plagues, starvations, slaughtering the Indians. That stuff isn't creepy at all."
vicky,Does she ever talk around it?
allyson,Pretty much all she talks about. It defines her life. She's been in shock ever since. You should see her house.
vicky,Freaky.
dave,Wasn't it her brother that killed those baby-sitters?
allyson,No. I think people made up the bit about them being related because it made them feel better. Like it couldn't happen to anyone.
vicky,To have a bunch of your friends get slaughtered by some random crazy person... how awful.
dave,"Is it though? I just feel like the universe has way worse shit now. One dude just kills a few people, I don't know."
vicky,"Her grandmother is a bad ass and was almost fucking murdered, Dave!"
dave,And she escaped! And he was caught! He's like super incarcerated right now. It's not like the worst thing that has happened to a person. By today's standards.
vicky,"Shut up, Dave. Stop talking."
dave,I'm sorry. I sensed myself going on a rant and didn't know how to eject. Sorry.
vicky,"Yes, please."
allyson,Go for it.
dave,Wooooo! happy Halloween!
dana,What is it we're after?
aaron,To see the animal inside its environment. I fear there has been no rehabilitation. In this case it seems one monster created another. A victim locks herself away. Imprisoned by her own fear. Our goal is to get them in a room together. Can we find a form of rehabilitation if she faces him again?
dana,Here we are.
aaron,"Journalists don't pay for interviews, Dana. This is her fifteen minutes of fame. There are two people in this world that care about her and they're both in this car."
dana, She's financially unstable. Had every job you can think of for the last forty years from catering to cosmetology. Currently unemployed.
aaron,Yes. We're looking for Laurie Strode.
aaron,My name is Aaron Joseph Korey and- Um... We're working on a um... on a podcast.
dana, We're investigative journalists.
aaron,If you have a moment. We've travelled a long way to speak with you.
dana,How does three thousand dollars sound?
laurie,Sounds about right.
dana, Do you feel isolated?
laurie,I don't.
aaron,You tell yourself that you're protecting your family. That if he come for you again you've distanced yourself from everyone that you love.
dana,"Aaron and I have made several award winning public radio exposes. Our last project shed fresh light on a murder case from twenty years ago. We like to re-examine incidents with an unbiased lens. When people are willing to face a thing in a different light over time, new truths can sometimes emerge. I believe there is a lot to learn from the horror you experienced."
laurie,There's nothing to re-examine. Nothing to learn from something that happened forty years ago.
aaron,So is he real?
laurie,Who?
aaron,The Boogeyman. I've read you QUOATED-
laurie,You don't believe in The Boogeyman?
aaron,"I believe in Michael Myers, a deranged serial killer. But The Boogeyman?"
laurie,"Well, you should."
aaron,We have archival recordings of Dr. Loomis from after that horrific night. 16. AARON  His intellect was overcome with abstract and apocalyptic observations.
laurie,He just wanted Michael dead and no one would listen.
dana,Michael Myers is a human being that killed his sister when he was six years old. And then he came after you... We want to know why. We want a glimpse inside his mind. That's why your story be important.
laurie,My story?
aaron,Two failed marriages. A rocky family relationship with your daughter and grandaughter. Among other issues...
dana,Aaron!
laurie,It's interesting that Michael killed five people and he's a human being. I'm twice divorced and I'm a basket case.
aaron, My apologies.
laurie,"I have nothing but vague, very blemished memories of that night. The insight you're here for does not exist."
aaron,They're transferring him.
laurie,I know.   Tomorrow.
dana,He'll be locked away till the end of his days.
laurie,That's the idea.
aaron,Do you surrender any efforts of rehabilitation?
laurie,-Because everyone knows 40 years is when you typically turn the corner.
dana,Let's talk about when the state came to take your daughter away. She was twelve years old. They said you were unfit mother. How long until you regained custody?
laurie,I didn't. But I bet you know that.
aaron,Mrs Strode. We want you to sit down with him. Sit with Michael in a safe environment. He won't talk to anybody... But he might speak to you. Finally you can get the chance to say what you've always wanted to say to him. Come with us. Let us help you free yourself.
laurie,Time's up. I'll accept my payment.
cameron, Gottcha!
allyson,Cameron. Jesus.
cameron,"I got you, babe. Do you have everything for your costume tomorrow night? Bonnie and Clyde must roll as one."
allyson,I'm just thinking about tonight.
