Speaker,Dialogue
lee,"Hi, how are you?"
hannah, Sweetheart?
elliot, Mm-hm?
hannah, Holly and her friend made them.
elliot, They're fantastic.
hannah, Aren't they great?
elliot,Your sister is an unbelievable cook.
hannah, I know!  I know!
hannah, She has all the cooking talent.
elliot," No, she doesn't, either.  You've got tons as well."
hannah," Ohhh, but I've eaten five of these."
elliot," Holly, why don't you open your own restaurant?"
holly, April and I are going to do some catering!
hannah, What?  You're kidding!
holly," No, no, we decided!"
hannah,Perfect!
holly," we thought until an acting job comes through, we could just make some extra money, you know, doing a few private parties."
elliot, Great idea.
hannah, I know.
elliot, That's where your talent lies.
holly, I know.
holly, Could I speak to you privately?
hannah,"Oh, sure."
elliot, I'm her husband!  She tells me anything!
holly,"Hannah, I have to borrow some more money.  Don't get upset."
hannah," Mmm, I never get upset over that. Mmm?"
holly,"This is the last time, I promise. And I'm keeping strict accounts."
hannah,"Holly, please.  Don't insult me."
holly," Someday, I'll pay it all back."
hannah,I know.  H-how much do you need?
holly,Two thousand dollars.
hannah, Uh-huh.
holly," Hannah, I know it's a lot, but my friend April and I, we have this catering idea I think's going to be great."
holly," You admit that we're great cooks, right?"
hannah, Yeah.
holly, and some old debts I have outstanding.
hannah, Will you just tell me one thing?
holly, Okay.
hannah,Are we talking about cocaine again?
holly, I swear.  I swear.  We've already got some requests to do a few dinner parties.
holly,"I mean, obviously, I'm not going to be a caterer forever, you know.  We both still go to auditions. Something could turn up at any moment.  But the parties are at night, days are free, I can still take my acting class.  I haven't done drugs on a year."
lee,Mom and Dad are floating down memory lane again!
hannah," Aah... Hey, have you tried Holly and her friend's shrimp puffs?"
lee, I think they're fantastic.
hannah, You've outdone yourself.
holly," Oh, my God.  Thank you."
lee," I need an antihistamine.  Mom thinks she's feeling her asthma, and so..."
hannah, Ohh?
holly, Uh-oh.
holly," Yeah, Mom's Camille when she gets up in the morning."
lee, At least she isn't drinking.  Did you notice?
holly, Mm-hm.
hannah, Doesn't she look great in that new dress?
holly, Yeah.
lee, Yeah.
hannah,Don't you think she does?
holly,"She really does, though."
lee," Yeah, she knows it, too, 'cause she's flirting with all the men here."
holly, God.
hannah," Maybe when she's eighty, she'll stop straightening her garter belt when there's a guy around."
holly, I should get a garter belt.
lee, Yeah.
holly, Get a garter belt and flirt.
lee, Where are the antihistamines?
hannah,"Oh, I don-- Ask Elliot for that. Uh, he's got them somewhere."
lee, Okay.
holly, Frederick didn't come with her.
hannah, When does Frederick ever come with her?
holly, Tch.  He's such an angry...he's such a depressive.  I thought she was moving out!
hannah," Watch out, you guys.  Beep-beep!"
holly," Oh, your kids are so adorable."
children, Bye!  Bye!
holly," God, it gets so lonely on the holidays."
hannah," Oh, gosh.  Well, you know, that's why I invited Phil Gammage tonight."
holly," Oh, Hannah!"
hannah," It's, uh, you never know--"
holly, He's such a loser!
hannah,He's not a loser at all!
holly," Oh, he's such a loser!"
hannah, He's the headmaster of Daisy's school.
holly,"Oh, perfect!  He reminds me of Ichabod Crane.  Would you light those, please? He's-he's-he's not a dope addict or anything."
holly, Give me a break.
april, Am I interrupting...
april, ...any sister talk?
hannah, Mm-mm!
holly, Come in.
april,"Oh, good..."
hannah," Come in, come in."
april, ...because there are no interesting single men at this party!
hannah," Oh, listen..."
holly, I know.  It's terrible!
april," I mean, I've looked everywhere."
hannah," Maybe April would like Phil.  Phil Gammage, the tall guy in there by the piano."
april," Hm-mm.  Oh, yeah.  I met Phil."
hannah, Mmm?
april,He's the--He looks like Ichabod Crane?
april, I love that.  That's my type.
hannah, I can't believe it!
april," No, really, I really like him a lot."
holly," No, really, we mustn't get discouraged."
holly, Hannah will invite some men over who don't look like Ichabod Crane.
april, Mmm.
holly," Not this Thanksgiving, you know."
hannah, Here.  Be careful with those.
holly," Maybe at Christmas, New Year's.  If not this New Year's, maybe next New Year's."
holly, Ouch!
hannah, Oh!
elliot, Must be here someplace.
lee," Oh, you know, I, I love that book you lent me.  The Easter Parade? You were right.  It had very special meaning for me."
elliot,How's Frederick?  He didn't come.
lee," uh, sold a picture."
elliot," Oh, great."
lee,"Yeah, it was, it was one of his better drawings, a very beautiful nude study.  Actually, it was of me.  It's funny, you know, it's a funny feeling to know you're being hung naked in some stranger's living room."
lee,"Well, you can't tell it's me, although--  You're turning all red, Elliot."
elliot," Really?  So, so, what else?  Wh- what are you up to?"
lee," Oh, I don't know.  My unemployment checks are running out.  Um, I was thinking of taking some courses at Columbia with the last of my savings."
elliot,"Like, uh...?"
lee, I don't know exactly.
lee,"Uh, sociology, psychology maybe.  I always thought I might like to work with children."
lee,"Yeah, sure.  You know, uh, Frederick would really by grateful for a sale."
hannah," Hey, you guys?"
hannah, Dinner's ready.
lee," Oh, great."
hannah, You look so beautiful.
lee, Come on.
