Speaker,Dialogue
hannibal, Screenplay by David Mamet  From the Novel by Thomas Harris
mother,It's hotter inside than it is outside... with the air conditioning.
registrar,"Would you sign in here, please..?  You know, we're closing in half an..."
mother,I just came to drop off my payment....
registrar,...that'll just be a minute.
starling,S'hotter inside than it is outside...even with the air conditioning. 
drumgo,You nervous...?
starling,"Evone tells me:  I shoulda been in, fi, six, months ago.... thizz my first checkup."
drumgo,Gonna be fine.  You ask your momma.
starling,....I didn't realize I said it out loud.
drumgo,Said what?
starling,I'm an orphan.
drumgo,"Well, then, you're a lucky girl, cause that baby's gone to be your family.  ...I've got an appointment...."
drumgo,Waal...
drumgo,...what?
starling,Waal...
starling,"Give it up, Evelda."
starling,Give it up.
drumgo,"Hey, you know, I never thought of that..."
fbi type,What happened to the girl...?
starling,Sir:
krendler,I'm saying: ... and what's wrong with that.
krendler,"No, I don't get you..."
crawford,Starling...?
crawford,"I think that's... {HE STARTS TO RISE, AND THE MEETING BEGINS TO BREAK UP) Starling, I'm sure these gentlemen..."
crawford, ...how'd you let her get that close to you...?
krendler, She threw a punch at a man on the team.
crawford,That could be.
pazzi, ...would you be so kind...?
starling,"Yeah, sure."
guide," ....Of the Hannibal Lechter Case. Lechter is, as you know, still at large.  Here we see the implements used in his escape from Prison.  If you will turn to your course syllabus, Page...."
pazzi,....a lovely perfume...
starling,Glad you like it.
crawford, I don't think so...
woman, ..that you went into police work to control your rage....
psychiatrist,Tell me why...?
psychiatrist,Then tell me.
starling,....that's right.
starling,I don't think so.
psychiatrist,"Yes.  I think I do.  You used, to your mind, your most private fears."
starling,...no...
starling,...no.
starling,"Well, no... "
starling,Alcohol.  Where both its life-enhancing And its life destroying qualities...  ...not unlike some Hindu God...
foreign cop,Semper Fi.
starling,"Oh baby, oh baby...."
mapp,"Slap her wrist, they got her, chasing down the auction houses, drawings of Mr.Lechter, come up for sale."
brigham,Why's she chasing'em down...?
mapp,"Find out:  is he selling'em, he needs the money, o'r'izzey buying them, f'Old Times sake..."
brigham,Evelda Drumgo.
starling,That's what I should do.  Tell me why?
starling,"Hey, lost again."
pazzi,Thank you.
