Speaker,Dialogue
final draft,"February 17, 1989"
sonny, Daddy! I don't want you to go!
felicia," Your father has work to do, Sonny ... but he'll be home soon. And we'll all watch it together."
sonny,"You promise, Dad?"
storm,I promise.
sonny,"Daddy ...  Daddy, is E.T. gonna win?"
storm,He's got my vote.
felicia, I want you back early. Tonight's the night those little starlets are crawling all over town.
storm,Don't worry. I'll beat 'em off with a stick.
sonny,Daddy  What about my joke?
storm,Knock knock.
sonny,Who's there?
storm,Old lady.
sonny,Old lady who?
storm,I didn't know you could yodel.
felicia, Take my advice: Don't give up your day job.
storm, Karl ... wake up.
karl," I'm here, Mase. Where are you"
storm,On the Harbor ... south of Torrance. I got Calabrese right in my gunsights.
storm,"If I had a Sidewinder missile, I could save the taxpayers a lot of money."
limo," veers toward an upcoming exit ramp.  STORM  Here he goes. I'm shutting down the radio, partner."
storm's car," pulls up at a distance, deep in shadow."
on storm," Moving carefully onto the wharf, keeping to shadow, using cover."
storm,"Let's go, boys.     I'm missing the Oscars."
shack," One man crosses under the eave of the shack -- reaches up, SMASHES the single LIGHT BULB. The spot goes dark."
with storm," Seeing the doors open on both cars. A mature man, CALABRESE, and his stocky confederate, VITALE, step from the limo. TWO other MEN -- one wearing a stylish hat, the other bareheaded -- step from the wagon. They cross to the shadowed, shack area.  STORM  I know you, Calabrese. But who are these mystery guests?  The two Shadow Men are obscured by the shack and the position of Calabrese and Vitale."
storm," Starts his camera soundlessly whirring. He positions his high-tech directional mike, slipping on earphones."
calabrese,"-- Murder is a serious business, my friend. And an expensive one."
calabrese,Slowly ... slowly. Always with caution.
calabrese,All I'm counseling is a little patience. The man is public. He's in the paper every day.
on storm," He squints over the camera, straining to see with the naked eve Frustration"
vitale,We'll do it.
storm, Who are you? Get out of those shadows --
storm," ducks quickly back out of sight. As he does this, his earphone cord catches on something. yanking the phone off Storm's head. He cannot hear what the conspirators say next -- but the audience can."
conspirators," SHADOW MAN WITH HAT The job is a light plane ... a Lear P61. We want it to take off -- we don't want it to land.  Calabrese becomes aware of Mikey checking out the noise; he motions the conspirators to shut up, then signals Mikey to proceed. Mikey cocks his pistol, moves swiftly toward the line of containers."
storm, A quarter's a quarter.
calabrese,Mikey! Quit playing with yourself back there.  Mikey --
storm," bolts back up the wharf, toward his car."
trent," moves INTO FRAME beside Calabrese. The Bareheaded Shadow Man with him is Police Captain DAN HOLLAND  -- 21 years on the force, hard as nails. "
conspirators' pov," They see Vitale pull up, on foot, as Storm's CAR ROARS OFF into the darkness. Vitale seems close enough to pick out the license number."
trent," Whoever that sonofabitch is, I don't want him to get an hour older."
calabrese,"He won't, Mr. Assemblyman."
calabrese's limo," speeds up beside the conspirators. Calabrese gets in, the limo whips off down the wharf to pick up Vitale and take off after Storm."
dunne,Karl -- Storm on three.
karl,You throwing away dimes now?
storm,"This doesn't go out over the air, pal. For your ears only."
karl, What's going down?
storm,Calabrese. I just got his ass -- on candid camera.
karl,You're full of shit!
storm,"Him and his gorilla Vitale. I got film and audio on both of them, laying out a hit. Two other guys I couldn't make out, but I'm sure they'll come up on the film. This is a big one, Carlito. Our own academy award. You ready?"
karl, Shoot.
storm,"I want you to track down Morgensteen right now. If he's with that meter maid from Pico, crank her legs apart and pry him out of there."
karl,He ain't gonna be happy.
storm,"Screw his happiness. Tell him I want the lab open at six-thirty tomorrow morning. I want this film pushed to the max, and nobody but us to know about it. I know we got something here."
karl,You bringing it in tonight?
storm,I promised my kid I'd be home. I'll be at the lab before dawn.
storm,How ya doing?  Got any champagne?
counter man,Right next to the caviar.  There's some in the big cooler.
storm,You're not watching the Oscars?
counter man,The Oscars?    I hate the Oscars.
counter man,Who needs the goddam movies? I get it all in here every night.  Horror. Sex. Freaks. Violence. And I ain't gotta pay no four bucks.
storm, You got a phone back there?
counter man,Why ?
storm, Punch nine-one-one.
counter man,Sonsofbitches! You creeps ripped me off two weeks ago!
shotgun punk,Shut up.
counter man,"Take it, man.   Take my life's savings."
counter man,Where is a cop when you goddam need one?  I got half a mind to come out there and teach you sonofabitch --
shotgun punk,"Now you got half a mind, old man."
shotgun punk,"What are you grinning at, pindejo?"
storm,We ... ell ... there's only three of you and you only got one shot left.
storm, I know what you're thinking.    I have this big shotgun and all   you have is that little icepick.    Mine's bigger than yours. It's not    fair.
storm,Still not fair?
storm,"Don't wait for the blindfold, maricon."
storm,I just got these new glazer bullets. You know they're almost a buck a pop now?
storm,I know that voice.
storm,Wish I could sleep like that.
felicia,Maybe I can help you.
sonny,"Is that for me, Dad?"
storm,You faker.
sonny,E.T. lost.
storm,Who won?
sonny,I dunno.   Candy.
storm,Candy?
felicia, Mahatma Candy. He was a great man.
storm, You know why E.T. lost?
sonny,Why?
storm,Cause they only let grownups vote. If kids had voted --
