Speaker,Dialogue
jane,"It'll take a month to probate the will, Nell!  A month!  Even if Mother left you something, you won't get it in time to pay the rent.  So instead of complaining, you should be thanking Lou for getting you these two weeks to get Mother's things packed."
lou,You're still going to have to settle with your mother's landlord on the back rent.
nell,I'm not going to stay.  I'll get a job.  I'll get my own apartment.
jane,"Nell.  A job?  Two months and where is this job?  You have no degree, you've never worked --"
nell,-- I've never worked? --
jane,"You have no experience in the world... the regular world.  What would you put on a resume?  Now we all appreciate what you did for Mother.  Isn't that right, Lou?"
lou,Eleven years.  Long time.
jane,"That's why we've been talking. With me getting more time in Accessories, and Lou at the shop all day, we need somebody to take care of Richie, do a little cleaning and cooking.  And in return you can have the extra room."
richie,"Eleanor, help me!  I've got to pee!"
lou,"Richie, knock it off before I beat the crap out of you!"
jane,You're sure this is all of Mother's jewelry?  The lawyer said to make sure we took it to him...  He said there might be some antique pieces.  Have you seen anything?  Some of it might be valuable.
nell,"Hello?  Yes, this is Eleanor. -- Where?  Yes, it's right here."
malcolm,It's still an electric shock!
marrow,"Come on Malcolm, it's only seven ohms, it's nothing, it's like a joy buzzer!  And it's not about the pain, it's about the interference with concentration..."
malcolm,"Stop defending your science after the fact, Jim.  The department protocol for research is very clear about this, and you violated the rules.  I know, I know, I know that ""Fear and Performance"" is a big sexy idea, but as long as I'm chairman here you will need this department's endorsement to publish it, and right now I can't do that."
marrow,"Malcolm, this is essential work I'm doing.  Just think what my research can do for education. Elementary school classrooms near train tracks or airports, where loud noise is random; this helps to prove the need for sound insulation if the children are ever going to learn to read."
malcolm,And that will be a good place to end this study.
marrow,"No, Malcolm!  Individual performance is only part of it.  I know why baseball players choke for no reason, I know why violinists throw up with fear before every concert, and need to, to give a great performance, but what I want to know is, how fear works in a group..."
malcolm,"Not the way you've constructed your group, it's just not ethical!"
marrow,"But if the group knows it's being studied as a group, you contaminate the results.  The deception is minor."
malcolm,Are you working with her?
marrow,"Mary, I'll meet you outside."
malcolm,Why are you working with her? Mary Lambretta was thrown out of the department for trying to get a Ph.D. in psychic studies.
marrow,"And after she was thrown out, she needed a job."
malcolm,You don't believe in the paranormal.
marrow,"No, but she does, and that's all that matters."
malcolm,Does she know that's why you're using her?
marrow,No.
malcolm,"I, I just can't..."
marrow,"She needed a job, Malcolm.  And she's smart.  And she helps me."
malcolm,I have a bad feeling about what you're doing.
marrow,"This is the last chapter.  Please, please give me clearance.  It's for science."
malcolm,I'm gonna hate myself for this.
marrow,Thank you.
mary,I see a hostile man... he's .  The hostile man does not believe in Madame Velka.
mary,You know what he's really upset about?
marrow,What?
mary,"You're going to publish, he's going to perish... And why did you hire me for this?"
mary,It's for you.
marrow,"You hear the vibrations in the wire.  There's a magnetic pulse in the wires, you feel it.  I could test it."
mary,Test it.
marrow,"Yes, this is Doctor Marrow."
mary,How'd I know it was for you?
marrow," Yes... Mrs. Dudley, just leave the boxes inside, thank you.  See you soon.  Thank you."
mary,"Here's how they're organized. Groups of five, very different personalities: scored all over the Kiersey Temperament Sorter just like you asked for.  And they all score high on the insomnia charts."
marrow,Good.
mary,Her mother died two months ago. She says she really wants to do this.  I didn't know if it'd be taking advantage...
marrow, What a beautiful profile.  How do you feel about her?  What does your intuition say?
mary,I put my favorites on the top.
mary,What's this?  What's this... this picture?
marrow,That?  That's Hill House.
mary,This is where we're going?
marrow,"Yes.  It's perfect, isn't it?"
nell,Hello Baby...
nell,She's okay.  She woke up and she saw she was alone.
mother,"Say thank you, Spencer.  I was getting her something to drink.  She's been crying all day..."
nell,That's all right.
mother,"Of course you know, how many children do you have?"
nell,None.
mom,Then you're a teacher.  Nursery school.
nell,No.
mom,"You just... you seem like someone who takes care of children, lots of children."
nell,Maybe... maybe someday.  I'd like that.
nell,"They sent me directions and I've got a map, but it's kind of confusing.  Here... it's a place called Hill House?"
nell,What are you doing?
nell,Did I say something wrong to you?
nell,Oh!  You scared me.
nell,"Are you Mister Dudley, the caretaker?"
nell,I'm with Dr. Marrow's group.  I'm supposed to check in with Mrs. Dudley up at the house.  Is she here?
nell,Why do you need a chain like that?
nell,Is there something about the house?
nell,"Hello?  Hello?  Mrs. Dudley?  Mrs. Dudley, are you here?  Anybody?"
nell,Wow...
nell,Hello?  Hello?  Mrs. Dudley?
nell,Mrs. Dudley?
nell,Mrs. Dudley.
nell,"I'm Eleanor Vance, I'm with --"
nell,Hugh Crain.
nell,They're so beautiful.  Aren't they?
nell,"Well, I've never lived with beauty.  You must love working here."
nell,Why would we --
nell,Finally.
nell,Hello?
theo,"You may think I have a sickness about packing, but asking people to help me shlep the stuff I take with me everywhere is a cheap and exploitative way of making new friends.  My name's Theo."
nell,I'm Eleanor but everyone calls me Nell.  Eleanor Vance.  Nell.  I'm really glad you're here.  Really.
theo,"And what you're wearing, that's great, too."
