Speaker,Dialogue
little girl,Why did you do that?
little boy,Because you smell like dog poo.
little girl,Made.    Poo.
mom,"Honey, do you know why that little boy did those things? And said those things?"
mom,That little boy is doing those terrible things because he HAS A CRUSH ON YOU.
secretary,He's not asking you out because he's intimidated by your professional success and emotional maturity.
gigi,"So, Janine told me you're a real estate agent."
conor,Yeah. But don't worry - not one of the cheesy ones who puts his headshot on bus benches and grocery carts.
gigi,So just like on frisbees and notepads?
conor,You got it.
gigi,Much classier.
conor,My thoughts exactly.
gigi,I wonder why Janine never thought of introducing us before?
conor,"Yeah, I don't know, I ummm -"
waitress,You guys ready for another round?
conor,You want one more?
gigi,"Only if you do. But I mean, if you have to get going I totally ..."
conor,Umm.    OK.   Sure. One more.
gigi,"Well, Conor, I had a really nice time."
conor,Yeah.    It was really nice meeting you.
gigi,B-bye.
conor,"Hey, it's me...I just wanted you to know that I was thinking about you."
anna,"Conor, that's so nice.     Thank you."
ben,Do you want to go ahead?
anna,Hmm?
ben,Go ahead?   You've only got two things.
anna, Hold on.
ben,"Well, technically it's six. And I'm still mulling over a gum purchase. So..."
anna," Hey, let me call you right back."
emotionless cashier,Oh my word.
anna,Come on. Seriously. I just deposited money today. There's no way -
emotionless cashier,It's not that. Let me check something.
emotionless cashier,  Congratulations. You won.
anna,What?
emotionless cashier,"Our ""Sizzlin' Summer"" promotion.     You're our 1000th customer in June."
anna,Are you kidding?
emotionless cashier,Do I have that kind of manner? A joking manner?
anna,"I swear to god, this is the most exciting thing that's ever happened to me."
ben,Really?
anna,Is that sad?
ben,"No, it's - charming.     Congratulations."
anna,"Wait, no. I can't accept this. You were here first. I didn't win at all."
ben,"Yes, you did. Trust me - it's fate.      You were meant to have that cooler."
anna,Thank you SO MUCH.
alex,Hey.    How was the date?
conor,Fine.   You know.
alex,My cable's out.
conor,"You didn't hear the phone ring, did you?"
alex,Nope.
conor,"Shit. Anna gave me the ""I'll call you right back."""
alex,How long ago?
conor,22 minutes.
alex,"Sorry, dude."
conor,Do I call back?
alex,At 9:30 PM?    Genius.
conor,"It is genius. Because then I can say: ""In case you were going to call me back - don't - 'cause I'll be sleeping."""
alex,Sounds foolproof.
anna,Sorry.   What was I saying?
ben,I think you were telling me how you don't want to be like your mom and wake up and realize you didn't pursue your dreams.
anna,Was I? Little intense for grocery store chatter. Sorry.
ben,It's OK. I might even be able to help you out. There's a guy at my firm who has exclusively music clients.
anna,That would be - amazing.      What are you - like my savior?
ben,OK. Look.      I'm married.   I don't do this.
anna,Don't do what? Help struggling singers?
ben,Help hot Pilates instructing singers who happen to be very charming.
anna,Do you want to give me your card? That's legit. I bet you're allowed to do that.
ben,Right.   OK.   I guess that would be OK.
neil,"So, who was that?"
ben,A prospective client.
neil,Yeah right.
ben,I can talk to a woman Neil.        It doesn't have to be like that.
neil,"Hey, babe.    You here?"
