Speaker,Dialogue
revised second draft," Registered WGAW  November 17, 1987"
veronica,"What's your damage, Heather? You ruined my..."
heather mcnamara,"God, I'm so sure. Don't blame me, blame Heather. She told me to haul your ass into the caf pronto. Back me up, Heather."
heather duke,"Yeah, she really wants to talk to you."
veronica,"Okay, I'm going, I'm going. Jesus..."
veronica," Hello, Heather."
heather chandler,Veronica. Finally. Got a paper of Kurt Kelly's. I need you to forge a hot and horny but realistically low-key note in Kurt's handwriting and we'll slip it into Martha Dumptruck's lunch tray.
veronica,"Shit, Heather. I don't have anything against Martha Dunnstock."
heather chandler,"You don't have anything for her either. Come on, it'll be Very. The note'll give her shower nozzle masturbation material for weeks."
veronica,I'll think about it.
heather chandler, Don't think.
heather chandler,"Splendid. I'll dictate. Veronica needs something to write on. Heather, bend over."
heather chandler,How nice. Two assholes: no waiting.
heather chandler,"Heather Duke, back down."
heather chandler,"Dear Martha, you're so sweet.."
kurt,"It'd be so righteous to be in a Veronica Sawyer-Heather Chandler sandwich. Punch it in, Ram."
ram,Hell yes. I wanna set a Heather on my Johnson and just start spinning her like a fucking pinwheel.
earl,Shit. Right.
ram,Damn right right.
peter,"Come on people, let's give that leftover lunch money to people without lunches! Those tater tots you threw away today are a delicacy in Africa! They're Thanksgiving dinner!"
heather mcnamara," God, aren't they fed yet? Do they even have Thanksgiving in Africa?"
veronica," Oh sure, Pilgrims, Indians, tater tots; it's a real party continent."
heather chandler,Sawyer. Guess what today is?
veronica,Ouch....the lunchtime poll. So what's the question?
heather duke,"Yeah, so what's the question?"
heather chandler,"God-damn Heather, you were with me in Study Hall when I thought of it. Such a pillowcase."
heather duke, I forgot.
veronica,"Hey, this question wouldn't be that bizarro thing you were babbling about over the phone last......"
heather chandler,"Shut up, it is. I told Dennis if he gave me another topic that was political, I'd spew burrito chunks."
betty,Sorry Veronica.
veronica,Betty Finn. Gosh.....
veronica,I'm really sorry I couldn't make it to your birthday party last month.
betty,"That's okay. Your Mom said you had a big date. Heck, I'd probably skip my own birthday party for a date."
veronica,Don't say that.
betty,"Oh Ronnie, you have to look at what I dug up the other day."
veronica,I was talking with someone!
heather chandler,Color me impressed. I thought you grew out of Betty Finn.
courtney,Oh great. Here comes Heather.
courtney's friend,Shit.
heather chandler,"Hi Courtney. Love your blouse. Ooh, let me snare a tater."
courtney,Thanks. I just got it last night at the Limited. Totally blew my allowance.
heather chandler,"That's pretty very. Now check this out. You win five million dollars from Publishers Clearing House, but on the same day Ed McMahon gives you the check, aliens land on earth and say they're going to blow up the world in two days. What would you do?"
keith,That's easy. I'd just slide that wad over to my father. He's like one of the top brokers in the state.
veronica,"Wake up. In two days, Earth's going up like a Roman Candle. Crab Nebula City."
keith,"Man, in two days, my dad could double my money. Triple it."
courtney,"If I got that money, I'd give it all to the poor. Every cent."
veronica,You're beautiful.
peter,"Dennis, my man, run over to Mickey D.'s and get me a Big Mac and some fries."
dennis,But that's the Famine Fund money.
peter,"Hey, even Bob Geldof's got to eat. If it makes you feel better, bag the fries, and nab yourself an Apple Pie."
heather chandler,If you're going to openly be a bitch....
veronica," I'm sorry, it's just why can't we talk to different kinds of people?"
heather chandler,"Fuck me gently with a chainsaw. Do I look like Mother Theresa? If I did, I probably wouldn't mind talking to the Geek Squad."
rodney,Did you see that? Heather Number One looked right at us.
big cynic,It must be love.
veronica,Doesn't it bother you that everyone in the school thinks you're a pirahna?
heather chandler,"Like I give a shit. They all want me, as a friend or a fuck. I'm worshipped at Westerburg and I'm only a Junior."
veronica,Pretend you're a missionary saving a colony of cootie victims.
