Speaker,Dialogue
juliet,Mummy!
juliet,Mummy!
pauline,Mummy!
pauline, It's Mummy!
pauline, She's terribly hurt . . .
juliet, Somebody's got to help us!
miss stewart,Sit!
miss stewart,"Good morning, gels."
miss stewart,"Miss Waller . . . class . . . this is Juliet Hulme. Juliet is joining us from St. Margaret's, and prior to that she spent some time at Queenswood in the Hawkes Bay."
juliet,"I am actually from England, Miss Stewart."
miss stewart,"Of course . . . Juliet's father is Dr. Hulme, the Rector of the University."
miss stewart,"Juliet's travelled all over the world, and I'm sure she'll be very eager to share her impressions of exotic lands across the seas with the gels of 3A. I'll leave you to it, Miss Waller. Juliet."
juliet,"Excuse me, Miss Waller . . . you've made a mistake."
juliet,"""Je doutais qu'il vienne"" is in fact the spoken subjunctive."
juliet,"You should have written ""vint."""
juliet,"You don't have to apologise, Miss Waller. I found it frightfully difficult myself . . . until I got the hang of it."
juliet,"That s all right, Mrs. Collins. I'm sure I can manage without one."
juliet,St. George and the Dragon.
juliet,"Oh, I haven't gotten around to drawing her yet. I was going to pop her on a rock, but I seem to have run out room."
juliet,"Sorry! I don't know if you've noticed, Mrs. Collin but I've actually drawn St. George in the likeness of world's greatest tenor-Mario Lanza!"
pauline, I think your drawing's fantastic!
pauline, Hello!
pauline," Got an A, Mum!"
pauline," He's Italian, Dad! The world's greatest tenor!"
pauline,Stop it! You're spoiling it! Go away!
juliet,Can I have another look?
juliet,That's so impressive!
juliet, I've got scars . . . they're on my lungs.
juliet,"I was in bed for months during the war, ravaged by respiratory illness."
pauline,Osteomyelitus turns your bones to chalk. It took them two years to drain all the muck out.
juliet,Cheer up! All the best people have bad chests and bone diseases! It's all frightfully romantic!
juliet,"Hi, Paul!"
juliet,0www!
juliet,"The evil Prince Runnymeade is escaping! Get him, Paul!"
juliet,The blighter's gone to ground!
juliet,"God! Jonty! Jonty-stop it! Go away! We're not playing anymore . . . go on, bugger off!"
juliet,"0h, God . . . I'm so sorry!"
pauline, It doesn't matter.
juliet,Of course it matters! It's Mario!
juliet, Mother!
juliet,Jonty broke Paul's record!
juliet,We must buy her another one!
pauline,"No, thank you."
juliet,Which one shall we play?
juliet,Daddy can study while we're playing records!
juliet," Paul? Oh, God! Paul . . . are you all right?"
pauline, I think I'm dying . . .
juliet," Don't . . . please! Please, don't!"
juliet, Paul!!!
pauline,Urrrgh! You've been eating onions.
juliet,You toad!
pauline," ""There's a light in her eye, Though she may try to hide it, She cannot deny, There's a light in her eye."""
pauline,"& JULIET  ""Her face is a dream, like an angel I saw . . ."
pauline,"& JULIET  ""But all that my darling can scream . . ."""
pauline, I wish James would do a religious picture . . . he'd be perfect as Jesus!
juliet,Daddy says the Bible's a load of bunkum!
pauline,"But, we're all going to Heaven!"
juliet,"I'm not! I'm going to the Fourth World! It's like Heaven, only better because there aren't any Christians."
juliet,"It's an absolute Paradise of music, art and enjoyment."
juliet,James will be there . . . and Mario! Only they'll be saints.
pauline, Saint Mario!
juliet,To be known as He!
pauline,He . . .
juliet,Him.
pauline,Him . . .
juliet,This.
pauline,This . . .
juliet,That.
pauline,That . . .
pauline,It.
juliet,Absolutely not! Orson Welles! The most hideous man alive!
juliet,We give praise to . . . the saints!
pauline, I decided that my New Year's resolution is to be more lenient with others.
