Speaker,Dialogue
screenplay by, Dan Goldberg  and  Len Blum
the van," AUSTIN shuts the van's rear doors, and carries the two metal boxes into the house.  The titles stop rolling as we;"
austin,  Hmmmm ....
austin,  Uh - oh ....
space," With an explosion that rocks the universe, a huge chunk rips out of the green planet and shoots off into space, leaving thousands of glowing particles in its wake."
austin," Not noticing the silent image on the holograph, he quickly repairs the sparkling connection and returns to his other adjustments."
a forest," From the forest floor we see the green planetoid fly overhead, dropping balls.  We watch as it moves away and disappears beyond a far-off mountain range.  The forest rumbles as the planetoid crashes in the distance.  The camera then pans over to a forest patch, where a beautiful girl approaches, picking mushrooms."
the outlands," Flying quickly overtop futuristic villages, the camera heads further and further out into the less civilized sectors, where the rusting pipelines and crumbling utility stations of a past civilization have been overgrown by scrub-bush and weeds.  The camera zooms across this strange landscape toward the distant mountains where the huge planetoid fell.  Finally, from high above the foothills, we begin to come down.  In the hills below us, hundreds of blue humanoid barbarians are moving along, mesmerized, toward a pulsing green glow high in the mountaintops.  Suddenly the mountains begin to rumble."
the mountains," A strange, green, foamy liquid comes pouring down the mountains toward the barbarians."
elder, Silence!
elder," We are not a race of warriors. We are statesmen, and scientists. From our very beginning it was ordained that the warrior-race of Taarak the Defender would aid us in times of need. This was the Pact!"
elder, One of Taarak's blood can do much.
boy, Elder!  They are at the walls!
elder," It is Taarna, of the blood of Taarak the Defender - the last of the race.  And must be summoned as my forefathers summoned Taarak himself - from within!"
elder, A Taarakian has no choice.  They must answer.  It is in their blood.
boy, They are in the halls!  They are coming!!
elder, We will summon the Defender together.
elder,  Taarna ... Taarna ...
the door," As the boy begins to bar the door, it bursts open, flinging him aside.  Standing in the doorway, surrounded by his men, is the BARBARIAN LEADER.  With a laugh, he raises a Medieval-looking multiple cross-bow and fires a burst of arrows into the boy's chest, as the crazed troops rush in around him.  The chanting continues as we;"
the outlands," We look down over this uncivilized wilderness with only decaying pipelines and the occasional jagged rock structure breaking the barren uniformity of the land.  As the Council's distant chanting fades out, all is quiet.  Suddenly from behind us, we hear the sound of flapping wings and a huge rush of air.  Just above our heads, TAARNA THE DEFENDER comes flying in, sitting proudly in the saddle of a giant crimson bird."
taarna's face," She is beautiful, with dark eyes and wild red hair blowing behind her in the wind.  Below her, on the ground, she sees a humanoid running in terror, chased by an ugly, four-legged mutant creature.  Spurring her bird forward, TAARNA sweeps down over the ugly beast and lassoes it.  She then hoists the creature up into the air and, tossing her end of the rope over a tall jagged rock, she leaves the snarling beast hanging helplessly.  Flying down to the grateful humanoid, she dismounts.  As she approaches we see that he has a barbarian medallion on a chain around his neck."
humanoid, I owe you my life.  Let me repay you ...
austin grimaldi," He is still sitting on the floor, working on his machine. As the camera pulls closer, we see that AUSTIN is reaching deep inside the machineworks, trying to solder a small orange diode in place with an odd-style soldering iron.  The connection breaks, and the diode and some hot solder fall deeper into the machine and start smoking and sputtering.  As the smoke grows thicker, the machine starts to buzz loudly."
austin, Dammit!
bombardier,  Where the hell are we?
navigator," We're there Stepek, right on target ... Rabual dead ahead!"
bombardier," Gee!  Thanks for telling me, Holden.  I thought it was Cleveland."
the ground," Ackack guns blast shells skyward.  The gun blasts light up the palm tree background, causing momentary silhouettes."
bombardier," For Christ sake, hold her steady!"
the bellygunner, He can be seen from outside the plane as the shell flashes light up his turret.
bellygunner," Quit yer bitching Stepek, just drop 'em and let's get outta here!"
bombardier," Keep your shirts on guys, tonight I'm gonna hit something.  Left two degrees ... steady ... steady ..."
the bellygunner," The flak is severe, with electric blue flashes lighting up the fuselage interior."
bellygunner," Hey kid, how ya doing back there?"
the tailgunner," Tailgunner momentarily lit with a shell burst, he's scared shitless.  He looks nervously back behind the aircraft at the flak puffs behind the tail."
tailgunner," Gulp, ah ... I'm ah ... okay ... I think."
pilot,"  Button it up, we're almost there."
the bombardier," He is crouched over his bomb-sights, concentrating."
navigator,"  C'mon Stepek, there's the whole island of Rabaul down there, you can't miss!"
bombardier, Screw you ...
pilot, We took a hit ...
pilot, Shit.  Elkhorn just bought it.
bellygunner,"  We took one back here too. C'mon Stepek, blast 'em!"
bombardier,  Steady ... steady ... bombs away! Let's get the hell outta here!
the ground," We hear the shriek of descending bombs.  The explosions walk across the airfield, and in the light of the explosions we see devastation.  The last bomb hits a fuel dump, causing an enormous ball of fire."
bombardier,  Yahoo!  Bullseye!
pilot,"  Nice shooting Stepek, how are the rest of you guys?"
flight engineer,  Flight Engineer okay.
radio operator,  Radio okay.
navigator,  Navigator check.
bellygunner,  Belly okay.
tailgunner,  Ah ... tail okay ...
pilot, Bellson ... Lewis?
pilot," Kid, check the waist positions, see if they're okay."
tailgunner," Yeah ... will do, skipper."
pilot,  Let's go home.
crew,  Cheers and whoops.
tailgunner,"  Skipper, Bellson and Lewis are both dead."
pilot, Dammit!
bombardier,"  Well kid, now you got a real bombing mission under your belt."
the bombardier, He removes his oxygen mask and takes a long swig from a bottle.
bellygunner,"  Are ya sure he's dead, Skipper?"
pilot, He's dead.
bombardier,"  Oh I put my finger in a woodpecker's hole and the woodpecker said God bless my soul; take it out, take it out, take it out, remove it ..."
tailgunner,"  Hey Stepek, just shut up, okay?"
bombardier," Up yours kid, wassa matter, you don't like my voice?"
navigator,  Something's wrong!
the navigator, He is frantically tapping the compass.
pilot,"  You got a problem, Holden?"
bombardier,"  Naw, the kid's the one with the problem.  He don't like my voice!"
pilot,"  Button it up Stepek.  What's the problem, Holden?"
navigator," I must have a malfunction, my compass says we're heading north!"
pilot, He looks at his compass.
pilot, Mine says east.
navigator,"  Hey, can you guys see the rest of the squadron?"
bellygunner,"  Negative, there's too much cloud."
the cockpit," The dead co-pilot's pale face is momentarily electric blue, lit by the lightning flash.  We pan past him to the compass in the instrument panel.  It is spinning madly."
pilot, What the hell ...
pilot," Hey Holden, now my compass has gone crazy.  It's spinning like a son of a bitch!"
navigator,"  Mine too, we must have hit a magnetic field or something !!"
pilot,"  Christ, now they're all doing it!!"
bombardier,  You guys quit talking business? I'm trying to sing here!  Oh I put my finger in a woodpecker's ...
pilot,"  Can it Stepek, we got real problems."
bellygunner, Jesus!  Look at that!!
pilot,  Look at what ... look at what!!?
bellygunner," It's out there, just look at it ..."
pilot,"  For Christ sake, give us a position!"
bellygunner," It's about four o'clock, just below ... Holy Shit, it's coming right at us!"
pilot's pov, He has to push the dead co-pilot back to peer out the broken starboard window ... the number three prop is bent and windmilling wildly.  It has a strange green luminescence about it ... the whole machine shakes.
pilot, Damn.
pilot," We lost the goddamned prop ... Did it do any damage?  Kid, check the tail."
pilot, Come in kid ... kid are you okay?
pilot, Travis; go check the back.
bellygunner,"  Will do, skipper."
inside hatch, TRAVIS' turret opens and TRAVIS pulls himself up into the fuselage.
the pilot, The gauges are now settled except for the oil pressure to No. 2 engine.  The pressure drops.  The engine heat gauge climbs rapidly.  A red warning light begins to flash.
pilot,"  Goddamn it, now what?"
pilot," Gremlins!  Jesus, I must be getting tired."
the bellygunner," He looks in to the kid's reargun compartment.  All that is left of him is a tattered skeleton.  TRAVIS turns, horror frozen on his face.  Quick as a flash, from seemingly nowhere, something flies at him and grabs his throat.  The mask on his face falls off, and we get a split second look of abject horror as he falls out of frame."
pilot,"  Travis, what's goin' on back there?"
travis," His eyes are open but he is obviously dead.  Through his helmet headphone, we hear his name."
pilot," Holden, how far to base?"
navigator,"  Skip, with everything screwed up here, I'd, I'd guess about two hundred miles."
pilot," For Christ's sake, find us a place I can put her down!"
navigator," It's all ocean down there, skip!"
pilot," Mack, can you get us a radio fix?"
radio operator," Negative skip, too much interference."
the pilot, He is fighting the controls.
pilot, Shit!  I've gotta put her down!
bombardier, Hey Holden ... ya old stuff shirt ... ya wanna snort?
pilot,"  For God sakes Stepek, shut up!"
bombardier," Oh my God, there's ... there's ... ahh ... keep away ... keep away ... "
navigator,"  Stepek, you stupid sonovabitch, will you lay off the booze, you've got the D.T.'s ..."
stepek," He is losing his grip with one hand, but still desperately clinging on to a bunch of cables with the other.  Suddenly an ugly pincer cuts the cables and STEPEK is gone ... out into the night."
the plane," Suddenly the No. 2 engine begins to backfire, blasting back large gobs of orange flame.  The oil, heat and manifold gauges are off the dial and red lights frantically flash.  Desperately the PILOT looks out of the window.  Pieces begin flying off the engine.  The cowling disintegrates revealing the bare engine beneath.  Small figures are frantically busy ripping the engine to pieces."
the pilot, He is scared.
pilot," Holden, for God's sake get up here on the double."
navigator,"  What's the problem, skip?"
pilot, Just get up here!
navigator," What is it, skip?   JESUS H. CHRIST!"
pilot, Hold 'em off.  I'm taking her down.
the pilot," He is fighting the controls.  Creatures are now in the cockpit, plucking out the instruments.  The PILOT reaches to the throttle only to grab a creature that locks on to his gloved hand. Flying the plane with his good hand, he strikes and pummels at the attacking creatures with the other."
