Speaker,Dialogue
mordechai,Yes Mrs. Highsmith.
hammer,Happy Hanukkah Maccabee.
old woman,"Hammer, why don't you come eat by us for Shabat. My Miriam is all grown up now. God willing, you should settle down and marry."
hammer,"Thanks for the invite Mrs. Kleinman, but right now G dash d's the only one for me."
old woman,I can dig it.
hammer, Shabat Shalom!
shlomo,Give it back! Give me back my yarmulke!
hammer,Did you just take god's name in vain?
hammer,"Just about to leave, right?"
hammer,You alright?
shlomo,I guess. Sometimes I wonder why I even bother praying to one god.
hammer,"Hey, hey! Be proud of who you are. You're a bad, bold, big-nosed, biblical brother. You feelin' me?"
shlomo,Yeah. You're right.
hammer,Aveenooh Shalom Alechem little brother.
shlomo,Thanks Hammer.
hammer,Stay Jewish.
hammer,Happy Hanukkah Tikva.
tikva,Happy Hanukkah Morty.
hammer,"So, what's shakin' Yenta."
tikva,"Well, for stahters, your mother called. She said to remind you that you're having Shabat Dinner by her tomorrow, and also to remind you to bring the Manischewitz, and she wanted me to relate the following information to you."
hammer,"Okay, what's the information?"
tikva,She said to remind you that you're having Shabat dinner by her tomorrow and also to remind you to bring the Manischewitz.
hammer,Anything else?
tikva,"Yeah, I'm going to be out of the office from 1:30 to 3:00 on Sunday. I have a terrible yeast infection and I need to see my gynecologist."
hammer,But we're not open on Sundays.
tikva,I understand that. I just thought that you might want to know.
hammer, I'll be in my office.
damian,Ho. Ho. Ho.
santa claus,"Et tu, Blitzen?"
chief,Gentleman!
hall,Hey!
chief,"The time for action is now. We predict that the St. Nick Day Massacre will put Hanukkah-Christmas relations back at least a hundred years. With this meshuggena new Santa Claus in power, Hanukkah is in jeopardy. Our first order of business is to put into motion a plan to create goodwill towards the Jewish Community. Mr. Chairman of the Worldwide Jewish Media Conspiracy."
harvey weinstein,Yes Chief.
chief,"We need your people to crank out a couple more award winning documentaries on the Holocaust, possibly a new Adam Sandler movie."
adl chairman,Not another Adam Sandler movie!
harvey weinstein,What's wrong with Adam Sandler movies?
adl chairman,We're trying to create goodwill here. I just think...
harvey weinstein,"Frankly, I don't care what you think. I think you're a putz."
adl chairman, Don't defame me. I'm against that.
chief,"Focus people. Our next order of business is to assign an agent to track Santa's activities. Step in and use force if the situation calls for it. We need to put the toughest Jew we have on the case. Suggestions? Suggestions, anybody?"
chief,"C'mon, he made ET. We need someone tough people."
chief,He's in a wheelchair for crying out loud.
chief,Too old.
adl chairman,Joe Lieberman?
chief,Missing in action.
chief,He's a lawyer. We're looking for heros people.
harvey weinstein,David Copperfield?
chief,"What's he gonna do, make Santa disappear? Think people think. We need a hard hittin' Hebe on this one."
esther,What about Mordechai Jefferson Carver?
chief,"The Hebrew Hammer? No. No way. After the way he handled that situation in the West Bank? He's the only Jew in the world too extreme for the JDL. There's a reason why we kicked him out of our ranks, sweetheart. We need a man who can follow orders. A man with self-control. We need a man..."
council elder,...We need a man who can get the job done.
esther,"Daddy, he's our only hope. And you know it."
adl chairman,"Only problem is, ever since we kicked him out, he wants nothing to do with us. There's no way we can persuade him to come back."
esther,Perhaps I can persuade him.
esther,Mr. Jefferson Carver?
hammer,"Please, call me Mordechai."
esther,"Sorry I'm late. Traffic was a pisher, and I've been circling the block for the past half hour looking for parking. What are you listening to?"
esther,My name is Esther. Chief Bloomenbergensteinenthal from the Jewish Defense League desperately needs to speak with you.
hammer,How is old Chief Bloomenbergensteinenthal? Is he still shtooping every girl he can get his hands on?
esther," Actually, his days of marital infidelity have long since past. Now he just shtoops my mother exclusively."
hammer,Your mother? Oh. Whoops.
esther,"Mordechai, Santa Claus has been rubbed out by his son Damian. The man's a demon. There's no telling what this new anti semitic psycho Santa is capable of."
hammer,"I'm sorry to hear about Santa. He was a good friend, but my days..."
blonde bombshell,Mr. Hammer? I'd like to hire you to put a tail on my husband. I think my life might be in danger. I think he wants to kill me.
hammer,"Sorry Shiksa, I think you got the wrong office. I'm the Hebrew Hammer. Mike Hammer's down the hall."
blonde bombshell,Oh.
hammer,"Listen. Esther, you seem like a nice girl, so I'm only gonna say this once. I no longer affiliate myself with that organization. The politics there were brutal. Besides, I've already got a full case load."
esther,Why are you being so difficult? All my father wants is to just speak with...
hammer,"I hate to cut you short, but in an hour the sun goes down, and then it's officially the Sabbath. I can't work on the Sabbath. This is where we're going to have to part ways boobola."
esther,I'm not leaving your side until I get you to agree to come speak with my father.
hammer,"Be my guest. But I have to warn you, I'm going to my mother's for dinner tonight. And if you think I'm difficult, wait till you meet her."
esther," Before we leave, there's just one more thing. I noticed that the sign on your door says you're a certified circumcised dick. Would you mind if I asked to see your credentials?"
hammer,Shabat Shalom mama. I brought some Manischewitz. The black label.
esther,It's Esther.
hammer,"Oy vey, I'm stuffed."
esther,I don't think I could eat another latke if you paid me.
hammer,"Mom, I think we've had enough."
hammer,"Mom! Esther works for the JDL. They sent her to try and recruit me back to save Hanukkah for them. What she doesn't seem to understand is that nothing, not even god himself could convince me to ever work for them again."
esther,But Hanukkah's in dan...
hammer,"Not my problem. If you'll excuse me now, I need to use the bathroom."
esther,"He's...he's very nice.  But Mrs. Carver, the fate of Hanukkah rests solely in his hands. Please, you have to help me."
esther, What do you want me to do?
hammer,"Mom, where do you keep the plunger?"
esther,Deal.
hammer,"So, what did you two ladies discuss while I was gone."
esther,Thanks. That's...good to know.
hammer,"Mom, stop with this already. Of course I love you. You're my mother."
hammer,"Mom, I have a real job. I do good things for this community. I help people."
hammer, So don't show a picture.
hammer,"Oh. Oh, What. So, all of a sudden my saving Hanukkah's not good enough for you? Is that what your saying?"
hammer,"No. No. We're gonna argue. And you know what mom? I'm going to save Hanukkah just to spite you. And when my face is all over the television. When your friends are opening their Hanukkah gifts next year, don't mention it to them, okay? I wouldn't want you to have to show my picture."
hammer,"Mom, why don't you put that cat out of its misery?"
computerized voice,Jew Confirmation Test initiated.
hammer,You've gotta be kidding me. They're still doing this?
computerized voice,Please state your full Hebrew name.
hammer,Mordechai Baruch Netanyahoo.
computerized voice,Please state the six dishes found on the Passover Seder plate in alphabetical order?
hammer,"Beitzah, Charoset, Chazeret, Karpas, Maror, and Zeroa."
computerized voice,Please demonstrate musical aptitude.
hammer,Oooh. That's cold.
computerized voice,Circumcision confirmed.
hammer,"Hello? Can anybody hear me? I think this machine is broken or something. Hello?  This is ridiculous! I didn't even want to come here. I shlep all the way out to the middle of nowhere, for lord knows what purpose, and..."
chief,Come on. Come on.
chief,"Since you've been gone Hammer, some things have changed around here. Our agents are now subjected to a strict physical training regiment. Take a look."
hammer,"A minion practicing Jew-do, the deadly fighting art. Cool."
chief,There's more. Follow me.
hammer,"Alright. I'll, uh, keep doing that."
chief,"Sammy, if you'll excuse us, Mordechai and I have business to attend to."
chief,"Alright Mordechai, now that we're alone I just want to say that I'm not happy about this. I don't want a repeat of that incident in the West Bank."
hammer,I got the job done didn't I? I did what I had to do.
chief,"A settlement completely demolished, ten smashed army jeeps, four dead Arabs. G dash D damn it, Hammer! You think you're above the Ten Commandments? Just find Santa Claus and bring him back to us. No heroics, got it?"
hammer," Hey, it's your Bar Mitzvah. I'm just readin' the Torah portion."
chief,Well it's good to see that you can be so nonchalant about the whole thing.
hammer," I guess I could be chalant about it, but then again I'm not even sure if that's a word. Listen Chief, we could stand around arguing all day, but I gotta case to crack."
chief,What's your first move?
hammer,I'm gonna pay a visit to the K.L.F. See if they've got the 411 on Santa's location. I'll check in with you when I know more.
chief,You be careful Hammer.
hammer,"Okay. You guys have seriously got to stop with that stuff. That's a lot of pressure to put on one Jew. I'm only human you know. I'm already shvitzing about the whole thing. You know, believe it or not, I'm allowed to make mistakes, too. I can only do the best that I can do, and that's just gonna have to be good enough for all of you."
black teenager,"Hey, yo, we got ourselves a visitor."
black teenager,It's some pimped out Hebrew dude in a caddy.
mohammed,The Hebrew Hammer! My main Kike!
