Speaker,Dialogue
old matlin,Is he real? Oh yeah -- Absolutely.
old matlin,"I haven't talked about it for years, you know?  Everyone called me crazy..."
old matlin,But I have the negative.
old matlin,It all started back in 44. I was a Corps photographer aboard an allied submarine...
whitman,"-- Broom! Topside, now."
whitman,"The sooner we're done, the better."
broom,"This is an important mission, Sgt. Whitman. I hope you realize that."
whitman,"Oh -- you don't wanna know what I think. Topside, now."
broom,Sgt. Whitman!! Sgt. Whitman!! May I have a word??
whitman, What is it?
broom,"In private, if you don't mind..."
broom,Your men -- They'll need these --
whitman,You are a Catholic??
broom,"Amongst other things, yes -- but that's hardly the point."
whitman,Here. You'll need one of these.
broom,"I abhor violence.  Sergeant Whitman, I hope you don't think me mad --"
whitman,"Three days too late for that one, ""professor."""
whitman,You're wasting our time: There's nothing on this island but sheep and rocks.
broom,"Ruins. Not rocks. The remains of Trondham Abbey. Built on an intersection of Ley Lines, the boundaries between our world and the other --"
whitman," What a load of crap. Hell, a week ago I hadn't even heard the word parabnormal --"
broom,"""Paranormal""  But -- you read the transmission."
whitman,Half transmission. Nonsense -- German ghost stories!
broom,"I have seen ghosts, Whitman."
whitman,"Oh, I'll bet you have."
matlin,Sweet Jesus.
broom,They must be here for the sheep.
whitman,The freak in the gas mask --
broom,"Karl Ruprecht Kroenen, one of the Reich's top Scientists. Head of the Thule Occult Society."
broom,"If he's here, this is worse than I thought."
whitman, Air and sea backup. What's closest?
radio man,"Londonderry, sir. Forty minutes away."
broom,We don't have forty minutes.
grigory,"No matter what happens to me, you must carry on with the work."
ilsa,I will not leave you.
grigory,"Yes, you will... Leave me. Deny me."
ilsa,Never --
grigory,This will guide you back to me.
grigory,"I grant you everlasting life, youth and the power to serve me."
von krupt,It's time.
von krupt,"Five years of research and construction, Grigory. Five years!!"
von krupt,The furhrer doesn't look kindly on failure.
grigory,"There will be no failure, General. I promised Herr Hitler a miracle. I'll deliver one."
grigori,"Tonight, We will open a portal and awaken the OGDRU JAHAD: The seven Gods of chaos.  Our enemies will be destroyed. In an instant, all impurity in this world will be razed and from the ashes a new eden will arise."
grigory,"Ragnarok, Anung Ia Anung."
ilsa,More Power!! Don't let the level drop!!
whitman,"Listen to me, you moron: you do that again, I'll carve you a new --"
broom, Listen to me!!! The portal is open!!! We have to stop them!!!
ilsa,Grigory!
matlin,It's almost over!!
broom,No. It's not.
broom,Cordon off the area. Something came through.
whitman,From where??!!
matlin,Do you believe in hell?
broom,There is a place -- a dark place where evil slumbers and awaits to return. From there it infects our dreams. Our thoughts. Grigory gave us a glance tonight --
matlin,"Grigory -- That's Russian, right?  Thought they were on our side..."
broom,Grigory Yefimovich Rasputin --
matlin,C'mon -- Rasputin??
broom,"Spiritual advisor to the Romanovs.  In 1916, at a dinner in his honor, he was poisoned, shot, stabbed, clubbed, drowned and castrated."
matlin,That makes him more than a hundred --
matlin, What the hell was that? An ape?
broom,No. It was red. Bright red.
whitman,What are you two talking about??
matlin,A red ape.
broom,It's-not-an-ape --
matlin,It's got a big stone -- in its hand --
broom,I think that is its hand.
broom,Wait --
young soldier,Jesus! would'ya look at the size of that whammer!
broom,It's a boy. Just a baby boy.
old matlin,"and no one has ever seen it. They keep saying he's not real, but I want to set the record straight before I go."
old matlin,"Here. The real picture, not the retouched one in LIFE magazine.  Can I say it on TV? He called him --"
broom, HELLBOY.
manning,"With their conveniently blurry footage of their beloved ""Hellboy."" And they claim that he works for the FBI-?"
