Speaker,Dialogue
theodore,"To my Chris, I have been thinking about how I could possibly tell you how much you mean to me. I remember when I first started to fall in love with you like it was last night. Lying naked beside you in that tiny apartment, it suddenly hit me that I was part of this whole larger thing, just like our parents, and our parents' parents. Before that I was just living my life like I knew everything, and suddenly this bright light hit me and woke me up. That light was you."
theodore,"Hey, Paul."
paul,Even more mesmerizing stuff today.  Who knew you could rhyme so many words with the name Penelope? Badass.
theodore,"Thanks, Paul, but they're just letters.  Hey, that's a nice shirt."
paul," Oh, thank you. I just got it. It reminded me of someone suave."
theodore,"Well, now it reminds me of someone suave. Have a good night, Paul."
paul,Buh-bye.
theodore,Play melancholy song.
theodore,Check emails.
text voice,Email from Best Buy: Check out all your favorite new --
theodore,Delete.
text voice,"Email from Amy: Hey Theodore, Lewman's having a bunch of people over this weekend. Let's all go together. I miss you. I mean, not the sad, mopey you - the old, fun you. Let's get him out. Gimme a shout back. Love, Amy."
theodore,Respond later.
text voice,Email from Los Angeles Times weather. Your seven day forecast is partly--
theodore,Delete.
text voice,No new emails.
theodore,Next.
text voice,China/India merger headed for regulatory approval--
theodore,Next.
text voice,World trade deals stalled as talks break down betw--
theodore,Next.
text voice,Sexy daytime star Kimberly Ashford reveals provocative pregnancy photos.
catherine, Rabbit. Come spoon me.
theodore,Go to chat rooms. Standard search.
text voice,"The following are adult, female, can't sleep and want to have some fun."
theodore,Next.
theodore,Next.
sexykitten," Hi, I'm here alone, and I can't sleep. Who's out there to share this bed with me?"
theodore,"Send message. I'm in bed next to you. I'm glad you can't sleep, but even if you were, I'd have to wake you up from the inside. Send message."
text voice,SexyKitten has accepted invitation
sexykitten, BigGuy.
theodore,Hi.
sexykitten,Really?
theodore,"Well, studmuffin was already taken."
sexykitten, Yeah.
theodore,"So you're sexykitten, huh?"
sexykitten,"Mmm, well yeah. Hey, I'm half asleep. Do you wanna wake me up?"
theodore,Yes. Definitely. Um... are you wearing any underwear?
sexykitten,"No, never. I like to sleep with my ass pushed up against you. So I can rub myself into your crotch and wake you up with a hard on."
theodore,It worked.  And now my fingers are touching you all over your body.
sexykitten, Fuck me! Now! Please!
theodore,I'm taking you from behind.
sexykitten,Choke me with that dead cat!
theodore, What?
sexykitten, The dead cat next to the bed. Choke me with it!
theodore," Um, okay."
sexykitten,Tell me.
theodore,I'm choking you with the cat.
sexykitten,TELL ME! Keep telling me!
theodore,I've got it's tail and I'm choking you with the cat's tail.
sexykitten,"YEAH, YOU ARE! FUCK! TELL ME!"
theodore,I'm choking you and it's tail is around your neck. It's so tight around your neck.
sexykitten,YES! YES!
theodore,I'm pulling it. I'm pulling it. The cat's dead. It's a dead cat around your neck and I'm pulling it.
sexykitten,AHHHHHHHHHHHH. OH MY GOD!
theodore,Yeah. Me too.
sexykitten,"Okay, good night."
text voice,"Mr. Theodore Twombly, welcome to the world's first artificially intelligent operating system, OS ONE. We'd like to ask you a few basic questions before the operating system is initiated. This will help create an OS to best fit your needs."
theodore,Okay.
text voice,Are you social or anti-social?
theodore,"I haven't been social in awhile, really because..."
text voice,"In your voice, I sense hesitance. Would you agree with that?"
theodore,"Wow, was I sounding hesitant?"
text voice,Yes.
theodore,"Oh, sorry if I was sounding hesitant. I was just trying to be more accurate."
text voice,Would you like your OS to have a male or female voice?
theodore,Mmm... female I guess.
text voice,How would you describe your relationship with your mother?
theodore,"Uh, fine, I think, um... Well, actually, the thing I've always found frustrating about my mom is if I tell her something that's going on in my life, her reaction is usually about her, not--"
text voice,"Thank you, please wait as your individualized operating system is initiated."
theodore," Oh, hi."
