Speaker,Dialogue
ed gein,"You can't leave us, Henry. She needs both OF US--"
henry gein,Can you stop being a momma's boy for one second?
alfred hitchcock,Good evening.
alfred hitchcock,Mere Technicolor baubles.
lew wasserman,This thing is going to be gigantic. I wish I had twenty percent of the take.
reporter one,"Does tonight's incredible reaction surprise you, Mr. Hitchcock?"
alfred hitchcock,"No, when I was planning North by Northwest I could already hear the screams and laughter.  Any questions, my dear?"
reporter two,"Mr. Hitchcock, you've directed forty-six motion pictures. You host a hit TV show seen around the world. You're the most famous director in the history of the medium... but you're sixty years old. Shouldn't you just quit while you're ahead?"
alma,Muhammad had the eyes of peeping Toms gouged out with arrows.
alfred hitchcock,"Talking of arrows, did you read Mr. Weiler's review in the New York Times? Apparently, he found ""the climax"" to be -- and I quote -- ""overdrawn."""
alma,I doubt whether Mr. Weiler has had a climax in years.
alfred hitchcock,"And how about this little grenade?  And just to drive the nail into the coffin, there's a handy accompanying guide to the new masters of suspense."
alma,"Don't be maudlin, you know how much it aggravates me."
alfred hitchcock,"Tell me, dear. Am I really too old?"
alma,"Yes. A true relic. And lest we forget, a notably corpulent one."
alfred hitchcock,"You always know precisely where to plunge the dagger, don't you?"
alma,Right between the shoulder blades. I learned it from your pictures.
alfred hitchcock,Where are you off to?
alma,I'm seeing Whit for brunch after I drop you off at the studio. Why don't you join us?
alfred hitchcock,We've just established that I'm too corpulent to be seen in broad daylight.
alma,You'll feel better as soon as you find a project. Hasn't Peggy unearthed any decent books yet?
alfred hitchcock,Sleeping pills with dust jackets.
alma,Well?
alfred hitchcock,Very presentable.
alma,"Hurry up, darling. You're pruning."
first guard,Mr. Hitchcock. Mrs. Hitchcock.
alma,"There's a story out there waiting for you somewhere, Hitch. I promise."
omitted,"INT. HITCHCOCK'S OFFICE, PARAMOUNT - DAY"
peggy,Fox is offering you The Diary of Anne Frank for the third time.
alfred hitchcock,"The audience would spend the entire picture waiting for Miss Frank to discover the corpse I'd hidden in the attic. Wouldn't you agree, Silvio?"
silvio,Si.
peggy,"MGM wants you for the Ian Fleming book, Casino Royale, with Cary Grant. Definitely your style."
alfred hitchcock," Doesn't she know I just made that movie? It's called North by Northwest. And ""style"" is merely self-plagiarism."
peggy,I'll see what I can find.
whitfield cook,... Thank God I had a pocketful of pretzels. I was hiding in that props cupboard all night.  That'll teach me to use a bedroom set instead of the real thing.
alma,Serves you right.
whitfield cook,I can't believe he let me have you all to myself for a whole afternoon. Especially looking this beautiful.
alma,All this relentless sycophancy is giving me indigestion. 
whitfield cook,Elizabeth?  Over the moon since I promised her the dedication in my new novel. So what are you working on these days?
alma,Hitch is going out of his mind looking for his next project. You know how unbearable he is when he doesn't have something lined up.
whitfield cook,Almost as unbearable as when he does.
alma, Almost.
whitfield cook,I meant you. What are you working on?
alma,I'm satisfied spending time in my garden.
whitfield cook,That is one lucky garden.
alma,Ah. All is finally revealed.
whitfield cook,The most fun I ever had was working with you.
alma,I suppose I could give it a look.
alfred hitchcock,Anything. Anything at all?
peggy,Nothing suitable. Is that water or do I need to call Alma?
alfred hitchcock,Gin. Mother's ruin.
peggy,It sounds ghastly. Everyone in town's already passed.
alfred hitchcock,And who is everyone?
peggy,The story department finished the coverage this morning.
alfred hitchcock,"Is this the one based on Ed Gein, the serial killer?"
peggy,You're kidding.
alfred hitchcock,Peggy. This is the boy who dug up his own mother.
alma,Hungry?
alfred hitchcock,Famished.
alfred hitchcock,The book or Mr. Whitfield Cook?
alma,"This might be the one, Alfred."
alfred hitchcock,Leave it on the night stand.
alma,"There are calories in that, you know."
ed gein,"Aren't you cold, ma?"
alma,Oh God.
alfred hitchcock,Read the bit in the motel bathroom.
alma,Now?
alfred hitchcock,But what if someone really good made a horror movie?
alfred hitchcock,Just think of the shock value. Killing off your leading lady halfway through.
alma,"Actually, I think it's a huge mistake."
alfred hitchcock,"Peggy, I want you to summon your minions..."
peggy,Minions. Certainly. And who might they be...?
alfred hitchcock,"Get them started buying copies of ""Psycho."""
peggy,How many do you need?
alfred hitchcock,"All of them. I want every copy, nationwide. "
peggy,All that celery's affecting your brain.
alfred hitchcock,"That's exactly the point, my dear."
hitchcock,"That is my intention, madam. Yes."
alfred hitchcock,I only wish he looked more like William Holden and less like Elmer Fudd.
alfred hitchcock,"I was hoping everyone would. I mean life is deeply offensive and disgusting, isn't it?"
peggy,... How she deals with a demanding boss when she's trying to relax on her weekends off?
lew wasserman," I told you, Hitch. This thing's strictly for the drive-in crowd."
whitfield cook,"Now, if this were a Hitchcock picture what would two characters like us, married to other people, be saying?"
alma,"You don't have to pretend you're not upset he hasn't read it yet, you know."
whitfield cook,I'm a big boy. I can take it.
alma,"Well, I loved it. What terrific fun it must have been to research."
whitfield cook,Certainly more fun than reading those reviews. 
alfred hitchcock,I wonder how that could have happened.
lew wasserman,I've seen happier faces on a school bus going over a cliff.
peggy,I told you it would be too much.
alfred hitchcock,"But they can't stop looking, can they?"
alfred hitchcock,"Audiences want to be shocked, Barney. They want something different. And this is it."
barney balaban,"The truth is, Hitch, every time you want to do something ""different"" like The Wrong Man or Vertigo, someone loses money."
lew wasserman,So we should stop trying to give them something new?
barney balaban,"You owe Paramount one last picture, Hitch. Can't you do something like North by Northwest but for us this time instead of for MGM?"
alfred hitchcock," ""Psycho."""
barney balaban,No one respects the name Hitchcock more than Paramount. But even a talented man sometimes backs the wrong horse.
alfred hitchcock,"Are you telling me ""no?"""
barney balaban,"I think you know me better than that, Hitch. I would never say ""no"" to you."
lew wasserman,What a putz. You know what his family did before they built those movie palaces? Ran a grocery store.
alfred hitchcock,My father ran a grocery store.
lew wasserman,Exactly. That's what I'm saying. He should show some respect.
alfred hitchcock,"They think I've lost my touch, Lew. My association with television has cheapened me."
lew wasserman,Are you referring to that deal I got you where Bristol-Meyers pays you twenty-nine grand an episode and you own the negative? That's my kind of cheap.
alfred hitchcock,They just want the same thing over and over. They've put me in a coffin and now they're nailing down the lid.
lew wasserman,"Hitch, I will never let that happen."
alfred hitchcock,Eight hundred thousand... Give or take.
lew wasserman,I have whisky in the car.
alma,You're back early.
alfred hitchcock,What about him?
alma,He knows you well enough.
alfred hitchcock,Enjoy the pool now. We might not have it for that much longer.
alma,Why?
alfred hitchcock,Paramount refuses to finance the movie. Imagine -- The studio that brought you Martin and Lewis and The Greatest Show On Earth considers Psycho distasteful.
alma,Why not wait?
alfred hitchcock,"We're going to have to go it alone, old girl.  We'll finance the movie ourselves."
alma,Are we going to have to sell the entire house or just the pool?
alfred hitchcock,"Remember the fun we had when we started out and there was so little money and time? We took risks, we experimented. We invented new ways of making pictures because we had to."
lew wasserman,We finance it. Independently. Paramount only distributes it...in exchange for 40 percent of the profits.
barney balaban,"Interesting. But tell us, what exactly is Paramount distributing? Is this still a picture about a queer killing people in his mother's dress?"
lew wasserman,What this picture is about is the reputation of Alfred Hitchcock.
barney balaban,No-one's arguing that.
lew wasserman,"Barney, it's very simple. This is Mr. Hitchcock's next film. Are you in or are you out?"
barney balaban,"Well, obviously you have a lot of passion for this project. Let me talk it over with a few people internally and I'll get back to you."
lew wasserman,No. Now.
barney balaban,Fine. We'll take that deal. If you can get the money...
alfred hitchcock,"We've already got it, Barney."
alfred hitchcock,"If this picture fails, Alma, we'll be in for a long, humiliating bout of crow- eating."
alma,The movie will be splendid.
alfred hitchcock,Are you sure?
alma,Of the movie? Not in the least. But of you? Unquestionably.
joseph stefano,Joe Stefano. Good to meet you.
peggy,"I thought only director's assistants needed psychiatrists, not writers."
joseph stefano,"Do you see a shrink, Mr. Hitchcock?"
alfred hitchcock,No.
joseph stefano,The usual: sex. Rage. My mother.
accountant,There's still the federal income tax payments... the property taxes... Not to mention the absence of any salary while he's actually making the film...
alma,"Stop waffling, Donald. Give it to me straight."
accountant,"Hitch wasn't exaggerating. If the film's a flop, you're going to have to sell the house."
alma,Where do you suggest we cut?
accountant,Anywhere you can.
alfred hitchcock,I got Joe Stefano to write out the first few scenes. Why don't you take a look?
alma,We're about to have dinner. You don't need anything else.
alfred hitchcock,Well?
alma,Hire him.
alfred hitchcock,The only thing worse than a visit to the dentist is one to the censor.
alma,"Whatever you do, Alfred, don't lose your temper."
geoffrey shurlock,The Code will absolutely not permit you to show a knife penetrating a woman's flesh.
alfred hitchcock,"I assure you, Geoffrey, my murders, are always models of taste and discretion."
geoffrey shurlock,Is there any improper suggestion of nudity in this murder scene in the shower?
alfred hitchcock,She won't be nude. She'll be wearing a shower cap.
geoffrey shurlock,We might accept a shot from outside the bathroom window with Marion in silhouette above the shoulders -- provided the glass is frosted.
alfred hitchcock,It's completely necessary. Marion flushes evidence later found by her sister. It's a clue to the girl's disappearance.
geoffrey shurlock,"No American movie has ever found it ""necessary"" to show a toilet, let alone to flush it."
alfred hitchcock,Perhaps we ought to shoot the film in France and use a bidet instead?
geoffrey shurlock,"Mr. Hitchcock, if this office denies you a seal, and we're certainly heading in that direction, your movie will not be released in a single theater in this country. Will you be making jokes then?"
alfred hitchcock,"Everyone in Hollywood resents me. I make them millions... and yet every year I sit at those dreadful award show dinners, waiting for them to say, just once, ""You're good."""
analyst's voice,That must hurt.
alfred hitchcock,Deeply.
analyst's voice,Take your time.
alfred hitchcock,"It's just that, more and more lately, I've been having these... impulses."
analyst's voice,What kind of impulses?
alfred hitchcock,Strong ones.
alfred hitchcock,Send them all back to Glendale.
peggy,The Lazar Office tells me he's crazy to work with you.
alfred hitchcock,"Well, tell ""Swifty"" he shouldn't have overexposed his client on television."
alma,Unlike certain people we could mention.
peggy,"Why, Alma, you're not suggesting that Mr. Perkins is -- ?"
anthony perkins,I can't count how many times I've seen Strangers On a Train and Rope.
alfred hitchcock,"Well, Norman is the logical extension of the boys in those movies. Appealing, sensitive, suffering the terrible burden of being forced to pretend to be something he is not."
anthony perkins,My only worry is that playing Norman might cut too close to home.
alfred hitchcock,How so?
anthony perkins,"I was incredibly close to my mother. So close I remember wishing my father would drop dead. And then when I was five, he did just that...He keeled over from a heart attack.  You see I've been guilty my whole life, Mr. Hitchcock."
alfred hitchcock,Try to remember this is all just make believe.
anthony perkins,"Not to be prudish, but how far do you plan to push Norman's relationship with his mother?"
alfred hitchcock,Further than you can possibly imagine.
alfred hitchcock,I'm getting blisters just looking at you.
alma,Stop grumbling. A bit of fresh air and exercise is exactly what you need.
alfred hitchcock,"If I could get Grace Kelly to play the girl, they'd let me get away with anything."
alma,Well you can't. She's a princess now which makes her permanently unattainable.
alfred hitchcock,And all the more desirable.
alma,Lew suggested Deborah Kerr.
alfred hitchcock,Too... Scottish.
alma,What about Janet Leigh? She's always the `good girl' but she did awfully well in Touch of Evil. Lew mentioned her name. Do you remember how you always remarked on her figure at the Wassermans' parties?
alfred hitchcock,Of course the real secret of Mrs. Simpson's appeal to the Duke of Windsor was that she could make a toothpick feel like a cigar.
janet leigh,"You know, I've been so immersed in preparing to play Marion I'd almost forgotten how to laugh."
alfred hitchcock,"Now, you must try the banana shortcake."
janet leigh,"Nothing for me, thank you. I'm watching my figure."
alma,"You're not the only one.  We're fine, thank you."
alfred hitchcock,"Bring her the banana shortcake, George. In fact make it two large portions."
janet leigh,"I've written a complete history for her...It seems silly, but it helps me."
alfred hitchcock,It doesn't sound silly at all. Tell me one of her deepest secrets.
janet leigh,"She leads a double life. For instance, when she works at the Lowery office, she wears Tweed perfume. But, when she and Sam are together, she recklessly breaks out her one expensive bottle -- ""My Sin"" by Lanvin."
alma,You and the Shurlock Office.
janet leigh,It's just... I mean even if you shoot me from here --  -- well it's not as if my figure is boyish.
alfred hitchcock,Allow me to put your mind at rest.
alma,If you'll excuse me.
alma,"Oh, come off it, old girl."
alma,Hello Lillian.
alma,"Don't upset yourself, darling. It's only a bloody movie."
alma,I've made a list of places where we can tighten our belt.
alfred hitchcock,The gardeners only once a week and weekends off for the driver? No. Absolutely not. We'll find other places to cut.
alma,"There aren't any other places. And furthermore, they'll be no more shipments from Maxim's either. We can't afford it."
alfred hitchcock,But those geese are from Barstow not Marseilles.
alma,"We all have to make our little sacrifices for the greater good, don't we, Alfred?"
ed gein,Stay here. I'm going to get the knives.
dead woman,Help me.
alfred hitchcock,Ed! Ed!
alfred hitchcock,Ed... Ed...?
alma,"Oh, shut up. Just get the first take under your belt you'll be fine."
peggy,I still can't believe you cast Vera Miles as the sister.
alfred hitchcock,I've still got her under contract. I may as well get something out of it.
peggy,"Rather a thankless role, don't you think?"
