Speaker,Dialogue
arthur, What do you mean he's gone out to lunch? You just said he was still at breakfast!
prosser,"Come off it, Mr. Dent. You can't lie in front of the bulldozers forever."
arthur,I'm game. We'll see who rusts first.
prosser,This bypass has got to be built and it's going to be built. You should have made your protest months ago.
arthur,"The first I heard of it was when a workman came yesterday. I asked if he'd come to clean the windows, and he said he'd come to demolish the house. He didn't tell me right away of course. First he wiped a couple of windows and charged me twenty quid. Then he told me. "
prosser,Look. These plans have been on display at the planning office now for a year.
arthur,On display? I had to go down to a cellar!
prosser,That's the display department.
arthur,I eventually found them in the bottom of a locked filing cabinet in a disused lavatory with a sign on the door saying 'beware of the leopard'.
prosser,"Mr. Dent, have you any idea how much damage that bulldozer would suffer if I just let it roll straight over you?"
arthur,How much?
prosser,None at all.
arthur,Ford?
ford,Arthur! There you are. Here drink and eat with me. We need to talk.
arthur,"Er, um...now's not the best time, Ford They're going to demolish my home,"
ford,Whoa.   You already know? How?
arthur,But what about my house?
ford,C'mon. Let's go to the pub. He said they won't destroy your house until they've finished the beers.
arthur,Can we trust him?
ford,I'd trust him to the end of the Earth.
arthur,And how far's that?
ford,About twelve minutes away.
ford,Six pints of bitter. And quickly.      The world's about to end.
barman,"Oh yes, sir? Nice weather for it."
arthur,"Well, when does he get back from lunch? Or is he going straight out for tea?!"
ford,It's about to get a lot crappier.
barman,"There you are, six pints."
ford,Keep the change. You've got ten minutes to spend it.
arthur,Three? At lunchtime?
ford,Time is an illusion. Lunchtime doubly so.
arthur,Very deep. You should send that in to the Reader's Digest. They've got a page for people like you.
ford,Drink up.
arthur,Why three pints?
ford,Muscle relaxant.  And eat these. You'll need the salt.
arthur,What's going on. Ford?
ford,What would you say if I told you I wasn't really from Guilford but from a small planet somewhere in the vicinity of Eetelgeuse?
arthur,"Why, is it the sort of thing you're likely to say?"
ford,"Remember when we met? That car was racing toward me, I was trying to greet it, you pushed me out of the way?"
ford,Didn't you find it a little strange that I was trying to shake hands with a car?
arthur,I assumed you were drunk.
ford, I thought cars were the dominant life form. I was trying to introduce myself.
arthur,And that's why you're named after a discontinued car from the seventies?
ford, You saved my life that day.      Now I'm saving yours.
arthur,This must be Thursday. I never could get the hang of Thursdays.
ford,"Look, if it's about your house..."
