Speaker,Dialogue
written by, Paddy Chayefsky
shooting draft, 1971
narrator,"On Monday morning, a patient named Guernsey, male, middle-seventies was admitted to the hospital complaining of chest pains."
narrator,He had been referred by a nursing home where the doctor had diagnosed his condition as angina pectoris. Now it is axiomatic that nursing home doctors are always wrong.
narrator,"The intern who admitted Mr. Guernsey, however, accepted the diagnosis and prescribed morphine, a drug suitable for angina but not at all suitable for emphysema, which is, unfortunately, what the old man actually had. Within an hour..."
narrator,"...the patient became unresponsive and diaphoretic and was raced up to Intensive Care with an irregular pulse of 150, blood pressure 90 over 60, respiration rapid and shallow."
narrator,"The resident on duty now compounded the blunder by treating the old man for pulmonary edema. He gave him digitalis, diuretics and oxygen. This restored the old man's color..."
narrator,"...and he was sent back to his room in the Holly Pavilion, ruddy complected and peacefully asleep."
narrator,"In point of fact, the patient was in CO2 narcosis..."
narrator,...and died at seven-thirty that evening.
narrator,"I mention all this, only to explain how the bed in Room 806 became available."
narrator,"The intern involved was a prickly young buck named Schaefer who had a good thing going for him with a technician in the hematology lab. In the haphazard fashion of hospital romances, Dr. Schaefer had been zapping this girl on wheelchairs, stretchers, pantry shelves..."
narrator,"...in the kitchen, in the morgue, in the dark corners of corridors..."
narrator,"...standing up, sitting down -- so you can imagine what an available bed meant to him."
schaefer," Hey, Sheila, this is Howard, Sheila. Hey listen. I got us a bed for tonight. A real, honest-to-god bed."
sheila, I'll see you.
nurse perez,Doctor Schaefer...
nurse perez, Doctor Schaefer?
nurse perez,"Listen, did you know Doctor Schaefer was in Eight-O-Six, because he's dead?"
nurse perez,"I'm just telling you, Dr. Schaefer is dead."
nurse perez,"Look, I don't know what the hell this is all about, but Dr. Schaefer is in Room 806 with an I.V. running and he's dead. I didn't even know he was sick."
nurse perez,"Well, maybe I'm going crazy. I don't know. Isn't Room 806 the patient Guernsey? I mean, did something happen I don't know about?"
nurse perez,This is the nuttiest thing I ever saw. Dr. Schaefer's in Room 806 dead.
nurse perez,Our Dr. Schaefer. The one who's always grabbing everybody's ass.
nurse perez,"I mean, he's lying on the far bed, stone dead, and with an I.V. tube sticking out of him. And if you don't believe me, maybe you just ought to get up and look for yourself."
bock,"This is Dr. Bock... Yes, Mrs. Christie, what is it? It's all right, I'd be getting up in a few minutes anyway... I'm sorry I missed that. Would you say it again? Yes, I know him, Schaefer, the stud with the glasses, who fancies the nurses... I'm afraid I don't understand that, what do you mean? Was he sick? I mean, was he... uh, what was the cause of death? Was he being treated? I don't understand. What was he doing in the bed? You did say he... Look, Mrs. Christie, did you call the office? Good, well, I'll... No, no, it's all right. I'll be getting my wake-up call any minute anyway."
grumbling protesters, Two-four! Help the poor!
protester,We're the hope!
sundstrom,"So how's it going, Herb?"
bock, One of my interns dropped dead this morning.
sundstrom,Really? I'm sorry to hear that. I understand you've moved out to a hotel.
bock,Yes.
sundstrom,It got that bad with Phyllis?
bock,It's been that bad for twenty-four years. Are you going to be solicitous?
sundstrom,Yes.
bock,"Oh, God."
sundstrom,"Listen, Herb, I'm the guy who brought you into this hospital, so I think I can skip the diplomatic overtures. Marty stopped me in the hall yesterday, very upset. He had just had lunch with you and said you sounded suicidal. Marty tends to be extravagant, but he's not the only one. Jack Singer mentioned the other day you've been boozing it up a lot. And let's face it, you've been sloughing off. I understand you haven't even been doing rounds."
bock,I'm going to do rounds today.
sundstrom,"Herb, want a couple of days off?"
bock,No.
