Speaker,Dialogue
final draft,"May 5th, 2014"
snotlout,"Oh, I'm sorry, Fishlegs! Did you want that?"
fishlegs,"Snotlout! That's mine! Snotlout FALLS BACK toward RUFFNUT and TUFFNUT, who lag on their two-headed Zippleback, BARF & BELCH."
snotlout,"Here ya go, babe. With a chivalrous grin, Snotlout tosses the sheep to Ruffnut. She SNATCHES it with a sneer and a GRUMBLE."
ruffnut,"Come on, Barf. It's starting to stink around here. Barf starts to peel off, spewing gas. Tuffnut mocks Snotlout with a mugging grin."
tuffnut,"Nope. Still hates you. Let's blow this place, Belch! Belch ignites the gas, sparking a flashy explosion, and leaving Snotlout behind in the smoke. As they rush past the main bleachers, Ruffnut DROPS her sheep into one of five baskets suspended over a chasm at the lap crossing. Each backboard bears an image of its corresponding dragon. The Barf/Belch basket filled to the brim with sheep. Presiding over the game, STOICK turns to the frenzied crowd."
stoick,"That's nine for the Twins, Astrid lags with three, Fishlegs and Snotlout trail with NONE! Stoick eyes an empty basket at the far end, its backboard painted with an image of Toothless."
gobber,"Scared him off with the big talk, didn't ya, Stoick? WHACK! Snotlout, still smoldering from the blast, gets CLIPPED from behind. ASTRID, rolls in, astride STORMFLY -- spirited and competitive as ever, and beautiful despite herself."
astrid,"What are you doing, Snotlout?! They're going to win now!"
snotlout,"She's my princess! Whatever she wants, she gets."
astrid,Ruffnut?! Didn't she try to bury you alive?!
snotlout,"Only for a few hours! BACK TO THE RACERS, as they peel away, pouring on the speed.  HICCUP  We have custom stables... all-you- can-eat feeding stations... a full service dragon wash..."
stoick,"It's time, Gobber."
gobber,"Righty-ho!  Last lap! A HORN sounds. The racers all turn to each other, excited."
astrid,"The black sheep! Come on, Stormfly! We can still win this thing!"
ruffnut,"Come on, Barf!"
tuffnut,Let's go!
fishlegs,"Go, Meatlug! GOBBER loads the BLACK SHEEP onto a catapult."
gobber,This is your big moment. Have a nice flight!
astrid,"Up, up, up! In a flash, Fishlegs and Meatlug blur past, NABBING the sheep."
fishlegs,"Good job, Meatlug! Fishlegs tosses his captured prize to Ruffnut."
ruffnut,"Yeah! The Black Sheep! Snotlout sighs, frustrated."
astrid,You guys are fighting for Ruffnut?!
ruffnut,I'm totally winning!
fishlegs,"We're winning together! She RAMS BARF into Meatlug, sending Fishlegs into an uncontrolled SPIN. He SLAMS into Snotlout, sending their dragons TUMBLING head over tail. The crowd goes wild."
ruffnut,No one can stop me now!
tuffnut,"Except for me. We're attached, genius!"
stoick,"Get `em, Astrid!"
tuffnut ruffnut,"It's MY glory! No sheep, no You're always ruining glory! EVERYTHING! Astrid leaps off of Stormfly, runs up Belch's spindly neck, and PLUCKS the black sheep from the Twins' hands."
astrid,Gotcha!
ruffnut,Astrid!
stoick,Well played! Hahaha!  That's my future daughter-in-law!
snotlout,"Uh, excuse me."
astrid,Stormfly! Snotlout HURLS his hammer. Astrid ducks and rolls Stormfly out of the way. The hammer catches Fishlegs in the face with a CLANG. The crowd collectively winces.
stoick,"That's thirteen! Astrid takes the game! The crowd COMES UNHINGED. Astrid flies over the crowd, basking in her victory.  HICCUP  Yep. Berk is pretty much perfect. All of my hard work has paid off. And it's a good thing, too, because with Vikings on the backs of dragons, the world just got a whole lot bigger."
hiccup,"Yeah! They jackknife, heading skyward, rolling and tumbling through the ethereal cloud-scapes and joining high-flying Timberjacks as they soar in formation. Hiccup is bound head-to-toe in a snug, aerodynamic flight suit -- an asymmetrical, functional design of leather and articulated plates. It has an air of Viking bike leather."
hiccup,`Afternoon m'lady. Where have you been?
astrid,Winning races. What else? The real question is... where have YOU been?
hiccup,Avoiding my dad.
astrid,"Oh, no. What happened now?"
hiccup,"Oh, you're gonna love this. I wake up. The sun's shining. Terrible Terrors are singing on the rooftop. I saunter down to breakfast, thinking all is right with the world, and I get..."
