Speaker,Dialogue
unforgettable juggler,"Leonardo, che pazzo."
da vinci, Basta vapore.
apprentice two,"Maestro, che meraviglia!"
apprentice three,Lei e' proprio fantastico!
da vinci,"Lasciatemi, solo.  Solo!"
da vinci,L'ho fatto.
wise guard,We're losing our biggest celebrity today.
young guard,"You're kidding, Petey the Paint Thinner Killer is getting paroled?"
wise guard,"Not that slime, you Fizzhead. Hudson Hawk.  The last of the great cat burglars."
wise guard,"As a thief, Hawk was a poem. Iambic fucking pentameter.  You know, Crime used to have a little class.  A hundred reporters were here when he came in, now they're probably out covering some tired crack gang war..."
hawk,Remind me to fire my publicist.
young guard,"Darn, these are for L-block..."
young guard,- go back down to security and-
wise guard,"Guess this means, Hawk, you'll be able to let yourself back in..."
hawk,Never happen.  Bet.  Ten bucks.
hawk,"Oh, give this back to Petey in A block.  Tell him it was a sweet gift, but I think he got some wrong ideas about our friendship."
young guard,The Paint Thinner Killer did this?  I think you picked a good day to get out...
wise guard,Hope I lose the bet.  Have that cappuccino on me.
hawk, You got it.  A double.
antony,"Welcome back, buddy ol' pal. We've got a proposition..."
hawk,"Answer's no, not even if you bathe.  Cesar Mario, Antony Mario, how's the ""Family?""  Kill any monkeys lately?"
cesar,"How many times do I have to say it?  I didn't put the hit on Little Eddie... Never had anything against that kooky chimp.  I actually found him, ""endearing."""
hawk,"Sure.  Face down.  Two endearing shots to the back of the head. That's your mark, man.  What did Little Eddie ever do to..."
cesar,You're hitting Rutherford's Auction House.  Easy as my brother's wife.  Directions are in the bag.  Just open the seventh floor safe and take out the thingie...
hawk,Or you cut off my thingie. Directions even your brother would understand.
antony," Yeah, directions even I could understand."
cesar,"Hawk, you're a great thief.  Got set up, did some time, nothing to be ashamed of.  Don't give me a sonata about you always just really wanted to settle down, open a hardware Store and sell spatulas..."
hawk,"If the Mario brothers weren't Jersey's third largest family, I'd say kiss my ass.  But considering your status, I'll say slurp my butt."
cesar,"What's your favorite sport, Hawk?"
hawk,"Baseball, why?"
hawk,"I meant, ping pong.  Listen, I'd rather go back in than whore for you...  Oh, I need to borrow ten dollars."
hawk,Help?  Police?
cesar," You need some time to think. That's cool, but next time, I'm not going to say ""Please."""
hawk,I don't believe this.  I've been out forty seconds...
alex,That's the first thing I did. Smooch the ground and taste the freedom.  Sorry I was late.  Miss anything?
hawk," Your timing, and your shoes, are impeccable...  Good to see you, Alex, been having a lousy day."
alex,"Lousy day?  The man's getting out of prison and he's having a lousy day.  What, you missing out on the Cell Block Water Ballet pageant?  Believe me, it's overrated."
alex,"Where's the kiss?  No tongue this time, I promise."
hawk,Looks like you've been expanding your...
alex,"Don't say it, Hawkins.  I'm incredibly sensitive about my fucking figure."
hawk,"My next word was gonna be ""consciousness.""  Swear to God... tubby."
hawk,"That's your definition of ""Hard?"""
alex,"Show off.  Hey, boss tune.  ""Come Fly with Me."""
hawk,"Three minutes, 51 seconds."
alex,"Still do the puzzles, still know the running times of songs, and I'll bet you're still the best damn cat burg--"
hawk,Not anymore.  Now I'm the laziest damn cat burg--I'm going to take it so straight that I won't tape a Mets game without the expressed written consent of the National Baseball League.
alex,"Now that you're born again,what do you wanna do?  Statue of Liberty?  Entertain some ladies? Miss Saigon tix?  Seduce some women?  Play Nintendo?  Bone some chicks?"
hawk,"Come on, Alex, let's just get to Alex's.  Your bar's the only place that's going to cheer me. God, I'd kill for a damn cappuccino.  What the hell's a Nintendo?"
alex,"Oh man, you still got a thing for those unmasculine European coffees? Who's your buddy?"
hawk,"The man knows, the man knows!"
alex,"So Mr. Coffee, what went down outside the prison?"
hawk,"Oh, not much.  Mario Brothers want me to do a job."
alex,Those dago-guinea-I can say this shit I'm Italian-wop motherfu--
hawk,"Ah, had the perfect amount of foam.  Just get me to the bar... It's the one good thing in my life that'll never change...."
alex,"I didn't know how to tell you.  A couple brokers stopped in for Stoley Spritzers one night.  Next thing I know Fast Track Digest votes us ""Watering Hole of the Month.""  Now, I'm shopping for Aqua Salmon wallpaper."
hawk,"I read about these people in Newsweek.  Where's all the regulars, Crazy Jeff Cava, the Todd sisters, Indian Joe?  Where's Ed Kranepool's autograph?  Captain Bob's steering wheel?"
alex,"Hey, get this irritable guy a cappuccino.  I gotta go be a boss."
hawk,"This is Pizza?  Reindeer Goat cheese?  I admit, I've been known to go wild and order a Canadian Bacon in my time, but.."
hawk,Can you take a sunrise and sprinkle it with dew?
hawk,"The Candy Man can, Felix.  You know, I thought this was a country where you could do any stupid thing you wanted; drive to work naked, make love to a V.C.R. Guess I'm wrong.  Maybe that's why I became a serial arsonist."
gates,"Have a seat.  Good to see you, buddy ol' pal..."
hawk,"The pleasure's all yours, Officer Gates."
gates,Why do you show your parole officer such disrespect? Especially after I got you such a nice job.
hawk,What job?
gates,"The auction house, asshole.  One night's work and you're free like no ex-con's ever been.  No checking in with a shrink, no community service teaching retards how to play air hockey. It's a great deal, I can't lie."
hawk,"The only thing you can't do is get sex for free.  I know I was in prison for like basically the 80's, but, call me daffy, aren't you supposed to stop me from committing crimes.  You know, Book-em-Dano, Call-for-backup, Give-a-Hoot-Don't-Pollute."
gates,"You wouldn't be out if it wasn't for me!  I did dog and pony for you!  You think they would have let you out after what you did, you told the board members they looked like the Three Stooges..."
hawk,"How was I supposed to know they were women?  Besides one of them was bald and kept saying ""Soitinly."""
gates,Remember that guy in the cell next to you who hung himself?
hawk,Yes.
gates,Remember that shoe you lost...
hawk,"Uh, yeah.  Cut to the chase."
gates,One phone call and your shoe will become a piece of evidence and that suicide'll become a murder.
hawk,"What else do you got under there ... I don't want to be rude, but this is all pretty lame."
gates,"That's the beauty.  It's bullshit, but I can make it stick because I'm a good guy parole officer and you re a bad guy who's about to find out that there's a thin line between ex-con and escape con."
alex,"How is everything tonight, sir?"
gates,"Beat it, Alex.  You're a dinosaur."
hawk,"Alex, did you know this ape was going to be here..."
alex,Sure.  That's why his meatballs are made out of marinated Chuck Wagon.
gates, You're full of shit.
alex,"No, man, actually you are.  Just add water and it makes its own gravy.  Keeps your teeth healthy and your coat shiny."
alex,Hmmmm.....
hawk,"Yo Pandora, quit hummm-ing... look at this."
hawk,It's Captain Bob's steering wheel! Remember when the Captain.....
alex,"Hmmm, nasty little safe on the 7th."
hawk,"The safe's a Simpson 71.  Last time I played the game, Simpson"
alex,"Just means it'll take you an extra 31 seconds to seduce.  You re still the best, I know it."
hawk,"But you got three guards who... Shit, what am I doing?  Where's the want ads?  Gonna sell some spatulas."
alex,"Hey, I'm sorry, man.  I'm putting out a fire with kerosene."
hawk,This isn't funny.  I'm not into this.  I...
alex,There goes five seconds...My record's eighteen.
hawk,You're not...LISTENING!
hawk,"I'm sorr--Goddamn Mario Brothers. Goddamn Gates.  Goddamn Rutherford Auction House.  By the way, how many seconds?"
alex,Rutherford Auction... that name...
hawk,Alex!
alex,"Don't wet your diapers.  I'll have to change them.  ""Witchcraft."" What's the running time?"
hawk,"3:48.  I can't get you involved, man.  This is my sewage and...  God, you love all this, don't you, you bastard.  Haven't you ever heard of stamp collecting, or curling?"
alex,"I'm in.  Have you seen the public service announcements for Diabetes. We can ride horses, play LaCrosse, and knock off auction houses.  I got a plan.  You won't have to hail Cesar or Gates."
hawk,I'm a bum.
hawk,"Whoa, you better cut a bigger hole than that."
alex,"Hey, you promised......Don't worry, I'm wearing my girdle."
hawk,Cameras?
alex,No need.  Guards' station's right there.
alex,They record everything their video surveillance takes in...
hawk,"Yes, master-thief, I can see that. You said something about a plan..."
alex,"Am I boring you, smartass?  Watch. A little rewind and re-wire action and the Guards are going to be watching a rerun and miss out on our exciting episode."
alex,You got about five minutes and change.
alex,You know they invented something while you were inside.  Called a watch.
hawk,"""A mule is an animal with long funny ears."""
alex,"""He kicks up at anything he hears."
hawk,"""Or would you rather swing on a star, carry moonbeams home in a jar."""
alex,"swing on a star, carry moonbeams..."
hawk,"""Or would you rather be a fish?"""
big stan, Very funny.
hawk," ""A fish is annuh nan na nan na brook."
alex,"""He can't write his name or read a book.  To fool people is his only thought."""
hawk," ""And though he's slippery, he still gets caught."""
hawk,"""And all the monkeys aren't in the zoo."""
alex,"The song's over!  Come on! ""You could be swinging on a star."""
hawk,What am I doing here?  There are so many things I wanna do that aren't this.  Paint a lighthouse. Kiss a woman in Italy.
alex," ""You could be swinging on a star."""
hawk,Paint a woman in a lighthou--I don't want to steal a horse. Life is...
alex," ""You could be swinging on a star."" You couldn't have waited to see a psychiatrist.  No, you had..."
hawk,Let's go down the freight elevator.
alex,Keep those ideas coming.
alex,I'm not as unpleasantly plump as that Guard am I.
hawk,I can't even swim.
