Speaker,Dialogue
a hand,wraps around his throat. He is effortlessly hoisted by a TOWERING MAN with skin as cold and pale as alabaster.
the symbol,"searing into his skin. As he leans forward to grip his ankle, he cartwheels off the jet ski and viciously body-slams across the water."
blonde girl,"Daniel, what's wrong? Did you break your ankle? But as she turns him over, she sees the light leaking from between his fingers and reels back."
blonde girl,"Oh my God. He stares up into the crowd's fearful faces, then staggers to his feet and takes off running."
daniel,"Number 3 is dead. Henri's eyes narrow with urgency. He is immediately on his feet, he kneels at Daniel's side and studies the symbol on the teen's ankle. It has stopped glowing but is painfully raw. Directly below this fresh wound are"
henri,Did anybody else see this? OFF Daniel's panicked nod...
a gecko,"skitters across the ceiling, its glossy black eyes watch as Daniel frantically stuffs his clothes into a duffel bag. The walls are bare. No photos, no posters, no personality. Henri enters, holding a crate of computer cables."
henri,Taillights in five minutes. What we can't carry --
daniel,-- we burn. I know the drill.
henri,Time to go.
henri,Florida's clear. I sent a letter to the school and there's nothing in the papers.
daniel,"I didn't even get a chance to say goodbye. Henri keeps going, passes an envelope across the table."
henri,"New IDs. Daniel pulls out his birth certificate, reads the name."
daniel,"Just when I think you can't get any less original, you lower the bar."
henri,"I'm not interested in originality. I'm interested in untraceable. There are 335,321 John Smiths in the United States.  John looks at him, then abruptly gets up and storms away. Henri drops $20 on the table and calmly heads after him."
john,It's been so long since the last scar.
henri,You got lulled into a false sense of security. That's my fault. John struggles to keep his temper in check.
john,I liked Florida. I liked having friends. I liked feeling normal. Henri's face softens with paternal compassion.
henri,I wish that you could have a normal life -- but you can't. Only now does John turn and face him. His eyes blaze with frustration.
john,Then why fake it? Why not just go hole up in the wilderness.
henri,That's exactly what Number 3 did.
henri,It's from an African news site. A man and his son went missing two nights ago. The locals think they were taken by strange beasts. John understands the implication.
john,Piken.
henri,The Mogadorians are natural-born hunters. Blending in is our best protection.
john,So we just keep moving from town to town?
henri,Until I say otherwise -- yes. John waits as a TRUCKER passes through the room. His voice softens but never loses its intensity.
john,"I want to be from someplace, Henri."
henri,You are.
john,"Lorien's your home, I don't even remember it. John's tone rubs Henri the wrong way."
henri,"Like it or not, it's your home too. You have a responsibility to those who died."
john,"I want a say in where we live.  You already picked it, didn't you?"
henri,"Cheer up, you're going to be living in Paradise."
john,"She looks even perkier than the realtor in Florida. A warm smile graces her round face and she's clutching a fruit basket. For the record, she is called ANNIE."
henri,What's your name?
john,John Smith.
henri,"Where are you from, John?"
john,Arizona.
henri,Why did you move to Paradise?
john,Because you're an asshole. John waits for a reaction but doesn't get one...
john,Because my dad needs peace and quiet to research his book. Henri nods and smiles wryly.
