Speaker,Dialogue
gps system,Turn right up ahead.
jennifer,Hello?
jennifer,Hello?
jennifer,"It's fine, really. I'm Jennifer Hills. We spoke last week."
earl,"Oh, you're Miss Hills."
jennifer,Afraid not.
earl,"Alright, listen up 'cause it's a bit tricky."
jennifer,Well if I get lost I'll just ask for directions.
earl,"To who? Lady, the cabin is a real beaut, but heck if there ain't nothin' out there for a good country mile."
earl,"Not planning on throwing a party, are ya? The security deposit..."
jennifer,"No, no. I'm looking forward to the peace and quiet. I'm a novelist. I'm starting my next book."
earl,"Alright, well, if that's what you're aimin' for, just follow that there map."
johnny,Didn't mean to frighten you.
jennifer,"No, it's fine. I'm sort of lost anyway. Looking for Mockingbird Trail?"
johnny,You are definitely lost.
jennifer,Really? I thought--
johnny,"Nah, you sure missed it. It's a good ten miles back, left turn after the big red mailbox."
jennifer,"Oh, okay, I think I saw that."
johnny,"You, uh... staying at the cabin?"
andy,I'd sop that up with a biscuit real good.
jennifer,Uh... no. I mean yes.
johnny,"You know, you're running a little hot. Want me to uh... maybe I should check under your hood?"
jennifer,How's that line working for you?
johnny,"I don't know, how's it working for you?"
jennifer,Let me just...
johnny,I'll get that.
jennifer,No I got it--
johnny,I'm fine.
andy," Hey! You better check your underwear, Johnny."
stanley,Yea... Check um' for skidmarks... Johnny shoots him a harsh look.
jennifer,Sure you okay?
johnny,I said I was fine.
jennifer,Shit!
jennifer,"Ohhhhh... You gotta be kidding. She get up, looks at the red wine stain all over her lap, and picks up her things to heads in the cabin."
jennifer,"Eww! The spray only lasts a few seconds before sputtering out. However, then the toilet starts to GURGLE. Jennifer lifts the lid up with her foot. The toilet water bubbles up and then disappears down the drain."
matthew,P1... please! I... I came to fix the plumbing.
jennifer,Is this gonna take much longer?
matthew, N...not much.
jennifer,So what's wrong with it?
matthew,"Uh... it's just older pipes. Matthew continues his work, you can tell he is uncomfortable with the conversation."
jennifer,So do you live around here?
matthew,No...no one lives around here.
jennifer,"Yeah, I kind of get that. I meant in town? Matthew comes out from under the sink. He snaps nerviously at one of the rubber bands on his wrist."
matthew,"My... my whole life... Jennifer looks to his wrist. It's all red. Matthew turns on the faucet. Out comes a hard stream of cold, clear water. He flushes the toilet and then turns on the shower to the same result."
jennifer,"Thank you! Matthew blushes furiously and fumbles his tools as he packs up. For him, the kiss was more embarrassing than enjoyable."
stanley,Ground rule double.
stanley,Fine. Maybe a triple. But that's it. You got to knock the guts out its mouth to score a run.
andy,Would you turn that thing off? Gonna get us in trouble with that human society.
johnny,Humane you dipshit. Johnny site in a chair holding his fishing rod between his knees. A cigarette dangles from his mouth and a beer is perpetually glued to his hand.
andy,Whatever.
stanley,"I told you. This thing is going to make me a fortune. All you got to do is film something crazy, then you send it into the internet, make a killing."
andy,No one's gonna pay you for that crap.
stanley,"It's the hits, Andy. You just gotta get the hits."
johnny,"Hits my ass, now you two retards gonna fish or what? Matthew comes crashing out of the foliage, knocks over the cooler spilling ice and beer all over."
andy,Speaking of retards.
matthew,Q..Quit it Andy.
johnny,"Alright. Now we're all here, what's the big show, Stanley?"
stanely,The big show is this-- Stanley holds up the video camera like a trophy.
andy,Are you kidding me? That shit? What'd you do? Film yourself lighting a fart?
stanely,Better. Johnny just shakes his head.
stanley,I got Matthew's girlfriend in a private moment.
andy,What do you mean like on the toilet or something? Stanley pulls a tape out of his pocket and loads it.
stanley,"Not true, my friends. And the evidence is right here."
matthew,What are you ta... talking 'bout Stanley?
andy,"Yeah, what are you talking about?"
stanley,He had that babe from the city all alone and he didn't even try to nail her.
johnny,What babe from the city?
stanley,"You know, the one who stopped for gas the other day. The one who dumped you on your can. She had Matty here fixing her pipes."
johnny,Bullshit. Matthew snaps the rubber band more. Johnny turns quickly to him.
stanley,"She even gave him a kiss for ""servicing her."" Look, here's Matthew running from the cabin like a schoolgirl. They all gather around. POV CAMERA: Matthew runs from the cabin, dropping tools as he goes. Jennifer stands in the doorway calling after him. The camera goes closer on Jennifer -- The guys break up. Johnny is a bit more serious."
andy,"Now that's some fine camera work, even better than the time you filmed yo' self hangin' your nana's cat."
johnny,What's this about a kiss?
stanley,Matthew here says she gave him a kiss right on the cheek.
johnny,Bullshit.
matthew,"No, she did Johnny. She kissed me."
johnny,Don't lie to me dipshit.
