Speaker,Dialogue
frantic actress,I can't hear over this shhing.
tv critic,"...a play about guess what? That's right, young people."
handsome contemporary,I can't look.
matt,"Good idea, let's not."
handsome contemporary,How can we not listen to this?
matt,We'll know all we need to from the reaction.
handsome contemporary, He didn't like it?
director,Don't worry. He doesn't count. We'll just wait for the papers.
matt,"Hey, no matter what this review says, the play was a great experience for me."
matt," I mean, it is about process, right?"
handsome contemporary,"Matt's right. Good Lord, it is what we're alive for."
matt,You've just got to be tougher than this.
beth, Tougher than this?!?
director,"I took it all down over the phone. It's quite bad. And, unfortunately, it's very, very long. I've got a broken heart and writers' cramp. He..."
matt,He's nuts.
director,He savages everyone.
matt,I don't want to hear anymore. Let's dance.
director,"Except you, Matt."
handsome contemporary, You filthy bastard.
beth, What did he say?
matt,Don't read it.
other actor,"Oh, please. You can't wait to run out of here, buy a flashlight, and then go into some dark alley and drool over every word."
matt, You're wrong. I'm maybe relieved and curious. That's it.
beth, What did they say about him?
director, ...'in the midst of this delirium of pretension...'
matt,Don't. This divisive crap won't...
director," '...one actor, rather miraculously, manages to provide passion and, yes, truth. Matt Hobbs, in the supporting role of Jesus, manages to touch the heart long after you thought it numbed by boredom.'"
matt, Sorry.
beth,Will you get in here--for God's sake?
matt," Come on, Ma, how could I show up tonight when my union is boycotting the Emmys? Look, I have to hang up."
matt, I gotta go. Watch!
tv voice, ...and Matt Hobbs for 'Caine Mutiny Court Martial'... And the winner is Powers Boothe for 'Jonestown--Story of a Massacre.'
beth,Shit! Fuck! Shit!
matt,He was good.
beth," Shit! Shit! Shit! Fuck! Shit! Look, he even showed up."
matt,That took courage. I wonder if they send you something for just being nominated?
beth,Of all the pathetic questions.
matt, Why are you being so damn foul?
beth,"We've been going back and forth on our status for so long. I was hoping that if you won, it might mean something for us."
matt,"Look, Beth... the only..."
beth,Please go fast. I can't take you dragging it out.
matt, The only reason I haven't...
beth,I promised myself I wouldn't be so bossy. Take your time!! Was that bossy too?
matt, The only thing I have against getting married is that it might not be fair because I'm going to stay with acting forever and you know how erratic the money's been and there's no resolve...
beth,Do I get to vote? I'm going to tell you something I never told you before. Your feeling towards your work is one of the things I love most about you.
matt,Really?
beth,Maybe the most.
matt,"Hey, then we have no problem here. Marry me."
beth,"Stinker, I almost gave up on you."
matt,I was just worried whether I could make you happy.
matt," Everything's okay... Great... She's six or eight pounds even. Oh, God... Nothing like it. I'll tell you something amazing. They really reach right into her stomach and pull out this baby. It's not just a rumor. God. I understand the expression 'mind blowing' for the first time. It means something so wonderful happens that the top of your head comes off and your brain pops out. Part of it was terrifying, the baby was turned and they couldn't budge her. I kept looking at this one woman doctor's eyes. And when Jeannie finally came out, this doctor and I each wiped away a tear at the exact same time, caught ourselves doing it, and then laughed together at the same time. Nothing can prepare you for it. You know why you're alive."
matt,How you doing? What's wrong?
beth,My mother said you were flirting with the doctor during the delivery.
matt,"Could you get her, honey? I have that big reading tomorrow."
beth,"No, I have a lot to do tomorrow, too. I have to borrow on our Christmas Club, I have to..."
matt,"Don't worry about money anymore.  I didn't want to tell you, because it may sound a little strange when I say it out loud. You know me, I'm never that cocky. But I'm going to get 'Spider Woman'. It's me or Raul and I've never been so sure. It's weird, but I just know it. I do."
beth," Boy, am I reassured. What good news. Isn't that a load off?"
matt,"I am gonna get this part, Beth."
beth,I can't stand this anymore.
matt," YOU KNOW, YOU'RE NOT THE ONLY ONE WHO CAN SCREAM, I CAN SCREAM, TOO."
matt, You know what? I'm being a sort of gutless wonder here. I'm yelling back at you because I'm embarrassed. I won't be able to take the kid when I said... Why don't you listen for a second?
matt,"Beth, I know exactly how long it's been and I feel strange as hell not seeing her but this isn't a choice. I'm broke. It's the driest spell of my life. I'm not saying it's your problem, but it's no place for a six- year-old. What can I do? The only full-time job I seem to have is not showing how scared I am. What? No, that's not something I said before.  Well, thanks."
matt," Beth, Hey... hey. Never mind, I'll do it."
matt, I must get work. I will take anything. I must get work. I must not be embarrassed by these pep talks to myself...
older actress,Sure I'll tell you... Favor first... Do a nice middle-aged lady a favor... A fair trade... tell you what you want to know in return for a...  ...a pity fu...
singing actresses,...can't get on the elevator... can't get on the elevator... even if you make me... even if you make me. Do you get it?... do you get it?...
matt,"Hi... See, I did recognize you. You didn't have to wait for me."
cathy,"Well, I wanted to introduce you. As if knowing me would help."
cathy,It's a ridiculously awful movie.
matt,"Well, challenge. I wasn't sure you'd remember me... let alone help..."
cathy,Stop. You're good. I'm doing them a favor by getting you in.
matt,"Well, that's a fresh slant."
cathy,"Claire, this is Matt Hobbs."
claire,Hi. Sorry. We're running behind... Please forgive us.
claire, Matt Hobbs? Matt Hobbs!
martin,"This is Matt Hobbs... This is John Earl McAlpine, the director."
mcalpine,Good to see you.
martin,"...and Burke Adler, the producer."
burke,"So, what have you been doing with yourself...  ...the last few years?"
matt," I'm real bad at interviews, so, if you don't mind, I'd really prefer to just read first."
burke,That's the way you want to do it?
matt,Yes.
burke,Maybe we shouldn't even read. I'll just take your word that you're good.
burke,"No. I'm serious. There's all different ways. Did you know Woody Allen never reads actors? He just looks at them, feels around a little and then decides who he wants. That's his way. Doesn't hear them do a line. I also have a way. What I do is interview first-- then read--maybe do it all over again the next day. I call up people the actor has worked with--check him out. If he's famous, I do an opinion survey to test how much people like him. If he's not famous, I put him on tape and show it to everyone I can grab. I believe in screen tests; I believe in replacing if the dailies are bad, in cutting people out if the previews aren't there. Because I'm not doing movies for theaters where they serve cappucino in the lobby. I'm doing popcorn movies. You want to know what I like? Come to my house, look at my lamps... you won't find it in my movies. In my movies, you'll find out what I know. I know how to do detail. What I don't know, I discover. Yesterday we finished mixing a movie--the last scene is in a field of windmills which blows up and all the blades of these windmills slice through the air, one of which hits a four-story tank of propane gas. A humongous explosion scene. I kept on saying 'louder', and they finally said to me they couldn't go louder without distortion. We went louder. We had to discover a thing, a filter, but we went louder. I don't question doing these things. I do them. So if you want to know if it's okay to do it differently--not to talk--to just read first... I say...  Ask him--he's the director."
john earl,Whatever.
burke,"Okay, let's do it. Do you have any questions?"
matt,They only gave me these two pages. I'd like to give this my best shot. So if I could read the script and come back...
burke,This part works tomorrow.
matt,Oh. Who will I be reading with?
matt, Can I read from here?
burke,"I want you to do it wherever you're comfortable, but I'd prefer it if you were comfortable standing up."
john earl,Time for my buns to have visitors.
burke, Go ahead.
matt,Go ahead? The director left.
burke,"That's okay, he trusts me, uh... And we're just doing the first page."
martin," 'Okay, darling Harry, here it is... If someone were breaking up with me, I'd like it short and sweet. What about you?'"
matt, 'Incredibly drawn out...'
martin,"'I can't take care of you right now. What am I, your mother?'"
matt," 'Well, what am I? Your duck?'"
matt, 'We've been together two years and you act like all you're doing is blowing away some feathers. So what I'm asking...'
burke,You didn't do the quack.
matt,Huh?
burke,The stage direction says for him to quack.
matt,"I know, but why would he quack when someone's breaking up with him?"
burke,Hopefully because it's funny.
matt,This isn't a comedy.
burke,"Then we're in trouble, because they're already fall down laughing at the teaser-trailer in fifty-two hundred and thirty theaters."
matt,A comedy?  I think I have to make an adjustment here.
cathy," Hi. I just finished. I'll have my coverage right over. It's past derivative... it's photocopying. What a hoot! You're kidding, right? There is truly active bidding for this book? Really? 2.3 million? Okay, see you."
cathy,I had some problems.
