Speaker,Dialogue
director,"Hang on...let me open these up.... We wait as Stephen looks around. He looks at stage hands who are busy working. No one pays any attention to him as he stands there. This isn't awkward for Stephen, THIS IS ROUTINE. DIRECTOR  Okay..."
stephen,I will defend till my dying breath your right to worship whatever god you believe in...
director,"Okay got it, thanks."
stephen,Thanks. We'll need these monitors turned up a bit...it's a big space and he wants to be able to hear. STAGE MANAGER You got it.
stephen,Also we'll need these podiums put on a riser as we agreed to in the pre-conditions. You're a few inches short and it makes it harder for the Governor to read his notes.
stage manager,"No I know, we just got those specs last night and they're building a piece to go under..."
stephen,"Great, thanks. See you guys in a few hours."
ben,"I didn't know the Governor had trouble reading his notes. Why doesn't he wear... STEPHEN He doesn't but Pullman is 5'8"" he'll look like a hobbit behind that podium."
senator pullman,Would you call yourself a Christian? GOV. MORRIS How would that matter?
senator pullman," ""I have no idea what happens when we die, maybe nothing...maybe it was like before we were born."" You did write this Governor..."
senator pullman,Is that your idea of being specific?
senator pullman,I just wanted you to say out loud if you believed in the teachings of the Bible.
stephen,A double. PAUL Fucking national security. The GOVERNOR looks off stage to PAUL and STEPHEN for approval.
stephen,"Home run. We hear the announcer thanking everyone for attending the debate. TOM DUFFY - campaign manager of the rival Pullman Campaign - is also watching from the wings. Duffy's smooth, calculated and icy. He walks over to Stephen and Paul."
duffy,I'm trying to remember if the democrats ever nominated an atheist before...
paul,"Well, we know they've nominated jackasses before."
duffy, Must've been you that did the prep work. Paul's not that clever.
paul,"You always had the brains Duffy, but me - I always had the balls."
duffy, Looks like you got some brains now too. Be careful. I just might have to steal him from you. Duffy walks off to greet Senator Pullman as he makes his way to the wings. Paul and Stephen eye him as he goes. PAUL What a prick.
ida,"So Paul, tell me something I don't know...tell me what's gonna happen on the 15th. PAUL Ha-ha. IDA What?"
paul,What do you think Stevie? STEPHEN It's ours for the taking.
paul,Ben?
ben,We'll win.
paul,What do you think Ida?
ida,I'm asking you.
paul,You tell me and I'll tell you.
ida,"If had to say, I'd say it'll be close, but you'll eke it out."
paul,Eke?
ida,So what's gonna happen? PAUL Us by nine. IDA Nine? There's no way you'll win by nine.
stephen,At least. Maybe more. IDA  So you're certain you're gonna win here? PAUL Certain? No. Confident? Yes.
ida,"You just said you'll win by nine. PAUL And I think we will, but I won't tell you it's a sure thing. Fucking Saint Gabriel can blow his horn on election day and get his four horseman to rig the ballot boxes for Pullman and it wouldn't surprise me. Don't get me wrong. Six presidentials I've done and I've never felt this good. But am I gonna sit here and say ""Yes -we will definitely win Ohio""? Not a chance. In the last thirty years seventy-three Democrats have run for president. How many have won? Three. "
ida,So you're saying there's a good chance you won't win.
paul,"Don't twist my words. What I'm saying is that I'm not going to promise we'll win. But he's decorated by Bush Senior from the first Gulf war and protested the second. He left his state with a balanced budget and the fourth highest education rate. The Republicans have nobody out there that can touch this guy...so for this moment, this election, this primary is the presidential. And that Ida, is the state of the union. And on that note, I'm gonna take a shit. PAUL swigs down the rest of his drink and exits."
ida,So Stephen... STEPHEN Yes Ida?
ida,"Stephen, Stephen, Stephen...."
stephen,Here it comes...hit me.
ida,Paul's going to the airport? STEPHEN Yes? IDA Getting on a plane.
stephen,Mmhmm. IDA Where is that plane going?
stephen,Three guesses.
ida,Not going back to headquarters. STEPHEN Correct. IDA He's not going to Texas?
stephen,"No need, we'll split Texas, it's a wash. IDA What if I said North Carolina? STEPHEN That's your guess?"
ida,He's going to North Carolina.
stephen,I will neither confirm nor deny that statement.
ida,I knew it. Now tell me why.
stephen,That I cannot do. IDA I hate you.
stephen,You love me. IDA I love Paul. You I hate.
stephen,You only love him because he gives you all the scoops.
ida,Sexual favors?
stephen,You're engaged.
ida,If it meant a good scoop my fiance would understand.
stephen,Ida I'm not naive about this stuff. I've worked on more campaigns than most people do by the time they're forty...I'm telling you this is the one. IDA You really have drunk the kool-aid.
stephen,"I have drunk it it's delicious. I don't care whether he leads in the polls...I don't care whether he has all the tools...Because the truth is, he's the only one that's going to make a difference in peoples lives...Even the people that hate him. If Mike Morris is President it says more about us than it does about him. I don't give a fuck if he can win. He has to win."
ida,Or what? The world will fall apart? It won't matter...Not one bit to the everyday lives of everyday fuckers who work and eat and sleep and get up and go back to work again. If your boy wins...You get a job in the white house...If he loses you're back at a consulting firm on K Street...That's it. You used to know that before you got all goosebumpy about this guy. Morris is a politician...He's a nice guy...They're all nice guys. 
ida,What? PAUL Franklin Thompson. IDA Seriously?
paul,"Off the record. The only people who know are the Governor, Stephen and me. IDA My lips are sealed."
paul,I have a meeting tomorrow at Thompson's house.
ida,"He's gonna endorse? PAUL After I'm done talking with him, what do you think? IDA That's huge."
paul,It's more than huge. He has 356 pledged delegates...they all travel with him. That puts us over the top. IDA He's said publicly he's not gonna endorse anyone.
paul,That's what they all say until we get them alone in a room.
ida,So this is for real?
paul,Yup. It's just about in the bag.
ida,When are you gonna announce?
paul,Nope. That's all you get for now. CUT TO: EXT. MORRIS HEADQUARTERS - CINCINNATI - NEXT DAY
stephen,Fucking kill me...where did we get this?
editor,Before he announced at a town hall meeting in Pennsylvania...
stephen,Thank God it wasn't overseas. Just get rid of it -
editor,"It plays to his base, if-"
stephen,Are you fucking stoned...this is the same...the exact same piece the Republicans are gonna run against him in the general...we don't need to brag about it...Hi I'm Neville Chamberlain and I want to be your commander in chief. EDITOR If it's gonna come out-
stephen,It's gonna come out but not paid for by us pal.  Any truth on whether Pullman had investments in those diamond mines in Liberia?
staffer 1,We're still checking...it was a blog so who the fuck knows...
stephen,"Doesn't matter I want to hear him denying it. If it's true, find out, if it's not, let them spend the next day telling the post that he doesn't own a diamond mine in Liberia...win win."
staffer 1,Okay. STEPHEN We need to counter this Christian shit we're taking from last night...so get going...Where's our cut on the new thirty and a sixty second spots? We'll show it to him this afternoon in the staff meeting.
editor,Got it. The Editor and staffer exit.
