Speaker,Dialogue
willard huyck,AND GLORIA KATZ
lao,Dr. Jones.
indiana,Lao She.
lao,Nee chin lie how ma?
indiana,"Wah hung how, nee nah?  Wah hwey hung jing chee jah loo nee kao soo wah shu shu."
lao,"You never told me you spoke my language, Dr. Jones."
indiana,I don't like to show off.
lao,"For this special occasion, I ordered champagne and caviar."
lao,"So, it is true, Dr. Jones?  you found Nurhachi?"
indiana,"Sure, I found him.  Then last night I had a little trouble. Somebody tried to slit my throat."
lao,You have insulted my son.
indiana,Next time I'll cut off more than his finger.
lao,Dr. Jones -- I want Nurhachi.
indiana,As I recall the deal was consid- erably more.
willie, Aren't you going to introduce us?
lao,"This is Willie Scott.  And this is Indiana Jones, the famous archaeologist."
willie,Well -- I thought archaeologists were always funny little men searching for their mummies --  Aaahhh!
indiana,"Put the gun away, sonny."
indiana,Now I suggest you pay me what you promised -- or your girlfriend here is going to be squealing a new tune.
indiana,Try again Lao -- the deal was more.
willie,Look at this!  He put a hole in my dress from Paris!
lao,Sit down!
indiana,What's that?
lao,"A bonus, Dr. Jones.  That is poison.  You just drank the rest of it."
willie, This Nurhachi's a very small guy.
indiana,Inside are the remains of Nur- hachi -- the first Emperor of the Manchu Dynasty.
lao, At last I have the ashes of my sacred ancestor!
willie,"So, what's the big deal?  Let me see it --"
lao,You fool!
willie,"Ow, you're hurting me, you miser- able little hood!"
indiana,"Let go of her, Lao.  And give me the antidote."
willie," Hey, he's not a waiter..."
indiana,"No, Wu Han's an old friend I brought along.  So, the game's not over. Put the antidote on the table, Lao."
indiana,Wu Han  --  listen to me  --  I'm going to get you out of here.
wu han,"Not this time, my friend...  I followed you on many adventures -- but into the great Unknown Mystery, I go first, Indy..."
lao,"Don't be sad, Dr. Jones -- you will soon join him."
indiana,The antidote -- !
indiana,"Look out, damn it, I need that antidote!"
willie,Who cares?  Where's that diamond!
willie," Excuse me, but I believe that's my diamond!"
willie,Aw nuts!
short round,Wow!  Holy smoke!  Crash landing!
indiana,"Step on it, Short Round!"
short round,"Okey doke, Indy!  Hold onto your potatoes!"
willie,"For crying out loud, a kid's driv- ing the car?!"
indiana,"Relax, I've been giving him lessons."
willie,"Listen, we just met for crissake! I'm not that kind of gril!"
indiana,Don't get your hopes up -- where's the antidote?
willie,You don't look very good.
indiana,"Poison never agrees with me.  Pull a right, Short Round, and head for the Wang Poo bridge!"
short round,Check!  Gotcha!
willie,"Look at what you've done to me! I'm a mess!  My lipstick's smeared, I broke two nails, I've got an aw- ful run in my stocking -- !"
indiana,Somehow I think you've got bigger problems.
willie,What're we going to do?!  Where're we going?!
indiana,"The airport...No, look out, Short Round!  Left, left!"
indiana," You got the tickets, Short Round?"
short round,"Sure, Indy -- three tickets! You, me and Wu Han --"
indiana," Wu Han's not coming, Shorty."
short round,"Don't worry, Indy.  Short Round number one bodyguard now!"
willie,I'll take the extra ticket.  Where's this plane going anyway?
indiana,Siam.
willie,Siam?  But I'm not dressed for Siam...
weber,"No, no, they're all right! Let them through please."
indiana,"Thanks, Weber."
weber,"Dr. Jones, this is positively the last time our airline can hold a plane for you.  Now you must hurry!"
willie,"So, what're you supposed to be, a lion tamer?"
indiana,"Since I was nice enough to let you tag along, why don't you give your mouth a rest?  Okay, doll?"
willie,"I'm freezing.  What do you mean, tag along?  From the minute you walked into that nightclub, you haven't been able to keep your eyes off me."
indiana,Oh yeah?
short round,Lao send planes to kill Indy!
willie,Wake up!  It's the drug he drank to stop the poison --
willie,"You got to be kidding!  No!  No, I can't!"
kao kan, Jones!  Indiana Jones!
short round,"No, can't leave Indy!"
willie,"Give me that parachute, I changed my mind --"
short round,"No, this last one!  It's for Indy!"
indiana, We there yet?
willie,There's nobody flying the plane!
indiana,No.  Do you?
short round,"Come here, lady, hold this and shut up please!"
short round,I get it!
willie,You got it!
short round,Oh oh -- big mistake!
indiana," Short Round, what in the hell are you doing?"
willie,"Are you crazy, a lift raft?!  We're not sinking, we're crashing!"
indiana,"Get over here, damn it!  Short Round, come on, grab onto me tight!"
willie,Wait for me!
short round,Indy?
indiana,"Okay, Shorty."
willie,No... I'm not cut out for the kind of life you lead.  Oh no...I ripped my dress.  Where are we anyway?
indiana,India...
willie,Holy cow -- India?  How do you know we're in --
willie, What'd he say?
indiana,He told me they knew I was coming here.
willie,What do you mean -- how?
indiana,The old man saw it in a dream.
willie,Dream -- nightmare is more like it.
indiana,He said that's whey they were at river -- they were waiting for the plane to fall down.
willie, I hope this means we're going to get some dinner.
willie," They're starving, too..."
willie,"I'm sorry, I -- here, please."
chieftain,You will rest here before you go on.
indiana,We'd appreciate that.  This was an unexpected detour.  We'll have to go to Delhi now and find a flight west.
short round, Indy is taking me to America.
indiana,I'm a professor.  I have to re- turn to the university.  Can you give us a guide to take us to Delhi?
chieftain,Sanju will guide you.
indiana,Thank you.
shaman,"On the way to Delhi, you will stop at Pankot."
indiana, Pankot isn't on the way to Delhi.
shaman,You will go to palace there.
indiana,Hasn't the Pankot palace been de- serted since the Mutiny of 1857?
shaman, No. Now there is new Maharajah -- and palace is powerful again.
indiana,I don't understand.  What's hap- pened here?
shaman,"The evil starts in Pankot.  Then like monsoon, it moves darkness over all country."
indiana,What evil?
shaman,They came from Palace and took sivalinga from out village.
willie,Took what?
indiana,It's a sacred stone in a shine that's supposed to protect a village.
shaman,It is why Krishna brought you here.
indiana, Nobody brought us here.  Our plane crashed.  We were shot down by --
shaman, No.  We pray to Krishna to help us find the stone.  It was Krishna who made you fall from sky -- so you can got to Pankot Palace.  To find siva- linga -- and bring back to us.
short round,"Indy, they make out plane crash? To get you here?"
indiana,"It's just superstition, Shorty. Like a ghost story."
chieftain,Yes.
indiana,Was the stone very smooth?  It was probably brought here from a sacred river.
shaman, Long ago -- before my father's father.
indiana,And it had three lines painted across it?  The lines represent the three levels of the universe.  I've seen stones like the one you lost.
willie,I don't understand how losing one rock could destroy this village.  Is it really powerful?
indiana,But why would the Maharajah take this sacred stone?
shaman,They say we must pray to their evil god.  We say we will not.
indiana, He says that when the sacred stone was taken the village wells dried up first and then the river stopped.
indiana, He says their crops dies and then the animals died.
indiana, And then they took their children.
willie,Their children?
indiana," He says one night there was a fire in the fields.  The men went to fight it.  When they came back, they heard the women crying in the darkness.  And the children were gone."
shaman,You will find them when you find sivlalinga.
indiana,"I'm sorry, I don't know how I can help you here."
chieftain,They do not listen.
indiana,I have friends in Delhi and I will make sure they investigate this...
shaman,"No, you will got to Pankot..."
willie,What'd he say now?
indiana,It was destined that I came here -- and the future cannot be changed...
little boy,Sankara...
indiana,Sankara...
indiana,"Damn it , Willie, get on -- we've got to move out!"
willie,Whoa!  Easy now -- nice elephant...
short round,"I ride with you, Indy?"
indiana,"Nope, you got a little surprise over there, Shorty."
short round,Oh boy!
willie, This is the first time anybody ever cried when I left.
short round,They don't cry about you.  They cry about the elephants leaving.
willie,Figures...
short round,They got no food to feed them.  So they taking the elephants away to sell them.
indiana,"All right, let's go.  I want to get to Pankot before tomorrow night."
willie,"Pankot?!  I thought we were going to Delhi!  Hey, wait a minute!  Can't somebody take me to Delhi?! I don't want to go to Pankot!"
willie, I think you need this more than me.
short round,"Here you go, lunch time!"
willie,Those are very big bird.
indiana,Those aren't birds -- those are giant bats.
willie,They must be pretty dumb to drink that awful-looking water.
indiana,I think maybe we'll camp here.
indiana,"Hey, Willie -- I think you better get out now."
willie,"Stark naked?  You wish... If you're trying to seduce me, Dr. Jones, this is a very primitive approach."
indiana,"Me seduce you?  Honey, you're the one who took your clothes off.  I just came over to remind you that you never know what else might be in the water."
willie,Somehow I feel safer in here.
willie,Indy!  Help me!
indiana,"Don't worry, I'm coming in!  What is it?"
willie,A snake!
indiana,A what...?
willie,A SNAKE!!
indiana,"Uh, listen -- Willie -- I got a better idea."
willie,What?!
indiana,First of all -- don't panic!
willie,"It's got me !  Indy, help me!"
indiana,Don't let it pull you deeper!
willie,It's pulling me deeper!
indiana,Don't let it curl around you!
willie,"It's curling around me!  Damn it, stop talking and do something!"
indiana,"Listen, Willie.  Do exactly what I tell you now."
willie,What?!
