Speaker,Dialogue
woman,Let me in.
renai,"What are you doing up, kiddo?"
dalton,I don't like my room.
renai,You'll get used to it. It's only your first night.
dalton,What are you looking at?
renai,Just some photos.
dalton,What photos?
renai,Do you know who that is?
dalton,No.
renai,That's me.
dalton,It doesn't look like you.
renai,"I know. I'm so happy there. But it's me. When I was your age. I was a kid once too, you know."
dalton,"No, you weren't."
renai,"Thanks. Maybe you're right...I don't remember being this person at all. I hope she smiled like that all the time, whoever she was."
dalton,I don't wanna grow old.
renai,"Well, it starts happening to us from the moment we're born."
dalton,He smells like smoke.
renai,"Yeah...good memory. He did smoke that god awful pipe, didn't he?"
dalton,Show me a picture of dad when he was a little kid.
renai,I don't even know if we have any. He's hopeless with keeping photos.
dalton,Show me a picture of me when I was a little kid.
renai,"Your pictures are all in the computer. Nobody keeps photo albums like this anymore, they're ancient relics. They should. I like being able to touch something, instead of it floating around in cyber world. If the laptop breaks, your whole existence is erased."
dalton,What was I like when I was a little kid?
renai,You are a little kid.
renai, Billing department.
foster,"I need a bowl, mom."
renai,Billing department.
foster,It's too small.
renai,Make it work.  Speak to an agent. Speak to an agent. Speak to an agent.
josh, Every time I think I've pulled you out...you grow back in.
renai,"Well, I'd like to keep the old number if I could.  You really need to learn how to do this, honey."
josh," Don't eat on the floor, buddy."
renai," Okay, well, please let me know by the end of today, I have to give the number out. Thank you."
josh, How come you were up so early? Was Cali crying?
renai,You woke me up.
josh,What do you mean?
renai,You were snoring.
josh,No I wasn't.
renai,Yes you were.
josh,I don't snore.
renai,Yes you do.
josh,My father snored. I do not snore.
renai,How would you know what you do? You're asleep.
dalton,Yes! I made it to the last level! Invisiworld!
josh,"Good one, champ.  I don't snore, do I?"
renai,Where are my bleeping pills?
josh,What the heck is this? Wax?!
renai,Yes.
josh,Let me get this straight - we have no actual fruit but we have wax fruit?
renai,Yes.
josh,That is dangerous. It could kill one of our kids.
renai,"Where are my pills, Josh?"
josh,"Probably where you left them, Renai."
renai,That's not where I left them.
dalton,"Mom, I need my lunch."
renai,"Oh, geez. Look, just...take last night's dinner."
dalton,"Sushi? Aw, that's weirdo food."
renai,"It's all we have. Just for today, honey."
josh,"Check it first, Dalton. It's probably made out of Styrofoam."
renai," And while I've got you, if you're going to look at my books, please don't leave them all over the floor."
dalton,I didn't touch your books.
josh,I gotta go.
renai,Are you taking the boys to school?
josh,No time.
renai,Well can you pick them up after school?
josh,Not today.
renai,But I have stuff I wanted to...
foster,"Can I have another cup, mom?"
josh,"Alanso, please sit down."
alanso,No entiendo.
josh,"Sintate, por favor."
teri,You better all shut up.
josh,"Thank you, Teri. Today we are going to talk about Darwin. It's a city in Australia, but it's also the last name of which famous naturalist?"
josh,Correct. Does anybody know what he is famous for?
josh,"Half right. He wrote a seminal book that explained his theories on natural selection, and how the different species on this planet - including humans - evolved."
alanso,I know I didn't evolve from no monkey. Shit.
josh,"Humans actually have a lot in common with monkeys, or more specifically, chimpanzees."
alanso,"Maybe you do, but I was created in the image of my Dios."
josh,"I respect your right to believe that, Alanso. But I want to give you all possible theories. I want this class to go out into the world with an informed opinion."
alanso,"The theory is incorrect, Mr. Lambert."
josh,How can it be incorrect? It's a theory. A scientific theory.
alanso,"Yeah, well, science is bullshit. We didn't get here cos of no test-tubes."
josh,"Alanso, if you keep talking like that I'm going to ask you to visit the principal."
alanso,Fine.
renai," Yeah, I'm looking west, always been looking that way, gonna get it all happening, just can't do it today..."
josh,Look at this. Nice job.
renai,"Josh, where's the box of my lamps?"
josh,I don't know. They should be here. We packed them up.
renai,"Yeah, I packed them. They're not here."
josh,I remember the movers bringing them in and putting them right there.
renai," Well, they're not here. I would know, I've been unpacking this stuff all day."
renai,Dalton? Where are you?
renai,Dalton?
josh,What happened?
dalton,I fell.
renai,"Dalton, you have to be careful. You shouldn't be coming down here in the dark."
josh,Where do you hurt the most?
dalton,My knee and my head. I can't stand up.
josh,"You scared us, champ."
josh,You're lucky you don't need stitches.
renai,If I catch you falling down the stairs again I'm gonna break your neck.
dalton,That doesn't make sense.
renai,"Sleep tight, honey."
josh,We've gotta lock that door.
renai,He's such a boy. He goes off exploring. Sometimes I wanna keep him on one of those child leashes.
josh,Why bother with a child leash? I'll stop at the pet store tomorrow.
renai,I'm sorry I was pissy when you got home. I was trying to work on a song today and then Cali woke up and wouldn't stop crying...
josh,I didn't even notice.
renai,I feel guilty for wanting my own time.
josh,It's normal to want your own time.
renai,"Is it? My mother gave up everything for me. I keep waiting for the completely selfless parent gene to kick in, but I'm exactly the same person I was when I was 22, only now I'm married with kids."
josh,You're a great mother.
renai,"No, I'm not. They like you so much better than me."
josh,That's not true.
renai,You're the cool dad who comes home with presents and I'm the one who yells at them all day.
josh,Now you're being crazy. They love you. At least you get to connect with them. I work so much.
renai,"Believe me, you're their hero. They try to play us off against each other. They're master manipulators. I guess they really are my kids."
josh,Is this so bad?
renai,Thank you for letting me take some time off to work on my music again.
josh,We'll get by. I want you to do it.
renai,"There's a couple of songs...I mean not all of them, but there's a couple of them that I think are really good. And I think, maybe I could do something with them."
josh,I love all your songs.
renai,"Foster, sit down honey."
josh,"Time to get up, my man. Come on."
josh,So...there's no brain damage or...?
josh,"That fall he took...I mean, it looked like he hit his head pretty hard."
renai,He can't just not wake up...there's got to be something...
josh,So what do we do now? Does he stay here?
adele,Are you having any more trouble with the feeding tube?
renai, It's okay.
adele,"Alright, well I'll be back soon. I'll bring some new books. You're probably sick of the ones you have."
renai,Did he respond to any of the tests?
adele,"No...no, he didn't. But we have to give it time. I've seen coma patients with a much longer inactivity time suddenly start making noises."
renai,"He's not in a coma, remember? They don't know what to call it. They don't know what to do with him so they've given up."
adele,"No, they haven't. We're going to figure it out."
voice, They see us...all of us...we have to be quick...this life begs us to come back.
cali,Dadda!
josh,She said dad...
renai,What's this?
foster,An award.
renai,That's today's date. You got this today?
foster,"I'm scared, mom."
renai,Scared of what?
foster,Dalton.
renai,We're all scared. It's normal to be scared for him. But we can't give up--
foster,Why do I have to sleep so close to him? Can't I change rooms?
renai,Why would you wanna change rooms?
foster,I don't know.
renai,Your brother needs you. Goodnight honey.
renai,Something happened today. I didn't want to tell you in front of Foster.
josh,What?
renai,I heard something coming from Cali's room. A man's voice. On the baby monitor...it scared the hell outta me. I went in there and no one was there.
josh,Could it have been interference?
renai,I don't know. It was so clear. I was sitting at the piano and I heard this...whispering on the baby monitor. So I held my ear up to it--
josh,Who the hell is that?
josh,Hello? Who's there?
renai,"Who was it, Josh?"
josh,What did you say?
renai,There's someone in there!
josh, Grab Cali and Foster!
renai,Josh! The laundry!
security officer,"There's no one in there, it's all clear. If someone was there, they're gone now."
renai,I saw somebody.
security officer,Maybe it was a shadow...?
renai,"No. It wasn't a shadow, it was a man. He was tall, and he long, greasy hair. He was wearing a grey jacket. He looked right at me."
security officer,"Well, like I said...he's gone now."
photographer,"Okay, face the front ladies and gentlemen...come on...hold still...  I'm trying to record the peak of your pathetic lives here."
josh,Uh...what?
photographer,Could you step in so that we can take the photo? Quickly please.
josh,Just take it without me.
photographer,"We need you in the photo, sir."
josh,"No, you don't. Just take the damn photo without me, okay?"
photographer,I can't believe this is my life.  Ready kids? Say asshole teacher!
josh,What?
alanso,"I spend so much time in the office, I hear things. I heard about your son. I'm sorry."
josh,"Thank you, Alanso."
alanso,Times like these...people realize that science doesn't have all the answers. There is a higher force at work.
josh,I wish I had your belief. Things would be a lot simpler.
alanso,Things are simple. You just can't see it. Put your faith in Him.
josh," Hey...I just found out I have to stay back tonight and finish off mid-term grades. It could be a while, there's a lot to go through. Don't wait up. Bye."
josh,"The men all walked down to the waters edge...and they stood there and asked the beast to come forth. And the beast roared back ""No!"". And so they dived in after it..."
kelly,You okay?
renai,Yeah.
kelly,I was going to head off for an hour or so. Are you alright here?
renai,Of course. Anything from Dalton?
kelly,No. I'm sorry.
renai,"I won't, I just...I haven't slept much the last couple of nights. I feel like the universe is trying to see how far I can bend before I break."
kelly,The universe picked a fight with the wrong chick.
renai,"Thanks, Kelly. You're a saint."
kelly,"No, I'm not. I'm doing my job. I chose to be here. You didn't choose any of this. You're the strong one."
josh,What are you doing up?
renai,"It's midnight, Josh."
josh,When did you start smoking?
