Speaker,Dialogue
will,I don't need to look at it.
hap,Nothing wrong with smelling the roses.
will,"Tell that to her, partner."
ellie,"Hey, Mr. Angstrom!"
ellie,Police business.
ellie,"I don't babysit any more, Mr. Angstrom. Just made detective three weeks ago."
will,"""Halibut fishing capital of the world."""
hap,This ought to be interesting.
ellie, Detective Dormer!
will,My partner...
ellie,Detective Eckhart!  I know!  Welcome to Nightmute!
ellie,"I just want to say how incredible it is to have you working with us, Detective Dormer.  I've followed all your cases. Theodore Dineli, Frank and Casey Prud'homme, the Port Angeles shootings..."
pilot,"Tell your dad the game's gonna start late this week, Ellie."
ellie,"Sure thing, Spence."
will,"You did your homework, Officer."
ellie,Actually...
ellie,I just made detective three weeks ago.
chief nyback,I'll be damned!
will," How you doing, Charlie?"
hap,"Hey, Charlie."
chief nyback,Christ.  I haven't seen you boys since...
will,Just after Leland Street.
chief nyback,"What's that, then?"
hap,Eight years.
will,Seven years.
chief nyback,"Seven years?  Where does it all go?  That was some amazing time, though, wasn't it?"
will,"You have, Chief."
chief nyback,I knew that was coming.  I deserve it.
ellie,"Yes, sir."
chief nyback,"That's all, for now."
ellie,Oh.  Right.  Okay.
will,Nice kid.
chief nyback, Got a love affair with police work. Drives me crazy with it.
will,"Keeping you busy up here, Charlie?"
hap,"""2nd prize Great Kodiak Salmon Catch."""
chief nyback,I told you seven years ago this was a stepping stone to retirement.
will,So far.
chief nyback,What's the D.A. got them on?
will,"Four unwarranted shootings, witness intimidation, and cocaine theft."
chief nyback,How about you?  How you faring?
hap,"They're all over us, Charlie."
will,They're all over everybody.
hap,"I.A.'s calling themselves the ""Corruption Task Force.""  Can you believe that? Trying to root out any mistakes or ""oversights"" any other Detectives may have made over the years.  They're turning it into a witch hunt.  Something on the news about it practically every night."
chief nyback,Got a bunch of messages here from some guy named Warfield.
will,That's I.A.'s pit bull.
chief nyback,Wants me to keep him posted on all your movements up here.
chief nyback,Couldn't get a thing from the body.  Not a trace.  Town's never dealt with anything like this before.
chief nyback,"This is Detective Dormer and his partner Detective Eckhart.  On loan from Buck Lundgard, Seattle Robbery and Homicide Special Branch.  They'll be helping with the Connell case."
fred,Helping?
chief nyback, This is Detective Fred Duggar.  He's been leading the investigation up to now.
will,Detective...
fred,Suppose you want to see the body.
fred,We can walk from here.
will,Guess that's what they call Alaskan hospitality.
fred,Ellie!  Go type something!
hap,Beaten to death.
coroner,Beaten to death.
will,What about these contusions?
coroner,Superficial.
will,Any signs of rape?
coroner,None.
will,Wait.
fred,No.
will,"No fibers, skin flakes, hairs..."
fred,"Like I said, no.  We know about those things up here."
will,He knew exactly what we'd be looking for. Made sure to cover up all his tracks.
hap,Even the best make mistakes.
hap,Lower forty-eight?
rachel,You're not from here.  I can tell by your walk.
hap,Oh?  And how's that?
rachel,Unsure.
will,Detectives Will Dormer and Hap Eckhart. There should be a reservation for us.
rachel, Your friend's all business.
will,I'm always all business.
rachel, Alaskan summers.  Hope you're an easy sleeper.  It'll be like this all night.
will,Come on in.
hap,See you have the same decor as my room.
hap,You know what about.
will,We'll talk when we get back to Seattle.
hap,"When's that, a week?  Two weeks?...  We have to figure out a plan of action now."
will,You know my plan of action.
hap,To do nothing.
will,That's right.
hap,"Dammit, Will.  Warfield had me locked up in his office again for five hours yesterday.  Five hours.  Asking all kinds of questions..."
will,He's asking everybody questions.
hap,But he's zeroing in on me.  On us. Everyone's talking about it.
will,He's just rattling your cage.
hap,"Well, I gotta tell you.  With a wife, three kids, and a pension plan in the balance, it's rattling hard."
will,We say nothing.  It goes away.  Simple as that.
hap, Look.  We've tampered with evidence. We've pushed witnesses.  We've planted shit.  And they're sniffing around like dogs.  Especially on the Dobbs case...
will,Weston Dobbs killed an eight year-old boy and left him hanging in the basement like a piece of meat.  You remember that?
hap,You know I remember that.
will,One word to I.A. and he walks.
hap,Maybe not.  We could talk to Buck...
will,No way.
hap,Cut some kind of a deal.  I heard that's what Flynn's doing...
will,"Mike Flynn's a dirty cop, Hap!  We are nothing like Mike Flynn.  We did what we needed to do to make sure that son-of- bitch Dobbs paid for what he did.  And every bastard like him.  We say one word about it and every case we ever brought in is going to blow wide open and they'll all walk.  Every last one.  And I am not going to let that happen.  No deals.  No compromises.  No discussions."
hap,"Goddammit, Will.  You grab on to something and you don't let it go."
hap,"I don't know if it's because you think it's the right thing to do or because your pride won't let you do anything else.  I can't tell any more.  But I can tell you one thing.  I'm getting too old for this cowboy cop stuff.  Breaking the rules.  Cleaning up messes.  We're a dying breed, Will. You're a dying breed.  I.A., the D.A., all those reporters - they don't care what you did at Leland Street seven years ago.  They don't care that you've made this your life.  They don't care about getting the bad guy..."
will,I care.
will,You got to be kidding me.
ellie,Fred wants us to meet him at the Connell's.
ellie,Brought you a bear claw.  Just in case you were hungry.
will,Think I'll pass.
ellie,Oh.  You know.  Small-time stuff. Nothing like what you must get.  Mostly drinking-related problems.  Domestic abuse.  Barroom fights.  Stuff like that.
will,Don't give misdemeanors a bad rap.
ellie,But they're so boring.  All small stuff.
will,It's all about the small stuff.  Small lies.  Small mistakes.  Small oversights. People give themselves away in a traffic violation just as much as they do in a murder case.  It's human nature.
ellie,Let me just...
will,Typical seventeen year-old.  She went to a party Friday night?
ellie,Down at a local dive the kids like to hang out in.
will,No diary.
fred,She left the party early.  Friends said she had a fight with her boyfriend and stormed out.
will,What time was that?
fred,Around twelve-thirty.
will,Who was the last one to see her alive?
fred,"Randy Stetz.  Her boyfriend.  We've questioned him, searched his place. Didn't find anything."
will,These are designer.  Expensive.  Could Randy Stetz afford these?
ellie,He fixes boat engines.
will,Well her mother didn't buy them for her.
hap,What are we thinking?
will,Kay Connell had an admirer.
will,You don't seem all that sad.
randy,I haven't had a chance!  You fuckers been all over my back since Monday!
hap,You know smoking stunts your growth.
randy,"Yeah, okay, fat-ass."
hap, More Alaskan hospitality.
will,Did you love her?
randy,Huh?
will,Kay Connell.  Did you love her?
randy,Sure.  She was nice.
will,"""She was nice.""  Wow.  That makes me all soft inside.  Ever occur to you she didn't love you back?"
randy,Huh?
will,You heard me that time.
randy,She loved me.  She wanted to see me every night.
will,But she was seeing someone else on the side.
randy,I don't know what you're fucking talking about.
will,"Friday night, at the party - what'd you fight about?"
randy,Stuff.
will,What kind of stuff?
randy,Just stuff.  I don't fucking remember.
will,The other guy?
randy,I told you I don't remember.
will,After that she left the party to go to him.
randy,How should I know?...
will,Ran like hell to go to him...
randy,"Fuck you, man! - I'm sick of all your fucking cop questions..."
will,"Now you listen to me, you little shit. This fuck-the-world-Metallica-t-shirt crap may work with your mamma, but it doesn't work with me.  You got mad at your girlfriend because she was seeing someone else.  You want to be the last person who saw her alive or are you going to tell me who that is?"
randy,I don't know.
will,You don't know.
randy,She didn't tell me.
ellie,"He's a little surly, isn't he?"
will,Just a little.
will,"I want you to check this out, Ellie."
ellie,We already did.
will,Do it again.
ellie,But there wasn't any...
will,The small things - remember?  The second you're about to dismiss something - look at it again.
ellie,You want me to write that down?
will,Who's that?
ellie,The bartender at Darrow's.  He was there Friday night.
will,Good.  He's up next.
will, Halibut Calabrese.  Halibut Olympia. Halibut Cajun Style.  Halibut fish and chips...
hap,At least there's variety.
will,Looks like the natives are restless.
hap,Will?
hap,"I wish I could stick it out like you.  I just, with Trish and the kids..."
will,"Don't do this, Hap..."
hap,I'm thinking I could get off with probation.  Keep half my pension.  That's all I want.
will," Goddammit, Hap.  Think about what you're doing..."
hap,"You don't have to be involved, Will."
will,You tell Buck and I'm involved whether I like it or not...
hap,Hey - you do everything around here?
rachel,Just about.
will,I'll just have another Scotch in my room.  If you don't mind.
will,Where is it?
ellie,Over here.
will,We're sure it's hers?
fred,Has her books in it.
hap,What about prints?
will,Biology and Algebra.
farrell,I read that kind of crap.
will,Read them.  Tell me anything that strikes you.
fred,I'll stick it in the evidence locker...
will,No.
farrell,"Uh, right.  About two miles outside of town."
ellie,On the beach.
fred,Why are we taking it back?
will,"This murder was in the papers, right?"
ellie,Yeah.  All over.
will,"Call all of them from here to Anchorage. Tell them we now know that Kay Connell left the party with a dark blue knapsack, but we haven't recovered it yet.  We can get it in by the morning editions."
farrell,Glock 40.  All plastic save the barrel and firing pin.  Never rusts.  What do you carry down in Seattle?
farrell,Excellent!
fred,What are you doing here?
will, I told her to come.
ellie,Anything yet?
farrell,Maybe this guy doesn't read the papers.
hap,Or goes straight to the Sports Section.
fred, I see someone!
ellie,But...
fred,He's bolting!
will,Go!  Go!  Go!
will,Police!
farrell,Sorry about...
will,Where is he?
farrell,Over there.
will,Freeze!
will,Hap!
fred,Dormer...
chief nyback,And then you lost him.
will,And then I lost him.  In the fog.
chief nyback,About how long 'til you heard the suspect's second shot?
will,"Twenty, thirty seconds.  I followed the sound down to the water.  That's where..."
chief nyback,I think you need a glass of this.
will," Why didn't I know about that goddamn tunnel, Charlie?"
chief nyback,"There's a bunch of those tunnels out there, Will.  From bunkers over sixty years old.  I don't even know half of them myself, and I grew up here."
will,"I had him, Charlie.  Right in front of me.  Not two feet.  I could smell the son- of-a-bitch.  Playing with me.  And I missed the shot.  He was right there and I missed the shot!  Then my goddamned gun jammed..."
chief nyback,"Will, you can't blame yourself."
will,I had him!
chief nyback,It's only gonna make you crazy.
ellie,You wanted to see me?
chief nyback,"Right, Ellie."
ellie,But what about the Connell case?  I'm on the Connell case.
chief nyback,"We need paperwork, Ellie.  You know that. Just write up a quick report."
will,I'm going to check on the roadblocks...
chief nyback,"You're no good right now, Will.  Go back to the Lodge.  Try to get some rest."
radio,...earlier this evening after an aborted attempt to apprehend a suspect.  He was forty-five...
rachel,I'm sorry about your partner.
will,You were nice to him.  He liked you.
rachel, Hold on a second.  He's right here.
will, Dormer.
