Speaker,Dialogue
louis,So you want me to tell you the story of my life...
malloy,"That's what I do. I interview people. I collect lives. F.M. radio. F.F.R.C. I just interviewed a genuine hero, a cop who -"
louis, You'd have to have a lot of tape for my story. I've had a very unusual life.
malloy,So much the better. I've got a pocket full of tapes.
louis,"You followed me here, didn't you?"
malloy,Saw you in the street outside. You seemed interesting. Is this where you live?
louis,It's just a room...
malloy,So shall we begin?  What do you do?
louis,I'm a vampire.
malloy,"See? I knew you were interesting. You mean this literally, I take it?"
louis,Absolutely. I was watching you watching me. I was waiting for you in that alleyway. And then you began to speak.
malloy,"Well, what a lucky break for me."
louis,Perhaps lucky for both of us.
louis,I'll tell you my story. All of it. I'd like to do that very much.
malloy,You were going to kill me? Drink my blood?
louis,Yes but you needn't worry about that now. Things change.
malloy,"You believe this, don't you? That you're a vampire? You really think..."
louis,We can't begin this way. Let me turn on the light.
malloy,But I thought vampires didn't like the light.
louis,We love it. I only wanted to prepare you.
malloy,Good God!
louis,Don't be frightened. I want this opportunity.
malloy,How did you do that?
louis,"The same way you do it. A series of simple gestures. Only I moved too fast for you to see. I'm flesh and blood, you see. But not human. I haven't been human for two hundred years."
louis,"What can I do to put you at ease? Shall we begin like David Copperfield? I am born, I grow up. Or shall we begin when I was born to darkness, as I call it. That's really where we should start, don't you think?"
malloy,"You're not lying to me, are you?"
louis,Why should I lie? 1791 was the year it happened. I was twenty-four - younger than you are now.
malloy,Yes.
louis,But times were different then. I was a man at that age. The master of a large plantation just south of New Orleans...
dissolve,TO:
louis,You're calling me a cheat?
gambler,I'm calling you a piece of shit -
louis,Then do me a favor. Get rid of this piece of shit...
louis,"You lack the courage of your convictions, sir. Do it."
louis,"My invitation was open to anyone. Sailors, thieves, whores and slaves..."
lestat,They would have killed you -
louis,Then my luck would have changed.
lestat,You want death? Is it death you want?
louis,Yes...
lestat,You still want death? Or have you tasted it enough?
louis,Enough...
louis' face," Coming to the surface, in the water lapping by the wharf. The bodies of the whore and thief float beside him. He looks up and sees Lestat way above him, dangling from the rope of the shipmast."
malloy,That's how it happened?
louis,"No. The Gift of Darkness requires more than that, as you'll see."
louis,Who the hell are you? What are you doing in my house?
