Speaker,Dialogue
cinderella, I WISH TO GO TO THE FESTIVAL--  3
cinderella, -- AND THE BALL...  INT. JACK'S FARMHOUSE - DAY
wife, I WANT A CHILD.  INT. JACK'S FARMHOUSE - DAY
all, I WISH...  4
florinda lucinda," WHAT, YOU WISH TO GO TO THE"
jack's mother,What in heaven's name are you doing with the cow inside the house?
jack,I thought if he was nice and warm he might produce some milk.
jack's mother,It's a she! How many times must I tell you? Only shes can give milk!
baker,"Hey! The BAKER swiftly comes around the counter where a small, plump young girl in a red cape, LITTLE RED RIDING HOOD studies the goodies."
stepsisters,"Yes, Mother. They sweep out of the room giggling. BACK ON CINDERELLA. She stands forlornly, studying the mess that awaits her. She closes her eyes and begins to gently sway as if going into a trance."
jack,"Bullseye! JACK'S MOTHER was just exiting the house. The CUP falls down, narrowly missing her."
jack's mother,What are you doing? Stop your pretending! She grabs JACK'S sling and pulls him away from the COW.
jack,"Mother, no-- he's the best cow in the"
jack's mother,Was. She's been dry for weeks. We've no food or money and no choice but to sell her.
jack,But Milky-White is my best friend!
jack's mother,Look at her!
wife,"You're certain of your way? As LRRH sings, she begins to help herself to all the buns she can lay her hands on."
baker,"I don't suppose you're planning on buying any of these? The WIFE gives the BAKER a look, then hands LRRH a basket."
wife,"Now, don't stray and be late!"
baker,And you might save some of those sweets for Granny.
lucinda,(pointing to her
florinda,I know.
lucinda,She means me.
florinda,"No, she didn't! The two STEPSISTERS bicker as CINDERELLA brushes and twists their hair into tight curls:"
florinda,"Tighter! CINDERELLA obliges and becomes more aggressive with the hair styling, her emotions building as she thinks to herself:"
florinda,Ow! Not that tight! Clod! She reels around and smacks CINDERELLA who stands stunned. The STEPSISTERS giggle and snort.
baker,Who might that be?
wife,We have no bread.
witch,I don't want your bread.
baker,Then what is it you wish?
witch,It's not what I wish. It's what you wish. She moves towards the WIFE as the BAKER tries unsuccessfully to protect her. She points her gross finger towards her belly.
wife,What curse?
witch,The one I placed on this house!
baker,What are you talking about?
witch,"In the past, when you were no more than a babe, your father brought his young wife and you to this cottage. They were a lovely couple. But not lovely neighbors. You see, your mother was with child and she developed an unusual appetite. She admired my beautiful garden and she told your father that what she wanted, more than anything in the world was--"
witch's pov,"In the moonlight, we see the BAKER'S FATHER, wearing a hunting jacket, scale over the WITCH'S wall and into her garden. From behind a wooden trellis, she WATCHES him as he gathers her greens:"
witch," AND/ RIPPING UP THE RAMPION/   IN RETURN, HOWEVER,/ I SAID, ""FAIR IS  FAIR:/ YOU CAN LET ME HAVE THE BABY/  THAT YOUR WIFE WILL BEAR,  13"
baker,I had a brother?
witch,No. But you had a sister.
baker,Where is she?
witch,"She's mine now and you'll never find her! Small price to pay for what else your father stole from me. It cost me my youth, my beauty. My mother warned me she would punish me with the curse of ugliness if I ever lost them."
wife,Lost what?
baker,How could you do that to me?
