Speaker,Dialogue
chief caveman, Me see beast today. Beast scary. Beast danger for caveman.
chief caveman,If caveman kill beast? Caveman safe. Caveman have food.
chief caveman,Who kill beast?
chief caveman,Grob kill beast. Good Grob.
chief caveman,Loser want kill beast?
chief caveman,Loser kill nothing!
chief caveman,The beast! It dead!
chief caveman,"Loser, what happen?"
loser caveman," The Beast, it came at me. It smash my cave."
loser caveman,Hold on one minute!
loser caveman,Loser wasn't finished.
loser caveman,"After beast smash cave, Loser look at beast and say, ""not on Loser's watch."" Loser grab rock on ground, lift above head and smash it down... right onto motherfucker's head."
loser caveman,"Loser kill beast.  Now fuck off, Loser going back to sleep."
chief caveman,Loser kill beast! Loser caveman hero!
narrator,The world's first lie. A monumental occasion in the history of mankind.  A world without lying would be a world without dreams. A world without pretense. A world without fiction. A world without flattery. A world very unlike our own.
chief caveman,"Loser, what happen?"
loser caveman," The Beast, it came at me. It smash my cave."
loser caveman,Rock fall on beast. Loser do nothing. I think Loser even soil bear pants.  Loser smell bad.
chief caveman,"Loser biggest loser ever! Caveman, throw rocks at loser!"
jennifer,Hi. You're early. I was just masturbating.
mark,"That makes me think of your vagina. I'm Mark, how are you?"
jennifer,A little frustrated at the moment. Also equally depressed and pessimistic about our date tonight. I'm Jennifer.
mark,I hope this date ends in sex.
jennifer,Not me. I don't find you attractive. Come on in.
jennifer,I need to finish getting ready. While doing that I might realize I'm still horny and try to finish masturbating without you hearing.
mark, I feel awkward and I regret being early.
mark, I have an erection now because I assume you began masturbating once we stopped talking.
mark," I'm embarrassed because I think the restaurant I've made reservations at might not be expensive enough or hip enough to impress you, but it was the best I could do because I don't make very much money. You see, I'm forty years old and have no real financial assets to speak of, I've never owned a home, and never had a significant relationship. My boss even told me today that I'm most likely going to get fired tomorrow and..."
jennifer,I just masturbated.
mark,That makes me very horny.
jennifer,Shall we go?
mark,Sure.
jennifer,After you.
jennifer,I'm only doing this as a favor for my cousin Greg. He keeps begging me to go out on a date with you. He says you're funny.
mark,Greg's a good friend.
jennifer,Where are we eating tonight?
mark,A cute little place called La Bonisera in West Hollywood.
jennifer,You obviously don't have very much money but that's not necessarily a deal breaker.
mark,I have very little money.
jennifer,"I also don't really care about a guy who knows all the latest, hippest restaurants."
mark,I don't know any of them.
jennifer,"In fact, there are very few things in life that I care about all that much. The only things I have to offer myself or anyone else are my good looks and my affected sense of quirkiness which artistically inclined men interpret as intellect. "
mark,I found that boring and started thinking about this place's fish tacos.
jennifer,Hello.
jennifer,This isn't as nice as I remember it.
mark,What are we going to talk about?
hostess, I'm threatened by you.
mark,"Two, please."
hostess,"Of course, come with me."
waiter,I'm very embarrassed that I work here. Hi.
mark,Hello.
jennifer,Hello.
waiter, And you're pretty and that only makes me feel worse. Can I get you two started on some drinks?
mark,I'll have a Budweiser.
jennifer,I'll start with your Mango Margarita and probably have three more drinks by the end of the night.
waiter,Excellent.  She's out of your league.
mark,Yup.
woman, All of a sudden I got EXTREMELY angry!
mark,"I'm going to ask you some questions about your life because that's what you do, but I'll only really listen to about half of what you're saying."
mark,How do you spend your days?
jennifer,"I get up at eight in the morning because the noise from my alarm clock interrupts my sleep, so I lean over and..."
mark,That's a little more specific than I expected.
jennifer,Well what did you want to know?
mark,Do you have a job?
jennifer,Yes.
mark,What job do you have?
jennifer,I have a job at an office.
mark,What do you do?
jennifer,Just typing and filing and stuff.
mark,Do you enjoy it?
jennifer,"No. But I enjoy the end result of the job which is money. And the hours are pretty good for the amount of money I make, which I spend on things I like, such as clothes, hiking, drinking -- even though I know it's bad for me. "
mark,Sure. Tell me more. I'm trying to get a little insight into you.
jennifer,Well you already know a lot about me. You know I'm good looking because... well... here I am. You know I'm successful because you've seen my apartment and the clothes I'm wearing. And you know I'm happy because I'm smiling.
mark,Are you always happy?
jennifer,Usually. Some days I stay in bed eating and crying.
mark,Sure.
waiter, I had a sip of this.
jennifer,Okay.
waiter,Do you guys know what you want or do you need a moment?
mark,I'm ready.
jennifer,I'll have a caesar salad with chicken because I think I'm fat but I also think I deserve something that tastes good.
mark,I'll have the fish taco's because I had them once here and it's all I know.
waiter,"Excellent, I'll get those both started for you."
jennifer,"Sorry, one second."
jennifer,"It's my mother, this won't take long. Probably checking in on our date."
jennifer,Sorry about that.
mark,Don't think twice. How is your mom?
jennifer,She's all right.
mark,Fantastic.
waiter, If I give you my number will you call me?
jennifer,No.
mark,"Thanks for going on this date with me. You're way, way out of my league and I know you were just doing it as a favor to Greg, and that most likely I'll never hear from you again."
jennifer,"I actually had a better time than I thought I'd have, but I won't know for sure how I feel about you until I'm less drunk."
mark,Give me a call if you still like me once you're sober.
jennifer,I might.
mark,"Thanks for kissing me on the cheek, I know you didn't have to do that and...."
mark, ... you're very pretty. Thank you!
jim,"Hi, I'm Jim and I'm the spokesperson for the Coca-Cola company. I'm here today to ask you to continue buying coke. I'm sure it's a drink you've been drinking for years, and if you still enjoy it, I'd like to remind you to buy it again sometime soon. It's basically just brown sugar water, we haven't changed the ingredients much lately, so there's nothing new about it I can say. We changed the can around a little bit. See, the colors here are a little different, and we even put a polar bear on it for the kids. Also, coke is very high in sugar, can lead to obesity in children and adults who don't sustain a healthy diet, and has a Ph acidity level high enough to dissolve teeth and bones over extended periods of time. Coke also works great at removing corrosion from car batteries and loosening rusted bolts. So that's it, it's coke. Everyone knows it. It's very famous. I'm Jim, I work for coke, and I'm asking you to not stop buying coke. That's all. Thanks."
frank,Hi Mark. How's it going?
mark,Not so good. Last night I went on a date with a girl I've had a crush on for years who will most likely never call me again and I'm pretty sure I'm going to get fired today. You?
frank,I spent the whole night throwing up pain killers because I'm too afraid to take enough to kill myself.
mark,See you tomorrow.
frank,Bye.
business man,I'm not talking to anyone on my cell phone. I only want people to assume I'm very busy.
girlfriend,"I woke up this morning and realized that, not only do I not love you, but that the thought of touching you sickens me."
boyfriend,The more you hate me the more I fall in love with you.
honking man,"Move it, fatty!"
screaming man,This isn't natural! None of this is natural! We're all animals! This doesn't feel right! Why am I wearing clothes? How can you people live like this? Where did all this concrete come from?!
tour guide,"All of Lecture Films' productions are written, filmed and edited right here on this very lot. In fact, this building is where Lecture Films' talented writers scour through the world's past events, searching for the most entertaining, dramatic and even hilarious moments of world history, which are then turned into scripts, handed over to our world-famous Readers, and filmed for your viewing pleasure."
tour guide,"If you'll just follow me over to this monitor you'll get a sneak peak at Lecture Film's upcoming summer's blockbuster: ""Napoleon"
