Speaker,Dialogue
margaret,How much is the milk?
margaret,Too much. Much too much butter.
denis,I like butter. MARGARET Milk's gone up.
june,"I don't understand how it happened, how could she possibly have got out? It's very very important -"
police guard,Dixon.
june,"Beautiful day. Oh, you've made a start. Carol's coming soon, I'll get some bags. Anything you want to go to Mark, I'll bring up a suitcase for it."
margaret,No no no no. The grey.
margaret,Yes.
margaret,"Oh, I haven't had a chance to look at that yet, dear."
june,Sorry.
denis,Atta-girl.
margaret,Blot it...Blot it..
june,Sorry ?
denis,Now look what you've done. Are they to keep the loonies out or you in?
margaret,Wear your scarf. There's a chill out there.
susie,Good morning Lady Thatcher. Are you alright ?  How are you feeling ?
margaret,"I'm fine, thank you Susie."
susie,I've just been reading about the bombings.
margaret,Yes. Frightful.
susie,Sorry.
margaret,"Yes, of course, dear. Today."
susie,"The invitation has come from Downing Street for the unveiling of your portrait. I'll put it on the mantelpiece, and there's an invitation from Lord Armstrong for lunch on the first Friday of next month."
margaret,What are they playing?
susie,I think they said Rogers and Hammerstein.
margaret,Silly man.
alfred,Did someone cover the butter?
margaret,I'll go.
beatrice,Leave it.
alfred,"Not just big business but small businesses, like mine."
beatrice, Margaret!
alfred,We on this island are strong. We're self-reliant. Sometimes we're plain bloody minded.
alfred oov, Open it then.
margaret, I've got a place at Oxford.
alfred,Don't let me down Margaret.
margaret, Mother?
beatrice, My hands are still damp.
beatrice, Margaret!
denis, They're talking about you again.
denis,Sun's not quite over the yard arm. Time for tea.
margaret,What have you got on your head?
denis,"Found it in the cupboard and thought bugger it, it's Friday, why not fancy dress?"
margaret,You look ridiculous.
denis,Bosslady no like?
margaret," No, Denis, Bosslady no like."
margaret, Feet.
denis vo,"Oh, rumbled!"
carol oov,Can I suggest you remove the sticker from the back of your car.
carol oov,"Hello June, any news? I've brought every bag I could find."
carol,Hello Ma. Bloody taxi driver. Wouldn't take my card. I said don't have a sticker saying you take Visa and then insist on cash. Can you believe it? I was rummaging around the bottom of my bag. He didn't get a tip.
margaret,"I didn't know that you were dropping by today, dear."
carol," Yes, you said yesterday...You wanted to make a start on Dad's things. The cupboards ? Then I can help you dress."
margaret,Jaqueline...
carol,Coming for dinner tonight.
margaret,Of course.  We're having halibut.
carol,Oh God. Isn't it terrible?
denis,"It'll be fine. Come on, get your head down, it's ten to three, for God's sake."
margaret," We must release a statement, offering our condolences."
carol,I'm sure they've already-
margaret,"We must never, ever, ever give in to terrorists."
carol,"Now ma, are we going long or just below the knee tonight?"
margaret,"Oh, below the knee I should think."
carol,I hear you went out today...You mustn't go out on your own Mummy. We've talked about that.
margaret,There was no milk.
carol,Call Robert he'll get it for you if June's not up-
margaret,I am not for the knackers yet.
carol,No one is saying that.
margaret,"If I can't go out to buy a pint of milk then what is the world coming to. Really Carol, please don't fuss about it. You've always been like this, fuss fuss fuss. You must find something better to do with your time. It's most unattractive in a woman. When I was your age the last thing I wanted to do was fuss around my mother."
denis,"Four down, 9 letters."
margaret,Obstinate.
carol,What?
margaret,Pearls. I'll wear the pearls.
