Speaker,Dialogue
george,You sure it's not too bad out there?
will,Don't be such a wuss. I'd come if I weren't dying. Now get the paraffin.
george,In the cellar?
will,"You want it to float or not, Georgie? Go on. Storm's not gonna last forever."
george,"Okay, Willy."
richie, Willy-boy.
will,Trashmouth.
will,I am.
george,"Oh, balls. The power."
will,Nothing. Georgie and I are making a paper boat. Got to go-
richie,Wait-!
george, I'm getting it. I'm going to get it. I'm going in. I'm...
george,Can I do some?
will,Okay. Just don't get any on my blankets or Mom'll freak.
george,Too cool.
will,There you go. She's all yours.
george,She?
will,"You're the Captain, ain't   ya? Captains call their boats   she. Now put on your rain stuff or   you'll wind up stuck in bed like   your stupid brother."
george,"Thanks, Willy."
will,Be careful out there!
george,Willy's gonna kill me.
george,How did you get down there?
pennywise,"Me? Why the storm of course. Just bleeeew me away. It blew the whole circus away. How'd you like to join the circus, Georgie?"
george,Is there cotton candy?
pennywise,"Cotton candy? Oh yes. Cotton candy and bearded women and elephant shit and all the balloons a little boy could want. You like balloons, don't you Georgie?"
george,I sure do. Do they float?
pennywise,"Float? Oh indeed they do, Georgie. Indeed they do. Everything down here floats. And when you're down here with us..."
leroy,Open the gate.
mike,"I'm sick of this, dad."
leroy,People need to eat.   Now open the gate.
mike,How would you feel if you were one of them?
leroy,Humans aren't raised to be food.
mike,"Everyday, watching them stupidly walk into that killing pen. This isn't a normal kid's life. You won't even let me go to school."
leroy,"Now why would you want to be in public school with the rest of those people down below, in Derry?"
mike,Because I want to be in boring classes with other boring kids and draw pictures in text books and play baseball and go to dances and grind.
leroy,"I know, son. I get it. But you aren't like those people. We may work with sheep, but those people are sheep. Trust me."
eddie,So how's it work?
stan                           richie,What work?                        So long suckas!
will,Richie!
eddie,The ceremony. Your Bar Mitzvah.
will,It makes you officially a man right?
stan,"Shit, I don't need a Bar Mitzvah for that."
will,Just your mom's Cosmo.
eddie,Marie Claire.
richie,Vogue man. It's all perfumed. I put on my 3-D glasses and it's like you're there.
girl #1,"There's the ho-bag, now."
