Speaker,Dialogue
captain medley,"The level of arms on the ground really depends. [Answering a question] But no, I'd have to say we haven't had to engage on the ground as heavily as we might have expected."
newsanchor,"Have you lost any men today, Captain?"
captain medley,"No. One of my Corporals took a bullet to the head, but it looks like he might make it. Looks that way..."
doctor,Sergeant Starks was very lucky. A little more to the right and it wouldn't have wanted to come out...
major,But he's never gonna be able to remember what happened?
doctor,It's hard to say. Sergeant Starks could have retrograde amnesia or... [lowering his voice] any form of psychological suppression. It's very common with traumas like this.
lieutenant,"Sergeant, you have no surviving family in the States. I'm sure you have friends or distant relatives, but unfortunately we have no record of them yet."
major,"Captain Medley has recommended you for the Purple Heart, Sergeant."
starks,Can I have one of those?
lieutenant,Of course.
doctor,"There is help for you, Sergeant."
lieutenant,"Of course there is. Their VOICES start to fade as STARKS smokes his cigarette, blowing the SMOKE upwards and following it with his eyes. He's finished with these men and everything they stand for."
jackie,"Come on, mom. Don't fall asleep..."
starks,You two ok?
jackie,Our car won't start.
starks,"Jean? Jean, can you hear me? I need you to try to wake up, Jean."
starks,Your mom take anything before this happened?
jackie,"Yeah, but I don't know what."
starks,[Beat] What's your name?
jackie,Jackie.
starks,"Nice to meet you, Jackie. Why don't you wrap this scarf around yourself and try to keep your mom awake while I take a look at your car.  EXT. HIGHWAY, RURAL VERMONT, WINTER, DAY"
starks,What do you think of all this snow?
jackie,[Beat] Nothing.
jackie,But I like it I guess.
starks,"Hey, can you reach the gas pedal?"
jackie,Yeah.
starks,"Go ahead, turn it on. Keep pushing it."
jean,Get your fucking hands off my daughter!
jackie,"Mom, he just fixed our car."
jean,"Jackie, get in the car. NOW!"
jean,"Look, I don't want any trouble, so..."
starks,"Neither do I, ma'am. I'll be on my way."
jackie,"Mom, you've got it wrong..."
jackie,You're just gonna walk?
starks,"Yeah, I'll hitch a ride or something. [Beat] Let her throw it all up before she gets back behind the wheel."
jackie,What're those?
starks,Dog tags. [Off her blank look] They've got your name and date of birth for identification.
jackie,What for?
starks,"[Beat] In case you get lost, or can't remember who you are."
