Speaker,Dialogue
benny,".. after my third recovery my wife made me swear I'd never bring another bottle into the house.  And I never did. I bur- ied it under the lawn.  Cut out a turf & stood it upright with a piece of tin- foil instead of a cork. So here we are out in the yard, and she's happy because I'm getting healthy in a pair of swim- ing shorts & no way near no booze. She decides to prune the roses. Meanwhile, I'm laying there with a straw stuck in- to the fucken lawn doing a quart of red .."
chair,"Thank you, Benny .. We have a few more minutes .. Anyone else like to share? .."
berlin,My name's John .. and I'm an alcoholic ..
all,"Hi, John."
berlin,"I didn't intend to speak today.  Matter of fact, I wasn't gonna come to the meeting .. But I wanna say a couple of things I hope may be of use, particularly as Benny says, to the new faces here. I first came into this fellowship ten months ago. I came to a meeting I was convinced was gonna be my last - how could a buncha drunks help me? - Then someone got up, I think it was Micky, and described himself as ""the shit around which the universe revolved."" I don't know if that was original to him - it doesn't matter, it was the first time I'd heard it, and I still can't think of a better way to describe how I felt - We all have our own place in the darkness, and I was in such a mess I could hardly fucken see - I'd lost someone very dear to me - she hadn't died - I had - I don't know whether she left coza the drinking, or whether I drank coz I knew she was gonna leave - either way, the booze won - I replaced her with alcohol & anger - I was angry with her, myself, everyone and everything - Where I was I wanted to be someplace else - any place but here - any moment but now - But here I am, and it is now, and there's a big change about to hap- pen in my life - and I'm going for it coz this time I know I'm not running away - I'm actually two miles into a 600 mile journey, and I feel good about myself going there - So I stopped off to share that with you - and to thank everyone of you, and everyone in this fellowship for letting me walk out of here, free .."
travis,"You can drive down there, Sir .."
ross,I'm already walking. Where is it?
travis,On the infill. The guy from L.A.'s just gone down there ..
ross,He has? .. What's he doing here?
travis,"He was waiting for you, Sir. Wait- ed a good while. Said he'd go down and take a look. I hope that's O.K."
ross,"Damn A, it's O.K. With a bit of luck I'm goin home. What we got?"
travis,A derelict.
trimble,They cut his throat ..
ross,Who are you?
trimble,Trimble.
ross,"Where do you fit in, Trimble?"
travis,"His father's the manager, Sir. The kid was up there shooting vermin, and he found the body."
trimble,"Get ready for it, coz I'm tell- ing ya, you're in for a shock .."
ross,Not right now. No. Thank you.
ross,Did you bring it with you?
berlin,I hope I'm not intruding?
ross,Be my guest. What you got?
berlin,"Old guy, offed himself with a knife. I can't find the knife."
trimble,They cut his throat.
ross,Would you get outside the tape. And tell your dad to put that fire out ... that ain't legal ...
travis,I wonder what would make him do a thing like that?
ross,"Don't annoy me, Travis."
travis,"No, Sir."
ross,So where's the knife?
berlin,I dunno .. Guess the dozer musta shifted him? You need some hands up here to look ..
ross,You heard. Look for the knife.
berlin,"No, Sir. I haven't started till Monday. I'm a ""tourist."""
ross,"""Welcome to Eureka."""
berlin,Week or two.  Musta been on the ker- osene.  Stinks like a diesel engine.
blattis,Fucken noddle's hanging off ..
ross,"Mr Blattis, of our local news- paper. You sure it's a suicide?"
berlin,Uh huh .. He's well rehearsed ..
blattis,"What does that mean, Sergeant?"
berlin,"Cut your own throat, you're ner- vous about it, tend to hesitate. He's got three trial cuts, lower left side of the neck, before he works up courage for the big one."
blattis,You think Popeye would know that?
ross,I don't think Popeye would be here.
ross,"Find the knife. And Venab- les, is the coroner called?"
venables,"Yes, Sir .. He's delayed .."
blattis,"Alright, gentlemen, I'm gonna leave you. I got a couple of questions for the paper, Serg- eant? Mind if I swing by later, wring out a tea-bag with you?"
berlin,My pleasure .. Who's Popeye?
blattis,"Your predecessor. He did- n't like to get outta bed. Catch you later, Freddy T .."
berlin,"So what happened to the barbecues, and fishing?"
ross,"Watch my lips, coz you're not gonna believe this - this is a rare occurrence. We haven't had a body in eighteen months."
berlin,"What about that kid, Ross?"
ross,"Oh, shit. Of course. The kid.  Travis. Find that kid and get the knife off him. He's gonna lie to you - but he's got it - so get it. Well, go on, get on with it. Whatta you staring at?"
travis,"I think I found some- thing horrible, Sir"
ross,"Whatta you mean, ""horrible?"""
travis,I think I've found a hand.
berlin,Looks like a woman's hand?
ross,What do you think?
berlin,I think you're here all day.
ross,How much longer we here? We're not gonna find nothing else .. ?
berlin,We give it one more hour. Did the photographer do the dogs?
ross,The dogs?
berlin,Two dogs. He should do the dogs.
venables,Sergeant - we got a brassiere over here. Looks like it could be blood.
ross,"Oh, shit."
berlin,"Alright, I'm coming .."
travis,The coroner wants to know if we can release the derelict?
ross,Ask him.
berlin,"Yeah, he can go ..."
ross,Think I'll lay down with him. Only way I'll get outta here.
berlin,"It's good to be with you, Ross."
ross,"Glad you finally made it, Bro ..."
blattis,You want some umbrella?
berlin,Is this normal?
blattis,"Average rainfall, 48 inches. Pisses down, October to June."
berlin,Freddy? Forever - he was my serg- eant when I was a kid - don't get to see a lot of each other - but we been buddies two hundred years ..
blattis,Did he get you the job?
berlin,I think he would have if he could have - been trying to get me up here long enough - I think he may have bribed the old guy to retire ..
blattis,Popeye wasn't old. Younger than you.
citrine,"Sergeants Serato, and Taylor."
berlin,"Do me a favor, Travis?  Bring in the resta the stuff from my car?"
blattis,"Did you find the knife, Sergeant?"
berlin,No .. But we have a theory ..
blattis,Kid told me he didn't take it?
berlin,Maybe he's lying to you?
blattis,Is it true you found a hand?
blattis,"C'mon, Chief, if it's sensitive, tell me .. I'm not taking notes .."
citrine,.. we got a body part. We don't know what it is - probably some kind of hospital debris - we're gonna try and check it out. O.K. Now you know as much as we do ..
blattis,"Grateful for your candor, Sir."
citrine,"Then do me a favor, and keep this outta the newspaper - that dump serves a dozen different communities, we don't even know if it's ours? Till we do I don't want no one worrying about .."
blattis,"Wasn't frozen, was it, Sergeant?"
citrine,"Come on, Michael, outta here, the guys trying to move in. I told you what we know, something else, you- 'll be the first to hear about it .."
berlin,Why did he ask if it was frozen?
citrine,"That, I couldn't tell you .. And don't worry about anya this crap, by the time you're back it's gone .."
pathologist,".. if the knife hadn't killed him, the booze would .. I nev- er seen such a bad cirrhosis .."
berlin,You say the cut's left to right?  Isn't that unusual? He's left handed?
pathologist,"I guess he was so drunk, he did- n't know which hand he was using.  What are you gonna do with it?"
berlin,"Depends how healthy it is. If it's any good, I'll try and get a print .."
ross,Frozen? .. I've no idea ..
pathologist,"No, Freddy .. Not a few .."
ross,You do a rush on three pizzas?
margie,I'm not giving him Pizza. I haven't seem him for a year? I'm gonna cook him a dinner.
ross,"Dinner's another night, darlin .. This is a drive-by. I got an hour .."
margie,Bobby's out .. What's the hurry?
ross,Friday night at City Hall. Got a great chance to frighten the fat.
margie,Freddy's new obsession ..
berlin,Who is who?
ross,"A professional, whining, con-person bitch with an ass the size of Africa .."
margie,So tonight she confesses?
ross,Tonight I'm feeling lucky ..
berlin,Not for me ..
ross,"What d'you mean, I just opened it for you? This is French champagne."
margie,No it isn't .. It's Californian ..
ross,Even better.
berlin,Not today .. I'm on a diet to- day .. I'll take a diet soda ..
ross,Since when did you drink diet soda?
margie,"Stop nagging him.  If he doesn't want it, he doesn't want it. You- 're quacking like an old duck .."
ross,How's the new residence?
berlin,O.K.
ross,What does that mean?
berlin,Not too good in daylight ..
ross,"C'mon, just shut your eyes until it's painted.  You're gonna love it. This is ""God's Country,"" John."
berlin,Would you drop these off for me?
venables,Frozen?
berlin,Yeah. What does that mean to you?
venables,"Well, Sir .."
berlin,"Well, what?"
venables,"Well, we had a very bad murder here, coupla years ago. Not act- ually in our county, but south of here. Girl with no head, no hands. You didn't read about it?  It was big shit. They had forty, fifty detective working it. Nev- er identified her.  Never found the head, never found the hands .."
berlin,Where do I find the file on that?
venables,"In there if we got anything? I believe the code was ""Jennifer."""
berlin,No. Been dead two weeks.
berlin,What time is it?
ross,"Seven thirty-five .. Here, ""Town Gets Top Cop."" I was gonna pin it to your wall."
berlin,"Why so coy about the word ""frozen""?"
ross,"Because, don't get into it ..."
berlin,There's nothing in the files?
ross,Watch my lips .. Don't get into it ..
berlin,Look - 1 - 2 - 3/4 - 5 - 6  - 7 ..
ross,"It's an ""unsolved."" They spent 500 thousand dollars & bought emselves a dead end - You might wanna check it with Taylor, he worked the case."
berlin,I already did. What's his problem?
ross,"He thinks you stole his promotion.  What exactly you doin there, John?"
berlin,It's a method for quitting smoking.
ross,That's an interesting method? Must help beat the withdrawal?
berlin,"It's a technique I read about. If you smoke 60 a day, you buy three packs, throw one cigar- ette away, and smoke 59. Day 2, you throw 2 away and smoke 58 .."
ross,"Why don't you throw them all away, and smoke none?"
berlin,Because it's a ritual you gotta
ross,You want my advice?
berlin,Maybe?
ross,"Find yourself a farmer's daughter with nice big fucking tits, and shake that ""bye-bye."" Send it to Sacramento, John .. I sniff grief .."
margie,You're all done except the floor.
berlin,"You're a saint, Margie, thanks .."
margie,"Don't forget the wagon, Darlin?"
ross,You gotta stop smoking ..
berlin,I am stopping smoking ...
ross,"I don't mean this ""system"" shit that keeps you sucking, I mean stop .. I was exactly like you are .. I used to wake in the night - heart going so hard I coulda made love with my left tit .. If I can stop, you can .."
berlin,"How'd you do it, old man?"
ross,Someone bet me a dollar ..
berlin,A dollar? .. Not worth giving up for a dollar ..
ross,Alright. I'll bet you fifty?
berlin,Fifty dollars?  You got a bet.
ross,"What are you gonna do, Soldier?"
berlin,"I'm gonna dig up ""Jennifer."""
ross,"Chief, I gotta talk to ya about this fat lady?"
citrine,What about her?
ross,She's making my life a misery .. I wanna give her a lie-detector test?
berlin,"Laser enhancement of the finger- tip .. it's really bothering me .. See these striations right here?  It's like she's always worrying the end of her finger? Rubbing it with a thumb nail, or something?"
citrine,How do you know her hair's black?
berlin,Hair on her hand. Plus Jen- nifer had raven black hair.
citrine,What is all this Jennifer stuff?
berlin,"Yes, Sir, I think they maybe. I think ""Jennifer,"" and this lady got hit by the same guy?"
citrine,I don't see that at all ..
berlin,I got four points of posit- ive comparison on the cut ..
citrine,"Yeah, that's all very inter- esting, but where's the body?"
bisley,Just wondered if you had time to get around to my pharmacy stuff?
berlin,You'll have it in the morning ..
bisley,"Alright, I'll try again tomorrow."
citrine,Probably making him feel a bit antsy seein it back on the wall. He worked a lotta time on this.
berlin,I thought it was Taylor's case?
citrine,Sucked in officers from all over the county. And it was the worst six months this station ever had.
berlin,"What do you want me to do, Chief?"
citrine,"I'm not telling you what to do. What I will say, is right now, that child's tricycle there is more important to me than this .."
ross,.. what does he think it is?
ross,It's possible.
