Speaker,Dialogue
note,"La scne suivante, prsente dans la version originale du film, a t coupe dans de nombreuses copies diffuses, de nos jours, aussi bien au cinma qu' la tlvision."
michel doll,C'est l'histoire d'une petite fille...
paulette,D'une petite fille comment ?
michel doll,"D'une petite fille comme toi, et d'un petit garon..."
paulette,D'un petit garon comme toi ?
michel doll,coute...
paulette,Tu veux une sucette ?
michel doll,Aprs.
michel doll,"Tout clatait de joie. Les bls,  travers la France, commenaient  jaunir et prparaient du pain..."
michel doll,"... pour quarante millions d'hommes... Et puis le soir, quand les hommes avaient bien fait leur travail, le chant du rossignol ruisselait dans les bois.  Parce qu'au mois de juin, les rossignols chantent. Gros plan sur le livre et le doigt de Michel qui suit le texte."
note,"Retour  la version normale, telle qu'elle est prsente dans toutes les copies du film. Dans les copies, o la scne prcdente a t coupe, le gnrique est toujours prsent sur un livre dont on tourne les pages, sauf que le fond, en arrire-plan du livre, n'est plus la rivire, mais un tissu  motif de fleurs, et que la main, qui tourne les pages, n'est plus celle de Michel, mais celle d'une femme. Aprs la fin du gnrique, on passe directement sur une vue plus rapproche du pont enjambant la rivire. Sur cette image apparat, en lettres blanches, le texte suivant :"
juin,1940
pre paulette,Mais je fais ce que je peux !
pre paulette,Elle est foutue !...
paulette,"Mon petit Jock, mon petit chien..."
mre paulette,Qu'est-ce qu'on fait ?
pre paulette,"Mais ne t'nerve pas, il faut passer le pont."
pre paulette,On peut pas tout prendre. On va pas continuer avec trois valises !...
paulette,Jock !... Jock !...
mre paulette,Paulette !... Paulette !...
pre paulette,Paulette !...
paulette,Non !
paulette,Ah ?... Il est mort ? La vieille finit par lui prendre le chien des mains.
michel doll,Un cheval !... Qu'est-ce que c'est que ce cheval ?
michel doll,Y a un cheval !...
georges doll,Ahhh !...
georges doll,Et non ! C'est ce putain de cheval !
georges doll,"Ah !... Ah !... Doucement, bon Dieu !... Vous me faites mal... Vous me faites mal !"
michel doll,Y'a la Titine qui a foutu le camp !
michel doll,H !... H !...
michel doll,H ! H !
michel doll,"Alors, quoi ? Tu pouvais pas l'arrter ?"
michel doll,T'as peur ?
paulette,"J'ai pas peur, c'est pas mchant, une vache."
michel doll,Alors quoi ?
paulette,"Je pouvais pas, j'ai mon chien."
michel doll,"Qu'est-ce qu'il a, ton chien ?"
paulette,Il est mort.
michel doll,"D'o tu viens, toi ?"
paulette,Par l.
michel doll,"T'es pas d'ici, toi ?"
paulette,Non. Et toi ?
michel doll,"Moi, oui... O elle est, ta mre ?"
paulette,Elle est morte.
michel doll,Et ton pre ?
paulette,Il est mort.
michel doll,"Et bien, moi, mon pre, il est pas mort ! Et il va me fiche une racle si je ramne pas la vache."
michel doll,Allez ! Viens ! Aide-moi  la ramener.
paulette,Mais mon chien ?
michel doll,"Laisse-le, ton chien, je t'en donnerai un autre."
paulette,Un beau ?
michel doll,Un pas mal.
paulette,O est-ce qu'il est ? MICHEL DOLL A la maison.
paulette,C'est ce chien-l que tu vas me donner ?
michel doll,"Non, celui-l, c'est aux voisins."
paulette,Il sait nager ?
