Speaker,Dialogue
ben,"You make sure to get us as close as you can, okay? If it's a good trip, I'll give you a little extra."
enrique,Don't worry. I take you close. But not too close.  You don't want them to eat you.
eric,What was that?
ben,Unclip your line!
grant,"Oh, actually, Charlie, those two are herbivores. They wouldn't be interested in fighting each other. But these...  See, these are carnivores. And this one here -- see its claws -- this one here uses its claws to gouge at the throat of its opponent"
ellie," Uh, Alan?"
grant,Hmm?
ellie,He's three. Why don't you wait till he's a little older?
grant,"Oh, right.  Happy dinosaurs."
ellie,"That must be Mark.  Mark, were back here!"
mark,"Keeping the world safe.  Here, let me take her."
ellie,"Mark, this is Alan Grant."
mark,"Nice to meet you, Alan. I've heard a lot about you."
charlie,"Daddy, this is a herbabore."
grant,"What's my name? Come on, Jack, say it. Is my name Alan? Say my name."
ellie,"Sorry, Alan it's been six years."
mark,More coffee?
ellie, Yes. Great.
grant,Really?  What do you do there?
mark," I could tell you about it, but than I'd have to kill you."
grant,Indeed.
ellie,So what are you working on now?
ellie,Anything good?
grant,"Raptors, mostly."
ellie,My favorite.
grant,You remember the sounds they made?
ellie,I try not to.
grant,"We've done cranial scans, and raptors actually had a quite sophisticated resonating chamber. I have a theory that their ability to vocalize is the key to their social intelligence. The way they can work together as a team."
ellie,You think they could talk to each other?
grant,To a degree we never imagined.
jack,Bullshit!
ellie,You taught him that.
ellie,Good luck with the fund raising.
grant,"It was never easy, but before Jurassic Park, you could find money. Somewhere. Now fossils are out. Everyone wants to see a real live dinosaur."
ellie,Times change Alan. But you're the still the best. I mean that.
grant,The last of my breed.
ellie,"Let me know if I can help, Alan. Youre bad about asking for help, but please ask me. Anything, anytime."
grant," Okay. Goodbye, Ellie."
ellie,"Goodbye, Alan."
grant,A well-accepted theory.
ellie, Alan don't be afraid to evolve.
grant,"It's through the painstaking study of the Interior chamber in multiple specimens that we can determine this exciting correlation between the larynx and the upper plate. That lets us theorize -- theorize, mind you -- that the raptor might have been capable of bird- like vocalizations. Which as you can imagine, would be a tremendous breakthrough."
sympostium leader,Thank you very much Dr. Grant. Now does anyone have a question?
grant,Does anyone have a question that doesn't relate to Jurassic Park?
male student,"Your theory on raptors is good and all, but isn't all this conjecture kind of moot?"
grant,"No, and let me be perfectly clear on this point. Dinosaurs lived 65 million years ago. What's left of them is fossilized in stone the actual scientists spend years to undercover. "
another student,You're saying you wouldn't want to study them if you had the chance?
grant,No force on this earth or in heaven could get me on that island.
udesky,Udesky.  Yes sir. we're good to go. I'll lock it down as soon as you drop me the payment.
udesky,"That's right, two of the very best I could find. No, I haven't worked with them personally, but they come with the highest recommendations."
cheryl,Billy? I don't think I'm doing this right.
billy,"You need to go slowly. See, just take it little at a time."
cheryl,I can never tell what's bone and what's rock.
billy,"Technically, it's all rock. The calcium in the bones is replaced during fossilization. But you can feel the difference. See? Rough, smooth. Rough, smooth."
cheryl,Rough.
billy,Dr. Grant!
grant,Mr. Brennan.
billy,How was your trip? Profitable?
grant,We'll be broke in four weeks.
billy,Three weeks. I had to rent some equipment.
grant,You rented an automated litter box.
