Speaker,Dialogue
lucien,...or they destroy you.
lucien,You can't show this to anyone.
allen,"Then tell the truth, Lu."
lucien,You weren't even there. It's your truth. It's fiction.
lucien,You wanted him gone too. You sent him to me.
lucien,Allen! No!
lucien,Allen!   No! DON'T...!
louis,How was she today?
allen,Fine. Anything for me?
louis,Why? You expecting something?
allen,No.
louis,I told you it wouldn't work.
allen,Mom?
naomi,You've got to get me out of here. He nailed the windows shut while I was in the bath.
allen,Dad didn't do that. I nailed the windows. Because you're not right.
naomi,Shhh...Allen. He can hear you!
allen,You have to rest. Clear your head. Do you want to go back to Greystone?
naomi,He wouldn't dare put me back there.
allen,Then listen to me.
naomi,SHHHH. He can hear you!
allen,Can he still hear me?
naomi,What did you say?
naomi,Don't ever leave me.
louis,Were you even going to tell me you applied?!
allen,I didn't want her to know.  It was a dream anyway.
louis," Trilling's there. Van Doren. English Professors. Important fellows. And New York City, right in your goddamn lap."
louis,"Love that is hoarded, molds at last."
louis,"Until we know, the only thing we have--"
allen,is what we give away.
louis,"Is what we hand away. Have, hand. Consonance."
allen,"Give, is. Assonance."
louis,I wrote the goddamn poem. Go write your own.
allen,I got in.
louis,You got in?!
allen,I got into Columbia University!
louis,You got into Columbia University?!
luke,"Land of the fairies. Head there and you never come back.  Luke Detweiler, Danville, Virginia."
allen,Allen Ginsberg.
luke," You're Jewish, right?"
luke,I'm getting good at telling.
tour guide,"The South Hall library is a church, and these are the sacraments."
tour guide,Original folios of the most important texts in history. Beowolf. First folio Hamlet. The Gutenberg Bible.
tour,These are among the University's most prized possessions.
lucien," On a Sunday afternoon, when the shutters are down and the proletariat possesses the street..."
lucien,...there are certain thoroughfares which remind one of nothing less...
lucien,...than a big cancerous cock.
permissions librarian,What is this nonsense?
lucien,Henry Miller.
permissions librarian,Get down immediately. That book is restricted.
lucien,Which is why I committed it to memory.
permissions librarian,Security!
lucien,Alert the press! Tell them Lucien Carr is innocent!
tour guide,That was highly unusual. Campus is actually quite quiet. Moving on.
professor steeves,"Rhyme, meter, conceit. Without this balance, a poem becomes slack, sloppy. An untucked shirt."
allen,"Professor Steeves, then how do you explain Whitman?"
professor steeves,Say more. Two more sentences.
allen,He hated rhyme and meter. The whole point was untucking your shirt.
professor steeves,What's your name?
allen,Allen Ginsberg.
professor steeves,Ginsberg? Your father perhaps is the poet Louis Ginsberg?
professor steeves,"He writes rhyming, metered verse. Why do you think he chose that form?"
allen,Because it's easier.
professor steeves,This university exists because of tradition and form. Would you rather this building be built by engineers or Whitman and his boys at play?
professor steeves,There can be no creation before imitation.
luke,Shut the books. We're taking my brother with us to the social. He ships out tomorrow.
allen,I can't. You see how much I've got to do.
luke,He's Navy. It's catnip for the skirts.
luke,"You hymies are really all about work, huh?"
allen,Brahms?
lucien,Finally. An oasis in this wasteland.
allen,How come you're not at the social?
lucien,Only the most anti-social have to go to an event actually called one. Libation?
allen,You drink in your room?!
lucien,How does a horrible bottle of Chianti sound?
allen,I don't drink.
lucien,Freshman?
allen,Yes.
lucien,Excellent. I love first times. I want my whole life to be composed of them. Life is only interesting if life is wide.
lucien,"To Walt Whitman, you dirty bastard."
lucien,How's your Yeats? Have you read A Vision?
allen,Never heard of it.
lucien,It's completely brilliant and impossible. He says life is round: we're stuck on this wheel. Living. And dying.
lucien,"An endless circle. Until. Someone breaks it. You came in here, you rupture the pattern. Bang: the whole world..."
lucien,How did you...?
allen,Consonance. Reiteration of themes.
lucien,Are you a writer? Because I've got a job for a writer.
allen,No. I'm not.
lucien,"Well, you're not anything yet."
lucien,Isn't that you?
allen,What?!
allen,I'll be back.
allen,Hello?
naomi,He's trying to get inside my head.
naomi,He's not home. He left.
allen,Where'd he go?
naomi,"Honey, I need you come home now."
naomi,I don't feel good.
allen, You're going to the dance?
lucien,No. Downtown.
allen,"No, he's not here with me."
allen," Listen, I'll come as soon as I can."
naomi,You need to promise.
allen,Yes. Ipromiseloveyoubye.
lucien,Coming?
lucien,Welcome to the edge of the world.
lucien,Allen in Wonderland.
allen,Do you know her?!
lucien,"No, and I don't plan on it. She tasted like imported sophistication and domestic cigarettes."
lucien, Dave! Where's the liquor?! I'll be right back.
bill, You're...pinching...
allen,Sorry. Are you all right?
bill," Artifacts in the visual field, some light-headedness. Motor hyperactivity."
allen,What is that?
bill,"Nitrous oxide, for narcoanalysis. Know thyself. And beshit thyself. Ever done that?"
allen,"Oh no, thanks. I don't do...the cannabis."
bill,"Show me the man both sober and happy, and I'll show you the crinkled anus of a lying asshole."
lucien,"Allen, Willy. Willy, Allen, Lucien reefer."
allen, Is he a criminal?
lucien,He wishes he were a criminal. The Burroughs family is richer than God.
allen,He looks like a criminal.
lucien,"He's a Harvard man, and he's going to be an amazing artist. His current medium is himself."
allen,What's that?
lucien,"Bunk for school. Now, come on, I want you to meet our host."
david,"What there is, darlings and demoiselles, is a circle. Life is round. Patterns, routines, a wheel of self-abuse. Margaret, don't even deny it."
allen, Sounds like you.
lucien,Because it was me. First.
david,"Until. The the disruption we long for, comes along and the circle is broken."
lucien," He said he was my guardian angel, but that I was too much work."
david,Take this unbloomed stalwart.
david,And you are?
allen,Allen.
bill,"Play nice, David."
david,"Allen, who comes uninvited to my apartment."
lucien,Actually I invited him.
david,None of us notice him. Look at him. Why would we bother?
david,"So the pattern of our evening, our lives, holds. But under the right circumstances, even he might change the world."
david,So you just met Lucien in the lunch line and now he's all that you can see.
allen,Why don't you like me?
bill,Because David was in the same godforsaken line.
lucien,"Some earjob at the bar just called me ""boy."" So I stole his drink."
allen,That's Ogden Nash!
lucien,Who's Ogden Nash?
allen,The best selling poet in the country.
bill,"""A girl who is bespectacled. She may not get her nectacled. But safety pins and bassinets--"""
david,"""Await the girl who fassinets."""
lucien,And that's what he's selling?! I'll kill him.
bill,Aim for the throat.
lucien,No. We're not going to kill him. Even better. We're going make sure nobody remembers him.  How many men started the Renaissance?
allen,Two.
lucien,And the Romantics.
david,More than I suspect this theory accommodates.
lucien,"We're sending millions to fight the Fascists in Europe, but they're here! Meter and rhyme---"
allen,And Professor Steeves---
lucien,"Yes! They're all guards in some prison. Let's make the prisoners come out and play. Let's come up with new words, new rhythms."
lucien,We need a name.
allen,"How did they come up ""Dada""?"
bill,Tristan Tzara jabbed a knife into a dictionary.
lucien,Shit. So that's been done.
david,"A literary revolution without writing a word. Neat trick, Lu."
bill,"Well, I'm listening."
allen,"What about Yeats? How about the ""New Vision?"""
lucien,"Ginsy, you're hired!"
lucien,"""In the dawn, armed with a burning patience, we shall enter the splendid city!"""
allen,Shit.
lucien,"It's Rimbaud. It's overwritten, I know. He's allowed."
allen,"No, my mother. This is bad. This is very bad."
lucien,What is?
allen,She's going to be furious.
lucien,Don't go then.
allen,You don't understand. I have to.
lucien,What?
allen,It's complicated.
lucien,Perfect. I love complicated.
doctor,Greystone will alert you if there's a change in her condition.
allen,"Dad, what's going on?"
louis,Your mother needs her rest.
allen, You can't do this to her.
naomi,Where were you?
allen,I was out. With a friend.
naomi,I called you!
male nurse,"It's time to go, Mrs. Ginsberg."
allen,"No, you're not leaving."
naomi,He already signed the papers.
allen,Dad?!
louis,It's for the best.
allen,Your best.
louis,It's for her best. It's not for my best. Look at her! Listen to her!
allen,Get off!
naomi,This is your fault.
allen,Complicated enough?
lucien,At least you have her. My father left me when I was four.
allen,"I've been thinking about what Yeats said. To be reborn, we have to die first."
lucien,So what do you suggest?
allen,I've spent my life making other people happy.
allen,It's time I find happiness the only way I see possible.
lucien,Where's the verve? The brio?!
lucien,"If it be that I am indulging my self-consciousness in justifying myself, or if it be--"
allen,That's a run-on.
lucien,Don't edit me!
allen,Proclaims the death of morality. And...
lucien,The expression of self.
allen,"The true, uninhibited, uncensored expression of the self."
bill,"Words, boys. Empty words."
lucien,Then what do you suggest?
bill,The derangement of the senses.
lucien,Institutions.
allen,"Paterson, New Jersey."
lucien,My father.
bill,Bingo.
professor steeves,And so while Shakespeare...
professor steeves,All right.
allen,Really?
lucien,It's how we make the world wider.
allen,You are an extraordinary man.
lucien,"Well, thank you."
lucien,Watch this.
lucien, Go.
david,What the hell is this?
bill,Time slows down as you drift deeper and deeper into your cave...
bill,We are exploring the avenues of Allen's mind.
david,"Dimly-lit, I am sure. What have you done to my apartment?"
lucien,"David, don't touch anything. We have to write it all down."
bill,Get this man a pair of scissors!
david,"This is not your revolution, this is my life."
bill,What kind of life is it?
david,It's mine. Not everyone gets an allowance.  Leave. Get out!
david,I need to speak to you. Alone.
lucien,"You make me too smart, they're gonna suspect something's up."
david,And get you sent back to your mother again? That would just be the end of you.
lucien,Fuck you.
professor steeves,"Your crushes, your juvenile metaphysics. None of them belong on the page. It is the first principle of good creative work. A work of fiction you will deliver as your final exam."
professor steeves,Oh look. Whitman Jr. graced us with his presence today.
professor steeves,"""The New Vision. Extraordinary men propel us forward. It is our duty to break the law.""  Fantastic."
allen,There's more life in those five pages than in the dozens of bad sonnets we've read in class.
professor steeves,You want life? You want the world on fire?
professor steeves,The war awaits. What will it be?
lucien,"""The rose that scents the summer air/ grows from my beloved's hair...?"""
allen,Keep going. That's my sonnet for Steeves.
lucien,We have the map. We have the manifesto. We need the work.  I was wrong. Maybe you're not up for this after all.
allen,Show me your fucking map.
lucien,Stop!
allen,"Oh right, you don't have anything because David's not here to write it for you!"
lucien,It's complicated.
allen,I love complicated.
lucien,He's a professor working as a janitor so he can be near his precious Lu-Lu. He is a goddamn fruit who won't let me go.
allen,A fruit?
lucien,A queer.
allen,Then let's get rid of him.
lucien,"Right now, I just need you to write us something beautiful.  First thought, best thought."
lucien,Allen in Wonderland.
bill,"The Germans call it the ""wonder drug."" Prescribed for super-human feats.  Norman pops open a briefcase full of drugs. Bill selects a green pill bottle and gives it to Allen."
bill,"Sudden blindness, bouts of diarrhea, heart palpitations, and a severe decline in moral standards."
luke,What the hell are you doing?
allen,Writing!
bill,"But the words, oh the words..."
allen,Lu! It's very rough but...
david,"Ah. The ""Vision"" at last. Can I see?"
allen,Where's Lu?
david,"He's out. With a senior, some football player. A writer and handsome too.  James? Jack. There it is. Jack."
allen,You're not allowed to be here.
david,That's odd since I'm the only thing keeping him here.
allen,Not anymore.
david,"Piece of advice. You don't know Lu. As soon you think you do, he'll find someone else."
david,Or maybe he already has.
lucien,"What are you, moving in?"
allen,Where have you been?!
lucien,I found a real writer. Already a million words under his belt before Columbia.
allen,You mean Jack?
allen,Why didn't you tell me?
lucien,What am I supposed to do? Newsreels?
lucien,What's that?
allen,Nothing.
lucien,"If you're going to stay, don't hog the blanket."
allen,Why is Jack a real writer?
lucien,"Once you meet him, you'll see what I mean."
allen,No.
jack, The damn cat!
jack, She painted it. Say nothing.
jack,Hey when'd this come?
jack,I dunno. Some battleship.
lucien,"What do you think? Brilliant, no?"
allen,It's missing some periods and commas.
lucien,It's better than anything you've ever written.
allen,I use periods and commas.
jack,Both of you! Quiet!
jack,"Sammy, you bastard."
lucien,Who's Sammy?
jack,My best friend since I was twelve. Off in the Navy.
edie,I didn't know we were having guests.
jack,What's this?
edie,I was aiming for stew.
jack,You missed.
edie,Where are you going?
jack,Out.
edie,Out? I cooked all day for you.
jack,What do you want me to do? Eat shoe leather? I'm hungry and what you do in the kitchen is unholy.
edie,That's funny. You talk like a Catholic. But you fuck me and won't marry me. How does that work?
jack,"Shut your mouth, Edie."
edie,I thought you liked it WIDE OPEN...
edie,Scram.
jack,So Al. You thought my novel was shit?
allen,Not exactly. It's...
lucien,It's all true. Jack served in the Merchant Marines.
jack,I've left school twice already. Columbia's full of squares. I'm not even sure why I bothered to come back.
allen, Then why don't you just ship out again?
jack,"Trust me. Sometimes when I fight with Edie, I want to."
lucien,You two did just fight.
jack,"Carr, you're goddamn crazy."
jack,"A ""new vision?"""
allen,Yeah.
jack,Sounds phony. Movements are cooked up by people who can't write about the people who can.
lucien,"Lu, I don't think he gets what we're trying to do."
jack,"Listen to me, this whole town's full of finks on the 30th floor, writing pure chintz. Writers, real writers, gotta be in the beds. In the trenches. In all the broken places. What're your trenches, Al?"
allen,Allen.
jack,Right.
lucien,"First thought, best thought."
allen,Fuck you. What does that even mean?!
jack,Good. That's one. What else?
allen,Fuck your one million words.
jack,Even better.
allen,You don't know me.
jack,You're right. Who is you?
allen,Be careful. You are not in wonderland I have heard the strange madness long growing in your soul. But you are fortunate.
allen,"In your ignorance In your isolation, you who have suffered Find where love hides. Give. Share. Lose. Lest we die unbloomed."
jack,"Allen. Beautiful, kid."
lucien,You wrote that?
allen,You asked me to. Remember?
lucien,"Forget Columbia. Forget Ogden Nash. Here's the plan, boys. We join the Merchant Marines. Sail the world until the war ends. Then jump ship and make it to Paris. For the liberation."
allen,You don't speak French.
lucien,"Jack does. It'll be us, together. At the beginning. It'll be the perfect day."
police officer,Don't MOVE!
jack,Jesus Christ!
police officer,Put your hands in the air!
dean,"Your attendance record here is abominable. You've ignored curfew. Your papers, when you bother to turn them in, exceed the assigned page limit. Can you explain why you're at Columbia?"
lucien,Same reason you're here.
dean,What's that?
lucien,Loose Barnard girls.
dean,I know about your difficulties. About what happened in Chicago.
lucien, You told him?!
marion carr,He's not the enemy.
dean,"See, the University acts in loco parentis. You are our responsibility. We're trying to find someway to make this all work."
lucien,Who said anybody could know anything about anything?!
marion carr,"Lucien, your temper!"
allen,Who's she?
edith,Hi. I'm Edith Cohen.
allen,What's she doing here?
edith,I'll go wait outside.
allen, So that's why you locked mom up.
louis,Did he put you up to this?
allen,No. I stole the boat. And it was tremendous.
allen,Where are you going?
lucien,You know me now. I'm only good at beginnings.
allen,You're dropping out?
lucien,Best of luck.
allen,"My father shows up yesterday with some new woman. And in the middle of the Allen's-a-screw-up monologue, all of a sudden, I realize: I don't care. I've never not cared. So, I told them it was my idea. To steal the boat."
lucien,Why?
allen,Because I don't want to be the person they think I am. I'm on academic probation. I could be kicked out. You can't leave. You started something and I have no idea what I'm supposed to do next.
allen,It's our turn. Let's show them what we can do.
allen,You in?
permissions librarian,You must not drink while you're handling it. And no writing in it.
permissions librarian,It must come back exactly as you found it.
jack,"No telling Edie, got it?"
jack,I see you checking out all these books. And I'm asking myself: do you ever get checked out?
bill,25 seconds. Masterful.
lucien,Damn! Shift's over.
allen,I'll go.
allen,Hi.
allen,I wondered if you could help me.
gwendolyn,Sure.
allen,I'm looking for a book.
gwendolyn,Okay. Does this book have a title?
allen,It's called The Day Amanda Came.
gwendolyn," Well, you'll have to wait. I can't leave the desk."
allen,But...I really need it.
gwendolyn, Okay. Only for you.
lucien,Shit!
allen,Working here must be a drag.
gwendolyn,I like it. It's the only way I meet boys. They're very strict at Barnard.
allen,How strict?
gwendolyn,"For example, they'd never let me do this."
allen,Right. No.
bill,Go!
gwendolyn,Did you know I've never done it with someone who was Jewish before? I really want to know what it looks like.
gwendolyn,"I'm sorry, I thought you were saying something but not saying it. Should we find your book?"
allen,There is no book. Take it off.
gwendolyn,Really?
gwendolyn,"It's not like I'm a virgin. I've done it with three guys already. You're a virgin, huh?"
gwendolyn,"You're kind of a virgin, though, huh?"
allen,No.
gwendolyn,"Liar. If you have done it before, you'll last for thirty seconds. Start counting."
gwendolyn,I knew it.
gwendolyn,I bet you don't even read.
allen,I do.
david,Excuse me. I think I saw some light or movement in the library.
jack, What just happened?
jack,"What the hell, Bill? It's locked!"
guard,Did you hear that?
security guard,We know you're here!
allen,Wait. Lucien.
allen,Lu that's enough. Come on! What's wrong with you?
lucien," No. Not yet, we have to finish."
security guard,Don't move. It's over.
lucien,Get off of me! Allen! Help!
security guard,Open the goddamn door! Open this up!
tour guide,"The South Hall library is a church, and these are the sacraments."
tour guide,Oh. My. God.
lucien,To literacy.
allen,"Jack, that's you, isn't it?"
jack,Yep. Last year. They still won.
lucien,Look at them!
lucien,Souvenir history. To make people think they left some mark on the world. Because otherwise nobody would ever know.  I don't ever want to end up on this wall.
jack,Have no fear. You never will.
allen,What's he doing here?
david,"Since you didn't show up earlier, I just hoped to give you this."
allen,Maybe he didn't want to see you.
david,I think he can speak for himself.
lucien,Yup. And he says we should all have another round...
david,You've had plenty of time to celebrate. Your library hijink made the morning paper. I'm sure you're all very proud.
allen,How did you know it was us?
david,"Did he use that ""Bastille"" line? Cause I gave it to him."
lucien,I haven't seen you for days.
david,You left this at my place.
allen, You told the guards we were there. No one else knew.
jack,You little fink!
lucien,You wanted me to get kicked out?! You ratted on me!
david,"Stop, Lu. You're losing control again. You know what comes next. I know what comes next."
allen,Yeah.  Cut him off.
lucien,"Best of luck, Janitor."
david,Excuse me?
lucien,We are over. Leave.
david,"Look at me, Lu."
bill,Let's go.
