Speaker,Dialogue
bertie,You look like a Christmas tree.  He smiles wanly.
elizabeth,"Buck up, Bertie. The BBC said it wouldn't rain."
elizabeth,Why wasn't he told?
cosmo lang,"Ten million people listening around the world, Mam. Possibly more.  His brother, and father, have been broadcasting since last year."
bertie,"Luh-luh-lords, la-la-ladies, gen-tell-men."
cosmo lang,I wouldn't miss His Highness' maiden voyage for all the world. And on such an important occasion.
bertie,No doubt you wish the Prince Of Wales was standing before you today.
elizabeth,Are you there?
elizabeth,Pardon?
lionel,"Iago...world's greatest villain. Just wants to be bad. Sorry, no receptionist."
elizabeth, I'd be more comfortable in your office.
lionel,That's for clients. Where's Mister J?
elizabeth,He doesn't know I'm here.
lionel,That's not a promising start.
elizabeth,My husband's seen everyone. They were all useless. He's given up hope.
lionel,A bit premature.
elizabeth,Because he hasn't seen you?
lionel,I'm sure of anyone who wants to be cured.
elizabeth,Of course my husband wants to be cured! His position requires public speaking upon occasion. A torment. I fear the requirement may grow more frequent.
lionel,He should change jobs.
elizabeth,He can't.
lionel,Indentured servitude?
elizabeth,Something of that nature.
lionel,"Well, have your `hubby' pop by and give his personal history. I'll make a frank appraisal."
elizabeth,Doctor...
lionel,"Sorry, this is my game, played on my turf, by my rules."
elizabeth,Perhaps you'll make an exception?
lionel,"I thought the appointment was for ""Johnson""?"
elizabeth,"A name used during the Great War, when the Navy didn't wish the enemy to know His Royal Highness was aboard."
lionel,I'm considered the enemy?
elizabeth,"You will be, should you continue to be un- obliging."
lionel,"For my method to succeed there must be mutual trust, complete honesty, and total equality. That process takes place in my consultation room. No exceptions."
elizabeth,"In which case...  I should have kept my pledge. I promised my husband I'd stop seeking ""The Great Cure."" I've wasted your time. And mine."
lionel,"Bloody hell, I buggered that."
valentine,Stand and deliver!
lionel, `ow dares molest...Jack The Ripper?!
peter,"We're Swagmen, not Highwaymen, Dad."
lionel,"Oh.  Beware, jolly Swagmen, I'll skewer yer gizzards."
myrtle,You'll all hang from the gallows if you don't come for tea.
lionel,"Boys, I think we'd best go up."
lionel,Had a visit from a lady today.
myrtle,Another spoiled silly?
valentine,May we be excused?
lionel,"You must stay, bored stupid, listening to your parents' inane conversation."
the boys," Thanks, dad!"
lionel,And mum.
the boys,And mum!
myrtle,Take your plates.
lionel,At what I do.  Twas a Lady with a capital L.
myrtle,"Oh, Lionel, that'd get us home in grand style wouldn't it?!"
lionel,She came on behalf of her husband. Which is not the proper way. I told her I was fully booked.
myrtle,We wouldn't want that.
lionel,Had a call. Wish me luck?
myrtle,"Course, Lionel. Loads and loads."
elizabeth,"""Mr. and Mrs. Darling and Nana rushed into the nursery too late. The birds were flown."""
margaret rose,"Oh, to fly away!"
bertie,Weren't they lucky.
lilibet,One would have to learn to fly properly of course.
margaret rose,Now a Daddy story!
bertie,Can I be a penguin instead?
lilibet,"The horsie story, please."
bertie,Ah well.
lilibet,A silly story really. But Father tells it rather well.
bertie,David called. He said come round to The Fort on Friday and stay for dinner.
elizabeth,Will she be there?
bertie,I suppose.
elizabeth,Seriously?
bertie,"Seriously, she'll be there."
elizabeth,I think I meant... is David serious?
bertie,About our coming?
elizabeth,About her!
bertie,A married American? Twice divorced? He can't be.
elizabeth,She can.
director,Now!
lionel,"""Now..."""
director, Thank you. Beautiful diction...but I don't hear the cries of a deformed creature yearning to be King.
lionel,What do you suggest?
director,"Continue to do whatever you do, and hope it gives you a great deal of satisfaction."
bertie,I d-d-don't thu-thu-think I c-c-can.
bertie,"Father, we're not a family, we're a firm."
bertie,What did David say?
bertie,Oh my brother...
bertie,What're you going to say?
bertie,"They didn't come to see us, Father."
bertie,Where's David?
bertie,What's needed is cooperation...
bertie,Is this necessary?
elizabeth,You know perfectly well.
bertie,David has `the touch'. They adore him.
elizabeth,There's no receptionist.
bertie,How'd you find this physician?
elizabeth," Classifieds; next to ""Saucy model, Shepherd's Market""."
bertie,I'm not sure I want to see this fellow.
elizabeth,I'm not sure he wants to see you.
anna,"You can go in now, ""Mr. Johnson""."
bertie,I'm not actually Mr ...
anna, Dr Logue says...
anna,"Lionel says...wait here if you wish. Or, it being a pleasant day, take a stroll.  Was that alright?"
anna, Thank you...Lionel.
bertie,My wife's favorite colours.
lionel,Glad we have something in common.
bertie,Please...
lionel,What?
bertie,You're too close. Five paces is the rule of thumb.
lionel,That might be difficult in this office.
bertie,I can't discuss that.
lionel,What can we talk about?
bertie,That's better. When speaking with a Royal one waits for the Royal to start the conversation and chose the topic.
lionel,Your joking. That won't work here.
bertie,I admit if one waits for me to start a conversation one can wait a rather long time.
lionel,You call this being forthcoming?
bertie,Aren't you interested in treating me?
