Speaker,Dialogue
klute,Klute. With a K. K - L - U -
ross,"Are you with plant security, Sergeant?"
klute, Town Police.
ross,Then how are you involved?
klute, I know Tom Grunemann.
ross, You knew the subject Thomas Grunemann. How well?
klute,We grew up together. Kids.
ross,Can you account for his disappearance in any way?
klute,No.
ross,Did he recently appear to you agitated or depressed?  -- indicates no -- Did he voice to you grievance or discontent with his research work here? Indicates no. Moral or sexual problems or peculiarities? --
klute,No.
ross,Marital problems in general? Indicates possibly -- am I right Sergeant?
klute,"Everybody's got some, I guess."
ross,Did he ever mention specifically a girl or woman in New York?
klute,No.
ross,"Examine this letter please.  We recovered that from the shredder -- the plant disposal and incinerator system. Grunemann apparently typed it Friday, before he left, decided not to send it, tossed it away. We've already contacted the New York Police; they think they know the girl in question."
holly,"My husband was not like that! My God, Klute."
klute,It looks like he sent her quite a few of those Holly -- the girl -- she recalls six or seven letters like --
holly, Johnnie I don't understand. I just don't understand.
ross,"-- has disclosed no evidence of crime or criminal intent within the jurisdiction of this bureau, and since subject Thom --"
cable, It's been almost a year! Tom Grunemann's been missing for a year. And all the FBI has to offer is a report that must bore even you.
ross, Well sir.
streiger,Are you closing the case?
ross,"No sir, we don't state that. We're countin --"
cable,But you don't find it worth much effort.
ross," Well Mr. Cable, you've got me here from the Bureau. You got Lieutenant Trask here from New York representing his department and I don't frankly consider --"
streiger, Why couldn't you ever find out anything from the girl?
ross, Trask --
trask," Four interrogations. She thought she remembered Grunemann -- from those letters from before, she made that connection -- but she hadn't seen him since and couldn't identify his photograph and she --"
streiger,Why not?
trask,"Oh a good call girl, she'll turn six-seven hundred tricks a year. The faces get blurred.  And since then, recent months, she's reported several, you know, incidents: like breather calls, anonymous phone calls, also somebody maybe following her, watching her, things like that. So it's I guess you could say, conceivable Grunemann's still around there, just hangin around her, spooking her. But you know, that --"
ross,The subject got emotionallv disturbed; he just dropped out. There's thousands.
streiger,"Inspector we understand your position; ours is a little different. We have an investment in Tom Grunemann. The Company has an investment, and we feel entitled to investigate for ourselves."
ross,"Private investigation, you mean. Yes sir, of course you're entitled, and there's some very competent --"
streiger,Klute offered us his services; we've accepted.
ross," Yes sir, we know he --"
streiger,"We'd expect him to work in cooperation with you. He'd report to each of you and to our Company's New York office, to Pete -- Pete goes there on a regular schedule back and forth, and --"
ross," Mr. Streiger, speaking frankly -- we've appreciated the Sergeant's interest you know, all along. Here, locally. But New York, that's - well --"
trask, Ever done any missing person's work?
ross,"Spent much time in the city?  You see, I have to wonder -- speaking frankly; the Sergeant knows I'm only speaking frankly -"
cable,You wonder why we thought of Klute? Frankly? He's interested.
bree,Strangle him to death funny?
director,Well we go from this into stomach diagrams. It can't be too -- look let's try it again from -
bree,"Bree Daniel, any messages?  OK, thanks."
bree,Hullo.
bree,"Lover, that's got to be a little extra. I mean it sounds very exciting, what you speak of, you've got me all excited. But something special like that, you know it's got to cost a little more, mm?"
bree,"Oh lover, oh it's too much -- oh you thrill me -- yes, like that, it's -- oh it's beautiful, oh --"
bree, What is it?
bree,What about?
klute,My name's John Klute.
bree,You said that.
klute,I'm an investigator. I'd like to ask you some questions about Tom Grunemann.
bree,Who?
klute,Tom Grunemann. He wrote you some letters.
bree, Gee.
klute,He was a research engineer at the Tuscarora Laboratories in Pennsylvania. He disappeared from there last April. I've been hired to look for him.
bree,Why?
klute,You know what I'm talking about. Miss Daniel.
bree,Honest?
klute,Will you let me ask you some questions?
bree, Dew yew hayuv ah-dentifikyshun?
klute,Mm.
bree,And you just want to ask me a few questions?
klute,Mm.
bree,-- and I take acting classes with Lee Tainter --
agent,"-- Lee, yes --"
bree,"-- and I was in two of his workshop type productions, Uncle Vanya and the girl in Five Characters --  -- here -- and then of course I have the modeling and the demonstrator work, the trade-fair work -- but naturally I feel ready for something more, well you know, sustain --"
agent,"Well, thanks very much for coming in."
bree, Thank you very much.
klute,That's a lot of people to die unknown.
trask,"Unknown, unidentified and unwanted. And there's more every day man, there's more everyday."
bree voice,"Bree Daniel.  Yeah, hi hon."
bree,"Oh hon, I just don't know. I'm trying to stay out of it."
girl's voice,"-- comes in with these other yulds maybe two or three times a year, and five big ones baby, just one evening."
bree voice,"Marta, thanks, and I'd love to party with you hon, but --"
bree,"Well try to get someone else Marty and if I change my mind -- sure hon, bye."
bree voice,Bree Daniel --
man's voice,"Oh God baby, oh God I really love you."
bree voice,That's nice; who is this?
man's voice,"I really love you baby, you know that?"
bree voice,Bree Daniel.
bree voice,"Oh yeah, hi Frank, sure."
bree voice,"Well Frank that's awful nice but I'm out of action, sort of, you know --"
spangler,"-- Usual case history -- this isn't a medical confidence, it's all of them -- broken family, lonely, confused, crummy childhood, early promiscuity, formal prostitution beginning in her teens, income twenty-five to thirty thousand a year.  Why do you want to know all this?"
klute,I want to know how Tom Grunemann got mixed up in it.
spangler,Not unusual.
klute,Did she talk about him to you?
spangler,"About his letters -- that's all she remembered. Quite violent material, I'd say, obsessive, a quite sick man. But that's not unusual either."
klute,Has she talked with you since prison?
spangler,"No. She had every good intention of it -- coming to me as a private patient, getting out of the life, devoting herself to an acting career."
klute,I think she's trying that.
spangler,"Oh sure they try. The idea of a better life.  But they don't really know much about life: They get confused -- or scared or frustrated or bored -- they pop back to the one thing they can handle. The trick. The trick. Men in bed. Not men in general, not life, not love, not even real sex -- it avoids all that. Just the trick, the transaction."
man, We had a bet on - if you were real or not. I won.
bree, Marta --
bree,Hi. Bree.  I really want to just talk to you.
bree,Hi? -_
bree,Oh thank you.
bree, It's good to see you. Well -- could we do it first and then just talk?
bree,Well -- well I'm just back. And -- I must tell you -- something quite wonderful.
bree,"And Cannes was quite fun, quite; and we played baccarat and chemindefer and there was a nice little Italian marquis quite enthusiastic for me -- but a young man can be so silly --"
bree,And then one night -- at the gaming tables -- well I just saw him. A stranger -- looking at me -- and I knew suddenly that all my life I'd been --
bree,"Not young; he wasn't young -- gray at the temples, he -- well actually he looked like you."
bree,"And nobody could tell me who he was -- an exiled prince or a mercenary or a bullfighter or -- but I felt it stirring inside me, this -- this wild, pagan feeling --"
bree,"And next day at the beach -- our beach pavilion -- I saw him again, his eyes burning into me. I was helpless. Without his even speaking to me, without his even touching, I knew that somehow -- somehow --"
bree,Whyn't you just cut out?
bree,Oh you bastard.
klute,"No, I'm look --"
bree, If I was taking calls full time would I be living in this kip? I'd be back on Park Avenue; I could support the whole National Guard!
klute, Could I ask some questions?
bree,Or you'll get me shoved back in the brig you mean; another month with the bull-dykes.
bree,"Look, I told the police everything: I don't even remember the schlub!"
bree,"They showed me that one. I understand it's Grunemann, but I told them, I just don't remember."
bree, A family sort of man.
klute,Company outing or picnic or something like that.
bree,Isn't that sweet.  Well it could be any one of them bubi; I get to see them all.
klute,-- Tuscarora --
