Speaker,Dialogue
ted," They're not gonna call... I tell you they're not gonna call. I blew it. I don't know what I did wrong, but I"
ted," I don't think so, Jim. Maybe I shouldn't have"
joanna," I love you, Billy..."
billy," I love you too, mommy... Good-night..."
joanna,Sleep tight...
billy,Don't let the bedbugs bite...
ted, All I can say... All I can say is this is maybe one of the five best days of my whole life...
ted," So anyway Jim and I are making the pitch, right? And all of a sudden this old guy starts to cough and I keep on going and he keeps on coughing and I keep on going and he keeps on coughing and"
murray," Congratulations, Ted. That was a hell of a job."
ted," Where you goin' Murray, it's early?"
murray,Got to get home.
ted," So anyway, I look over and this old geezer is starting to turn blue and I swear to God the only thing I can think about is that this poor sonofabitch is gonna die on me and screw up the pitch."
ted,"Jim, I've got to go. I'm already late"
ted, Wow!
ted,I thought you might just like to know that at five-fifteen this afternoon we were officially handed the Fire and Ice account by Revlon.
joanna," Ted, I'm leaving you."
ted,That represents a gross billing in excess of two million  What?!
joanna,Here are my keys. I won't be needing them any more.
ted," I'm sorry I'm late, all right? I'm sorry I didn't call  I was busy making a living."
joanna,My American Express... My Bloomingdale's Credit Card... My check book
ted," Okay, okay... What is it this time? What did I do now?..."
joanna, I took two thousand out of the savings account. That was what I had in the bank when we got married.
ted,"Joanna, whatever it is, believe me, I'm sorry."
joanna,Here are the slips for the laundry and the cleaning. They'll be ready on Saturday.
ted," Now listen, before you do something you'll really regret you'd better stop and think -"
joanna," I've paid the rent, the Con-Ed and the phone bill, so you don't have to worry about them."
joanna,"There, that's everything."
ted," For God's sake, Joanna, would you at least tell me what I did that's so terrible! Would you do me that little favor?"
joanna,"Look, it's not your fault, okay? It's me. It's my fault  you just married the wrong person."
ted, So we've got problems. Everybody's got problems  that's normal
joanna,"Ted, you're not listening to me. It's over, finished."
ted,"I'm listening, Joanna  believe me, I'm listening. My wife is walking out on me after eight years of"
joanna, I  am  really  and  truly leaving  you.
ted,"I heard you, Joanna. I promise I heard you."
joanna,No you didn't.  You didn't even ask about Billy.
ted, What about Billy?
joanna,I'm not taking him with me.
ted,What?
joanna," Ted, I can't... I tried... I really tried but... I just can't hack it anymore..."
ted,"C'mon, Joanna, you don't mean that. You're a terrific mother"
joanna," Ted, I've got to go... I've got to go."
ted," Okay, I understand and I promise I won't try and stop you, but you can't just go... Look, come inside and talk... Just for a few minutes."
joanna, I'll go right out the window.
ted, Where are you going?
joanna,I don't know...
ted,Do you want me to help you get a cab?
ted, Joanna!?... Joanna?!
woman's voice, Huh... Hello?
ted," All right, Thelma... That's it. I've had it. You can call your good friend Joanna Kramer and tell her enough is enough, okay? I mean, I don't know what I did, but you can tell her she's made her point."
woman's voice,"Ted, what are you talking about?!"
ted,"Don't play innocent with me, Thelma. You know perfectly well what's going on."
woman's voice," Ted, I don't understand a word you're saying. Where's Joanna?"
ted,Ha! You tell me.
thelma, All right. What's going on?
ted,"All right, Thelma, you want to know what's going on? I'll tell you what's going on. I'll tell you exactly what's going on."
thelma,"Look, Ted, all I"
ted, I came home tonight. We just got the Fire and Ice account at the agency. Do you know what that means?! Do you understand what that means? It means that it was maybe one of the five best days in my whole life.
thelma,"Ted, all I wanted to know was where"
ted," I walk in the house and before I can say ""How are you?"", ""Did you have a nice day?"" before I can say anything. Pow she's out the door."
thelma,OhmyGod. Didn't she say anything? She must've said something.
ted," Yeah, she said it wasn't any use talking anymore."
thelma,"Ted, don't be so hostile."
ted,"Hostile?  But if you want to know what I am. I'll tell you what I am. What I am is, I am hurt. I am very hurt. And I just want to know one thing, okay? Just one thing... Why? That's all I want to know... Why?"
thelma," Ted, Joanna and I used to talk a lot and... well, she told me a lot of... ah, things about the two of you."
ted, Things? What kind of things?
thelma," I mean... things. Ted, Joanna's very unhappy and"
ted," Listen, Joanna Kramer's got a goddamn good life. She's got a husband that loves her. She's got a terrific kid. She's got a wonderful home"
thelma, What d'you know about how Joanna felt? You went off to an office every morning and you'd come dragging home at seven or eight every night and as long as dinner was on the table you thought everything was swell.
ted,Did it ever occur to you guys that Joanna Kramer's not the easiest person in the world to live with?! Did it?! For one thing she's always thirty minutes late. You can set your watch by it
thelma," So she's late. What's the big deal. That's just a way of saying, ""Pay attention to me."""
ted," Two. She is getting to be a real hermit or recluse or whatever it is you call it. Thelma, do you know where I could be in this business if I had a wife that entertained or went out socially"
thelma,"Oh for shit's sake, Ted, you are the most selfish human being I have ever met. No wonder she said you came first, then Billy, then, if there was anything left over, she got the scraps."
ted,Joanna said that?
ted,Then how come she never said anything like that to me?
thelma,"Maybe she didn't feel like she should have to. Maybe she felt like if you'd been paying any real attention to her to start with, maybe you would've noticed."
ted," Boy, you guys are really something, y'know? I'd like to know one thing, okay  just one little thing. Did you tell Joanna she should leave me?"
thelma, No.
ted,Y'know something Thelma  you are the typhoid Mary of divorce. I mean it. Joanna and I never had any trouble until you and Charley split up.
thelma,"Ted, divorce is a terrible thing. I know, I went through it. You've got to believe I did everything I could to get Joanna to stay.  But I'll tell you something. You may not want to hear it, but it took a lot of courage for Joanna to do what she just did."
ted,I'd like to know what the hell kind of courage it takes to walk out on your husband and your child?
thelma,Joanna left Billy? She didn't take him with her?
thelma, Oh Shit.
billy,Where's mommy?
ted,Huh?... Oh God... What time is it?
billy, The little hand is on the six and the big hand is on the nine. Where is mommy?
ted," Oh, Christ... Ah, yeah... you want to know why mom's not here, right?"
ted, Now how about some breakfast?
billy,When is mommy coming back?
ted, Soon. Very soon.
ted," I'll tell you what, kiddo  why don't I fix us some French toast?"
billy," Wow! French toast, really?"
ted, ...eggs! Right?
ted,This is terrific... isn't this terrific?
ted, I'm having a good time... Are you having a good time?
billy,You forgot the milk.
ted, That's right. You're absolutely right... It's been a long time since I made French toast.
ted,"Look at this, isn't this something?!"
billy,What about my orange juice?
ted, Right. One O.J. coming up.
billy, Daddy!!!
ted,Don't worry... Everything's fine...
ted,Goddam! Son of a bitch!
ted, It's okay. It's gonna be okay...
billy,When is mommy coming back?
ted,"Soon. I told you before, very soon."
billy, Will she pick me up after school?
ted,"No. If I'm not here, you go home with Thelma and Kim."
billy,What if she forgets?
ted," I'll call Thelma and remind her, okay? Don't worry."
billy,But what happens if she's on her way to school and she gets runned over by a truck and killed? What happens them?
receptionist," Congratulations, Mr. Kramer."
young man,"Terrific news, Ted."
ted," Uh, Jim... Can I talk to you?"
ted," You want to know the real kicker? The real kicker is, for the first time in my life  the first time  I feel like a loser."
ted, Me? I've never been better. I mean having my wife walk out on me after seven years of marriage agrees with me just fine.
ted," I'm going to be okay. The way I see it, Joanna'll come home, it's just a matter of time."
ted," I don't know, Jim. This whole thing has happened so... Pow  like that."
ted," I don't know, Jim..."
ted,"Jim, I appreciate what you're saying. I mean it, but I really think Joanna's coming back."
ted,Billy!
billy," Uh, huh..."
ted,You got a letter from mom.
billy, When is she coming home?!
ted,"""My dear, sweet Billy: Mommy has gone away. Sometimes in the world daddies go away and mommies bring up their little boys. But sometimes a mommy can go away too, and you have your daddy to bring you up."""
ted," ""I have gone away because I must find some interesting things to do for myself in the world. Everybody has to, and so do I. Being your mommy was one thing, but there are other things and this is what I have to do. I did not get a chance to tell you this, and that is why I am writing you now."""
ted,"""I will always be your mommy and I will always love you. I just won't be your mommy in the house. But I will be your mommy of the heart. And I... ""  Billy."
ted, It's okay... It's okay. We'll talk about it some other time.
thelma,"Oh, God... OhmyGod..."
thelma,What are you going to do?
ted,"I don't know, Thel... This whole thing has happened so... Pow, like that."
thelma,"I mean, what are you going to do about Billy?"
ted," I'm gonna keep him, why?"
thelma,"Look, this is nothing personal, but I don't think you can do it."
ted,"Thelma, I've lost my wife, I'm not losing my child."
thelma," All right... Okay... But let's get something straight, right now. I mean, I'm sorry about what happened between you and Joanna, but it's not my problem, understand?"
thelma,"I'm not going to have you calling every fifteen minutes just because you can't find a hot water bottle, understand?"
thelma,I've got enough trouble raising my own kid. I don't need another one. Got it?
ted,Got it.
thelma,"You're on your own, understand?"
ted,I understand.
thelma,You're sure?
ted,I'm sure.
thelma,All right. Who's Billy's pediatrician?
thelma," Ed Davies. 230 East 76th Street. 472- 8227. Fifty bucks a house call, thirty for an office visit. Write this down: I'm not telling you twice. What's the nearest hospital?"
ted,Wait a minute! Wait a minute!
thelma, Lenox Hill. 77th Street between Park and Lex. The emergency number is 327-
ted,Slow down... Slow down...
thelma,"Colors in one pile, white things in another and shirts in a third."
thelma, Brush the teeth. Hang up the towel and flush the toilet.
ted," 'Night, Jim."
ted,Can't do it tonight. Gotta pick up Billy. I'm late.
ted," Sorry, Jim I've got to go. I'll talk to you tomorrow."
ted," Mrs. Kline, I'm sorry I'm late, but"
billy, You're late.
ted,"I'm sorry, pal, but I had a meeting and"
billy, Goodbye.
billy,Bye.
billy, I was waiting a long time.
ted, ...twenty minutes late.
billy,All the other mothers got here a long time ago...
ted, How was school today?
billy,Okay... Same as usual...
ted,"Billy, don't eat with your fingers."
billy, Sorry.
ted," Well, I see the Yankees finally won a game."
billy,"Mom, I mean dad?"
ted,Yeah?
billy,Can I be excused? I'm not hungry. I think I'll go to bed.
ted,"Sure. Too much birthday cake, right?"
billy, I guess...
ted,Goodnight.
billy, 'Night.
ted,"Listen, pal, I'm sorry, okay?"
ted,I know how you feel.
ted,"Look, I remember one time when. I was a couple of years younger than you are now and... I was staying with this cousin of mine and my parents were supposed to come and pick me up by three, but it got later and later and they didn't and they didn't show up and I remember I got really scared that something had happened to them and I remember when they finally came instead of being happy to see them I was very angry and... Billy, I promise I'll never do that to you again, okay?..."
ted,Billy? Okay?
woman, It's very big... They didn't tell me it was this big.
ted," No... No, actually it's only two bedrooms."
second woman, Phew... This place is a real pig sty.
ted," Look, my wife just walked out on me. Okay? It's been a tough week."
third woman,"Don't tell me your troubles, mister. I got enough of my own."
fourth woman,"The first thing is, I don't do floors."
fourth woman, Or windows. I come in at ten and I get Wednesdays off.
ted," You couldn't make that Saturday, could you?"
ted," Well, he's... ah, he's a good kid. He's shy and... I think he's probably very creative and..."
ted,Sure. He's right in here.
ted,"Mrs. Willewska, could you start on Monday?"
billy," Mom, I mean dad..."
ted, Uh huh...
billy,That's not the right soap. We use the kind in the green and yellow box.
ted,"C'mon, there's not much difference"
billy, We use the green and yellow.
billy, The pink stuff.
ted,"Okay, what color cereal do we get?"
ted, What?
saturday father,"Walk him over to Bethesda Fountain, buy him an ice. It'll kill twenty minutes."
ted,I've got a lot more than twenty minutes to kill.
saturday father,Tough...  How long you been divorced?
ted, Three months. How can you tell?
saturday father,"You've got that look. My lady and I split two years ago in August and I'm an old pro at this shit. First thing, stay away from the Children's Zoo. It's pure hell  if I never see another chicken, I'll be happy.  I'm here, darling. Don't worry..."
ted, Billy?
ted, Billy?
ted,Billy?!
billy,Mommy! Mommy!
billy,Oh. I thought you were my mommy.
teacher,Ladies and gentlemen...
billy,Ladies and gentlemen...
teacher,Welcome to the greatest show on earth.
billy,Welcome to the... 
teacher,Greatest.
billy,Greatest...
teacher,Show.
billy,Show...
teacher,On earth.
billy,On earth.
teacher,"Mr. Kramer, I just wanted to tell you what a wonderful boy your son is."
ted," I mean, with what he's been through and everything. I"
teacher, No... No... Billy is doing just fine.
ted," Well, you know it's not easy raising a kid on your own and I thought if we could get together and, uh, discuss"
woman, Barbara! Congratulations! When is the baby due?
teacher,"Excuse me. You said you wanted to talk, Mr. Kramer."
ted, I've got an appointment... I forgot all about it...
secretary,Mr. O'Connor called. There's a meeting with the Revlon people in the board room and you're fifteen minutes late.
ted, I know... I know.
secretary,Mr. Schmidt can't have the figures on the television buy until Monday.
ted,"No. Uh, uh. Tell him I asked for it Friday. I want it Friday. Period."
secretary,Mr. Lombardo from packaging wants to meet on Friday.
ted,Fine.
secretary,And Mrs. Kelsey called to ask if Billy can come to Stephanie's birthday party on Tuesday.
ted," Yes. Remind me to pick up a ""Crying Chrissie"" doll at lunch on Tuesday."
phyllis,"Hello, Kramer."
ted,"Hiya, Phyllis. These are the Revlon contracts. I thought you ought to check them out."
phyllis,Sure.
phyllis,Yes.
ted," Yes, what?"
phyllis," Yes, I'll have dinner with you."
phyllis,"Kramer, I've got to go. I've got an eight o'clock closing tomorrow down on Centre Street."
ted, Mmmmnph... I'll get you a cab...
phyllis, That's okay. It's just that I've got these clients that are
phyllis," Oh, God."
billy, Do you like fried chicken?
phyllis, Ah... Yes.
billy,So do I...
phyllis, I just met your son.
ted,Like that?!
ted,And?
phyllis,He wanted to know if I liked fried chicken.
ted,Do you?
ted, So what's your problem?
ted,You ever think about getting married again?
thelma,"No, not really...  I guess it's different if you don't have children, but... I dunno, even if Charley and I don't live together, even if we're sleeping with other people, even if Charley was to marry again... He'd still be my husband. That stuff about ""Till death do you part?"" That's really true."
ted, How many onions does it say to use?
thelma, Three. And add some basil.
ted, D'you think you and Charley'll ever get back together again?
thelma,No. I don't think so.
ted,"C'mon, Thel. So Charley had a little fling. So what? All in all he was a pretty good husband."
thelma,"Look, I know this isn't gonna make any sense, okay? I mean forget the logic part... But I keep thinking if Charley really loved me, he wouldn't have let me divorce him."
ted,"Now look, you hold it like this... "
phyllis," No, no, no, Kramer. That's not how you do it. Look..."
phyllis,...you hold it like this...  Throw me one.
ted,"Okay, Jim. Here's the report on..."
ted, What the hell is this?
ted," I don't. Jim, this isn't anything like what we talked about. It's not even close."
murray," Ted, basically it's still your concept."
ted,"Now hold it right there, I'm the one that went in and sold Revlon on this idea to start with, remember? You said I was going to be"
ted, Yes?
ted,"Look, Billy, I told you before, one hour of T.V. a day, that's the rule... No...  Billy, I'll talk to you later, good- bye."
murray," Ted, I appreciate what you're saying, but I really think you're just too close to it right now."
billy," Mom, I mean dad..."
ted, In a minute...
billy,What do you do when an elephant sits on your fence?
billy,You get a new fence.
ted," C'mon, Billy. I'm trying to work for God's sake..."
ted,"Goddamnit, can't you watch what you're doing!"
billy, I'm sorry.
ted,Je-sus Christ! I catch all kind of shit at the office because I'm not pulling my weight because I'm busting my butt trying to be a decent goddamn father and
billy,I'm sorry.
ted," Oh, crap, I'll have to do this one over."
billy, I'm sorry.
ted,"Look, it's after your bedtime, okay? Just do me a favor and go to bed, okay?"
ted,"Look, I'm sorry I yelled, okay?"
billy, That's okay.
ted,It's just... I've been catching a lot of flack at the office...
billy,That's okay...
phyllis,"How about lunch, Kramer. I'm buying."
waiter,Perrier and lime... 
ted,"Okay, Phyllis, what's up?"
phyllis,Kramer...
phyllis, O'Connor's out to get you. He's going to take the Fire and Ice account away from you.
ted, What?!?
ted, I don't believe it! That's crazy! Why would Jim do something like that?
phyllis, I'll tell you exactly why. Because you're not his buddy anymore. Because he can't count on you to sit around the office every night until eight or nine and shoot the shit with him.
ted,I can't. I've got Billy to take care of.
phyllis, You dope. O'Connor doesn't give a damn about Billy. All he wants is somebody that'll hang around with him every night so he won't have to go home.
ted, I don't believe you.
phyllis," All right. Okay. But tell me something, Kramer. Who do you think is palling around with O'Connor these days?"
ted,How should I know?
phyllis,Murray.
ted,So... what's so terrible about that?
phyllis," Murray has gone in and changed every single ad you've done on the entire Fire and Ice campaign. Every layout... Every idea... Every single thing, right down the line."
ted,"No. No, I don't believe it. Jim O'Connor would never let anything like that happen. He gave me my shot in this business. If it wasn't for Jim O'Connor I'd be  I don't know where I'd be. He's a wonderful man..."
phyllis," Kramer, I'm sorry. All I was trying to do was"
ted, I don't want to hear another word against him. Not another word. He's a wonderful man... a wonderful man...
secretary," I'm sorry, Mr. O'Connor is in conference."
ted," Well what the hell is this? What's going on, Jim?"
ted,"Jim, this is garbage. This isn't anything like what we talked to Revlon about. None of it. You can't"
billy,What is it?
ted,Salisbury steak.
billy,I hate it.
ted,You don't hate it. We had Salisbury steak last week and you liked it fine.
billy, No I didn't. I hate the brown stuff. It's gross.
ted, All it is is onions and gravy.
billy,I'm allergic to onions.
ted,You are not allergic of onions. You've had them lots of times.
billy, I want a pizza.
ted," No. This is fine. Just take a bite, you'll like it fine."
billy,I think I'm going to throw up.
ted," Oh, for God's sake... Here."
ted,"There, okay? Now that's just plain old hamburger."
billy,Some of the brown stuff is still there.
ted, Then eat around it.
billy,No.
