Speaker,Dialogue
melissa mathison, 16 October 1992
lhamo,Me.
father,No.  This must stop.
lhamo,Me.  Here.
father,I am the father.  You sit there.
lhamo,Me here.
mother,What is the harm?
father,"He will grow up all wrong. Only you can serve him, only you can wash his bowl. Too tidy, everything just so. He must know his place."
lobsang samten,He thinks he is king here. No respect.
mother,What is the harm?
lhamo,"I go away. Look, mama, I go away. Far, far, far."
mother,"Oh, no.  Where will he go?"
lhamo,"Far, far away."
lhamo,Mine.
lhamo,Mine.
servant,Mine.
lhamo,Please.
servant,"I will give it to, if you can tell me who I am."
lhamo,The Lama of Sera. You come.
mother,"Lhamo, no."
servant,Thank you.
lhamo,Wait!  No!
lhamo,"Me, too.  Me go, too. Lhasa!"
mother,"No, no, no.  Lhasa! He always says he will travel far away.  He always wants to go."
servant,"We cannot, young master."
lhamo,You come back?
servant,We will.
mother,"Say, Kumbum Monastery."
lobsang,Kumbum. It is not far away.
mother,"It is not far at all, and it is a beautiful place. And your big brother is abbott there. You will not be alone."
lobsang,I will be very smart.
mother,You will be fine. You will be a fine monk.
mother,Om mani padme hum. Om mani padme hum.
mother,Your father had been very sick. He had been sick from the time you began growing in me. We thought he would die.
lhamo,Cow.
mother,"Yes.  A cow had died. One night, you stopped all your moving, and I said to your sister, ""His time has come."""
lhamo,Me.  First break of day.
mother,"At dawn, you were born. One eye was closed, and your sister opened it with her thumb.  We gave you the sweet drink."
lhamo,I pooped.
mother,You did.  We washed you and wrapped you in sheepskin and took you to your father.  That day he father got better
lhamo,I miss my brother.
mother,I miss him too.
lama,I am the Lama of Sera.
mother,Sera Monastery?  From Lhasa?
lama,Yes.  We have business here.
keustang rinpoche,"This is yours, you say. What else belongs to you?"
keustang rinpoche,"Yes, those are yours."
keustang rinpoche,With permission?
keustang rinpoche,"""Kundun"""
keustang rinpoche,He is the Presence.
mother,My oldest boy is an incarnation.
keustang rinpoche,So is your youngest.
keustang rinpoche,I wish you long life.
mother,I will be back in a few days.
lhamo,How many?
mother,Two.
lhamo,This many?
mother,"Yes, yes.  Your brothers are here."
mother,One more kiss.
chinese governor,I want him accompanied by my Chinese soldiers.
keustang rinpoche,This is Tibet. We are not under your authority.
chinese governor,"I want one hundred thousand Chinese dollars, if you want the boy."
mother,But why?  Who is Lhamo? Who do they say he is?
teacher,"""May I be a bridge, a boat, a ship For all who wish to cross the water."""
teacher,Can you recite?
lhamo,You have all the room.
lobsang,"Don't be a baby, move over."
lhamo,You move.
lobsang,You!  You think you are so big!
lhamo,Who am I?
mother,We do not know.
reting rinpoche,"Chenrezi, the Buddha of compassion. The Wish Fulfilling Jewel. The Fourteenth Dalai Lama."
reting rinpoche,Long life.
mother,Long life.
father,Long life.
lobsang,"Long life, Lhamo."
monks,Kundun!  Kundun!
reting rinpoche,"Centuries ago, a young boy was born.  His name was Gedundrub. The night of his birth, robbers came to his home and his family fled hiding the baby in a cattle pen. When they returned the next day, the baby was safe. They found him guarded by a pair of black crows."
reting rinpoche,We name you Tenzin Gyatso.
reting rinpoche,Your job is simple. You are to love all living things. Just love them.  Care for them. Have compassion for them.
reting rinpoche,"You will be the leader of the Tibetan people when you come of age.  Until that time, I will be your teacher, and as your Regent, I will rule in your name."
reting rinpoche,He will see you now.
lord chamberlain,Fifth Dalai Lama.
lord chambberlain,Seventh Dalai Lama.
lord chamberlain,Thirteenth Dalai Lama.
lord chamberlain,Fourteenth Dalai Lama.
norbu thundrup,"My name is Norbu, Holiness.  I will be good, you be bad."
tenzin gyatso,"I'm on a big mountain and hitting at the bad men. And after the game, we're going to trade.  You just stay over there, no, there!, Norbu, and I will shoot at you. I want your land.  I take it. I am stronger."
norbu thundrup,I am braver.
tenzin gyatso,I have more men.
norbu thundrup,Today you lose.  Tomorrow you may win.
norbu thundrup,"Things change, Kundun."
tenzin gyatso,Why is your beard so funny? Let me touch this.
tenzin gyatso,Soft.
tenzin gyatso,"""As long as all living draw breaths, there Buddha is."""
layman,"I believe that the Regent is asking for too high a reward for his part in finding the Dalai Lama.  Too much money, too much land."
layman,Our treasuries are empty.  Our army is depleted.  He would have us pull the hair from our noses.
monk,"We note this.  Now, the Chinese."
monk,"The Allies wish to build a supply- road from India, crossing Tibet, as part of their war effort.  The road would lead directly to China."
layman,"We cannot allow it. Right now, we have a only a small Chinese mission in Lhasa, the first since the Thirteenth Dalai Lama threw them out in 1912. The road would increase the size of that mission. The Chinese would try to control our trade, as they did once before, control our contact with the outside world."
tenzin gyatso,What is it?
the attendants,"Ah, it is a telescope, Holiness. With this you can see a long way."
tenzin gyatso,"And, is it mine?"
attendant,These are all gifts sent to your predecessors.
lobsang samten,Yes!  Then it is yours!
tenzin gyatso,I need it.
norbu thundrup,"She carried a basket in her arms, a big, heavy basket, and the old monk cautiously approached. She opened her basket and showed what she had.  Heads.  Human heads. Only the heads."
tenzin gyatso,Is that true or pretend?
norbu thundrup,"It is a story, you decide."
tenzin gyatso,Pretend.
norbu thundrup,As you say.
tenzin gyatso,"""I be an island for those who seek one, a lamp for light."""
tenzin gyatso,"""May I be wishing jewel, a magic vase..."
tenzin gyatso,I want to go down there.
norbu thundrup,You can only go with attendants and a big ceremony.
tenzin gyatso,I want to run down the street. I want to buy a toy.  Eat from the shops.
norbu thundrup,You cannot.
tenzin gyatso,"I want to be a shepherd, taking those goats and cows out to the hillside."
norbu thundrup,"But you are not a shepherd, you are the Dalai Lama."
tenzin gyatso,"Maybe in the next life, the world will not need a Dalai Lama."
tenzin gyatso,"Little ones first, only little ones."
lobsang samten,The Dalai Lama is not supposed to eat pork.  It is not good for your brain.
father,"I am sorry, Lhamo."
tenzin gyatso,"It is alright, Father."
tenzin gyatso,Go away.
father,Not the way to talk to people.
tenzin gyatso,Can I do anything I want?
father,No.
tenzin gyatso,"But, I am in charge."
father,Are you?  Of whom?
tenzin gyatso,Can I save the sheep from going to the market?  So they don't die.
lobsang,You could buy them.
tenzin gyatso,Do I have money?
lobsang,What do you think?
tenzin gyatso,Do you have money?
father,"I do, now."
tenzin gyatso,And you have horses? You love horses.
father,"I do, beautiful horses. Thank you, Holiness."
tenzin gyatso,Will you buy the sheep for me?
father,Where will you keep them?
tenzin gyatso,Here.  We'll collect them.
father,I will buy them for you.
tenzin gyatso,Can I free the prisoners?
father,Hmmm.
lobsang,You can't do anything real until you are Dalai Lama.
tenzin gyatso,I am him.
lobsang,Not until you are eighteen.
lobsang,Go study.  I get in trouble if you do not study.
lobsang,I do.
father,"Sometimes you strike the goat, to scare the sheep."
lobsang,I am the goat. He is a naughty sheep.
father,He will not be ours much longer.
mother,I have news.  The Regent has resigned his post.
tenzin gyatso,"Is he a bad man?  Norbu says he is ""lavish"" and ""willful"". ""How can he give you monk's vows if he has not kept them himself?"""
mother,"Well, some say. It's not for you to worry about. Another will be chosen."
tenzin gyatso,He was always nice to me. He found me.  He saw me in his dreams.
mother,"I turn you over again, today, Lhamo.  One day, you will not be able to come running to us."
tenzin gyatso,But you will always be here?
mother,Me?
tenzin gyatso,You will always!
mother,I have one more piece of news.  A baby is coming.
tenzin gyatso,"Oh, Mama!  Who will it be?"
mother,"Oh, no!  Who can it be?"
tenzin gyatso,My teeth!  My teeth are in here!
tenzin gyatso,My old teeth!
taktra rinpoche,"""I take refuge in the three jewels, The Buddha, the Dharma and the Sangra."""
tenzin gyatso,You recite! You recite!
taktra rinpoche,"""I take refuge in the three jewels, The Buddha, the Dharma and the Sangra."""
taktra rinpoche,"""Until I attain enlightenment."""
tenzin gyatso,I would like you to be my new Regent.
ling rinpoche,The Four Noble Truths.
tenzin gyatso,"The Four Noble Truths, as taught by the Lord Sakyamuni Buddha are: The Truth of Suffering The Truth of the Cause of Suffering, The Truth of the Cessation of Suffering, the Truth of the Way which leads to the cessation of Suffering."
ling rinpoche,I accept it. What is suffering?
tenzin gyatso,"True suffering arises from contaminated actions and afflictions.  Birth, illness, grief, old age, poverty, pain, death - these are surferings."
ling rinpoche,I accept it. What are the causes of suffering?
tenzin gyatso,"The causes of suffering arise from true sources.  Attachment, desire, envy, hatred, greed, unkindness, wrong view and so forth - these are some causes of suffering."
ling rinpoche,How does one progress from the realization of one Noble Truth to another? 
tenzin gyatso,We will have to think about that.
tenzin gyatso,I need to squeeze this brain.
ling rinpoche,Answer. 
tenzin gyatso,"When one understands that he causes some of his own suffering, needlessly, then he looks for the causes in his own life."
ling rinpoche,I accept it.
taktra rinpoche,Careful!  Careful!
tenzin gyatso,I need to jump! I love to jump!
oracle,Heed the warning of your predecessor. Or the war will end here.
tenzin gyatso,"Oh, nicely done, Norbu.  I will get you."
lord chamberlain,"May I listen to the news with you, Holiness?"
tenzin gyatso,Please.
tenzin gyatso,How big is Tibet's army?
lord cpiamberlain,Roughly five thousand men.
tenzin gyatso,Is that big?
lord chamberlain,No.  Not very big.
tenzin gyatso,"The Regent is adding men. And he bought rifles and ammunition from India. Mountain guns, too."
tenzin gyatso,Will we be in this war?
lord chamberlain,No.  This war is almost over.
tenzin gyatso,Will we ever be in war?
norbu thundrup,We have enemies.
tenzin gyatso,The Chinese.
norbu thundrup,Yes.
tenzin gyatso,"But, surely, we are safe in Tibet. We don't believe in killing."
lord chamberlain,"No, we don't."
tenzin gyatso,This is Britain.
norbu thundrup,Ahh.
tenzin gyatso,Where is Poland?
tenzin gyatso,Where is Pearl Harbor?
lord chamberlain,In the Pacific Ocean.  It is an island.  American territory.
tenzin gyatso,Where is Alsace?
lord chamberlain,"I do not know, Holiness."
tenzin gyatso,This is Tibet. And this is China.
norbu thundrup,Ahh.
tenzin gyatso,"Certainly, we are safe in Tibet."
norbu thundrup,"We hope, Kundun."
tenzin gyatso,What was the warning of the Thirteenth Dalai Lama?
lord chamberlain,He warned about the future of Tibet.
tenzin gyatso,Tell me.
lord chamberlain,When it is time.
tenzin gyatso,Patience is the first of the Six Perfections.
tenzin gyatso,"One day, we will get that automobile running."
ling rinpoche,"""To be born in a time when the Buddha has appeared. To be born in a time when the Buddha has taught. To be born when the teaching of Buddha is alive."""
ling rinpoche,"""To be born where the dharma is practiced. To be born in a time when people have compassion for other people."""
questioner,How is human life precious?
ling rinpoche,"As a result of previous karma, you have obtained this human life. By means of this rebirth, through work and study, you can attain all everlasting happiness. In the words of Shantideva: ""With the boat of this precious life, You can cross the waters of Samsara. How rare to find this boat!"" ""Oh, ignorant one, do not fall asleep now!"""
voices,"Sera, Sera Monastery. Reting.  Under arrest.  The army is taking him right past Sera! Monastery!  Those crazy monks!  Have been threatening trouble. Reting tried to assassinate Taktra Rinpoche."
tenzin gyatso,"It's the army, firing on Sera Monastery! Oh, no!  Oh, no!"
tenzin gyatso,Why is this?  What is happening? Tell me!
norbu thundrup,"Reting Rinpoche has been arrested.  He tried to overthrow Regent Taktra. Today, he is brought back to Lhasa by government officials. The monks at Sera Monastery have been on his side.  Now, there is trouble between them and the army."
lord chamberlain,"I am sorry for you to have to witness this, Kundun."
tenzin gyatso,Look here!
lord chamberlain,Tragic.  Unnecessary.
lord chamberlain,Holiness? I have a letter.
lord chamberlain,"The Thirteenth Dalai Lama's warning. He wrote to you, the year before he died.  The year before you were born."
lord chamberlain,"""It may happen, that here in Tibet, religion and government will be attacked both from without and within. Unless we guard our own country..."""
lord chamberlain,"""...it will now happen that the Dalai and Panchen Lamas, the Father and the Son, and all the revered holders of the faith, will disappear and become nameless."""
lord chamberlain,"""Monks and their monasteries will be destroyed. The rule of law will be weakened. The lands and properties will be seized.  They themselves will be forced to serve their enemies or wander the country like beggars."""
