Speaker,Dialogue
"november 16, 1995",Minor Revisions
mayor,"The Arroyo Seco freeway is just the beginning.  We're planning freeways from Downtown to Santa Monica, from the South Bay to the San Fernando Valley.  Twenty minutes to work or play is the longest you'll have to travel."
reporter,How many bodies you think Mickey Cohen'll be able to hide in all that cement?
mayor,"We're selling an image, gentlemen. Beautiful weather.  Affordable housing.  Trouble-free transportation.  And the best police department in the world to keep it all running smoothly."
mayor,"But with a second rate Al Capone out there, L.A. looks like Chicago in the '30s.  Something has to be done."
police officer,"Mr. Cohen, you're under arrest."
cohen,Bullshit.  What's the charge?
police officer,Non-payment of federal income tax.
cohen,Bullshit.
reporter,"How's your bullshit now, Mickey?!"
loew,"Today is an auspicious one for the city of Los Angeles.  Mickey Cohen has just been sentenced to ten years in federal prison for failure to pay income tax. As the District Attorney for Los Angeles County, it is my pleasure to declare our great city organized crime free.  It is truly the dawning of a new day."
stompanato,Officer White.  I heard you got a hard-on for wife beaters.
bud,"And you fuck people up for a living.  That don't make me you. Capisce, shitbird?"
stensland,"Bud ain't in the mood for small talk, Stompanato."
stompanato,"Look, Mickey C's doing time and half the other guys who'd hire me are dead or left town.  I need money.  If your snitch-fund's green, I'll get you some fucking-A collars."
stompanato,"There's this guy.  He's blond and fat, about forty.  Likes the ponies.  Been pimping his wife to cover his losses.  Knocks her around to keep her in line."
stompanato,I figure the address is worth twenty.
stompanato,"Yuletide cheer, fellas."
bud,"Happy New Year, greaseball."
stensland,"Leave it for later, Bud.  We got to pick up the rest of the booze and get back to the precinct."
bud,"Central, this is 4A-31.  Send a prowler to 1486 Evergreen.  White male in custody.  Code 623 point one.  Domestic assault and battery.  I won't be here, but they'll see him."
bud,Touch her again and I'll know about it.  Understand?  Huh?
bud,You got someplace you can go?
bud,Go get yourself fixed up.
wife," Merry Christmas, huh?"
stensland,"You and women, partner.  What's next?  Kids and dogs?"
actress,"Brett Chase told me you're the cop who busted Bob Mitchum.  These 'Badge of Honor' guys like to pretend, but being the real thing must be a thrill."
jack,Let's go someplace quiet.  I'll give you the low-down on Mitchum.
actress,You got your handcuffs with you?
jack,Two sets.
actress,I'll get my coat.
hudgeons,Big V Jack Vincennes!  May I have this dance?
jack,"Karen, this is Sid Hudgeons from Hush-Hush magazine."
actress,I know who he is.
hudgeons,We did a piece last year. 'Ingenue Dykes In Hollywood.'  Her name got mentioned.
jack,Is she?
hudgeons,"Beats me.  Look, Jackie-Boy, a friend of mine just sold some reefer to Matt Reynolds.  He's tripping the light fantastic with Tammy Jordan at 2245 Maravilla, Hollywood Hills.  It's right around the corner."
jack,"You lost me, Sid.  Who?"
hudgeons,"Contract players at Metro.  You pinch 'em.  I do you up feature in the next issue.  Plus the usual fifty cash.  Tell me, am I fucking Santa Claus?"
jack,I need an extra fifty.  Two patrolmen at twenty apiece and a dime for the watch commander at Hollywood Station.
hudgeons,Jack!  It's Christmas!
jack,No.  It's felony possession of marijuana.
hudgeons,"They're sitting in the dark, goofing on the Christmas tree."
jack,Stand there with your camera. I'll stop here so you get Grauman's Chinese in the backgrouns.
hudgeons,I like it!  I like it!
jack,Police!
hudgeons,Cut!  Wrap it!
hudgeons," It's Christmas morning in the City of Angels, and while decent citizens sleep the sleep of the righteous, hopheads prowl for marijuana, not knowing that a man is coming to stop them.  The free- wheeling, big-time Big V, celebrity crime-stopper, Jack Vincennes, the scourge of grasshoppers and junk fiends everywhere.  You like it, Jackie- Boy?"
jack,"Yeah, it's subtle."
hudgeons,"Remember: you heard it first here, off the record, on the Q.T. and very Hush-Hush."
exley,What's on the call sheet?
young officer,"A guy dressed as Santa has been exposing himself to kids in Los Feliz.  Apparently, sir, he's decorated himself."
exley,Decorated?
young officer,"With tinsel and plastic icicles and... on his penis, sir."
exley,I get the idea.  You got a description?
young officer,"Of his penis, sir?"
lynn,"A case each of gin, Scotch, and rum.  Everything top shelf.  None of that watered-down stuff you push on Errol Flynn."
owner, Sounds like a helluva party.
owner,You want it delivered?
lynn,Before five tomorrow.
owner,"I'll be right with you, Lynn."
bud,Merry Christmas.
lynn,"Merry Christmas yourself, Officer."
bud,"That obvious, huh?"
lynn, It's practically stamped on your forehead.
meeks,Get lost why don't you?
meeks,I got a license for that.
meeks,Cut me some slack.  I used to be a cop.
bud,Turner Meeks?  Never heard of you.
lynn, We just call him Buzz.
bud,You okay?
patchett,She's fine.
bud, I'm not asking you.
bud,Somebody hit you?
lynn,It's not what you think.
