Speaker,Dialogue
narrator,No one knows where it came from. There had been others. Mysterious relics of another world. But only one with the power to stop the world.
narrator,"Many vied for its dark magic. A few brave souls endeavoured to hide it from those who would use it for ill. Until finally, thankfully it was lost to history."
narrator,Ours is a story of a world that knows not where it comes from. That cannot imagine what it is capable of. Perhaps you can relate. I know I can.
indy,The Black Falcon. I should've known.
black falcon,"Hey Indy. Uch. Who built this place? Must have been a bunch of lazy hippies, sitting around a table agreeing with each other."
indy,It was built by the ancients. With more wisdom and artistry than you can ever know.
black falcon,The Kragle...
indy,That belongs to the Maker. It must be protected!
black falcon,"What a lame boyscout thing to say! You're standing before the most powerful object in the world and you don't want to use it? You're a real nerd, Indiana Jones."
indy,The MasterBuilders will learn of this.
black falcon,And what do you know of them?
indy,Only that they will be your undoing.
black falcon,"Adieu, Dr. Jones. That's French for ciao."
indy,The Black Falcon has the Kragle.
gemini,Okay.
indy,They followed me...
doris,Emmet!
doris,Did you clean your room?! The cleaning woman is coming today!
doris,Because I want her to know what a nice rule-following son I have!
emmet,Mom!
doris,"Aw, it is clean."
emmet,It's always clean!
doris, Just like I taught you.
emmet,What's the point of having my own apartment across the hall from your apartment if you're going to check up on me like I still live at home?
doris,I just love you and want my son to be safe and happy. Can't you work from home? Like a sociopath or children's book author?
emmet,Mom. I've spent my whole life here. I need to go out there and follow my dream of fitting in and being like everybody else.
doris,My boy. All grown up. Maybe soon you'll meet a girl and be married!
emmet,"Mom, please!"
doris,"I'm just saying, it's been how many years since Lucy?"
emmet, Mom... I had the dream again.
kids,That's the guys who drew a face. / What a weirdo. / He doesn't know how to follow instructions. / He's not invited to my birthday.
doris,"I hated that day. The kids were so mean, the school tried to expel you... I promised myself I'd never let anything like that happen to you again. And it hasn't. So you need to let your memory of that day go. It never happened."
emmet,"I just want to be normal, Mom."
doris,"Listen. You're my son. And you're the most normal, regular, average person I know."
emmet,You mean it?
doris,Yeah.
emmet,Are you crying?
doris,No. Yes. Emmet...
doris,Don't forget dinner.
emmet,Promise.
doris,Be safe.
emmet,Of course.
doris,Don't make waves.
emmet,I never do.
doris,And follow the instructions.
emmet,Always.
doris,"If they weren't so firm and flush with your head, I would pinch your cheeks right now."
emmet,"Love you, Mom."
doris,Love you.
radio dj,"It's another beautiful day in Legopolis and on Empura Radio. Reminding you don't forget to re- elect President Iamnotarobot for President of the City on Tuesday. Now, for the 258th consecutive week at #1, here's the No News Gnus with their hit ""Everything is Awesome."""
emmet,Yeah. I love this song! And so does everyone else!
emmet,Hello.
barrista,What'll it be?
emmet,I'm Emmet.
barrista,Larry?
emmet,"Well, Larry, I'll have one coffee please."
barrista,"Cappuccino, macchiato, espresso, americano."
emmet,What are those? Sounds a little foofy.
barrista,They're all coffee.
emmet,"Oh. Well, whatever isn't too wild. I don't know, what do you think? "
barrista,A decaf.
emmet,"Okay, yeah. Cool."
barrista,"Venti, Grande, or Super Grande?"
emmet,"Oh, goodness. So much selection. So hard to decide! You pick."
barrista,That's a personal decision that only you can make.
emmet,"Uh. Gosh, which is the most popular?"
barrista,Super Grande. It's Italian for medium.
emmet,Medium. That's what I'm havin'! That is my style.
barrista,Fantastic.
emmet,You creative types! So delightfully sardonic!
barrista,I push one of two buttons on a machine. I would hardly call that creative. I would call that following instructions.
emmet,"But it says Kreative right on your shirt! With an extra ""kreative"" spelling aberration! I totally don't get it!"
foreman,"Alright, kid. Here's the rules."
emmet,"Ooh, great."
foreman,Stay on your feet--
emmet,Mmm hmm.
foreman,Stick to the instructions--
emmet,Uh huh.
foreman,And don't get creative!
emmet,"Oh, Steve, don't worry. I'm not some kind of foofy weirdo, Steve!"
foreman,It's Sean.
foreman,The pieces get sent down from corporate bundled together with the instructions. Take the one with your section on it and follow it to the letter. Keep track of all the pieces. If you lose one of the special ones it'll seriously drive you crazy.
foreman,Today you'll be putting together an artists' loft.
emmet,Is it for an artist?
foreman,"Oh, no. It's for an accountant."
emmet,"Oh, great."
foreman,"Pretty soon, the whole city will look like this. All part of some big master plan from Central."
emmet,Wow...
emmet,What if I mess up or lose my place or something?
foreman,"Just do what everyone else does. Keep your head down, follow instructions, and you could get promoted. Central's got some big project coming up overseas."
emmet,Overseas? I don't know. I'm not big on travel.
foreman,"Whatever, kid."
emmet,One more question.
emmet,Thank you. For making my dreams come true.
foreman,Is that a question?
emmet,So.
