Speaker,Dialogue
mia,"...and I swear to God, she was wrecked. It was pure insanity."
mia,"Don't worry, it is. I know sometimes it --"
woman,"Cappuccino, please."
manager,On us.
woman,"No, I insist."
mia,Shit.
manager,Where do you think you're going?
mia,It's -- five past...
manager,You'd better be here early tomorrow.
mia,Ok.
casting director,One second.
tracy,Holy Mother of God.
mia,I wanted to give you an entrance.
alexis, Mia! How'd it go?
mia,Eh...
alexis,Same here. Was Jen there? Or Rachel?
mia,I don't know who Jen and Rachel are.
alexis,They're the worst.
mia,I don't know if they were there.
alexis,I bet they were.
caitlin, Why is there a convention in the bathroom?
tracy,"Two minutes, people! Mia you're coming, right?"
mia,Can't. Working.
mia, Yes?
tracy,"Look, I know things didn't go well today. There are four things in my inbox that you're perfect for and I will submit you. But right now -- you're coming."
mia,It'll be a bunch of social climbers packed into one of those glass houses.
tracy,Exactly. Fun.
alexis,"Come on, Mia. When else do you get to see every Hollywood clich crammed into a single home?"
tracy, Lex! I'm disappointed in you. There's nothing to make fun of. This party will be humanity at its finest.
sebastian,You gotta stop breaking into my home.
laura,You think Mom or Dad would call this a home?
sebastian,Please don't sit on that.
laura,Are you serious?
sebastian,Yes. Hoagy Carmichael sat on that stool. The Baked Potato was gonna throw it away.
laura,I wonder why.  I brought you this. It's a throw rug.
sebastian,Don't need it.
laura,Yeah? What if I told you Miles Davis pissed on it?
sebastian,That's almost insulting...  Did he?
laura,When are you going to unpack these boxes?
sebastian,When I unpack them in my club.
laura,"Oh my God. It's like a girl broke up with you and you're stalking her.  You're not still going by there, are you?"
sebastian,No.
laura,Seb --
sebastian,Who wants to tapas while they samba?
laura,I have someone I want you to meet.
sebastian,I don't want to meet anyone.
laura,You'll like her.
sebastian,Uh-huh. Does she like jazz?
laura,Probably not.
sebastian,Then what are we gonna talk about?
laura,You'll talk about the weather.
sebastian,"Ok. Then I have someone I'd like you to meet. He's got a face tattoo, but a heart of gold."
laura,Sebastian --
sebastian,How long's it been?
laura,You need to get serious. You live like a hermit. You're driving without insurance.
sebastian,I am serious. I had a very serious plan for my future. It's not my fault I got Shanghai'ed.
laura,"You did not get ""Shanghai'ed"", you got ripped off."
sebastian,What's the difference?
laura,It's not as romantic as that.  And everyone knew that guy was shady except for you.
sebastian,Why do you say romantic like it's a dirty word?
laura,Unpaid bills are not romantic. Call her.
sebastian,"You're acting like life's got me on the ropes -- what you don't understand is, I want to be on the ropes. I'm letting life hit me `til it gets tired. Then I'm gonna make my move. It's a classic rope-a-dope."
laura,I love you. Unpack your boxes.
sebastian,I'm changing the locks.
laura, You can't afford it.
sebastian,I'm a phoenix rising from the ashes!
boss,Seb.
sebastian, Bill. Thanks for having me back.
boss,Your welcome. Stick to the set list.
sebastian,Of course.  Though I don't think they care what I play.
boss,"I do, and I don't want to hear the free jazz."
sebastian,"How `bout one for you, one for me? Or two for you, one for me?  Or all for you, none for me? Ok, that works. Good deal."
waitress,Well... Welcome back.
sebastian,There's a nice way to say that.
boss,...every goddamned night.
sebastian,"I'll stick to the set list, I promise --"
boss,Too late. You're done.
sebastian,You're not gonna find a better player. You know that.
