Speaker,Dialogue
billy cole,"gets up off the bench. The rest of the offensive unit sprints onto the field. Cole walks. Straight ahead, eyes front. Like a robot. His HEARTBEAT THUDS on the soundtrack. COLOR MAN  And so L.A. has a chance to ice the game, no pun intended... And you gotta be thinking, give the ball to Billy Cole. He has had an outstanding day, racking up 138 yards against a tough defense."
4.,"CONTINUED: The ball floats through the snowy air. Pitch-out to Cole. He takes it on the run. Tucks it under his arm. Behind him, the quarterback bites the dust, leveled. Cole turns the corner. Picks up a blocker. Feet pounding. Arms pumping. Up ahead, the free safety barrels toward him.    Low and hard. Cole does not blink. He reaches beneath his jersey. Pulls out a GUN. Pumps THREE SHOTS into the free safety's head."
police,"are on the field now. Running full out. They've got riot guns, cocked and locked. Sprinting through the snow. Cole crosses the goal line.   Touchdown. Drops the ball. Turns, facing the cops.   His eyes are insane. The crowd is screaming. People are running back and forth like extras in the Keystone Cops. The first TWO BLASTS from the cops' RIOT GUNS go high and wide. One SHOT BLOWS APART the base of the goalpost. The forty-foot-high monument pitches over, collapsing like a wounded giant. Lands in a shower of snow and ice. Cole is oblivious to the bars crashing around him.    He smiles and says: "
5.,CONTINUED: COLE I'm going to Disneyland... Puts the GUN to his helmet.   FIRES. CUT TO:
another angle,"Inside the car, a lone man is asleep, arms akimbo. Sprawled across the seat. Half-empty bottle of Seagrams V.O. RADIO on, playing tinny JAZZ music. Picture the  tiredest, meanest, grouchiest son of a bitch self-hating  loser you can. Now give him  a two-year-old suit from C & R Clothing. Such is the  aforementioned HALLENBECK."
another angle,THREE neighborhood KIDS have gathered around the car. Enjoying the spectacle of a sleeping drunk. One tosses a baseball from hand to hand. One picks his nose. 
6.,"CONTINUED: KID #1 Dude's trashed. KID #2 Shit, we should do something to him. Kid #3 continues mining for nose eggs.   It looks like his entire fist is up there. Pause, then: KID #3 I know where there's a dead squirrel."
another angle,Hallenbeck snores. The mashed squirrel perches on his chest. A shadow falls across him as --
kids,"return, scratching their heads.   Staring in at him. KID #2 Goddamn.   Dude's trashed. KID #3 Take his bottle. Kid #1 smiles nervously.   Reaches in with infinite patience. Trembling hand inches closer and closer -- And closes on the bottle as, without warning --"
7.,"HALLENBECK sits bolt upright and grabs the Kid and stuffs a .38 revolver in the Kid's face and cocks it. HALLENBECK Hey, motherfucker. The Kid, of course, shrieks. And the light of sanity dawns in Hallenbeck's eyes. He sucks in a deep breath. Releases the struggling Kid. Swears under his breath. Watches    the boys flee in terror. Notices a dead squirrel    in his lap. Scowls. Heaves it out the window. Pumps    a Camel into his mouth. Lights it. Rescues the bottle of    Seagrams."
hallenbeck,Excuse me. He leans over and vomits on the lawn. One hand gripping the car fender. The sprinkler goes round and round.
8.,"INT. BEACH HOUSE - SAME TIME A plush bedroom.   Sun streams in the window. A YOUNG MAN sits, straddling a backwards chair.     Bare- foot, bare-chested. Blond hair, perfect tan. He is nursing a beer.   Smoking and staring at --"
bed,"where a tawny golden girl lies, serene and innocent. Like a sleeping kitten. Rumpled sheets, one breast exposed. No tan line. The man takes a drag off the cigarette, studies the sleeping girl. Meet Jimmy Dix. Twenty-seven years old, former National League heartthrob. He shakes his head and mutters: JIMMY  Jesus, kid, if only you weren't so damn ugly. He gets up and goes into the head. Pulls out a glass vial. Dips a coke spoon with practiced ease. Sucks it up a nostril. For one moment, he catches his own eye in the mirror. FLASH CUT TO:"
jimmy's face,"Covered with dirt and mud. Blood, too. Young and proud. Seventy thousand voices tell him he's alive. He makes a difference."
9.,"BACK TO PRESENT Alone in the bathroom... leaning on the counter.    Head down. A voice calls softly from the bedroom: SLEEPY VOICE  Jimmy, are you still here...? Pause, then: JIMMY I don't know. He looks up at his reflection. Glazed eyes, beard stubble. Crows' feet around the eyes. JIMMY Yeah.    I guess I am. He sniffs, clearing his nose."
10.,"CONTINUED: MALE  Mmmmm? What's mmmmm? Jeez, you sound fucking terrific. What'd you do last night? HALLENBECK Sat in the car. Looked at the sky. Got hammered."
11.,"CONTINUED: MALE  Terrific.    And, Joe, big favor, okay? Try    to... fix yourself up, if you can   manage it. Look the part. Not    like the last time, okay? Hallenbeck catches his reflection in the mirror over the TV. His face is ashen grey. Hollow eye sockets. Blotchy skin. HALLENBECK Gimmee the address."
14.,"CONTINUED: JIMMY Ho.    Ray. The MAN looks up, annoyed. RAY  Too early in the morning, Ray. Let her go. RAY Fuck you. She's not coming up till she starts blowing. Jimmy swallows hard.   Says: JIMMY Ray.   Let her go. RAY Fuck   you, loser. What are you doing at a   league party, asshole? You and ol'   Dex Manley should get together, swap   stories about gettin' booted."
15.,"CONTINUED: JIMMY Fine. Jimmy turns, as if to walk away. Instead, he spins back and launches the football. It sings, that's how hard he throws it. And when it smacks Ray in the face, something breaks. It ain't the ball. The big man howls. Clutching his flattened nose. The girl comes up for air. Gagging and choking. Jimmy is at her side instantly. Pulls her out of the water."
jimmy,"Get out of here. Go. She goes. He leans over and grabs Ray by the hair. The guy is bleeding. Delirious. Jimmy yanks until their faces are inches apart. JIMMY Best arm in the National League, you son of a bitch. Remember that. He lets go. Ray sags, semi-conscious. The poker players come running as Jimmy walks back inside."
16.,"INT. HALLENBECK'S HOUSE - SAME TIME Hallenbeck enters and crosses the living room. A woman, forty-ish, once beautiful, appears in the bedroom doorway. Wearing a terry cloth robe. This is Joe's wife SARAH. SARAH I thought you were in Las Vegas. HALLENBECK I was. SARAH Where did you sleep? HALLENBECK Office. He brushes past her and crosses to the bed.   On the pillow, a big stuffed cat toy smiles benignly. HALLENBECK Hey, Furry Tom. He sits on the bed. Lights a cigarette. Opens the night stand and removes a speedloader for his .38. Starts to load the gun. SARAH How much did you lose? HALLENBECK I wasn't there to gamble.    I was doing a skip trace. SARAH How much did you lose?"
hallenbeck,"Fifty bucks. He suddenly notices a sheet of paper on the night stand. A crayon sketch. He picks it up, frowns: HALLENBECK What's this? SARAH Darian's class drew holiday pictures. That was hers. Her teacher wants to see us, Joe."
17.,"CLOSE ON DRAWING It's a picture   of Santa Claus,  except this Santa has long, stringy hair,   bloodshot eyes,  and grotesque talons. A little girl's   severed head is  clutched in one hand. Underneath, in   block capitals,  is written: SATAN CLAUS."
18.,"CONTINUED: HALLENBECK Yeah, but they don't apply it with a paint sprayer. And for your information, our neighbors think I'm very funny. SARAH Go live with them. HALLENBECK Don't tempt me. He tosses the holstered .38 on the bed.   Stalks into the bathroom."
sarah,Excuse me? HALLENBECK 
19.,"CONTINUED: HALLENBECK  Because someone else was in there, right, and since he's not under the bed you must have stuck him in the closet when you heard my key in the door a day early. Tah-dah. Please, no applause. A silence hangs between them.    Sarah just stares.   Shakes her head. SARAH Well, nothing changes.    You're still a lunatic."
hallenbeck,"Mmmmm. I'm sorry, honey, I don't enjoy being observant, but someone's gotta do it.  What's his name? SARAH Please leave.    I have to get dressed. HALLENBECK It's okay, I've seen you naked. So, apparently, has someone else. What's his name? SARAH You want me to open the closet, Joe? Huh? You want me to indulge your fucking paranoia, I'll throw the door open, is that what you want me to do...?"
hallenbeck,"Is this a trick question? SARAH I'll do it, Joe. Okay? And then we'll both know you're a psycho, is that what you want? Huh?? An awkward pause.   Finally Hallenbeck scowls and says: HALLENBECK No.   We won't open the door. SARAH Thank you. "
20.,"CONTINUED: HALLENBECK  ... I'm gonna count to three, and then I'm gonna put a bullet in there, and you can stop me anytime by speaking the truth. One. SARAH If you shoot up my house, Joe, I will make you eat that gun."
hallenbeck,"Two. The truth is a beautiful thing. He cocks the hammer.   Arm extended, hand rock steady. SARAH Call your shrink, Joe. I still have the number. Call him and tell him you're losing it, I cannot fucking deal with you like this -- ! HALLENBECK Three.   Last chance. SARAH Joe, dammit -- ! He sighs. Starts to pull the trigger.    And Sarah screams --"
sarah,"Jesus, no -- ! And grabs the gun. Everything freezes. She looks at him.    He looks at her. Understanding occurs."
closet door,"swings slowly open, then... And out steps a man in a bathrobe. Compact. Wiry. Hair still soaking wet. None other than MIKE MILLER, Joe's early morning phone call. We know this because Joe says: "
21.,"CONTINUED: HALLENBECK Hello, Mike.   Keeping her warm for me? The gun barrel does not waver.    Not an inch. MILLER Easy, Joe.   Don't do nothing dumb. HALLENBECK How as she, Mike? On your finger scale, how was my wife...? MILLER It just happened, Joe.     It just happened. HALLENBECK You call me from here this morning? MILLER She said you were in Vegas. I was gonna leave a message on the machine. HALLENBECK When you found out I was back.       Why didn't you split? MILLER She said relax, he never stops home once he's in the office. HALLENBECK Normally I wouldn't. MILLER "
22.,"CONTINUED: MILLER You gotta understand -- HALLENBECK I know, I know, it just happened. It was an accident. Sure. You tripped. You said, 'Whoops,' and accidentally fucked my wife. Gee, Mrs. H., I'm sorry, just isn't my week. Sure, Mike. Happen to anybody.  I don't gotta understand anything. Sarah speaks then.   Head down.   Eyes averted."
sarah,"Put the gun down. HALLENBECK Hmmm?  Oh, right, the gun.  You're right, Sarah, I'm acting nuts. He pulls the trigger. The SHOT is DEAFENING in the closed room. Mike Miller screams and clutches at himself. The bullet goes high and wide. Over his head. On the wall is a framed wedding photo. The twin of the one in Hallenbeck's office. The bullet strikes it dead center. Blows it to pieces. Silence. The tinkle of glass hitting the floor. Hallenbeck turns. Regards his wife with hooded, lifeless eyes. HALLENBECK Where was Darian? SARAH She stayed at Cindy's last night. He nods.   Turns and waves the gun at Miller. HALLENBECK Let's take a walk, Buddy."
23.,"CONTINUED: Miller's car, a Pontiac Sunbird, is parked at the curb. Hallenbeck stops in the middle of someone's yard. Holsters his gun. A neighbor's dog approaches, happily wagging its tail. Hallenbeck bends and ruffles its fur. HALLENBECK Where you want it, Mike?     Head or gut? MILLER Listen, Joe, I --  Gut. Hallenbeck pats the dog. Straightens. Plants his back foot and spins. Punches like a sledgehammer, into Miller's gut. Miller drops to his knees. Begins to retch. Hallenbeck takes out a cigarette. Lights it. HALLENBECK If I see you again, I'll kill you. Miller nods weakly.    Gasping for breath. HALLENBECK So.   West Hollywood at seven, right? MILLER Huh...?"
hallenbeck,"The job.     Seven o'clock, right? MILLER You still... want the job...? HALLENBECK It's two hundred bucks. MILLER Yeah.   I guess it is. He climbs to his feet, still doubled over. MILLER I'm sorry, Joe. "
24.,"CONTINUED: Hallenbeck says nothing. Miller turns and stumbles to his car. Hallenbeck's face betrays nothing. A dead mask. He walks back toward the hedge. The neighbor's dog runs up, a tennis ball in its mouth. Behind him, Mike Miller gets into the Sunbird. Hallenbeck takes the tennis ball. Throws it. The DOG BARKS and bounds after it. Mike Miller turns the key in the ignition. The CAR BLOWS to pieces. An ERUPTION OF FLAME. Flying glass and metal. The car becomes airborne. Engulfed in fire. Does a lazy spin. Comes down. The shockwave catches Hallenbeck.   Slams him ass over teacups. Windows blow in up and down the street. Smoke and fire roll to the sky. The DOG cowers, HOWLING in fear. Beside it on the grass, the tennis ball is on fire. Hallenbeck rolls to his feet. Covered with twigs and leaves. Clothing scorched. Stares. Eyes glazed. CUT TO:"
25.,"CONTINUED: HALLENBECK He came by to talk business. He had a case he was to busy to continue with, a routine surveillance. He farmed it out to me. UNIFORM COP I see.    Is that all you talked about? HALLENBECK Yeah.    That's all. He looks the Officer in the eye.      Betrays nothing."
26.,"CONTINUED: HARP My son. He writes his own material, he's proud of that. Some people are proud, they cured leukemia. Old guy stops beating off long enough to laugh, my son thinks he's Eddie Murphy. Jimmy uncaps a beer and raises it in a toast. JIMMY Alex the astronaut. Harp raises his own glass."
harp,"Alex the astronaut. It seems to be a common ritual between them. Jimmy drinks, thumps the bottle down. Says, resolutely: JIMMY I've had it, Harp. HARP Had what? JIMMY It, man. I've had it.  I don't remember what I did  last night. I'm an idiot, Harp,   I act like a complete dickhead.   I don't have friends. I drink too   much. I fuck anything that's warm  and breathing."
harp,"Stay on that side of the bar. JIMMY  I cheated on my girl friend again. HARP You cheated on her?   You must be crazy. JIMMY Maybe so, Harp. Maybe so. His gaze wanders across the crowded room, fixating on --"
27.,"SCANTILY-CLAD WAITRESS Who makes her way between the tables. She is beautiful. Stands out like a teamster at a gay rights rally. Supple body. Deep green eyes. Flaxen hair. Her name is CORY. She stops at a table against the wall. Puts down a Seagrams V.O. in a rocks glass. Seated at the table is a broad-shouldered man in a bad suit. The essence of boredom. Looks like he's been there three days. A cloud of smoke hangs around his head. Mr. Joe Hallenbeck, no less. HALLENBECK The police won't help you, huh? CORY Sure. After I'm dead they'll perform the autopsy. HALLENBECK Guess you don't want to wait that long. CORY Guess not. HALLENBECK "
28.,CONTINUED: She smiles and moves away. Hallenbeck sips his drink.      Scans the crowd with shrewd eyes.
