Speaker,Dialogue
harvey,Put my score up first.
johnnie,"They don't want to hear it, Harvey."
harvey,"I know, but I want to hear it. Put it up."
johnnie,"I'm backed up already, Harvey."
harvey," Johnnie, you were the one that was late. Just put it up."
johnnie,"Listen, Harvey. Marvin wants me to present my ideas while your away."
harvey,Huh?
johnnie,"Look, I'm not doing myself any favours here, Harvey. But, I'd watch your back."
harvey,"Marvin? Hey, Marvin?"
marvin,"Hey, Harvey. Shouldn't you be in London?"
harvey,"Yeah, I'm heading there now. What's going on?"
marvin,Huh?
harvey,Johnnie said something about you wanting him to present on Monday.
marvin,"Oh yeah, No, I was just thinking that, what with you being in London - you should stay a while."
harvey,What?
marvin,There's no need to rush back. Enjoy your daughter's wedding.
harvey,What?
marvin,"Well, Johnnie can do it. I mean, he can pitch the Samuelson account."
harvey,"No, I'm coming back. Those are my connections. They have been for years."
marvin,I know but... they've got new people running things over there. I think they're after something...  ...different.
harvey,I want to come back. I should be there in person.
marvin,"`There in person'? Harvey, nobody cares."
harvey,I have to stand behind my music!
marvin,"They're demos! - They're already pressed. No one needs to be there. They're not looking for you, they're not looking for me. They just need a fucking track.  Harvey, you haven't booked a top line in 8 months."
harvey,You got me doing triangle chimes for Christ's sake - give me something to compose!
marvin,That's what I'm trying to tell you! It's not about composition! It's different now!
harvey,"I'm back on Monday, Marvin. I'm coming back."
marvin," You got to land this one, Harvey."
harvey,What are you saying?  Say it!
marvin,"I'm saying there are no more chances, Harvey.  Enjoy London."
harvey,Shit!
stewardess,I'll get you some napkins.
harvey, Why's it always me?
stewardess,Shall I take that?
harvey,Thanks... And could I get another?
stewardess,"A whiskey, wasn't it?"
harvey,"Yes. `Jamesons', no ice."
woman,No. Business.
harvey,My daughter's getting married.
woman,Congratulations.
woman,I'm really sorry but I have a meeting in the morning and I must try and get some sleep.
harvey,No... Of course. I'm sorry.
woman,"It's just, I'll be useless - unless I get some sleep."
harvey,Sure.
postman,Morning Kate. Looking lovely as ever. If I was younger...
kate,Careful Paddy.  Blushing! Is she up?
postman,Oh yes.
kate, Mum. It's me - your daughter.
maggie,"Hello, my daughter."
kate,"I can't, I'm running late."
maggie,He's at it again.
kate, Who? At what?
maggie,The neighbour. Barbecuing or something.
kate," You know, you don't have to keep taking these - the Doctor said."
maggie,I like to. It makes me feel better.  Its 8 o'clock in the morning. Who barbecues at 8?
kate, I've got to go. I'll call you later.
maggie,Of course. Don't worry about me. I'll be Ok.  Have you got that date thing tonight?
kate,"I don't know, maybe.  Bye Mum."
maggie,"`Time and tide', Kate, as your father liked to say."
kate,Was that from his terrace in the South of France?
kate,Aggie.
aggie,Morning darling.
aggie,Four across. A filmy layer on the surface of a liquid?
kate,Scum.
oonagh,Sorry. Sorry.
kate,No.
oonagh,Please.
kate,Only if you guys swear you won't leave if it's not going well.
oonagh,No way.
kate,Promise?
oonagh,Promise.
aggie,Seven down. Another word for `souvenir'?
kate,Memento.
oonagh,"Aggie, why do you bother? You just get Kate to give you all the answers."
kate,So you spent the whole 2 weeks in the Toronto area?
elderly man,"Yes. Our daughter lives there, see."
kate,Ah.  So not a business trip then?
elderly man,"Oh, no. Unless you count grand- children as work."
kate, Some might.
kate,"Sorry, I couldn't just ask you a few very quick questions, could I?"
harvey,"I'm sorry, but I'm in a bit of a hurry."
kate,It won't take a moment.
harvey," Look, I'm sorry, but I'm tired, you know?"
kate,Yes. I do.
harvey,I'm sorry.
harvey,"Hi Suzie, it's your Dad. I've made it in one piece. I'm in a Taxi on my way to the Hotel. I guess i'll see you all there. Can't wait. Love you."
harvey,Hi. I'm with the wedding party. There should be a room for me. Harvey Shine.
concierge,Yes. I have a double room for you.
harvey,Good. Has everyone else checked in?
concierge,"I'm not sure, sir."
harvey,My daughter. Susan Shine. Or maybe she's already going by Wright. Susan Wright.
concierge,"No, sir. No one of that name."
harvey,Do you have a Mrs Pearce?
concierge,"No, sir."
harvey,I'll go up.
harvey,"Hello?  Oh...I see. No, I didn't realise. I thought the plan was for everyone to stay together."
kate,Mum?
maggie,What are you wearing?
kate,Dungarees.
maggie,"Oh, you're not!"
kate,"They're completely in again, haven't you heard?"
maggie," Oh, you're just being silly."
kate," Ok, mum. Thanks for the advice."
maggie,"Oh, listen. I've been thinking about Greece for our holiday."
kate, I love you too.
kate,Sorry i'm late.
oonagh,Don't tell me...  ...your mother?
kate,She's worrying about her new neighbour. Says he barbecues a lot.
oonagh,Very suspicious.
kate, I know.
oonagh,I got you the same as me.  They're at the bar. He seems very nice.
