Speaker,Dialogue
written by, John Monk Saunders
cary,"Shep! Shep, are you all right?"
shep,"Can't make it, Cary. Can't make it."
cary,"Here, give me your arm! I'll get you out of here! Hang on there, Shep! Get a hold - Just hold tight, old fella."
another chart,swings into view. This one is for Lieutenant Cary Lockwood whose readings for October 27th to November 2nd are also below the CRITICAL mark. The line continues and improves considerably by November 11th when the final reading is marked NORMAL.
cary,"Well, the old guerre is finie."
shep,That's right.
cary,"What are ya gonna do now, Shep?"
shep,Get tight.
cary, And then what?
shep,Stay tight.
doctor,"Lieutenants Lambert and Lockwood.  You two leaving us, eh? In a way, I'm sorry to release you two. I have no choice in the matter."
shep,"What am I going to do, Major, about my-- oh, this rotten business?"
doctor,"Mm? Spasmodic twitching of the muscles under the eye, eh, Lieutenant?"
shep,Mm hm.
doctor,"What the French call a tic. T-I-C, tic. Little bothersome, isn't it?"
shep,"Yes, sir."
doctor,I'm afraid time'll have to take care of that. Time and normal living.
doctor,"You two are returning to the United States, I presume?"
cary,"Ah, we haven't decided."
doctor,"I'd take the first boat home. Well, here you go."
doctor,"Oh, I forgot your burnt hands."
doctor,"Neither of you is fully hospitalized. I'd undertake a systematic course of finger exercises -- to, uh, stretch them and loosen them up. In time, you'll regain their full use."
cary,"Thank you, sir."
doctor,"Bye, Lieutenant."
doctor,"Bye, Lieutenant. Good luck."
doctor,"Well, there they go. Out to face life.  And their whole training was in preparation for death."
aide,"Why can't they go on with flying? You know, the air mails or something?"
doctor,I'm afraid they're unfit for further service in that direction.
doctor,"They fell, you know -- six thousand meters.  Like dropping a fine Swiss watch on the pavement. Shattered both of them. Their nervous systems are deranged, disorganized, brittle."
aide,Spent bullets.
doctor,"Spent bullets. That's it.  They've described a beautiful, high-arching trajectory. And now they've fallen back to earth. Spent. Cooled off. Useless."
aide,"Oh, well, if they take care of themselves, they'll pull through all right."
doctor,"Even if they do take care of themselves, what good are they? What can you expect of them?  I hate to think what may become of them."
bill," Hello, Cary!"
francis,"Hi, Cary!"
cary,"Hello, Bill! Hiya, Francis!"
shep,"Hello, Bill! Francis!"
cary," Well, I see you got yours."
bill, Yup. We crashed.
bill, Hey! Where you going?
cary,Paris!
bill,See you in Paris!
francis, Yeah.
cary,How 'bout a cocktail?
shep,Not a bad idea at that.
nikki,"still wearing a blank expression, clutches the glass in two hands."
the glass,"in her hands. Between her fingers, we glimpse its contents -- a complete set of men's false teeth."
cary,"I beg your pardon. But, if I'm not too inquisitive, would you mind telling me what IS that you're drinking?"
nikki,Teeth.
cary,Teeth?
cary,"Hey, it's teeth!"
shep,Teeth!
nikki,That's right.
bill, Yup. It's a full set -- upper and lower.
cary, It's a nice expression.
shep,"Hey, how come you're with those teeth?"
nikki,I was just standing here. And a nice gentleman came along and begged my pardon and asked would I mind holding his teeth for a minute.
cary,"Well, what did he want you to hold his teeth for?"
nikki,Said he wanted to biff somebody.
bill, Biff somebody?! Which way did he go?!
nikki,Just around to the right.
bill,"Come on, men! We're liable to see a fight."
cary,Would you like to come along?
nikki," Oh, no. I have to stay here and mind the man's teeth."
cary,"Oh, of course."
bill,Well. THAT'S all fixed.
cary,Let's go back.
the bar,"Nikki, no longer standing against the wall, sits on a bar stool with her back to the countertop, smoking a cigarette and holding an empty champagne glass. Our heroes enter and, glancing at the wall, fail to see her. After a moment of searching, Cary spots her at the bar."
cary,"Oh, there she is."
bill,"Well, we missed it."
nikki,Did something happen?
bill,"Well, they carried a guy out.  Say! What's become of the teeth?"
nikki,"Oh, the man came and got his teeth."
cary,"Well, what did he say?"
nikki,He said thank you for holding his teeth.
cary,What did he look like?
nikki,I think he fell in an airplane in the war -- and got his teeth knocked out.
cary,"Well, why do you think he was in the war?"
nikki,"Oh, he had a kind of little striped ribbon in his buttonhole."
cary,What makes you think he was a flyer?
nikki,His eyes.
cary,His eyes?  You can tell a flyer better by his ears.
shep,"Well, what do you say we have a drink?"
bill,Fine!
francis,"Sure, here's some space."
shep,"Hello, Jean!"
jean,"Bon soir, Monsieur Lambert. Qu'est-ce que voulez-vous [?]"
francis,Martini!
bill,Martini!
cary,Martini!
shep,Martiniiii!
nikki,Could I have a champagne cocktail?
jean,"Certainment, Mademoiselle.  Quatre Martinis pour messieurs! Champagne cocktail pour Mademoiselle Nikki!"
francis,Nikki?!
bill,Nikki?!
cary,Nikki?!
shep,"Can you imagine that, fellas? Her name is Nikki!"
cary, Her name is Nikki. She holds men's teeth. She sits at the bar and she drinks champagne.
bill," Boys, she's gonna be a lot of trouble."
nikki,"Oh, my, my!"
shep,Poor sweet! She can't even hold her glass!
nikki," Oh, well, HE can't either. Besides, he has to use two hands."
shep,Course he can't hold his glass. His hands are burned.
nikki,Burned?
shep,You have no right to spill YOUR drinks. He can't help himself.
nikki,Burned? How burned?
shep,He brought a plane down on fire.
nikki,An airplane? In the war?
shep,He held the stick. But his hands began to slip. Then he held it inside his arms. He was trying to bring his rear gunner down alive.
nikki,Did he bring him down safe?
shep,Well...
shep,Brought him down.
nikki,"Oh, so that's why--?"
shep,Yes! That's why he can't hold a glass.
nikki,"Oh, I'm so ashamed."
shep,"Now, Cary's had a pretty thin time. His nerves are tricky. You should never call attention to his hands."
frink,"Hi, Cary."
cary," Oh, hello, Frink."
frink,"Hello, Francis. Bill."
frink,Shep. Drunk again?
shep,"Say, don't you know any OTHER opening remarks? It's about all we've heard from you for a year."
frink, Hi! Jean!
frink,Un sidecar.
jean,Sidecar ... [?]
frink,"Say, why don't you fellows go home and go to work?"
shep,Work? What kind of work?
frink,"Oh, anything useful."
bill,What could we do? Sell washing machines? Drive a milk wagon? Mend old furniture or somethin'? Heh!
frink,Go back to flying. Fly the air mails.
bill,"Aw, we couldn't fly a kite."
francis,Maybe a small kite.
frink,"Well, there must be something you can do."
shep,We've got to tend to our drinking. We don't get much opportunity.
frink,"Lots of things going on outside. Sun shining, trees growing, people walking around."
bill,Say! Is that STILL going on?
shep, Sounds pretty pre-war to me.
frink,Hey. Don't I rate an introduction? Who's your swell friend?
shep,"Oh, her? Just an old hussy we found scattered around."
shep, Pay no attention. Sometimes he goes away.
cary,"who sits at his table, staring into space, holding his unread menu in his lap."
nikki,is pleased to see Cary.
nikki,Oh! He didn't go.
cary,"startled, rises and stares at Nikki as she approaches."
nikki,"Oh, I'm so sorry. Your hands..."
nikki,"Oh, your poor hands! Your poor, poor hands."
nikki,Oh!
