Speaker,Dialogue
winchester rep,Ladies and Gentlemen ... the Winchester Corporation is proud to bring to you... a true American hero. A patriot who has proven his gallantry time and again on the field of battle.
winchester rep,I hope you will join us in welcoming ...Late of the U.S. Cavalry. The Savior of Sutter Hill ... Captain Nathan Algren!
2.,WINCHESTER PRESENTS: THE MIRACLE AT SUTTER'S HILL!
algren,"My thanks, Mr. McCabe... Ladies and Gents."
algren,"... On that fateful day, Johnny Reb had us in a spot, perched on the lonely top of Sutter's Hill, nothing but grey as far as the eye could see: Unhorsed and out of ammunition, I gazed down into the, um, mael... mael...  -maelstrom below us, and saw them moving up."
algren,I knew it was fight or die. Into the teeth of the enemy or we would all be buried... buried ...  ...on the same hill with our comrades a1ready gone to Merciful Heaven...
davey,"They're coming, Nate."
algren,Keep your head down.
davey, Papa alwa ys said we should've joined the navy.
algren,What'd he know?  You watch me now. Do whatever I say. .
davey,"Aye-a ye, lieutenant."
gant,How're the horses?
algren,"Better than you. Smell better, too.  Can you hold on, Zeb?"
gant, I got I choice?
bagley, We need a flag. Find me a goddamn white flag!
algren,What are you talking about?!
bagley,"Surrender, damn it! That's an order!"
algren,"No thought of surrender among those boy. Better to die as God made us, we thought, as soldiers... So I gave the order. Mister Bugler, sound mount up. Mister Bugler, sound prepare arms. There were only thirty of us, but we had fire in us yet. I looked down the hill at the destiny ordained for us. And gave the order. Mister . Bugler, charge!  The little Union cavalry soldiers begin moving down slots in the hill.  On Sutter's Hill:  Algren leads a chaotic cavalry charge down the hill toward the advancing rebel infantry -- artillery explosi ons - bullets snapping, trees shattering.  Algren's brother, Davey, rides beside him.  4.  The wounded Sergeant Gant pulls himself up, waves his cap and yells.  Bagley remains cowering behind the stone wall."
algren,And straight into them we went...
algren,"""Hip-hip hurray"" we shouted, for we had spirit in us yet--"
algren,"Before they knew what hit them, we had broken through into the rear of the rebel army."
davey,"We did it, bro', WE DID IT! Whoeeeee!!"
algren,Davey---!!!!
algren,AHHHHHHH--!!!!!
algren,And the 23rd rode on to glory.
algren,"Now let me: tell you, gentlemen, if there's one thing on earth I could have had with me on that glorious day, it would have been this beauty..."
algren,"The Winchester Model '73 lever-action rifle. 15 shot capacity, one round-per-second, accurate at 400 yards. You'll note the patented loading port just beneath the cartridge chamber and the smooth cocking action. ...Lets' just see here--"
algren,"Smooth trigger action, too."
algren,"This is, gentlemen, The Gun That Is Winning The West... Step on up and take a look. Mr. McCabe is here to answer any question and take orders. I thank you."
winchester rep,What the hell was that?
algren,"Got their attention, didn't I?"
winchester rep,Boston in three weeks. And sober this time.
7.,EXT.                   GAS-LIT STREET              NIGHT
algren,Go awa y.
8.,Algren looks up. He knows that voice. He carefully puts the revolver back into the suitcase and shuts it before opening the door.
gant,"Thought you'd seen the last of me, I expect.  Algren is filled with emotion, which he tries to hide."
algren,Zeb...
gant,... Saw your little melodrama         toda y. Very inspiring... .
algren,Given up soldiering to become a critic?
gant,"Got a job for you, unless you're running for office..."
algren,I have I job.
gant,I mean a real job. Back in uniform.
algren,I' m retired.
gant,I don't mean a U.S. uniform.
9.,has his eye on a political future.
bagley,"Nathan, good to see you."
algren, Colonel Bagley...
bagley,"Sit down. This is Mr. Omura, from Japan, and his two associates who, so far as I can tell, don't have names..."
bagley,They're looking to hire real American soldiers to create the first Japanese Imperial Army.
bagley,Japan's got it in mind to become a civilized country and they're willing to spend what it takes to hire white experts to do the job right.
bagley,Sergeant Gant has already agreed to serve. You would be m y second-in-command.
algren.,"With approval from Washington, of course."
bagley,"Both governments prefer to consider our mission unofficial. We'd be there as non-combatants BAGLEY  only, advisors to the Japanese officers. Help them with training, ordinance and the like."
gant,"You ought to think about it., Captain. Unless you intend to take up a career in the theater."
algren,I have an agreement with the Winchester Corporation -- I'm sure these people have some concept of what an agreement is.
omura,"You are paid seven dollars for each performance. You do, on average, fourteen performances a year. We will pay you 400 dollars."
algren,A year?
omura,"...After the Shogun gave up power, the daimyos you would call them warlords --knew that Japan needed a centralized government. So they asked"
11.,"OMURA  the hereditary Emperor, His Highness the Enlightened Meiji, to lead the country."
algren,And these warlords just ... gave up hundreds of years of power?
omura,Economic incentives were offered. Most provincial leaders saw the financial benefits of modernization.
algren,What about those that didn't?
omura,"To deal with those who have resisted, the Emperor has decided to create an Army with allegiance only to him... We considered hiring advisors from Germany, but your Ambassador reminded us of your experience in suppressing rebellious elements in your Civil War."
algren,Who are we supposed to be fighting against?
omura,His name is Mori Katsumoto. He is samurai.
algren,Samurai?
omura,"The word you might use it ""warrior"". But that does not quite capture it ... Katsumoto once served the Emperor but he is now a traitor who leads a band of traitors. He must be punished."
algren,"You told them about our experiences together on Sutter's Hill, did you, Colonel?"
bagley,They know I was your commanding officer. Yes.
algren,"Excuse me, gentlemen. I need some air.  I'm sure Colonel Bagley can amuse you with more stories of patriotic gore."
omura,He is insolent.
bagley,"Get him in front of the troops, you'll see. Top of his class at West Point. Brilliant tactician. Even wrote a book."
omura,Why did he leave your army?
bagley,What's a hero to do when there's no more great battles?
omura,Is that an evasive answer?
bagley,"Sir, this man was left for dead at Sutter's Hill. Doct ors swore his heart had stopped beating, but before they could bury him, he came back to life. After the war he fought the Sioux, the Cree, and the Blackfoot.       . Point him at the enemy. He was born for it."
13.,Colonel Bagley stands looking down at him.
bagley,I hope you realize the kind of second chance this is for you. I won't tolerate insubordination.
bagley,Would you rather I hadn't recommended you for the medal. Nathan? Is that it?
algren,"We both know why you helped me, Colonel. Don't expect me to go all weepy with gratitude."
bagley,I expect you to do your job. Save the self-pity for your own time.
gant,Hate boats. If the Lord bad wanted man to sail he wouldn't have created infantry.
algren,How many rimes you puke today?
gant,I'm down to two.
