Speaker,Dialogue
sofya,Why are we slowing down?
sofya,We're stopping. Why are we stopping?
sasha,"I don't know, mother.    No idea."
sofya,"Excuse me, why has the train stopped?"
conductor,"It's the crowd, ma'm, the people. They're blocking the track."
sofya,"But if they block the track, the train can't go...YOU HAVE TO MAKE THEM MOVE."
sofya,"Oh, they won't move. We are gonna die here. Leo, Leo, go and say something to them. It's the only way we are gonna get out of here."
tolstoy,"I have seen your banner. And Ive heard what you say. You think Im the hope of Russia, do you? Well, thats not true. You are the hope of Russia. The hope of all the world. You say, you want a new way to live? Well, you are not gonna find it making a fuss over me. So, I suggest that you get on with your work and let a poor old men get on with his."
valentin,Do you know who that is? That is the greatest man in the world.
sofya,Darling.
chertkov,"But sex... You are twenty three. Not an easy age for abstinence, is it?"
valentin,Tolstoy does not approve of sexual relations. I know this.
chertkov,"He despises them, in fact..."
chertkov,"I don't want to belabor the point, but I arranged for a manservant last year who proceeded to ruin two housemaids just like that. He was very upset."
valentin,This would not be a problem. I'm celibate. I'm also a strict vegetarian.
chertkov,"Yes, I've heard many good things about you. I've even read what you`ve written. So has he."
chertkov,"My dear boy, if you were to become Tolstoy's private secretary, you would be given a great gift. You'll be with him every day, eat together, walk in the forest by his side."
valentin,"Believe me, since becoming a Tolstoyan, I have become so eager to learn, so comitted to discussing ideas, improving my very soul."
chertkov," Well, we have a lot to do if we are to get his work to the people."
valentin,We?
chertkov,"Yes, we. If we can encourage the spread of passive resistance...just think of it Valentin   thousands of ordinary Russians casting off centuries of spiritual and political oppression-"
valentin,In the name of truth and freedom.
chertkov,"Truth and freedom, yes but still, my boy, there are so many enemies-"
valentin,Enemies?
chertkov,The Czar's police...You'll be followed when you leave here...and the church will stop at nothing to bring him back into the fold. His children can't be trusted... only Sasha... and then of course there is the Countess... 
chertkov,"And although they've allowed me to return to Russia, I can't see him. They keep me under house arrest... They might as well keep me in a cage."
chertkov,"So, I need you to put these letters directly into his hands. One can't be sure what gets through to him."
chertkov,Sofya Andreyevna does not respect his privacy.
valentin,She wouldn't open his private correspondence...
chertkov,"I have another task for you, my dear."
valentin,Please.
chertkov,You'll keep a diary for me.
chertkov,"I need to know everything that goes on at Yasnaya Polyana. Let me know who visits the house, any talk of the copyright to his work, any contact with the church, what letters come and go.  Anything Sofya Andreyevna says."
valentin,Anything?
chertkov,"She's very, very dangerous."
chertkov,"Godspeed, my boy."
chertkov,And remember what I said.
chertkov,Write everything down! Go!
tolstoy,"Nothing's working... Hand me my other boot, my friend, will you?"
dushan,Let me finish.
tolstoy,"It doesn't matter. If my heart had stopped beating, I'd still go riding today."
dushan,Your pulse is my responsibility... 
sofya,"This is impossible! It really is! These people are parasites! Look...  ""Countess Tolstoy has become estranged from her husband. They barely speak."""
sofya,You know who spreads all this rubbish....
sofya,"C'est la meme en France. They gossip about us in Paris... ""They do not share a similar view of either religion or politics."" Incroyable!"
tolstoy, Peut-etre. You think that's inaccurate?
sofya,I think it's none of the world's business.
sofya,What are you doing? Don't do that.
tolstoy," Dushan Petrovich, you're scribbling again?"
sofya,"Darling, where are you going?"
tolstoy,Riding with Sasha. Don't expect us for lunch.
sofya,"Leovochka, why do you insist on dressing like that."
tolstoy,What do you mean?
sofya,Like the man who looks after the sheep.
tolstoy,It's not meant to offend you.
sofya,"But it does offend me, because it offends reason. You're a Count, for God's sake."
sofya,"Oh darling, I have something else to say."
dushan,He's forgotten his coat.
dushan,Let him walk. Let him walk.
journalist,"Count Tolstoy, you're no doubt distressed by the Czar's treatment of your secretary Nikolai Gusev ?"
tolstoy,These people are bandits.
dushan,"I said, let him walk."
tolstoy,They come into my house and arrest a man whose only crime is to express a view of life saner than that which prevails.
journalist,So Gusev is innocent?
tolstoy," Of course, I'm the guilty one. I reject the Orthodox church. I condemn the established order and I make no secret of it."
peasant,"God bless you, Tolstoy. Thank you."
dushan,Let him walk. Let him walk.  But you don't banish these people very much to your credit...I wish I had your largeness of spirit.
sasha,Papa.
tolstoy,Sasha!
sasha,"Did you ride this morning?  A small crowd collects to watch father and daughter embrace, kiss.  A WIDE SHOT of the riders- cutting around we are"
sergeyenko,Telyatinki was created by Vladimir Grigorevich as a center for the movement. Just last week we had a visitor from India. We talked to the group about the healing properties of cobra venum.
valentin,"Oh, goodness..It's a beautiful day."
sergeyenko,"Yes, but we will pay for it."
sergeyenko,The meeting room is behind us. This is the tool shed. The dormitory ahead.  He points out a larger building across the way.
sergeyenko,Telyatinki is a place of freedom. Nothing is forbidden here.
sergeyenko,"Each man is alone with his conscience and his God.  The kitchen is below. You'll be expected to assist with meals at least twice a week ...and to give a hand in the garden. We're all equals here, you know...as Tolstoy teaches us."
valentin,I look forward to it.
sergeyenko,Yes... you're lucky....We're all envious.
sergeyenko,Vladimir Grigorevich is anxious that you begin your reports as soon as possible. You have the notebook he gave you?
valentin,Of course.
sergeyenko,You understand we must keep the existence of the diary a secret.
sergeyenko,What is it?
valentin,Just that...secrecy doesn't seem to me the essence of Tolstoy's thought.
sergeyenko,"But you'll admit, you're no expert."
valentin,"Yes, I...I'll see you in the morning."
sergeyenko,If we're spared.
valentin,Come in.
masha,I've brought you a glass of tea.
valentin,That's very kind of you.
masha,It's your first day. Enjoy it.
masha,You met Sergeyenko?
valentin,Last night.
masha,Ad what do you think?
valentin,He seems very sincere.
