Speaker,Dialogue
paul, FUCKING GOD!!!!
jeanne,"A phone token, please."
bartender,"No tokens. At the end, on the left."
jeanne,Thank you.
jeanne,I've come to see the flat. I saw the sign.
concierge,The sign?
jeanne,Yes.
concierge,It's always the same! Nobody ever tells me anything.
jeanne,I'd like to see it.
concierge,You want to rent it?
jeanne,I don't know yet!
concierge,"They rent, they leave and I'm the last to know. Do you think that's right?"
jeanne,Let go of me!
jeanne,Who are you?
paul, Through the door.
jeanne,"Oh yes, I left it open. I didn't hear you come in."
paul,I was already here.
jeanne,Sorry? Oh it was you who took it. I had to bribe the concierge. These old houses are fascinating.
paul,The armchair should go in front of the window.
jeanne,Are you American? You've got an American accent.
paul,I don't know.
jeanne,What are you doing?
jeanne's voice,Hello? Hello --
paul," Hello -- Hello. There's no-one here. There's no-one. I don't know. He puts the SMALL LAMP SHADE back. He hangs the receiver on the back of the chaise. Jeanne continues to listen on her end, UNAWARE."
jeanne,So you're going to take it? You've decided?
paul,I had already decided. But I'm not sure now. Do you like it?
jeanne,I don't know. I shall have to think about it.
paul,Think fast.
jeanne,I thought you'd left.
paul,"Ah... Oh, God."
tom,Watch out!
jeanne,Have they taken us for someone else?
tom,We're in a film.
jeanne,What's going on? Do you know them?
tom,"It's a long story. In short, Portrait of a Girl. It's been accepted for television! And the girl is you. It's you!"
jeanne,You're mad! You might have asked me first.
tom,"Yeah, but I wanted..."
jeanne,"So you kissed me, and you knew it was being filmed. You're a bastard! Traitor!"
tom,"No, you'll see. It will be a love story. Tell me, Jeanne, darling. What did you do while I was away?"
jeanne,"I thought of you day and night, and I cried. Darling, I can't live without you!"
tom,Wonderful! Cut! That was perfect!
catherine,"I'd have finished by now, but the police wouldn't let me touch anything. They didn't believe it was suicide."
paul,Turn the tap off now. CATHERINE They'll be doing the autopsy right now.
paul,Why won't you turn the tap off?
catherine,They told me to give you your razor back.
paul,It's not mine.
catherine,They said they don't need it any more. The investigation is over.
mover,"Excuse me, where shall I put this?"
jeanne,You could have rung the bell.
mover,The door was open. I'll put it there.
jeanne,In front of the fireplace.
mover 2,"Careful, madame."
jeanne,There.
mover,What about the table?
jeanne,How do I know? He'll decide.
jeanne,It won't fit!
mover,"Well, your husband has no idea. All this in an hour... It's not long."
jeanne,What a mess!
mover,Thank you.
mover 2,Thank you.
paul,The armchair goes in front of the window.
jeanne,But I only came to return the key. To return it to you.
paul,I don't care about the key. Take your coat off.
jeanne,OK.
paul,Get those chairs and bring them here.
jeanne,You didn't waste any time...
paul,The bed is too big for the room.
jeanne,I don't know what to call you.
paul,I don't have a name.
jeanne,Do you want to know mine?
paul,"No, no! I don't. I don't want to know your name."
jeanne,You're crazy!
paul,"Maybe I am, but I don't want to know anything about you. I don't wanna know where you live or where you come from. I wanna know nothing, nothing, nothing..."
jeanne,You scare me.
paul,You and I are gonna meet here without knowing anything that goes on outside here.
jeanne,But why?
paul,"Because... Because we don't need names here. Don't you see? We're gonna forget... everything that we knew. Every... All the people,... all that we do,... wherever we live. We're going to forget that, everything, everything."
jeanne,But I can't. Can you?
paul,I don't know. Are you scared?
jeanne,No.
rosa's mother,I thought you'd be here.
paul,I expected you later.
rosa's mother,I took the first train.
paul,What are you looking for?
rosa's mother,"Something that would explain... A letter, a clue."
paul,"Nothing. I told you, there's nothing, nothing at all."
rosa's mother,My little Rosa wouldn't have... Nothing for her mother. Not a word.
paul,It's useless to keep on searching.
rosa's mother,"Not even for you, her husband!"
paul,You need to rest. I think room 12 is free.
guest,Hi.
paul,I don't know. In the evening.
rosa's mother,And then?
paul,"Then I... I already told you on the phone... When I found her, I called the ambulance."
rosa's mother,"After you called, Papa and I stayed up all night, talking about Rosa and you. Papa kept whispering, as if it had happened in our house."
paul,In one of the rooms.
rosa's mother,Did she suffer?
paul,Ask the Doctors. They're doing the autopsy.
rosa's mother,The autopsy.
paul,"The cards, clothes, relatives, flowers. You've got everything in that suitcase. You didn't forget anything. But I don't want any priests here."
rosa's mother,But...
paul,No priests.
rosa's mother,But Paul...
paul,Understand?
rosa's mother,We have to. Funerals must be religious.
paul,No!!!
paul,"The priest doesn't want any suicides. The Church doesn't want any suicides, do they?"
rosa's mother,They'll give her absolution.
paul,Heh!?
rosa's mother,"Absolution and a nice mass. That's all I ask, Paul. Rosa... Rosa is my little girl, do you understand? Rosa... Why did she kill herself?"
