Speaker,Dialogue
decoupage,CLAUDE SAUTET
georges,Encore un !
martial,"Vous en faites pas, m'sieur le comte, j'suis l."
georges,"Martial... Poussez-moi donc celui-l un peu, sur la gauche..."
georges,a pisse de partout !
martial,"A la soupe, madame la baronne."
amelie,Une croquette pour le dix !
la marquise,"Une croquette, une !"
georges,"`Soir, Amlie."
amelie,"`Soir, papa. GEORGES Ahhhh... O est ta mre ?"
amelie,Travaille...
georges,"Et moi aussi, je travaille."
amelie,"Moi aussi, je travaille."
georges,"Nous travaillons tous, pendant que le bourgeois se goberge et s'empiffre !"
amelie,"Tiens, il a fini sa croquette. Papa, tu veux pas desservir, je finis mon chapitre."
georges,"Oh, la-la-la-la-la..."
georges,"Une veille de quinze aot, et j'en suis  mon cent-dixime pot..."
georges,"De chambre, monsieur Patin... Cent-dix pots de chambre... pour protger mon ciel !"
georges,Il suit le regarde de M. Patin et se crispe un peu. Amlie !... O est ta mre ?
georges,Et je fais leur lit...
diane,"Oh... Georges, mon ami, j'en ferais cinquante avec joie, mais nous n'avons qu'un seul client depuis six mois."
amelie,"J'te donne un coup de main, maman ?"
georges,"Oh, ne m'excitez pas : c'est pas le moment."
amelie,"Oh... coute, papa !"
diane,Devant ta fille !
georges,"Diane, o est ta mre ?"
georges,"Bonjour, ma mre, j'ai  vous parler. Je vois que je ne drange pas vos comptes."
la marquise,"Parlons-en de nos comptes : nous tirons le diable par la queue ! Elle se dirige vers le salon, suivi de Georges."
georges,Vendez vos bijoux.
la marquise,Quels bijoux ?
georges,Rien qu'une boucle d'oreille comme celle-l nous rpare le toit de la chapelle.
la marquise,"Et vous me voyez sortir avec une seule boucle d'oreille ! Vous tes d'une mauvaise foi, mon gendre !"
georges,Ne parlons plus de bijoux et cessons de nous plaindre.
la marquise,"Depuis six mois, nous avons un single-breakfast par week- end... Un seul !"
georges,Plus les repas.
la marquise,"Oh... des repas sans drinks ! Ben, vous l'avez vu, l, votre client, c'est toujours le mme. Un htel, mon ami, ne fonctionne qu'avec des pochards et des couples. Vous imaginez, hein, des couples... Hein ?... Love et wine !"
georges,"Et chacun sa conception : la mienne est de fumer ma cigarette tranquillement dans un deux-pices sur cour, la votre est de garder le chteau et d'en faire une auberge."
la marquise,Mais il y a une clientle pour des lits comme les miens... Pouvez pas comprendre...
georges,"La vrit, c'est que je vous vois mal diriger une maison de..."
diane,Tu veux dire un bordel ?
amelie,"Oh, mais il y a bordel et bordel, maman ! Hein, grand- mre ?"
la marquise,"Absolument ! Mais... ne parle pas comme a devant ta cousine... c'est une demoiselle. Mais cela dit, pour sauver mon toit, moi, je tolrerais un claque. Avec une clientle huppe, bien entendu."
georges,"A la place de ce vieux machin, vous voudriez peut-tre le Duc de Windsor ou l'Aga Khan."
georges,"Vous rvez... je vais desservir. Comme d'habitude, tout me retombe sur les paules."
la marquise,"Mais nous ne rvons pas. Mon ide est excellente : elle n'est pas exploite, c'est tout. Notre plan est au point : Welcome... Love... et Kopeck ! Alors, toi, Amlie, tu attires la clientle, et toi, Diane, tu la retiens. AMELIE Et Jeanne ? Comme toujours, elle fait rien !"
la marquise,Elle sait faire que a !
amelie,C'est vrai. Et comment j'attire la clientle ?
la marquise,"Ben, ton petit garagiste."
amelie,Charlie ? Je lui en ai dj parl. Il n'a pas l'air chaud.
la marquise,"Et bien, rchauffe-le."
amelie,"Oui. Amlie se lve et sort de la pice. Diane et sa mre reste assise, main dans la main,  couter Jeanne."
charlie,"Primo, tu m'emmerdes, deuxio, je travaille !"
amelie,"Troisio, je te manque ! Et tu me vois pas assez."
