Speaker,Dialogue
shooting script,September 1994
ben,Peter
peter,"Ben... how are you, man?"
marc,Nice to meet you. I think I spoke to you on the phone a couple of years ago. Weren't you both at MGM with Laddie?
ben,That's right. Are you still at ICM?
marc,"No, I'm at Tri-Star now."
ben,"That's great. Say hello to Mike for me. That's a beautiful dress, Debbie, and those are fabulous earrings, Sheila."
marc,"I gotta tell you, I'm a big fan of your writing. I loved Bay of Pigs."
ben,"Thanks a lot. I didn't actually write it, I just got the credit. I was fired.  Can I talk to you for a moment?"
peter,"Listen, Ben, I can't help you any more. Do you understand?"
ben,"This is the last time. Promise. I just need some cash tonight. I lost my credit cards. The money'll be on your desk first thing tomorrow morning, Scout's honor. How's the new one coming along? I here you got Richard Gere."
peter,This is all I have in cash. Please don't drink it here.
ben,"Yes, that's fine. I'll messenger it over to you tomorrow."
peter,I don't want it. Ben... I think it would be best if you didn't contact me again.
yuri,"...but please, my friends, call me Yuri. It is my American name... I picked it myself."
first businessman,"Where are you from, Yuri? I mean, you sure don't talk like you're from this neck of the woods."
yuri," No... you are right, my friend. How very observant you are. I am from Latvia."
weird woman,Tough place.
yuri,"Yes, I hear this too. But I am not a tough man. I am a simple man who is here to learn from my new American friends."
weird woman," Is this your friend, Yuri?"
yuri,"Ah, yes... Sera."
second businessman,"Of course, Yuri. I think you'll find this just as we discussed."
yuri,"So, my friends... I have other business to attend. Enjoy."
sera, Yuri... please! Can I talk to you for a moment.
yuri,My friends... excuse me for just one moment.
sera,"I don't want this. Yuri, please. I really don't want this. You know I don't like to do groups."
yuri," I want this, Sera. I need this!"
sera,"Please, Yuri."
yuri, These are pretty.
yuri, Sera wanted me to ask if she might undress at once for you. She has a very beautiful undergarment witch she would like you to see.
weird woman, Come here.
hostess," Just look at this studio, Ben, filled with glamorous merchandise, including an extra special prize chosen just for You! A big, bad, BMW motorcycle, complete with saddle bags stuffed with thousands of US dollars."
hostess,"So, Ben,  Let's find a bar, get drunk and go for a ride."
hostess,Then we can get a suite somewhere and order up a case of champagne while we fuck ourselves silly.
hostess,"This is it, just for You, Ben."
hostess,"Because You've been so patient, and because I want to fuck you, take care of You, and because there's nothing else in the world worth doing."
hostess,"Tell you what, Ben, let's go to Las Vegas. The bars stay open twenty four hours night and day. Just you, just me, Ben, think about it, all right?"
ben,I'll think about it.
barman,You should go on that show.
ben,"Yeah, but what's the back end like? By the time we're through with P and A, the above-the line is going to take it to about fifteen and with something like this... I don't know if Disney will go for it... can I call you back on this? OK... chow for now.  Good morning."
woman, Ben... Mr. Simpson was looking for you. I said that you had a doctor's appointment. He said for you to go in as soon as... are you OK?
ben," I'm fantastic, but I gotta go out now... very important meeting, could make a coupla million for the company."
woman, Ben?
ben,What?
woman,You should go now.
ben, This is to generous Peter.
simpson," Well... we liked having you around, Ben, but you know how it is."
ben, Sure thing... and I'm sorry.
simpson, Well... what are you going to do now?
ben,I thought I might move out to Las Vegas.
ben,The bars never close.
ben," Beautiful, no just the shape which is nice, but the whole walk, the feeling, the movement. This girl is pleased with herself. Maybe this is the only art I can appreciate... I don't know if this is good or bad, but right now she is really beautiful. When I was a boy it would have been really important that she have a pretty face, to go with this body, I mean. I still would like to see her face, but her beauty is no dependent on her face."
ben," I wonder what kind of panties she's wearing. Shit, that's too specific, but... on the other hand, you can never be too specific... but then, the infinitesimal must be, by definition, as infinite as the infinite."
ben," God, she's so young."
girl,Hi!
ben,Hi...
ben,"Hey, Brad... how's it going?"
brad,Hey Ben. There were a couple of guys looking for you.
ben,What did they look like?
brad,Suits. I didn't tell them anything. You know anything about gears?
ben,How'd this happen?
brad,I was going real fast down on the beach and something slipped and everything got jammed up.
ben,"The news is not good, kid. This bit here... see there... it's broken. You need a new  one."
brad," How much, do you think?"
ben,I don't know. I'll find out though.
yuri,"I missed you, Sera. You have been lonely?"
sera,"I'm older now, Yuri."
yuri,You have been lonely?
sera, I've been all right.
yuri,I will keep you safe. We are both older.
yuri,You have been lonely?
sera," I am lonely, Yuri."
yuri,Yes... so am I.
sera," I had a new dress... we were at the fair, Daddy bought me an ice-cream and I spilt it on my dress..."
sera,"... Mom was with Helen, and Dad looked around first to see if she was watching and then he scraped it all off and threw it on the grass and then he kissed me and hugged me and told me it was all right..."
yuri, ... wealth and luxury.
yuri,Why did you run away from me in Los Angeles?
yuri,Because you are sly. Mmm? You knew all along that there was more money in Las Vegas. Didn't you?
yuri,"You have nothing to fear from me. You know why? Because we belong together, Sera. Don't we?"
sera, Yes.
yuri,"I'm pleased with you, Sera... how you have moved up in the world. I showed you a glamorous world when I took you off the streets...  and how you repay me."
yuri,With an old friend.
yuri,But that is none of your affair. You will call this morning and book me into a hotel suite where I will make new contacts for us.
sera,"You'll need some money, then."
yuri," It is, after all, Sera, my money."
sera," Yes, of course. How much do you need?"
yuri, All of it. I need to buy many things... all of it!
