Speaker,Dialogue
woman's voice,"When I was a little girl, my mother would remind me each night before bed to be sure to open my heart to God, for he was kind, merciful and just. Things changed after my father left a few years later, leaving her to raise me and my brothers alone in a little place out on the edge of the Mojave Desert. She never talked about a kind and merciful God again. Instead she spoke of a prophecy. Of a time when all the world would be covered in darkness and the fate of Mankind would be decided. One night I finally got up the courage to ask my mother why God had changed, why was he mad at his children. ""I don't know,"" she said, tucking the covers around me, ""I guess he just got tired of all the bullshit."" And with these words the last trace of sunlight is SNUFFED OUT, leaving us in:"
burton,Goddamn' animals. Nights like this I wish I could take a match to this city just so I could watch all these motherfuckers burn.
burton,"A fresh start. That's what this place needs. He holds his finger up like a pistol. Aims it at the people they pass, picking them off one by one."
burton,"Pow!   Pow!     Pow! Now Burton laughs, a dark, mean laugh.      Estevez eyes his partner, wary."
estevez,"Jesus... You know Burton, I'm so happy we get to share beautiful moments like this. They really brighten my da-- KABOOM! Through the WINDSHIELD, we see a storefront EXPLODE just ahead, raining fiery debris onto the squad car. Burton slams on the breaks and the cops look up just in time to see..."
estevez,"Drop the bags! Hands on your head! In the distance, the POP-POP of GUNFIRE. The POLICE RADIO CRACKLES with URGENT CHATTER. MANY VOICES TALKING AT ONCE. ""Shots fired...Code Three...Officer down!"" The cops shift about nervously, trying to stay focused."
michael," It's starting. There isn't much time. The cops shoot a quick, anxious glance at each other -- ""what the hell?"" -- then they turn back to Michael."
burton,Shut the fuck up and drop the bags now! Michael lets the gun bags hit the ground.
estevez,Hands on your head!    On your head! Michael slowly places his palms on his skull.
burton,"Turn around! Turn the fuck around! Michael slowly turns around.    Calm. Estevez rushes in to restrain Michael, grabbing his wrist, FINGERS TIGHTENING. Michael closes his eyes, a terrible decision made. And that's when he moves, a fucking blur! In an instant Michael's broken the cop's arm, spinning him helplessly around, turning him into a human shield. Now it's Michael who's in charge, gun to Estevez's head, facing off with Burton. Burton struggles to find a shot, can't."
burton,Let `em go!
estevez,"Take the shot, Burton!"
burton,"I said let `em fuckin' g-g-g-g-- Suddenly Burton starts to SHAKE, the words stuck in his throat like a skipping record."
estevez,"Burton!? THE STREET LAMPS BEGIN TO FLICKER AND STROBE, adding to the confusion. Burton squeezes his eyes shut in pain, his WHOLE BODY QUAKING, heels CLICKING the pavement, as if some massive pressure were building inside him. And with the horrific sound of CRACKING BONES, BURTON'S MOUTH"
burton,"What are you doing, Michael?   These weren't your orders. Estevez looks at his partner with confusion."
estevez,"What did you say? Michael, however, seems to know exactly who he's talking to."
michael,I'm following my own orders now.
burton,Then you will die along with the child.
estevez,"Burton, you fuckin' know this guy?! BLAM! Burton shoots his partner in the head. Estevez drops, leaving Michael without cover. Burton re-aims, but Michael's faster, already FIRING back. Bullets rip up the concrete. SMASH!   The squad car window SHATTERS, Burton's chest EXPLODING!"
jeep,"Sorry to wake you, Charlie."
charlie,"(stepping out of the trailer, hands on her"
charlie,"Another bad dream? He struggles for a moment, nods."
charlie,"It's just stress, Jeep, that's all. You do too much worryin'. About this place. About your dad."
jeep,You're the only thing I like worrying about.
charlie,"See what I mean? You're worried about a girl eight months pregnant and it isn't even your baby. Now that's enough to give anybody nightmares. Jeep turns away, dejected."
jeep,"Go ahead, make fun of me. Everybody else does."
charlie," C'mon, I was only kiddin'. You know how much I appreciate everything you and Bob are doing for me, but a month from now, this baby'll have a new family and I'll have to start thinkin' about what the hell I'm doin' with my life. This is not news Jeep wants to hear."
jeep,So you're still going through with it...?
charlie,"Jeep, I'm not ready to be a mama. Christ, I can barely take care of myself as it is."
jeep,"I could help you. We could do it together, you know? I want to. Charlie smiles sadly at him, touched by his sweetness, but this just isn't where she's at."
charlie,"You gotta stop carryin' the weight of the world on your shoulders. Jeep nods, tries to hide the fact that he's dying inside."
charlie, Now can we go back in? I'm freezing my ass off out here.
jeep,"Go on.   I'll be right there. Charlie kisses him on the cheek and heads back to the trailer. He watches her, longing in his eyes. With the clank of the door, she's gone. And over Jeep's troubled look, the perennial holiday cheer of FRANK CAPRA'S ""IT'S A WONDERFUL LIFE"" MIXES up."
percy,"Lord as my witness, Bob, one of these days that thing's gonna hit you back."
bob,"Whaddya talkin' about, Percy? We got a special relationship here."
percy,"Yeah, they got names for that kind a relationship. The JUKEBOX on the other side of the diner starts up with the MERLE HAGGARD tune ""I'M A LONESOME FUGITIVE"". A stunning looking sixteen-year-old GIRL with dyed-black hair and a piercing or three, is leaning seductively over the jukebox, swaying gently to the music. The headband doubling as her mini-skirt reveals her knock-out figure in a way that really doesn't leave much up to the imagination. She's a billboard of rebellion."
sandra,"Really, how can she go out in public wearing that?"
howard,I don't know. Why don't we just ask her?
sandra,"Howard, don't. You'll embarrass me."
howard,(shouting across the
audrey,"Yeah, that's cuz I woke up hoping to get double teamed by a couple of meth head truckers in the bathroom of some desert shithole."
howard,I feel satisfied with that answer. I really do. Sandra buries her face in her hands.
sandra,"I'm being punished for something, I know it."
kyle,Shit... He spots the truck stop diner just up the road ahead...
