Speaker,Dialogue
chaplain,"In accordance with the regulations of the State of Mississippi, we gather here today to lay to rest the remains of inmates R. Gibson, number 4316, and C. Banks, number 4317. Ashes to ashes, dust to dust. May God have mercy on their souls."
burke,"Go ahead, fellas."
nurse humphries,"I'll come back for you in a little while, Willie..."
jake,"These two guys friends of yours, old man?"
willie,We spent some time together.
leon,"Why do I get the feeling when you say some time, you mean some time."
willie,I was already here a good many years
leon,"1932? That's like, that's like..."
willie,"Sixty-five years ago. They always said the farm couldn't hold 'em forever. Looks like you're finally free, boys."
jake,"Hey, the dude's holdin'."
leon,"Come on, old-timer, hook the brothers up."
leon,Hell of a way to get out. Heard they burned up in that fire yesterday.
jake,"I seen the bodies before they sealed 'em up. Them fellas sizzled up good. Looked like some shit from the X- Files.  Damn, that shit's nasty."
willie,Ray's special recipe. He always had exacting standards where the hooch was concerned.
leon,"What were they, bootleggers?"
willie,Something like that.
bouncer,"Oh, no, Ray. Not tonight. Spanky's not happy with you."
ray,Is Spanky here?
bouncer,"No, but..."
ray,Then what's the problem?
bouncer,Do yourself a favor and find another place where they let you in the front door.
ray,"But this is where the action is and I have to be where the action is. Look, when your old lady wanted those alligator shoes, didn't I come through for you? Ain't she stepping in style now?"
bouncer,Yeah...
ray,"Well, alright then. What do you think about this new tie?"
bouncer,Sharp.
ray,"I look good tonight. And I feel lucky, too."
bouncer,"Anyone asks, it wasn't me who let you in."
cocktail waitress,Don't even try it.
ray,When do you get off?
cocktail waitress,"I get off at two, but you ain't never getting off."
barkeep,"You can't drink that in here, Ray."
ray,I sure can't drink that watered-down swill you're serving. Give me a glass of ice.
barkeep,I can't give you a glass of ice. I can't give you anything until you pay your damn tab.
claude,"For the kind of money they charge here, you'd think they could hire somebody to actually wash the dishes."
daisy,Claude. Here's to your new job down at the bank. I always knew you'd make something of yourself.
claude,Know what I'm going to buy with my first pay check?
claude,"Season tickets to the Yankees. Right there on the first base line.  What's wrong, baby?"
daisy,"I was hoping you were gonna say an engagement ring, Claude."
claude,Engagement ring!
daisy,"That's what respectable folks do. Get a job, get married, start having babies. That's what you want, isn't it?"
claude,"Sure it is. I just don't see any reason to rush into things. Damn, look at this shirt. I'll be right back."
claude,"Now wait a second, guys. I've got a bill to pay out there."
claude,"Come on, fellas, that's two weeks pay. I'm here with my girl. You gotta leave me something."
claude,"My legs? Those are good, I'll keep the legs..."
ray, You have any of that French stuff?
attendent,Here you go.
ray,Keep the change.
attendent,"Why, thank you, sir!"
ray,Don't I know you?
claude,I don't think so.
ray,Sure I do. What's your name again?
claude,Claude Banks.
ray,Claude Banks. How could I forget that? You've got to remember me. Ray Gibson. We went to high school together.
claude,You went to Monroe?
ray, That's right! Good old Monroe...
claude,"Well, I went to Jefferson, so you must have a different Claude Banks in mind."
ray,"Sorry, man. My mistake."
ray,"Watch the threads, Bullethead. If this is about my tab, I've got it covered."
bullethead,"This ain't about your tab, Ray. You've got bigger problems than that."
bouncer,Is that Ray Gibson? Who the hell let him in here?
claude,"Come on, honey, let's get out of here."
daisy,But I'm having a good time...
waiter,"Excuse me, sir, I believe you forgot this."
claude,"The bill. Of course, the bill. We couldn't leave without paying the bill. Especially such an incredibly large bill."
ray,"Save your energy, Claude. You're gonna need it."
ray,"Here, this belongs to you.  It was empty when I found it."
claude,Good old Monroe.
ray,What I want to know is what happened to your cush between the time that you got up from the table and when I caught up with you in the Johnny?
claude,I don't see where that's any of your business.
ray,"Did those two muscle heads shake you down? Swear I've seen them down at the track with Sure-shot Riley. That's it, ain't it? A gambling debt."
claude,"Where they taking us, anyway?"
ray,Probably to Spanky's headquarters down at the pier.
claude,"Good, I'm looking forward to meeting this Spanky. Give me a chance to straighten out this whole mess."
ray,"I can't wait to see that. You slay me, man."
claude, What are they gonna do to us?
ray,"You? Dine and ditch, right?  You're probably looking at a thumb."
claude,"A thumb? What do you mean, like cut it off? For ten bucks?  That include the tip?"
spanky," You picked the wrong night to fuck with me, Ray. I just lost three men and a truck full of Canadian whiskey. You know what that kind of thing does to my business? It makes me want to lash out and hurt somebody."
spanky,"Who's he? Friend of yours, Ray?"
claude,"I never saw this man before tonight. He's a lowlife degenerate who lurks in bathrooms. I'm a professional man, an upstanding citizen. I go to church on Sunday."
spanky,Then what are you doing here?
bullethead,Failure to pay.
claude, I need my thumbs and all my fingers for praying and doing good...
spanky,The choirboy wants to keep his fingers. Who am I to argue? Drop him.
claude,Drop him? What does drop him mean?
spanky,"You gotta lotta balls showing your face around my club. If a man's gonna run numbers on my side of Broadway, you think he'd have the common sense to keep a low profile. But not Ray Gibson."
claude,"No, not down there! That water's filthy! Help me out here, man!"
ray,"You don't have to drown that fella, Spanky. You already scared him half to death. He didn't know who he was fucking with."
spanky,"But you do. What does that say about you, Ray? What does that say about me? I've given you a lot of leeway over the years on account of your father. But he didn't last long enough to teach you the meaning of the word respect so I guess I'm gonna have to school you myself."
ray,"Come on, Spank, I'm just trying to get by here. You remember how it was when you were starting out."
claude,I was supposed to wear this suit on Monday!
spanky,"What's that, some of your bathtub brew?"
ray,Puerto Rican rum. See for yourself.
spanky,Where'd you get this?
ray,"Comes up the Mississippi. I can get more. A lot more. I was thinking about going into business for myself, but under the circumstances, I'd be willing to take on a partner."
spanky,I'm interested. Keep talking.
ray,"All I need is the front money and a truck. I could be back in two, three days tops if I had somebody to share the driving."
spanky,"If you fuck me on this one, I'll spare no expense."
ray,Understood.
spanky,"Alright, Ray, you've got a deal. Pick your man and get going."
ray,"I'll take the little choirboy, if you don't mind."
spanky,"If I was you, I'd want somebody who can handle himself in a tight spot."
ray,I just want somebody who won't put a bullet in my back once the truck is full.
spanky,"For your sake, I hope you can drive. Somebody give him some dry clothes."
ray,Tell me about that hot sketch you were hypin' last night. She was a choice bit of calico. You two been seeing each other a long time? Gonna slap the handcuffs on her and stroll down the aisle one of these days?
ray,"Sometimes I wish I could find me a sheba to settle down with. Suppose I'm just a tomcat by nature.  This little rum run is gonna seriously improve my relationship with Spanky. He's a good man to have on your side. He's got the capital and the connections. That's what you got to have in that business. Spanky's place is pretty plush, but one of these days I'm gonna open up my own establishment. Ray's Boom-Boom Room. You like that? Ray's Boom-Boom Room. That's in the groove, don't you think?"
ray,"Come on, daddy-o. You haven't said a word since we started. Least you could do is make some friendly conversation."
claude,"Look, man, I don't want friendly conversation. I don't want to be your friend. I've seen your friends and I don't like them. I just want to do this thing and get back to New York in time to start my job."
ray,Start your job? What kind of job?
claude,"Well, if you must know, bank teller at First Federal of Manhattan. I'm responsible for keeping track of hundreds, occasionally thousands of dollars."
ray,That's some long green.
claude,"Damn straight, it is. I got my own set of keys because I'm supposed to open up. So if I ain't there 8 a.m. Monday morning, there's gonna be hell to pay."
claude,What?
ray,Nothing.
claude,"No, tell me what's so funny."
ray,I don't know. Bank teller. Sounds like ladies work to me.
claude,"Well, maybe I should dig around in other people's clothes for money. It's obviously been highly successful for you."
ray,"Hey, you'd be surprised what you find in other people's pockets. Just gotta avoid them deadbeat bank tellers. Get you every time."
claude,I didn't start out to be a bank teller. I was gonna be a ballplayer. Even had an offer to play short for the Newark Eagles.
ray,Why didn't you take it?
claude,The Negro League don't pay so good. And you're always on the road. That don't wash with Daisy.
ray,You gave up baseball to be a bank teller? I can't latch on to that.
claude,At some point a man's got to get serious about his future. I'm sure you have no idea what I'm talking about.
ray,You're talking about giving up baseball to be a bank teller.
claude,Bank teller's just a start. I got plans. Real plans. Not opening some Zoom-Boom Room. This time next year I'll be a loan officer.
ray,A loan officer?
claude,"That's right, a loan officer."
ray,"So you mean, if I needed some jack to get my nightclub up and running, I'd have to hype some square like you?"
claude,Uh-huh.
ray,"How would I get a loan, anyway?"
claude,You need collateral.
ray, Like this?
claude,That thing? Who'd you steal it from?
ray,My daddy gave me this watch.
claude,Yeah? Who'd he steal it from?
ray,"My daddy is dead so watch your mouth. You can say what you want about me, but don't be dragging my daddy into it. This watch means the world to me. Solid gold. Keeps perfect time."
claude,Looks like a fake to me. Loan denied!
ray,"Ah, go chase yourself. I'll take my business elsewhere. And for future reference, you are no longer welcome at Ray's Boom-Boom Room."
claude,There is no Boom-Boom Room.
ray,"When there is, you can forget about it. And I swear to God, you ever talk about my daddy again I'm gonna kick your bank-telling, loan-denying ass, you got me?"
claude,Oooh...
ray,I think I liked you better when you kept your trap shut.
ray,"Man, something smells good in here. How's everybody doing?"
claude, Maybe we oughta find another place.
ray,Are you kidding? Tell me you don't want a slice of that pie right over there.
claude,"I must have left my appetite outside, which is where I think we ought to be right now."
ray,"Good evening, Billy. We'd like some coffee and a couple of slices of that homemade pie you've got advertised."
billy,How you know my name's Billy?
ray,It says so right there on your shirt.
billy, That what that says?
mama,"If you boys can read so good, how come you missed that sign in the window?"
claude,"You mean this sign? The one that says ""No Coloreds Allowed."" That's a good question. Ray, how come we missed the sign?"
ray,"Look, ma'am, we've been driving all day. We'd just like to purchase one of those pies and we'll be on our way."
mama,Those are whites-only pies.
ray,Got any nigger pies?
claude,"Any fool could see those are whites- only, not-for-blacks, come-on-let's- get-the-fuck-outta-here pies. Thank you very much."
ray," Thanks for backing me up here, Uncle Claude."
claude, Don't Uncle Claude me. You get a load of those crackers? Couldn't be a mouthful of teeth among the bunch of 'em. Why you want to pick a fight with people like that for?
ray,You're soft.
claude,What'd you say?
ray,I said you're soft.
claude,"Hey, man, don't ever call me that."
ray,"I call it like I see it, and what I see is definitely soft."
claude,Alright. You want some pie?
ray,"Yeah, I want some pie."
claude,"Okay then, I'm gonna walk over to that counter and get us some fucking pie."
claude,"Excuse me, ma'am, I bet a brick will turn that one right there into a colored pie."
mama,And I bet this right here will turn you into a colored pie.
claude,"Okay, Ray, I think we can go now. Much obliged..."
mama,"Don't be concentrating so hard, baby. You're liable to seize yourself again."
ray,How you doing? We're looking for Slim.
slim,You found him.
slim,"That's it, fellas. Thirty six cases of Puerto Rico's finest. At five"
ray,"Man, that music is hot. What goes on down there, Slim?"
slim,That's Natchez-under-the-Hill.
ray,Blacks welcome there?
slim,"Green's the only color that matters under the hill. They got gambling, girls. You oughta check it out."
ray,Maybe we will. Nice meeting you.
claude,"Nice meeting you? You've been here before, haven't you?"
ray,What gave you that idea?
claude,"Oh, I don't know, maybe because our lives depend on it, I just sort of thought you knew what you were doing!"
