Speaker,Dialogue
adult pi,The way of karma; the way of God.
writer,I assumed your father was a mathematician - because of your name.
adult pi,"Oh, far from it. I was named after a swimming pool."
writer,There's a swimming pool named 'Pi?'
adult pi," You see, my uncle, Francis, was born with too much water in his lungs. They say the doctor swung Francis around by the ankles to clear the water out and that's what gave him the huge chest and skinny legs that made him such a great swimmer."
writer, Is Francis actually your uncle? He said he was friends with your father.
pi,"I call him 'Mamaji,' my 'honorary uncle' - my father's best friend, my swimming guru."
mamaji,A mouthful of water will not harm you - but panic will.
adult pi, I hope you don't mind vegetarian.
writer,"No, not at all... And your name?"
adult pi,Hmm?
writer,"You - you were going to tell me how you got your name, I think."
adult pi,I got it from something Mamaji once told my father. Most travelers collect postcards or teacups on their journeys - but not Mamaji. Mamaji collects swimming pools. 
adult pi,"... but he did, and I was named ""Piscine Molitor Patel."""
another boy,Look at him he's Pissing!
science teacher,So then - what might occur if we release gas too quickly? Pissing?
boy,He said Pissing!
science teacher,That's enough - order!
boy,Present sir.
history teacher,Piscine Patel...
history teacher,"Very impressive, Pi. Now sit down."
librarian,"Slowly, Slowly! Slowly, Slowly!"
librarian,It is right... He's really doing this!
all,1! 4! 9! 3! 1! PI! PI! PI!
writer,"Mamaji tells me you're a legend among sailors, too. Out there all alone -"
adult pi,I don't even know how to sail. And I wasn't alone out there. Richard Parker was with me.
writer,Richard Parker...? Mamaji didn't tell me everything. He just said I should look you up when I got back to Montreal.
adult pi,So what were you doing in Pondicherry?
writer,Writing a novel.
adult pi,"By the way, I enjoyed your first book. The new one, is it set in India?"
writer,"No, Portugal, actually. But it's cheaper living in India."
adult pi,"Ah. Well, I look forward to reading it."
writer,"You can't. I threw it out. Two years trying to bring it to life, and then one day it sputtered, coughed, and died."
adult pi,I'm sorry.
writer," I was in a coffee house in Pondicherry one afternoon, mourning my loss, when this old man at the next table struck up a conversation."
adult pi,"Yeah, Mamaji. He does that."
writer,"When I told him about my abandoned book, he said:  ""So... a Canadian who's come to French India in search of a story. Well, my friend, I know an Indian in French Canada who has the most incredible story to tell. It must be fate that the two of you should meet."""
adult pi,I haven't spoken about Richard Parker in so many years... What has Mamaji already told you?
writer,He said you had a story that would make me believe in God.
adult pi," He would say that about a nice meal. As for God, I can only tell you my story; you will decide for yourself what you believe."
writer,Fair enough.
adult pi,"Let's see, then - where to begin?"
adult pi,"When the French handed Pondicherry back to us in 1954, the town decided that some sort of commemoration was in order."
writer,"It sounds magical, growing up in-"
adult pi,Amen. Let's eat.
writer,I didn't know Hindus said 'amen.'
adult pi, Catholic Hindus do.
writer,Catholic Hindus?
adult pi,We get to feel guilty before hundreds of gods instead of just one.
writer,But you're a Hindu first?
pi,None of us knows God    until someone introduces us. I was    first introduced to God as    a Hindu. There are 330 million gods    in the Hindu religion - how can I    not come to know a few of them?
pi,...But he didn't!
mother,"That's what he told her. ""I didn't eat dirt!"" ""No? Well, then open your mouth."" So Krishna opened his mouth."
father," Spectacle. Don't let the stories and pretty lights fool you, boys. Religion is darkness."
priest,"You must be thirsty. Here, I brought you this."
pi,Why would a god do that? Why would he send his own son to suffer for the sins of ordinary people?
priest,Because He loves us. God made Himself approachable to us - human - so we could understand Him. 
adult pi,That made no sense. Sacrificing the innocent to atone for the sins of the guilty? What kind of love is that?
pi,"If God is so perfect and we're not, why would He want to create all this? Why does He need us at all?"
priest,"All you have to know is that He loves us. ""God so loved the world that He gave His only Son."" This Son taught us to love one another..."
pi,"Thank you, Vishnu, for introducing me to Christ.  ADULT PI  I came to faith through Hinduism and I found God's love through Christ, but God wasn't finished with me yet."
