Speaker,Dialogue
wilson,Edward Rama?
ed,Eduardo.  Rama.
wilson,"You're home, then."
wilson,My name's Wilson.
ed,Wilson?
wilson,You wrote to me about my daughter.
ed,I didn't expect anyone.
wilson,No reason.
ed,"I mean, what has it been -- six months?"
wilson,"Round about, yeah."
ed,I didn't even know who I was writing to -- just someone with the same last name. She never talked about any family.
wilson,It was better than a telegram.
wilson,"Who done it, then?"
ed,Huh?
wilson,Snuffed her.
ed,"Now, wait up a second, man."
ed,"I never said nothin' about nothin' like that.  No, no, no.  That's not what I wrote to you."
wilson,"No, but between the lines, eh? Mysterious circumstances, and that."
ed,"Look, I sent you that newspaper clipping, all right?  I told you what I know.  It was an accident.  I didn't say anything about anybody being ""snuffed."""
wilson,This bloke she was bunked up with.  This Terry what'sit.
ed,Terry Valentine.
wilson,Valentine.  What's he got to say for himself?
ed,"I dunno.  What's he gonna say?  They had a fight that night, she drove away, she was upset?  I don't even know the guy. Don't get me wrong, Jenny and me were friends, but we didn't travel in the same social circles.  She had her life, I had mine."
ed,"Valentine came into the restaurant where I work with Jenny a couple times.  He's a money guy.  Jenny would say, hey, here's my friend Eddie and he would shake my hand and everything, but he wouldn't even see me, you know what I mean."
wilson,"How long had she been in the States?  Near on ten years, wasn't it?  Long enough to know her way about, I reckon."
ed,"There was an investigation, okay?  The car was totalled.  Jennifer was ... Her neck was broken.  On impact, they said. So she wouldn't have ... felt the effects of the fire.  It happens up there.  Happens a lot. What more can I tell you."
wilson,What more is there.
ed,I'm just sayin' -- it was a steep hillside.  There was no moon that night ...
ed,"Coulda happened to anyone, man.  I never knew her to be reckless.  I mean, sure, she would smoke a little grass, or something, have a few drinks.  But that's it, nothing more than that."
wilson,"No, not my girl.  Self-control, she had. Point of pride.  And people don't change, do they."
ed,I dunno ... Maybe they do.
wilson,"Going straight, are ya."
ed, Boomerang.
wilson,Y'what?
ed,"I knew when I was droppin' that letter into the mail slot it was gonna come back and smack me in the face.  I did my time, okay?  My sister, her ol' man's up in Chino right now doin' eight years."
wilson, This ain't your lot?
ed,"You kiddin', man?  I don't need a wife and screamin' kids.  I still got my youth."
ed,"I go to work, try to keep my life together, put all that shit behind me, man.  What d'you want from me."
wilson, I only asked.
ed,"Couple weeks before she died, Jennifer asked me to drive her downtown.  Said she was meeting -- her boyfriend -- Valentine.  But I think she was looking for him."
wilson," What, tryin' to catch him with another bird?"
ed,"That's what I thought, man.  But it was not a hotel or nothin' that we went to. It was someplace else."
wilson,Where abouts?
ed,"Bad place, man.  Bad people.  Some guys loading some trucks.  Some kinda deal goin' down.  I don't know and I don't care.  Maybe they're shipping fava beans to Eskimos."
wilson,Did Jenny know?
