Speaker,Dialogue
bert,What time is it?
cybil,Four. Why?
bert,This milk is bad.
cybil, When did you buy it?
bert,Tuesday? I don't know. What's today?
cybil,Monday.  There's a deli on Broadway.
bert,Nothing closer?
cybil,Nothing that's open.
bert, Is it that bad?
cybil,I don't know. You're the one who said it was bad.
wolf,This is the worst fucking coffee I've had in my life.
cybil,Then don't drink it.
gaffer,What're we doing today?
wolf," ""Interior. Living Room. Ellen talks to Mom."""
ac,Any nudity?
cybil,"Yeah, you have to take your fucking pants off."
ac,I'll do it. I like Ellen.
gaffer,"Yeah, she's a babe. She was the nurse in that Richard Gere movie."
bert,I worked on that.
ac,The shower scene.
wolf,Start with the 5K in the window. Run feeders for three blonds into the living room.
gaffer,Two people. Sitting? Standing?
wolf,Who fuckin' knows?
gaffer," ""Ellen talks to Mom."""
jeff,Tired?
nicole,"No, I've been up since four. I've got a big scene today and I'm kind of nervous."
jeff,"""Ellen talks to Mom."""
nicole,Have you read the script?
jeff,No. It's on the callsheet.
nicole,"Oh. Well, it's pretty emotional. I tell my mother I never felt she really loved me."
jeff,You're going to yell at each other?
nicole,I don't know. I'm just going to go with how I feel. Which is the scary part. I'm very close to this character.
jeff,Problems with your own mom?
nicole,"Yes. But she died before I, well before we could reconcile..."
jeff,You were great in that Richard Gere movie.
nicole,Thanks.
cora,"Ellen, I have no memory of this whatsoever. Ellen... Ellen I have NO memory of this whatsoever."
nicole,"Good morning, ""Mom."""
cora, Morning.
nicole,Sleep well?
cora,Not a wink.
nick,"Look, I'm not blaming anybody, Wanda. I'm just saying we left last night and I knew we didn't get that scene."
wanda,"I'm sorry, I thought it was a great scene, Nick."
nick,It was OK; and it's going to be alright. But I'm not settling for OK today. This is a big scene and I'm not leaving till we get it.
wanda,"Whatever it takes, Nick. We're here for you."
nick,"Alright, here's what I'm thinking. Wolf, I want to do the whole scene in one shot."
wolf,It's been done.
nick,I know that but I'd like to try it anyway.
wolf,Handheld.
nick,"No, dolly. We go from Close-up to Wide-shot and back to Close-up in the same shot."
wolf,"I'll use the 35, minimize distortion; I'll light it all from the ceiling. It could be kind of great."
wanda,"Sounds incredible. How long, Wolf?"
wolf,I'll need to see a couple run- throughs.
nick,"Not too many. It's a tough scene for the actors. I want them to feel relaxed, fresh..."
wanda,"We've got all day, Nick. Whatever it takes. What do you think, Wolf -- an hour, 45?"
wolf,"I don't know how you drink that shit black, Nick. I got to dump in the milk. It's the only way I can cut the taste."
nick,Jesus!
wolf,What the fuck?!
wanda,"Flame on, asshole!!"
wanda,"OK, picture's up. Quiet. Stop the work. Lock it up. Going for picture."
nick,"OK, nice and easy. Cora you're doing fine. Remember, really listen and really answer.  I've got nothing to say to you. Just let it happen. It's all there."
wanda,"Ready, Nick?"
