Speaker,Dialogue
later,"Joe loads the corpse into the flatbed of his truck. Cuts open the back of the body's jacket, revealing FOUR bars of gold taped to the dead man's back. Joe takes them."
beatrix,"Bon jour, Joe."
joe,"Bon jour, Beatrix."
beatrix,How's the French?
joe,Slow. How's the coffee?
beatrix,Burnt. Cream in the coffee. White clouds boil deep down.
joe,"Two, Jedd."
dale,Hey Joe. Be at the Belle tonight?
joe,Yup. Dale hands four gold bars through the slot as Joe retrieves his gun and exits.
dale,"Four, Jedd."
later,"On the bed, shooting at the ceiling with his fingers."
joe,"Bon jour, mademoiselle. Bang!"
joe,Yeah Seth? Yeah. Ok.
seth,"Walk around! Around, I'm not kidding. Wide around, ya shit. The vagrant crosses the street. Joe pulls up."
joe,Seth.
seth,Hi Joe.
joe,That's new. Seth kicks the bike.
seth,Thanks. Goddamn thing. You going to the Belle?
joe,Slat Bikes are all junk. Stick with rubber on the road.
seth,"Yeah but Gat Men pull up in them, they get respect."
joe,They get respect cause they run the town. How much did that thing set you back? How much? Seth holds a quarter idly in his palm.
seth,"I was gonna pull up in it. Tonight. Heads or tails, call it in the air. The coin lifts, floats several inches in the air, quivering."
joe,Congratulations. You're pulling up with me instead. Joe notices the floating quarter.
seth,Chicks dig TKs.
joe,"It's tacky, don't do it. Seth catches the quarter, sullen."
big craig,"No loopers in the club on Wednesdays, Joe. Gat men only. Seth backs towards the door, Joe stops him."
joe,"We'll stick backstage, just meeting up. In and out."
big craig,Packing your blunderbusses?
joe,Hardly. Right Seth?
seth,"Hardly. I'm with Joe. Big Craig pats them down, waves them in."
seth,"So are we - hey - Joe has vanished. Seth stops meekly, butted by passing men."
madame,"No loopers on Wednesday, Joe. Gat Men only."
joe,So I've read. He ducks out.
seth,"Hey, Joe. We leaving? Cuz, what- Joe? And Seth loses them again, butted back by passing men."
joe,What?
dale,"Zach. In there right now, with Abe. Dale makes a quarter float above his palm. Joe rolls his eyes."
joe,For what?
dale,He closed his loop. This lands heavily on Joe.
joe,"No shit? The door at the bottom of the stairs opens, and ZACH, another looper, steps out. An OLDER MAN'S HAND pats his shoulder then retracts into the door. The loopers watch him in awe."
zach,"So are we celebrating? At the bottom of the stairs, a skinny young thug in ratty jeans. This is KID BLUE."
kid blue,No loopers on fucking Wednesdays! The loopers collectively flip him off.
zach,"Suck one, kid!"
joe,Sell that goddamn slat bike back. That's a lot of stupid money.
seth,"I got stupid money. Seth holds his hand under fuzzy dice hanging from Joe's mirror, and they spin."
joe,"Alright. Seth stumbles toward his door, checks his pants."
seth,I think I did something. You know what? TKs are special. Fuck you.
joe,Hey Seth. Seth slumps against the car.
seth,Overseas...
joe,"So in five, ten years you're back to riding the rails, or worse you're like Kid Blue, working as a gat man, wagging your dick at loopers and roughing up shop clerks for payoff money."
seth,Fuckin Kid Blue.
joe,"Save a little something. Alright? Cause that'll be yours, and then you've got yours and that's all that matters, your life is your own."
seth,"I gots mine you gots yours. I wish I was smart like you. Saint Joe. Seth pats Joe's cheek, and waddles off towards his apartment."
beatrix,Bon jour Joe.
joe,"Ravi de te voir, Beatrix."
beatrix,Ooh la la.
dale,"What's that, fourth loop closed this month? Dale casually makes a fork float above his palm, lifting his eyebrows at passing ladies."
joe,"Fourth. On the stage, flinging her legs with a line of can-can dancers, is Suzie. The girl Joe watched in the bordello. As her dance ends Joe stands and goes backstage."
suzie,Hey.
joe,You working a shift tonight?
suzie,Yeah.
joe,Oh.
suzie,Sweetie. I gotta work. She leaves him watching her go. He turns - sees Kid Blue leaning in the shadows. He's seen this whole exchange. The Kid smirks.
joe,"Jesus, Seth."
seth,"They're gonna be here any minute, are they here?"
joe,"No, they're not here. Who?"
seth,"Christ. Joe. Christ. Joe's eyes focus a bit, he tunes in to the situation. Turns the apartment lights off."
joe,"Seth, sit down here. CRASH! Seth knocks something over in the dark. Joe opens the fridge, pale light. Seth sits at the kitchen table."
seth,Late to my own funeral. Mom always said...
joe,Tell me now.
seth,"Christ, Joe. Late to my own goddamn funeral. Can you help me?"
joe,"Seth, what did you do?"
seth,"You can protect me a little, right? Just so they don't... jeez. Oh jeez. This is like a nightmare. This is a nightmare."
seth,He was singing.
seth,"Joe I can't even tell you. Looking in his eyes. I had to let him talk, then. I don't even remember the words, but I remember believing every one of them, or not even believing, but submitting. I've never felt that small before. I've never felt that happy. He told me. I remember, there's a new holy terror boss-man in the future, and he's closing all the loops. The Rainmaker, they call him. He told me.  "
seth,What do I do? You're the only friend I got Joe you gotta help me
joe,"You fucking idiot coming here. Seth, sucker punched."
seth,Joe? A little - where am I gonna -
joe,"You hop a freight train, you beat it the hell out POUND POUND POUND. On the door this time. Seth makes a sound like he's going to die, Joe closes the fridge, hisses"
kid blue,Open up Joe!  Watch the window.
joe,"I can't do anything for you Seth. Seth crumples to his knees, grasping Joe's hand."
seth,"No! You gotta hide me! Joe, hide me, please Christ please Joe please hide me tell em something to buy time and I'll leave please-"
joe,"Hold on! Watching Seth, Joe's face breaks in a moment of decision. He flips the lights on, and briskly pulls back his oriental rug. A FLOOR SAFE with a touch pad. He enters a code, opens it. Wide and deeper than you'd expect, lined with gold bars. Big enough for a man. Seth scrambles in. Joe takes one last look at Seth's frightened, grateful face, framed by the gold bars, then closes the safe and smooths the oriental rug. POUND POUND POUND- Joe opens the door. Kid Blue storms in, his gun drawn, sweeping through the apartment with over-eager purpose. One gat man stays outside, the other casually sits at Joe's kitchen table. Kid Blue gets in Joe's face."
kid blue,That took awhile.
joe,You think it's easy looking this good?
kid blue,Tye's going to watch your apartment while we go have a talk with Abe. Joe grabs a jacket.
joe,There's coffee in the tin.
tye,Thank you.
later,"Joe and Kid Blue on benches, facing each other. The Kid stares daggers and spins his gun. Joe tries his best not to engage."
kid blue,"You know why they call that pea shooter a blunderbuss? Cuz it's impossible to hit anything farther than 15 feet, and impossible to miss anything closer. A gun for fuck up turkeys. Not like a gat. A gat has range. Accuracy. His gun spinning gets fancier. His gun meaner looking than Joe's blunderbuss, long and slim and chrome."
joe,"Alright, cut it out Kid. You're gonna blow your foot off again. The Kid almost snaps back, but then grins."
kid blue,"You're right, it'd be real easy for it to accidentally go off. He clicks the safety off. Joe shifts uncomfortably."
joe,C'mon.
kid blue,"Don't disrespect a gat man, Looper. Joe stifles a chuckle. In a flash, the Kid stands and pistol-whips him across the face. Joe falls back. The Kid raises his gun at Joe. Frozen in that tableau a moment, the Kid savors his victory. Lowers his gun."
kid blue,"S'alright, s'alright. Humiliated, the Kid tries to stand, but falls over again. After a moment everyone realizes what's happened, and the tension breaks."
abe,Alright. Joe. Joe climbs into the doorway. Kid Blue stands shakily.
abe,"My great grandfather always told my grandfather, men's like spiders. It's the little ones you gotta be careful of."
joe,Dunno I agree with that.
abe,Oh yeah? Well. What the fuck did my great grandfather know.
abe,"How can you kids stand those chokers? This, the cravats."
joe,Ties.
abe,Ridiculous. You're aware we don't have a dress code.
abe,"You know, you don't know, the movies you're dressing like were copying other movies. Goddamn 20th century affectations, do something new. Put a glowing thing around your neck or use... rubberized..  Be new."
joe,Okay. A beat of silence.
abe,"I do like you, Joe. But we're sure enough Seth paid you a visit we're gonna hafta do something about this."
joe,Seth?
abe,"You're expecting we're gonna break your fingers with a hammer or something awful, and I'm going to diffuse that tension right now, that isn't going to happen. What's going to happen is, I'm going to talk for a little, not even that long, then you're gonna give up your friend."
joe,My friend Seth? I'm confused.
abe,"Well then I'll talk a little. You know you were the youngest looper I ever hired? You looked goddamn ridiculous they said, the blunderbuss up to here on you. But I remember they brought you in, I forget what it was for,"
joe,Watch shop.
abe,"That's yeah, you had rolled one of our fronts, a watch shop. And they had you, your arms pinned, this kid. Like an animal. But you looked at me, your hair stuck to half your face so just this one eye looking at me. And I thought what's this kid lived through, what he had taken away from him. What's he lost. And I could see, like seeing it happen clear as seeing it, the bad path in front of you, the bad version of your life. Like a vision I saw it happen, you turning bad. So I cleaned you up and put a gun in your hand. I gave you something that was yours."
joe,"You know I'm grateful, Abe. Genuine. But Abe shakes his hands, not where he's going."
abe,"I gave you something that was yours. And I remember that kid, and I think when you ask yourself you ask who would I sacrifice for what's mine, I think Seth is deep and cozy inside that circle. Pause. Both their eyes go to a hammer sitting on the desk."
joe,Okay.
abe,"Show you how much I know you, I'm not even gonna break you, just set you back a ways."
joe,Will you kill him?
abe,"No. Would be too cataclysmic a change to the future. What we'll do is dangerous in that regard, but not as dangerous as killing him, and not by twice as having him run free."
joe,"Floor safe, beneath the rug. 6742. One of the gat men quietly exits."
abe,It's the little ones that get you.
abe,"Why don't you kill an hour, Joe. On the house. After Joe exits, Abe and Kid exchange looks."
madame,Suzie's just getting off. Doubt she's up for it. He pushes through the velvet curtained door.
joe,"I can't remember my mother's face. I remember her touching my hair. Like this. He takes Suzie's hand strokes it over his hair. She smiles briefly, tired, then takes her hand away and puts drops in his eyes."
suzie,Do I want to go overseas? With you? Now?
joe,"Soon, maybe."
suzie,"Baby that's sweet. You're a sweet boy. You gotta be careful, it's easy to think you know someone once you been like this. What's in here is services rendered."
joe,Is that how it aughta be?
suzie,"What, in nature?"
minutes,"Old Seth's breath returns, jagged. He pulls his sleeve up and hoists himself up the fence, climbing fast. He reaches the top, gets a good grasp on the wire to hoist himself over... and stops again. His right hand is missing a finger. The ring finger is just gone, its stump worn with age. Old Seth stares. And now his middle finger is gone as well. A freight train whistle moans. The cars, open and inviting, leading out of town. Behind him, the city. Terror and indecision seizes his chest, so much so that it takes a moment for him to realize the sound of his breathing has changed to a ragged whistle."
old seth,"No no no no no! A bell-like DING. Old Seth spins, sees a WEDDING BAND lying on the sidewalk. He picks it up with the four remaining fingers on his left hand, stuffs it in his pocket, sobbing. Bursts out of the alleyway, limping now, straight into the street and into the headlights of an oncoming car. The car screeches to a halt, and its harsh white light shows Old Seth's missing right ear, and deep scars down his face."
joe,"Oh god. Gold bars scattered in the dirt. But no Old Joe. And no truck. Joe staggers to his feet, shaky. Head thick. But realizing."
joe,"Kid listen Kid. I'm sorry. Tell Abe I'm going to fix this. Tell him keep my bars safe cause I swear to god I'm going to fix this, I'm going to find my loop and I'm gonna kill him. Tell Abe- CRACK CRACK! The wood paneled floor above the safe door splinters upwards with gunshots, and a chunk of Joe's right ear explodes. More blood than you'd think spills down his neck, Joe falls back. Three more shots - CRACK CRACK CRACK! And now footsteps running down the hall. Joe on his feet, slipping in his own blood, sprints across the apartment. The TALL GAT MAN appears in the doorway, shooting blindly at Joe, chunks of wall and plaster exploding as Joe doesn't stop but JUMPS OUT THE WINDOW."
old joe,And your jacket.
old joe,"Shit. Old Joe turns to go, but STOPS when his eye catches movement between parked cars. It's Joe. Young Joe, hid between the cars, looking up at the apartment building weighing his options."
kid blue,"Two more trips. They enter the building. Old Joe takes a breath, then casually walks down the sidewalk, past the alleyway, scoping the Armored Van. A GAT MAN DRIVER in the driver's seat."
old joe,Stupid little shit. He lifts him in his arms.
abe,"Maybe. Sweep the train yard. Every second that passes is bad, go."
abe,Stupid little shit.
kid blue,I can't hear you Abe leans in next to his ear and shouts
abe,Well that's what happens when you fire a gat in a steel box you stupid little shit.
kid blue,I can fix this. I can find him.
abe,Go home and let the grown ups work. Kid Blue.
joe,Where would I go if I were me.
beatrix,Coffee?
old joe,Please. Black. And water.
beatrix,Anything else?
joe,I ordered something.
old joe,"Steak and eggs, rare and scrambled."
beatrix,Two steak & eggs coming up.
old joe,We're not going to talk about time travel.
joe,...ok.
old joe,Must hurt. His arm.
joe,Yeah. Didn't know if you'd
old joe,I put it together. Clever.
joe,I'm not cutting myself again to-
old joe,I'm not asking you to.
joe,"It's an interesting question, I've just lost a lot of blood today."
old joe,You know there's another girl here on weekends.
old joe,Well. Have fun explaining who Beatrix' is for the next thirty years. Beatrix sets Old Joe's black coffee next to Joe's white.
joe,Good.
old joe,"(fast in French,"
joe,"I don't care what you're here for, whatever you think you're going to get from me. More time or whatever you want. I can't let you walk away from this diner alive. Because the next 30 years of my"
