Speaker,Dialogue
the bijou, by  Michael Sloane
revised draft," October 14, 1997"
doorman,"Newsreel's just starting, folks."
newsreel announcer,Bringing the news of the world to you!
newsreel announcer,"Four years ago, in one of filmland's darkest hours, ten men, the so-called ""Hollywood Ten,"" were called to testify before the House Committee of Un-American Activities, investigating the proliferation of the dreaded Red Menace in Hollywood."
newsreel announcer,"Refusing to answer the lawmaker's questions, cowering behind the Fifth Amendment's protection against self-incrimination, the ten motion picture writers dared Congress to come after them.  Well, come after them they did!  And after years of court wrangling, it's now time to pay the piper!"
newsreel announcer,"And so, it's off to jail, the charge: Contempt of Congress!  This should give you fellas something to write about now!  A new round of investigations begins this fall, the mandate: Get the reds out of Hollywood!"
sandra,"Pete, there's time before the picture starts, you want to get some popcorn?"
pete,"You bet, honey."
pete," Mornin', Ray.  Whaddya know whaddya say?  Me and Sandra caught ""The African Queen"" at the Chinese last night.  Great picture, great picture."
ray,Mr. Appleton.
pete,"What's with this ""Mr. Appleton"" crap?  Your boss hiding in there?"
ray,You're clear to go in.
pete,What's that mean?
ray,Have a pleasant day.
pete,Louise... what gives?
louise,"Oh Pete... they, uh, they gave everybody the day off... while they sort things out."
pete,Sort what out?  Are my pages done?
louise,They took 'em.
pete,"They took 'em?  Who took 'em? Louise, what's going on..."
louise,"Pete, I'm not even supposed to be talking to you..."
pete,Leo... what's going on?
leo,"Peter, their hands are tied.  You see that, don't you?"
pete,I... I don't believe this.
leo,"Are you saying it's a mistake, that you didn't go to any meetings? They say you did."
pete,"Who the hell is this ""they?"""
leo,"Congress, the FBI, Red Channels, it don't matter who the hell ""they"" is.  ""They"" know who ""they"" are, that's all that matters.  Now, did you go to any meetings?"
pete," No.  Yeah... I... I don't know. Maybe I did.  Leo, this was before Pearl Harbor.  I was in college. It was a bunch of kids, and I was just one of 'em.  I didn't believe in what they were saying.  Hell, I didn't even know what they were saying!"
leo,"So, you're saying that it's true. You went to a meeting of a known communist organization."
pete,"Leo, I was trying to impress a skirt.  You know me, I'm non- political.  Republican, Democrat, Communist, there's not a dime's worth of difference between 'em anyway."
leo,You should watch what you say.
pete,"I don't know who fingered me, but I'm not a communist!"
leo,"Kid, that cuts no ice with them."
pete, What?  That I'm accused of being a communist when I don't happen to be one?
leo,"They know you were at that meeting, Peter.  They've been told, and they know."
pete,"Leo, you're my agent.  Tell ""them"" to take a flyin' piss.  I didn't do anything wrong.  I fought in the war, for crissakes!"
leo,"Fought?  Come on, Pete, you ran the PX at Fort Dix."
pete,I was decorated.
leo,I know.  A Purple Heart.
pete,Exactly.
leo,You broke your arm.  You were coming out of a bar.  You were drunk.
pete,"At least I was on our side!  Look, they want me to testify?  I'll testify.  I'll tell 'em anything they want to hear!  Jesus, Leo, this is my career!"
leo,You can't testify.
pete,Why not?
leo,"Don't take this personally, kid. If it were up to me, I'd have you testify wearing your uniform and your medal, wrapped in a flag with one hand on your heart and the other hand on a bible.  What can I say?  I like you."
leo,They don't want you to testify because you're not a big enough fish for them.  They just don't want you writing pictures for now. That's all.
pete," Yeah, well, that's enough."
leo,"Peter, I believe in you.  More to the point, I read your new script... um..."
pete,"""Ashes To Ashes?"""
leo,"That's the one, ""Ashes To Ashes."" I think it's great.  But it'll never get made with this communist business hanging over your head. You can't work until you're cleared -- and believe me, starting right now, I'm gonna do everything I can to make that happen."
pete,"So, it is a blacklist."
leo," Now, are you gonna play ball?"
pete," Leo, goddammit... this isn't fair!"
leo," Kid, this is the United States Government we're talkin' about. Fair ain't the point."
pete, Huh.  Red...
sandra,"Oh, Pete..."
sandra,What happened?
pete,What exactly did you hear?
sandra,That you got let go.
pete,I wasn't alone.  Wasn't Frankie Ruskin directing the picture you're in?
sandra,"He was, but he got sick.  We got a new director today.  Why?"
pete,"Well, whatever Frankie's got, it's catching."
sandra,"You mean, he was... let go, too?"
pete," They're saying I'm a communist, Sandy.  But I'm not, you know that. I'm gonna fight 'em, and I'm gonna win, but I'll need your help."
pete,"A lot of good people are being accused of things they didn't do. Hell, even if I was a communist, this is America, goddammit, a person should be able to be whatever they want to be!  Right?"
sandra," Of course, but I... I don't know how I... how much help I can be to you.  This is the sort of thing... someone saying you're a communist... it can ruin your career."
pete,"Will you help me, Sandy?"
sandra,I'll have to think about this.  I have to get back... I should go...
pete,So nice to be a pariah.
jerry,Pete.  You think maybe you've had enough?
pete,"Bought the bottle, didn't I?  To the United States of America. Long my she wave."
pete," Thanks, Jerry.  Tell me something."
jerry,What.
pete,You tight with J. Edgar Hoover?
jerry, The G-man?
pete, Zackly.
jerry,"Pete, if J. Edgar Hoover walked in here wearing a dress, I wouldn't know him."
pete,Too bad.  He says I'm a communist.
jerry, You should watch what you say.  You don't know who's listening.
pete,"You know I'm not a communist, don't you, Jer?"
jerry,"Sure, I suppose.  That why you're on a bender?"
pete,"This is not a bender yet.  This is the start of a bender.  But I can see how you were confused, they look a lot alike."
jerry,"Pete... go home.  Come on, I'll call that girlfriend of yours, what's her name... Sandy?"
pete, Sandra Sinclair.
jerry,"Gimmee her number, I'll have her pick you up."
pete,"Sandra Sinclair.  Wanna know her real name?  Bella Iskowitz.  No one's who they really are, Jer. Everyone's someone else.  Even you. Even me.  Especially me.  I'm Peter Appleton, the communist who's not really a communist."
jerry,"I wanna close up soon.  C'mon, let's call her."
pete,Nope.  Can't.  We're through.
jerry,Then I'll call you a cab.
pete,I'll save you the trouble.  I'm a cab.  There.  Did it myself.
pete,"'Sides, car's right outside.  I'll be seein' ya, Jer."
jerry,Pete...
pete, Drive.  Drive.  Bad idea.  Too drunk to drive.
pete,One-thirty.  Huh!  Early.  Can't go home yet.
pete,Oops.
pete,Huh?  Whatsa...
pete,Shit.
pete, Oh my god!  I don't believe... oh my god...
old man,"Mister, who are ya?  my dog likes you, but that don't mean much, she likes skunks, too.  Sweet n'stupid, that's why I keep her."
old man,"Mister, you okay?  You look wet. You in an accident or somethin'?"
pete,I... I don't know.
old man,You best come with me.  Can ya walk?
pete,"I... yes, I think so."
old man,"Come on, we'll have the Doc look you over."
pete,My head hurts.
old man,I shouldn't be surprises.  You smell like that was quite a night before you had there.  Maggie!  Let's go now!
welcome to,"LAWSON, CALIFORNIA EST. 1869 ELEV. 275    POP. 1755 THE TOWN THAT GAVE ITS ALL"
pete,Ancestors?
stanton,"Actually, my grandpap.  But ""ancestors"" sounds better, don't it?  Here."
pete,I suppose.  Thanks.
stanton,"You look familiar, fella.  What's your name?"
pete,I'm... I... I honestly don't know.
pete,They all know you?
stanton,"'Course they all know me.  And I know all them.  Town's got my name, don't it?"
stanton,Ernie Cole here just got himself elected mayor.  Lost both his boys in the war.  Kenny at Anzio and Willie at Normandy.
pete, The war...
stanton," Mabel over there at the diner lost her husband Max.  Okinawa, I believe."
stanton,"All told, this little town gave sixty-two of its finest to the war. Seventeen of 'em at Normandy alone. More'n its share, I should say. Got us a letter from President Truman.  City council commissioned a war memorial.  Been sittin' in the basement of city hall these six years.  Town never had the heart to put it up.  Place just hasn't been the same since the war."
stanton,"You hungry, son?"
pete,Yes.  Very.
stanton,Got any money?
stanton,Six bits.  More'n enough to buy some breakfast.  C'mon.
pete, Pie's... good.
mabel, Where'd you find him?
stanton,Down by the wash.
mabel,"We gotta put a rail on that thing before someone else gets killed.  Three people have died there, Mister.  You're lucky to be alive."
pete, Thanks.  More coffee?
mabel,"You know, you look familiar.  You ever been in here before?"
stanton,"He don't remember who he is, Mabel. Gonna take him to the Doc, as soon as he gets in."
mabel, You sure you never been in here?
pete,I'd remember this pie.
mabel, I'll just get you another piece.
lardner,"'Mornin' Harry.  Fine day, isn't it?"
harry,"Morning, Doc.  Yes, yes it looks just fine."
lardner,Plenty to do today?
harry," Oh, yes, plenty.  Plenty."
lardner,After you.
lardner,"Mornin' Mabel, Stan."
mabel,Mornin' Doc.  Got some new business for you today.
lardner,"Hello, son.  How'd that happen?"
stanton,"He don't know.  And he don't know his name, neither.  Found him down by the wash."
lardner,"You'd better come with me, son.  On my tab?"
mabel,You bet.
pete,Thanks.  Great pie.
mabel, You're welcome.  Come again.
harry, Sweet Jesus...
lardner's voice,Follow my finger.  Just use your eyes.  That's it.  Good.
