Speaker,Dialogue
cholly,"...Like anything else. First time a chick gets her cherry popped, she might put up a little fight. But pretty soon you can't give her enough. Right, Homeboy?"
malcolm,I thought you said it was gonna sting... this ain't nothin'.
laura,'Lo. I've got to freshen up.
laura,I ain't stupid.
laura,I know where you're going.
laura,"What for? I ain't white and I don't put out.  The front door opens, it's Laura's grandmother, MRS. JOHNSON."
sophia,"Malcolm, look at them. Have you ever seen white breasts like these?"
sophia,"...That isn't a whore?  Knowing she's right, Sophia becomes the aggressor.  A beat -- both panting -- then Malcolm stops abruptly. He raises his hand to his face, then to Sophia's hand which is still caressing him."
sophia,"That's alright. Baby, take your time. Sophia's not going anywhere. I told you to walk, don't run."
match cut, CLOSE EARL LITTLE  Earl Little's face is in the same exact position as Malcolm's from the previous scene. His mouth opens in terror as the moving trolley comes closer and closer to the black man lying on the tracks.
sophia,"You like 'em scrambled soft or hard, sweetie?"
sophia,Me?
laura,"Malcolm, you can be anything you want. You got class and you're smart."
laura,"I do know I love you.  Laura stops him and moves to him. Her kiss is a tender one, exploratory. Then Malcolm responds, embracing her fully. Her arms go around him as they both drop into the sand.  CLOSE - MALCOLM AND LAURA"
laura,"Oh, Malcolm, I love you. Please, there's no one around. Now?"
laura,Why? Is it because of your white gal? Folks say you're running around town with her.
laura,"She raised me, my mother died when I was six. Is your mother alive?"
miss dunne,There's no point in fighting about it. I'm sorry. May I sit down?
miss dunne,"It's the same questions, Mrs. Little. Since the death of your husband--"
miss dunne,-- there is a serious question as to whether --
louise,These  are  my  children. Mine. And they ain't no question. None.
miss dunne,"I think sometimes, Mrs. Little, candor is the only kindness."
miss dunne," Your control over your children, therefore--"
miss dunne,"You'll regret this, Mrs. Little."
malcolm's voice,"We were parceled out, all five of us. I went to this reform school and lived at this woman's house. She was in charge."
malcolm's voice,I was special. The only colored kid in class. I became a sort of mascot. Like a pink poodle.
tully,"Nigger, shut up so we can hear."
crowd,"The Brown Bomber, The Brown Bomber, Joe Louis, the heavyweight champion of the world. Joe got the belt back. Lawd have mercy. Great day in the morning."
bartender,The double's on that gentleman. Jack!
bartender,That's West Indian Archie.
bartender,This and that.
sammy,Man live by his rep.
archie,Bet you like that shit.
sammy,Only where'd you get them goddam vines.
sammy,You putting a hurtin' on my vision.
archie,"Just the middle button, baby. Just the middle one."
archie,"Okay, baby. Now you outfitted. You ready to tackle the street?"
voice,"1, 0, 5. "
honey,I thought you said we were going to the movies last night.
honey,And like a fool I believe it.
honey,Ain't that him now?
honey,You know that gal?  MALCOLM Mind your own goddamn business ... She comes in a lot?
honey,"'Bout every other night, Red."
honey,"If she got eyes, she do."
honey,"Not yet. But the way things going, that boy gonna turn her out any day."
archie,"I ain't drinking hot piss with you. Come on, Sam."
sammy,Be right there.
sammy,"He gonna, check the collector he turn into. His rep is on the line, boy, and so's yours. If you lying, one of you is dead."
sammy,"Don't push it. You way ahead. You back on top. That boy loves you, man."
sammy,"He gave it to you, Archie. He did."
earl,"Just wanted to scare 'em, they won't be bothering us no more."
rudy,"I'm half wop, half nigger and ain't afraid of no one."
rudy,"You name it, feller."
rudy,"Yeah. This rich ofay, like he's 60. I give him a bath on Friday."
rudy,"So? The man got silver, china, rugs--"
rudy,"Might be, shit. Man, I know this town. I got my own fences. Who the hell are you? Who put you in charge?"
rudy,That's right.
rudy,I'm the man.
rudy,"Jesus Christ, no. Okay, okay. You got it, you got it! You're the boss.  A beat."
malcolm,"Yeah.  He breaks open the gun -- the bullet is in the next slot to be fired.  MALCOLM  Palmed it right in the goddam chamber.  SHORTY Jesus Christ, Homey, you are nuts.  Malcolm starts laughing: a silent, hysterical laugh.  96    EXT/INT. A BEACON HILL HOUSE - NIGHT"
judge,Two years in the Women's Reformatory at Framingham.
judge,"Burglary, count one -- 8 to 10 years; count two, 8 to 10 years; count three, 8 to 10 years..."
judge,The sentences to run concurrently.
pete,Looka Satan.
pete,He bout to bust.
fourth prisoner,"A 551613, sir."
guard cone,Time's up. Get on your feet.
trustee's voice,Water.
guard cone,"All right, Little. Get up."
malcolm,"Talk, daddy, I'm listening. Hey that ain't bad. You got some more?"
malcolm,"What the hell for, man?"
dictionary,"Black, , adj. Destitute of light, devoid of color, enveloped in darkness. Hence, utterly dismal or gloomy, as ""the future looked black."""
malcolm's voice,You understand them words?
dictionary,"See also blackmail, blackball, blackguard."
malcolm's voice,"White , adj. Of the color of pure snow; reflecting all the rays of the spectrum. The opposite of black, hence free from spot or blemish; innocent, pure, without evil intent, harmless. Honest, square-dealing, honorable."
dictionary,"Abacus, noun. An ancient and primitive Chinese counting device."
guard barnes,You studying to be the first colored President of the States?
chuck,"10 to 1; we murdering them, Din't you hear?"
chuck,"The Brooklyn Dodgers brought up Jackie Robinson and we pounding the hell out of them, celebrating."
malcolm's voice,Dear Bembry. Please thank the Honorable Elijah Muhammad for the money and tell him I have not written him because I have not yet proven myself.
malcolm's voice,But I have written everyone else.
malcolm's voice,"Tell the Messenger of Allah that I have dedicated my life to telling the white devil the truth to his face. I greet you with the ancient words: ""As Salaam Alikum."""
malcolm's voice,"P.S. I finally worked my way through the ""Z's""..."
pete,"Watch out, baby, this cat is heavy on religion."
malcolm's voice,God is black.
earl,I'm a willing servant for Allah.
malcolm's voice,Have you ever seen a black man who wasn't down on his knees begging the Lord to give him in heaven what the white devil enjoys right here on earth?
second speaker,"If the man behind the counter ain't black, don't go in. Boycott the man. Be black. Think black. Buy black."
malcolm's voice,"My beautiful sister, for you are beautiful. Beautiful because you are black. Because black is beautiful. You work in the white folks' kitchen so I don't have to tell you that they're devils."
malcolm's voice,How about Old Cadillac?
malcolm's voice,You seen Sophia?
archie,Yeah.
malcolm's voice,"Women who could be mothers, teachers, scientists...  ANGLE - ALLEY"
betty," He ought to try to make it a little easier, Brother Bembry."
betty,The Sister wonders if the Brother knows what Harriet Tubman did between taking souls to the Promised Land?
betty,She ate.
betty,If you want to tell me.
elijah,Women are deceitful. They are untrustworthy flesh. I've seen too many men ruined or tied down or messed up by women.  CUT BACK TO:
betty,Shall I tell my sisters that we oppose marriage?  CUT TO:
betty,"I think you've made your points, Brother Malcolm."
betty,That you haven't time for either marriage or eating--
betty,"If you'll start eating, there is a question I have. Go ahead. Start."
malcolm's voice,...All members of the pig-rodent family.
betty,I see your point.
betty,Could we sit down someplace?
betty,You've been on your feet for days. And didn't even finish your salad.
betty,What?
betty,There's nothing to talk about.
betty,Oh? Purely scientific interest I'm sure.
betty,I can handle it.
betty,You have enough worries of your own.
betty,Why do you ask?
betty,"If it's just idle, I won't answer it."
betty,"There's a few things you don't know about women, Brother Malcolm. They're possessive and vain."
betty,And dogged when I set my mind to something.
malcolm,What have you set your mind to?
betty,"Being a good Muslim, a good nurse and a good wife."
betty,It's Sidney.
malcolm's voice,I demand to see Brother Johnson.
sergeant,Yeah. We got a Muslim. The relief must of put it down.
lieutenant,"All right, break it up. You got what you wanted."
captain green,"All right, that's enough. I want these people moved out of here."
