Speaker,Dialogue
creasy's voice,Ezekiel 25:17 Blessed is he who in the name of charity and good will shepherds the weak through the valley of darkness for he is truly his brother's keeper and the finder of lost children.
jordan,The family paid the ransom and he was returned two days later.  His father still hasn't gotten up the nerve to ask him if they fucked him up the ass.
samuel,And now every mother with money in Mexico City wants bigger and better bodyguards. My own wife included.
jordan,"If she pisses you off, you get another one."
samuel, Do you know what she told me last night?
lisa,A man's worth can be judged by what he has or what he owes. Only the amount matters.
samuel,And bankruptcy. Where will that put me in the social strata?
lisa,I'm only asking for one thing. And it's not an extravagance. It's not even for me; it's for our daughter.
samuel,Our daughter.
lisa,Our child's safety is at stake.
samuel, These people are professionals. They don't waste their time taking children whose fathers are virtually bankrupt.
lisa,"Samuel, it is not something we should skimp on. A bodyguard's presence in the car or outside the school was at least some form of deterrent. Now he's gone, I feel totally exposed."
samuel,Of course I care about Pinta. She'll be as beautiful as her mother one day.
jordan,Yeah?   And if she was ugly?
jordan,All my clients have kidnap and ransom insurance.
samuel,"I have a policy, AIG. It covers me and my family and when it runs out in sixty days, without a bodyguard, I will not be able to renew it."
jordan,I know you need to please Lisa. An ass like that is hard to find. Good bodyguards are even harder.
samuel, I know! I just had to let one go because I couldn't afford him!
jordan,"You need a bodyguard of some description. It's a dangerous world we live in. But you will get what you pay for. He doesn't need to be Superman, does he? Can you go fifteen grand?"
samuel,For a year?
jordan,For a few months. Hire someone cheap. You have to have a bodyguard to keep the insurance. Then fire him for incompetence. The important thing is Lisa's daughter will return to school.
samuel,And Lisa will be able to save face.    We won't be the only family without a bodyguard.
jordan,Her beauty fucks with your mind.
samuel,For an American she understands this country very well.
jordan,She understands men.
customs,Where are you coming from?
creasy,South America.
customs,Where are you staying in Mexico?
creasy,I'm on to Juarez.
customs,Why?
creasy,I have a friend there.
customs,"I cannot see your eyes, Senor."
customs,Senor?
creasy,It's a permit to carry a gun in Columbia. The gun you're about to find in that suitcase.
rayburn,Rayburn here.
creasy,When did Mexican Customs start getting smart?
rayburn,Creasy???   Where the fuck are you?
creasy,I'm here.
rayburn,"What do you mean, I'm here?"
creasy,I'm in a Customs holding tank in Mexico City International. Bring a bunch of cash... about 5K. I'm going to need it.
rayburn,This is going to cost you big time.
rayburn,You got a secondary search and you had a gun.
creasy,Listen it was a calculated risk. I've done it a million times and never got caught.
rayburn,Everything happens once if you live long enough.
creasy,It doesn't make sense to x-ray your bags coming off the plane.
rayburn,"This is Mexico, they do everything backwards."
rayburn,So what's wrong?
creasy,Nothing wrong.
rayburn,Don't give me that bullshit.
creasy,So how's business?
rayburn,Japanese are here in a big way. Cheap labor. Factory space. But they feel a lot safer living over the border in El Paso. I ferry 'em back and forth. They think I'm John-fucking-Wayne.
creasy,But don't you stay in El Paso?
rayburn,"Fuck, I love Mexico.   I live like a king down here."
creasy,"Yeah, right..."
rayburn,"Oh, like you haven't been in worse places."
creasy,And a level five shithole is better than a level six. Your logic's inescapable.
rayburn,You been working?
creasy,"Not for eight months. I was in Columbia looking around, but, nothing seemed interesting."
rayburn,"How long you staying, Crease?"
creasy," Got no plans, Rayburn, Nothing on. Just wanted to see you, how you were. Came by on impulse."
rayburn,You did something on impulse?
creasy,Everything happens once if you live long enough.
pinta,Dear God. I do not ask for health. Or wealth. People ask you so often that you can't have any left. Give me God what you still have. Give me what no one else asks for. Amen.
lisa,"You should be sleeping, baby."
pinta,"I'm trying, mom."
lisa,Good news.     You're going back to school.
pinta, When?
lisa,"Samuel is going to hire a new bodyguard. It may take a few days, but you're going back."
pinta,Could he speak English?     Emilio couldn't speak English.
lisa,We'll see. And thank your father in the morning. A man always needs to be thanked.
rayburn,"That's right, a bodyguard."
rayburn,Your Spanish is good enough.     You certainly look the part.
creasy,"You're crazy. People would hire a has- been, Ray? A drunk?"
rayburn,"Well, you'd have to keep it under control."
creasy,"And what if, just say, there was a kidnap attempt?"
rayburn,You do your best. They won't be paying you enough to perform miracles.
rayburn,"It's not exactly a scam, Crease. Even at half speed you're pretty damn good."
creasy,A bodyguard has to be close to someone all the time. Willing to talk. I'm not good at that.
rayburn,So you'll be the silent type.    People will appreciate that.
rayburn,What are you doing here?
creasy,I came to visit you.
rayburn,Bullshit. I've known you fifteen years. You don't visit.
creasy,A bodyguard... Who's the guy?
rayburn,Samuel Ramos.    Owns one of the plants in Juarez. The    Jap car industry is in the toilet. He's    trying to persuade Ford to partner with   him. I think he's in trouble. He    asked me if I knew anyone he could trust.
creasy,"Oh, now you think I can be trusted."
rayburn,"Take a job, Creasy. Breathe some air. Then decide if you want to... stick around or not."
rayburn,Instructional tape on what I tell my clients about bodyguarding.
samuel,You drive easily. Smoothly.
creasy,Yes.
samuel,"Show me, please."
samuel,Have you used this type before?
samuel,Is it loaded?
creasy,It's loaded.
samuel,"You will meet my wife first. She would like it if you are presentable, polite and respectful. You'll be the fifth candidate she's seen this week."
samuel,Your resume is impressive. Nine years in the Army. Extensive counter terrorism work. I shouldn't be able to afford you in my current state. What's the catch?
creasy, I drink.
samuel,How does it affect you?
creasy,"My coordination. Reaction time. If top professionals try to kidnap your daughter, the service will be on par with the pay."
samuel,And what if amateurs try it?
creasy,I'll probably kill them.   Is that likely?
samuel,No. And no one is to know of your drinking problem. That includes my wife.
lisa,The world of our children.   How dare they?
creasy, It's war. The weakest suffer the most.
lisa,You're American.
creasy,So are you.
samuel," My wife, Mr. Creasy."
lisa,"Lisa Martin Ramos, Mr. Creasy."
creasy,Thank you.     Scotch and a little water.
lisa,You've done much of this work before?
creasy,Never.
