Speaker,Dialogue
lewie,"Spruance, would you like to show me where it's marked smearing here...  ... because I swear, I don't see it."
joan,Sorry.   I didn't know I was.
lewie,"Also, I'd be mildly content if I could have a little less delirious self-appreciation and some small regard for remaining somewhere in the vicinity of the goddamned note."
helen,"Sssh, come on now."
joan,"No, I'm telling you, this is personally motivated. Since I moved out he's been doing this, making remarks and being... incredibly pricklike...                           * LEWIE Now, if our lovely soprano would like to stop grumbling for a moment, I'd like to take it once again. JOAN  From the beginning please."
therapist,Now I want you to look at Harry and tell him how you feel.
therapist,"Well, let's see what he wants to say here. Harry, how do you feel when she brings out this material?"
harry,"How do I feel? I feel she just overheats on every little side issue, and when I go to try and communicate with the woman, for some unknown reason she doesn't believe a damn thing I say."
adele,Oh that's a lie.
harry,"See what I mean? ADELE No, you know what this whole thing hinges from? He came to rent a building from me which is now his place of business... "
adele,"If you can't call me Adele, don't call me anything at all. "
therapist,"Better yet, can you take her by the hand and say, 'I hear what you're saying'?"
therapist,"Good.  That's good... because there's a lot of love here, isn't there.   Joan comes out the door and moves down the steps to a campus walkway."
adele,Next time I want to bring out some of our sexual hot spots.
harry,"The hell you are, honey. ADELE The hell I'm not."
melvenos,You sure nothing of value has been removed from the dwelling?
joan,"No, nothing. That's what's so disturbing. I mean, why would someone do something like this...?"
fingerprinter,Not much on the window. A few partials and a bunch of smears. MELVENOS Check out the bedroom. As he moves to the hallway leading to the bedroom:
joan,You think this is someone I know? MELVENOS Let's explore that. Have you had any recent trouble with anyone? JOAN No.
melvenos,"You're not married, I take it. Her mind is still off searching for enemies and she fails to respond: HELEN She's in the process of a divorce. MELVENOS What about him? HELEN What about him? He's our conductor, he's an artist and not someone who'd ever... JOAN You mean Lewie? He'd never do anything like this."
melvenos, You never know.
andy,"Hi, Joanie..."
joan,"So could I just call you later? ANDY Well, can't you give   me one minute? I'd like to    know if you got the manuscript I   sent you. "
joan,"Oh no. You've written a book about Red Layls. ANDY Not just about him, Joanie, he's only one of many episodes in my life, you know that. Have you got a Perrier?"
joan,"No, I don't. Let me just call you at home later. ANDY I'm not going to be home. I'm checking into a hospital to have a bone spur removed from my foot. Then I'm going to New York, to meet with a top publisher...  ... which, incidentally, I would not care for Mr. Redmon, fecal- face Layls to know. Melvenos and the Fingerprinter re-enter:                            *"
joan,"Wait, I need to talk to you..."
joan,"I wanted to ask you, if there's somebody, who for some unknown reason, doesn't like me, what do you suggest I do?"
joan,"Really though, I don't see how this could be somebody I know."
melvenos,Maybe not.
andy,"Some help I'm going to get from him, because he's scared to death of Red."
joan,"Andy, are you telling me the truth?"
joan,"I mean, are you really going to New York?"
andy,"Yes, I'm going to New York, where I intend to remain in semi-private seclusion, at an undisclosed... JOAN Well maybe I could stay at your house while you're gone. So could you tell your housekeeper to... ANDY Wait, I just want you to hear what this colosal shit said about me, through his great white shark of a lawyer. JOAN Pardon me, but I don't care what he said. My apartment, as you can                     * see, is a complete shambles, I have                   * a terrible headache, I've been                        * informed that somebody doesn't like me, and I really don't want to stay here by myself!"
andy,"Fine, why don't you take my house then?"
joan,Thank you.
andy,"Gee whiz, why make such a big deal out of everything? "
june,Ferde at something Motors. He wants two payments by tomorrow or he's gonna come an' repop the van. HARRY Bastard.
june,"You know, you said you were going to get me a little Honda Elite to tool around in."
june,"Well, I'm not. HARRY That's not the point I'm making. Suddenly irritated, he begins fumbling through a pile                  * of bills on top of the desk:"
harry,"You know   what's gonna happen if I can't pay   these damn breeders and get some   adult dogs on the premises?    Pretty damn quick, some asses are   going to hit the pavement,   believe me."
june,"So?    I'm sick of dog turds anyway. He scowls at her, then looks out the window:"
harry,"Jesus, here   I am, sitting in the center of a   lot of wealth, the escalation   in crime couldn't be better, and   I'm not turning a damn nickel   on it... He catches sight of something outside:                                 *"
joan,"I'm asking, where-are-you-going?"
socorro," Esto me yerno, Balthazar. You speak please Balto para mi."
joan,"Monday? But this is Thursday, I can't stay here alone 'til Monday."
balto,"Yeah, but she got her time off, too, man, you know. Joan straightens up, sighing angrily and looking up at the house:"
joan,"Well, this is just glorious. The low-rider moves down the driveway and as it disap- pears onto the street, Joan moves to an electric box atop a metal column at the edge of the driveway. She presses the button and looks at the gates. They remain open. She steps over to the gates and tries to close them manually. The locking device fails to engage and a portion of it falls off into the bushes."
another angle,"As she leans   down to look for the fallen part,   a pickup truck can be   seen parked down the street. The    back of the driver's head    can be seen and on   the side panel of the   truck are the words ""Canyon Tree   Surgeons."""
butch,"Well, who are you, honey?"
joan,"She's out of town, and there happens to be several other people in here trying to sleep, so..."
butch,Whyn't you come out and say hello?
joan,"Will you please go away!? BUTCH Come on, stick your head out the door an' let's see what you look like. "
joan,"Tch, where does she find these                         * people.                                                *"
butch,"I was just trying to be nice.  Go ahead an' call 'em, bitch, I don't give a shit. He leans down, picks up a dirt clod from the flower bed and throws it toward the window: BUTCH I'll just come back and kick your ass in for you."
joan,"You know, I have an extremely sensitive reaction to dog dander, so maybe I shouldn't..."
harry,Let me ask you something. I like to get a general picture of the individual situation I'm working with. 
joan,"I'm in the process of a divorce and I moved up here because my apartment was burglarized and...  But I'm not entirely alone, there's a housekeeper here, and several friends."
harry,"Well, the hills are hit heaven as far as burglaries go. And right up on Mulholland is where they found the fifth victim of the Westside Slasher..."
