Speaker,Dialogue
frank,Says here that the Russians exploded n A-bomb and there's not a damn thing we can do about it.
ed,Uh-huh.
frank,How d'ya like them apples?
frank,...Ed?
ed,Huh?
frank,Russians exploded an A-bomb.
ed,Yeah.
frank, Jesus...
dave,"How ya doin', Ed?"
ed,"OK. Take your coat, Ann?"
dave,"Japs had us pinned down in Buna for something like six weeks. Well, I gotta tell ya, I thought *we* had it tough, but, Jesus, we had supply. *They* were eating grubs, nuts, thistles. When we finally up and bust off the beach we found Arnie Bragg, kid missing on recon; the Japs had *eaten* the sonofabitch, if you'll pardon the, uh... And this was a scrawny, pimply kid too, nothin' to write home about. I mean, I never would've, ya know, so what do I say, honey? When I don't like dinner, what do I say?"
dave,"...I say, Jesus, honey, Arnie Bragg-- *again*?!"
dave,...Arnie Bragg--*again*?!
dave,"...Were you in the service, Ed?"
ed,"No, Dave, I wasn't."
doris,Ed was 4F on account of his fallen arches.
dave,"Mm, that's tough."
dave,Holding down the porch area?
dave,...That's quite a wife you got there.
ed,Mm.
dave,She's a rare one.
ed,"How's business, Dave?"
dave,"Couldn't be better. These're boom times in retailing. We're opening another store, Big Dave's Annex, there on Garson. This is strictly haberdashery--casual wear, pyjamas, ladies' foundations and undergarments. Matter of fact, I'm thinking of making Doris the comptroller. How're things at the, uh, the barbershop?"
ed,"All right, I guess."
dave,"...Fine. Fine. Well, you might want to drop by the Annex when we open, update your suit--'course, you're in the smock all day."
dave,"...Say, where do you get those things anyway?"
ed,Specialty store down in Sacramento.
dave,Uh-huh.
caller,I... seven...
caller,...Bee... Four...
doris,"Watch your card, honey."
caller,I... sixteen...
caller,Gee... nine...
doris,"Jesus, bingo--BINGO!"
frank,"...so you tie your own flies, Ed. I mean, if you're really serious. You tie your own flies, you do a--I know it's matickless, I know, people say, hey, you can buy flies at the store-- but you can buy your fish at the store, Ed, you see what I'm saying?"
ed,Uh-huh.
frank,"The point is there's a certain art to the process. The point is not merely to provide, and let me point out, these fish are not as dumb as you might think."
ed,Uh-huh.
frank,"Sportsmanship! That's my point. June fly, Ed? Mosquito? Which of these? Well, what fish do you seek?"
ed,Yeah.
frank,"Sure, go to the store. Go there, describe to the man where you will be fishing, and for what, and the weather conditions, sun, no sun, whatnot, and so forth, and then you might as well have the man go ahead and sell you the goddamn FISH, Ed..."
frank,"...My point is, this is a man who knows nothing no matter how much you tell him, so sell him the goddamn FISH, Ed."
man,"OK, boys, which of you gets the privilege?"
frank,"We're just closing, friend."
man,"Oh, happy days! I wish I was doing well enough to turn away business! More power to ya, brother! The public be damned!"
frank,"Hey, what's your problem, friend? This is a business establishment with posted hours--"
ed,"I'll take care of him, go ahead, Frank. Have a seat, mister."
frank,"...You sure, Eddie?"
ed,"Yeah, yeah--go home."
frank,"In your ear, mister."
stranger,"Oh, those fiery Mediterraneans. Say! Not so fast there, brother--"
stranger,"...Pretty good, huh? Fools even the experts. 100 percent human hair, handcrafted by Jacques of San Francisco, and I'd hate to have to tell you what I paid for it."
ed,Uh-huh.
stranger,"Yes, it's a nice rug. I'm paying for it down on the installment plan..."
stranger,"...A lot of folks live with the pate exposed. They say the dames think it's sexy. But for my money it's just not good grooming--and grooming, my friend, is probably the most important thing in business--after personality, of course..."
stranger,"...Creighton Tolliver, pleased to know ya."
ed,Ed Crane. What brings you to Santa Rosa?
creighton,"A goose, friend. I was chasing a wild goose. Ed, have you ever heard of venture capital?"
ed,Uh--
creighton,"Well, it's the wildest goose there is. Risk money. Very speculative. Except, Ed, in certain situations, it's not, see? I thought I had a prospect here. Well, I make the haul up and this lousy so-and-so tells me his situation has changed--all his capital's gonna be tied up in expansion plans of his own. Thank you, mother! Pop goes another bubble! It's only the biggest business opportunity since Henry Ford and I can't seem to interest a soul!"
ed,That right.
