Speaker,Dialogue
andy,"Oh, yes.  I remember it well..."
stanley,"That's my boy!  Good swingin', kiddo.  Hey -- Michael... where's your brother?"
michael,He's inside.
stanley,Is he in his room?
janice,"Of course he's in his room.  All his ""friends"" are in there."
andy, Shoom boom boo ba!  Shoom boom boo ba --
stanley,Andy!
andy, Oh!
stanley,"Andy, this has to stop.  Our house isn't a television station.  There is not a camera in that wall."
andy,"But I've got a sports show. Championship wrestling, at five."
stanley," You know that's not what I meant! Look, I'm gonna put my foot down! No more playing alone.  You wanna perform, you GOTTA have an audience!"
andy, B-but I have them.
stanley,No!  That is NOT an audience!  That is PLASTER!  An audience is people made of flesh!  They -- live and breathe!  Got it?!
andy," ""Oh, the cow goes........."""
carol,Moo.
andy," ""And the dog goes......"""
carol,WOOF!
andy,"""And the cat says......"""
drunk audience,MEOW!!
andy,"""And the bird says..."""
drunk audience,TWEET!!
andy,"""And the lion goes..."""
drunk audience,ROAR!!
andy,"""And that's the way it goes!""  Thank you.  Goodbye!"
manager,"The comedy stylings of Andy Kaufman, Ladies and Gentlemen!"
andy,"So, Mr. Besserman, same slot tomorrow...?"
manager," Eh, I dunno... Andy.  I'm... thinkin' of letting you go..."
andy,You're firing me??  You don't even pay me!
manager,Look -- I don't wanna seem insulting.  But... your act is like amateur hour: Singalongs... puppets... playing records...
andy,"What do you want?  ""Take my wife, please""??"
manager,Sure!  Comedy!  Make jokes about the traffic.  Do impressions.  Maybe a little blue material...
andy,I don't swear.  I -- I don't do what everyone else does!
manager,"Well, everyone else gets this place cookin'!  Pal, it's hard for me to move the booze when you're singin' ""Pop Goes The Weasel."""
wiseass comic,"So I'm getting my mother-in-law a special Christmas present: A pre- paid funeral!  The mortician asked me if I wanted her buried, embalmed or cremated.  I said, ""Make it all three!  I'm not takin' any chances!""  Thank you.  Good night! The comic waves and exits.  APPLAUSE.  George politely claps.  A PIANO PLAYER jumps in with an upbeat show tune."
george,Pst.  What's the story with this guy?
budd,I think he's Lithuanian.  None of us can understand him.
george,He does a hell of an Elvis.
george,"Hey, I really enjoyed your set."
george,So I understand you're from Lithuania?
george,Caspiar?  I haven't heard of that.
andy,"Mr. Shapiro, it's an honor!!"
george,"Caspiar, huh?!"
andy,"You see, I want to be the biggest star in the world."
george,People love... comedians.
andy,I'm not a comedian.  I have no talent.  I'm a song-and-dance man.
andy, I've always wanted to play Carnegie Hall.
george,"Yeah, ha-ha.  That's funny."
andy,"See, I don't want easy laughs."
george,"You're insane.  But -- you might also be brilliant. Alright, Andy... let's do it."
george,"Sammy, opening for David Brenner is a fine gig.  You'll be on the road... get some exposure..."
george,Who?
george,Oh.  Hello?  George Shapiro here.
george," Er, yes.  Speaking."
george,Can I help you with something?
